[00:00:20.842 --> 00:00:22.243]  It's Tuesday, August 13th.
[00:00:22.463 --> 00:00:23.663]  I'm Paul Joseph Watson.
[00:00:23.723 --> 00:00:25.724]  This is InfoWars Nightly News.
[00:00:27.845 --> 00:00:32.387]  Tonight, a New Hampshire city wants to use a tank against libertarians.
[00:00:33.405 --> 00:00:37.906]  Then, Obama appoints a fox to investigate spying in the hen house.
[00:00:38.966 --> 00:00:43.207]  And will stolen Libyan missiles be used to shoot down aircraft?
[00:00:43.787 --> 00:00:47.648]  All that and more coming up on the Info Wars Nightly News.
[00:00:48.508 --> 00:00:49.708]  Instantly assess these guys.
[00:00:49.949 --> 00:00:51.749]  These are probably ex-con, real criminals.
[00:00:52.209 --> 00:00:53.409]  I've got my three kids here.
[00:00:54.049 --> 00:00:56.630]  That gives me, you know, just turbo dinosaur power.
[00:00:57.230 --> 00:00:58.931]  Top story tonight, report.
[00:00:59.311 --> 00:01:04.172]  Michael Hastings was investigating CIA Director John Brennan.
[00:01:04.812 --> 00:01:06.573]  This is a report from Infowars.com.
[00:01:06.913 --> 00:01:14.875]  Journalist Michael Hastings was investigating CIA Director John Brennan before his untimely death in a suspicious car accident.
[00:01:15.015 --> 00:01:22.077]  It has been revealed, with the report set to be published posthumously by Rolling Stone magazine within the next two weeks.
[00:01:22.717 --> 00:01:36.540]  Now, as you may recall, InfoWars first reported from Hastings' close friend, Sergeant Joe Biggs, that the former Rolling Stone journalist was working on, quote, the biggest story yet about the CIA before his suspicious death.
[00:01:37.120 --> 00:01:43.462]  Now, according to San Diego Six's Kimberly Dvorak, the CIA acknowledged in an email to her,
[00:01:44.543 --> 00:01:48.967]  That was indeed the case, that Hastings is hot on the trail of John Brennan.
[00:01:49.407 --> 00:01:55.052]  And Dvorak claims that the magazine is set to publish this expose within the next two weeks.
[00:01:55.552 --> 00:01:58.355]  That's yet to be confirmed by the publication itself.
[00:01:58.675 --> 00:02:00.957]  I emailed them this morning, no response so far.
[00:02:01.878 --> 00:02:10.045]  But Brennan, of course, is Obama's former counter-terrorism advisor who helped compile the drone program kill list.
[00:02:11.086 --> 00:02:23.798]  And was labeled in a 2012 Stratfor email hacked by WikiLeaks as being, quote, behind the witch hunts of investigative journalists learning information from inside the Beltway sources.
