[00:00:21.303 --> 00:00:23.123]  Welcome to the Infowars Nightly News.
[00:00:23.244 --> 00:00:26.644]  It's Friday the 13th, 2013, and I'm David Knight.
[00:00:27.385 --> 00:00:30.865]  Now today we're going to lead off with a story from Anthony Gucciardi.
[00:00:30.905 --> 00:00:33.986]  Remember yesterday we talked about how the credibility of the U.S.
[00:00:34.086 --> 00:00:38.767]  government, or I should say the American regime, is really in freefall.
[00:00:39.407 --> 00:00:41.108]  Nobody's believing what they're saying anymore.
[00:00:41.548 --> 00:00:44.969]  And one of the reasons for that is real, authentic media.
[00:00:45.689 --> 00:00:54.053]  And as Anthony Gucciardi points out in his story on StoryLeak, real media is blocking Obama's attempts at plunging the nations into World War III.
[00:00:54.554 --> 00:01:07.340]  He said, in a truly powerful augmentation of history, spreading the word over staged events like the Syrian chemical attacks has ultimately forced the Obama administration and its affiliates to push back on their plans to launch military action.
[00:01:08.121 --> 00:01:14.504]  Now, going back even to the Boston bombing, we had a tremendous effect on what was happening with the narrative there.
[00:01:15.752 --> 00:01:23.415]  All indications were that they were planning on making this something that they were going to blame on domestic terrorism.
[00:01:23.455 --> 00:01:24.655]  They did it on Patriots Day.
[00:01:24.675 --> 00:01:28.057]  But there were many, many other indications that we pointed out at the time.
[00:01:28.637 --> 00:01:31.278]  We took pictures that people were taking.
[00:01:31.818 --> 00:01:36.820]  We were pushing back and covering the stories and the evidence as it unfolded.
[00:01:37.200 --> 00:01:38.280]  And they were reacting to that.
[00:01:38.661 --> 00:01:41.862]  And even if people didn't believe the case that we were making,
[00:01:42.722 --> 00:01:59.497]  Still, the term false flag entered the vernacular, to the extent that when this Syrian false flag came up, everyone understood the technique, they understood how it was being used, and you have people like Pat Buchanan, Ron Paul, not afraid to use the term false flag, because it is real.
[00:01:59.577 --> 00:02:02.599]  It is something that has been used over and over again historically.
[00:02:03.527 --> 00:02:06.390]  As Anthony Gucciardi goes on to point out in his article, he says,
[00:02:23.689 --> 00:02:27.975]  And that's bad news for the six corporations that own 90% of the mainstream media.
[00:02:28.375 --> 00:02:29.637]  There's a reason the former U.S.
[00:02:29.677 --> 00:02:40.832]  National Security Advisor and Trilateral Commission co-founder, Zbigniew Brzezinski, says that there is a global political awakening that's placing a wrench in the wheel of the war machine.
[00:02:41.593 --> 00:02:45.616]  So it's had a real, real dramatic effect, and we can all see that.
[00:02:46.036 --> 00:02:49.078]  We can see how Obama had to back out and back down.
[00:02:49.579 --> 00:02:59.366]  We can see how, at first, even though it looked like Republicans, led by the Republican leadership, which is in bed with the military-industrial complex, it looked like they were going to push the narrative.
