[00:00:03.291 --> 00:00:05.392]  You're listening to GCN.
[00:00:05.712 --> 00:00:07.492]  Great Talk Radio starts here.
[00:00:14.875 --> 00:00:15.535]  Big Brother.
[00:00:16.176 --> 00:00:17.236]  Mainstream media.
[00:00:17.956 --> 00:00:19.077]  Government cover-ups.
[00:00:19.717 --> 00:00:20.537]  You want answers?
[00:00:21.297 --> 00:00:22.238]  Well, so does he.
[00:00:22.858 --> 00:00:26.479]  He's Alex Jones on the GCN Radio Network.
[00:00:27.039 --> 00:00:31.101]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.714 --> 00:00:39.374]  Four killed, eight injured.
[00:00:39.394 --> 00:00:42.795]  There were three shooters, now we're told there's two.
[00:00:44.976 --> 00:00:52.818]  At the big naval yard in Washington, D.C., where no one is allowed to have firearms to protect themselves.
[00:00:54.418 --> 00:00:58.039]  Notice almost all of these mass shootings happen in victim disarmament zones.
[00:00:59.440 --> 00:01:04.301]  Now, my gut will tell me this will probably end up being a couple of, quote, jihadis.
[00:01:06.052 --> 00:01:16.098]  But even if they are jihadis, they will somehow go through their home computers, and if they find them visiting ABC, CBS, NBC, Fox News, that won't be on the news.
[00:01:18.059 --> 00:01:26.324]  If they get into their computers or their iPhones or whatever, they're reportedly both been shot and killed, but who knows, those stories are changing by the minute.
[00:01:29.349 --> 00:01:31.252]  Today we'll be able to flesh a lot of this out.
[00:01:32.053 --> 00:01:36.239]  But you better believe that even if they're just pure jihadis that did this...
[00:01:37.296 --> 00:01:48.923]  Even connected to Al Qaeda groups out of the Middle East being commanded by the leader of Al Qaeda last Friday to attack the United States.
[00:01:49.303 --> 00:01:49.803]  Remember that?
[00:01:49.823 --> 00:01:51.524]  The very same group our government's arming.
[00:01:52.084 --> 00:02:01.009]  Even if that's the case, you can believe, like the last three or four cases, they're going to try to connect it to InfoWars.com
[00:02:02.430 --> 00:02:07.555]  And yours truly, part of that long-term demonization campaign.
