[00:00:21.169 --> 00:00:23.012]  It's Tuesday, September 17th.
[00:00:23.092 --> 00:00:24.194]  I'm Paul Joseph Watson.
[00:00:24.234 --> 00:00:26.137]  This is InfoWars Nightly News.
[00:00:28.143 --> 00:00:34.146]  Tonight, another tragedy fueled by mass murder-suicide bills.
[00:00:34.847 --> 00:00:41.590]  Mass shootings are hyped up to sell the public on panic, but the numbers show that mass shootings are actually down.
[00:00:42.131 --> 00:00:46.753]  Benghazigate heats up when a CIA employee refuses to be gagged.
[00:00:47.213 --> 00:00:49.595]  And yes, we can arm terrorists.
[00:00:49.975 --> 00:00:53.537]  Obama signs an order so he can transfer al-Qaeda weapons.
[00:00:53.957 --> 00:00:57.099]  All this and more tonight on the InfoWars Nightly News.
[00:01:02.168 --> 00:01:05.951]  Top story tonight, was Navy Yard Killer on antidepressant meds?
[00:01:06.632 --> 00:01:18.522]  Several indications suggest that the Navy Yard Killer, Aaron Alexis, may have been taking psychiatric drugs, bringing into focus once again the clear connection between antidepressants and mass shootings.
[00:01:18.922 --> 00:01:29.391]  The Associated Press reports that Alexis, quote, had been treated since August by the Veterans Administration for his mental problems, which included paranoia, sleep disorder, and hearing voices in his head.
[00:01:30.071 --> 00:01:39.698]  Now we also know that Alexis had problems with post-traumatic stress disorder, the most common treatment for which is the SSRI drug paroxetine.
[00:01:40.098 --> 00:01:48.524]  Now paroxetine is listed as the number three top violence-causing drug by the Institute for Safe Medication Practices.
[00:01:49.405 --> 00:01:55.389]  We also know that Alexis suffered blackouts during these fits of rage that have emerged in the news.
[00:01:56.232 --> 00:01:56.832]  We're good to go.
[00:02:18.084 --> 00:02:23.126]  Whereas it's not been completely confirmed, everything suggests that he was on these meds.
[00:02:23.806 --> 00:02:33.169]  Now, it took nine months to confirm that James Holmes, the Batman shooter, was on Zoloft, which of course is the same drug that Eric Harris was on before Columbine.
[00:02:34.127 --> 00:02:39.552]  And that's because the mainstream media habitually fails to pursue this angle.
