[00:00:01.849 --> 00:00:06.913]  From the front lines of the Information War, it's Alex Jones.
[00:00:10.016 --> 00:00:12.478]  It's Sunday, the 20th day of January, 2013.
[00:00:12.738 --> 00:00:16.782]  There's an important report filed by Melissa Melton.
[00:00:20.410 --> 00:00:22.711]  Melissa Melton reporting for InfoWars Nightly News.
[00:00:23.492 --> 00:00:29.235]  Last week, Alex Jones appeared on the Pierce Morgan Show on CNN to discuss his views on gun control.
[00:00:30.235 --> 00:00:34.237]  The following night, Pierce decided to host a panel regarding Alex's appearance.
[00:00:34.777 --> 00:00:41.621]  And he had on Daily Beast sports columnist Buzz Bissinger, Huffington Post Abby Huntsman, and lawyer Gloria Allred.
[00:00:42.041 --> 00:00:46.103]  And Mr. Bissinger made what can only be described as a threat against Alex's life.
[00:00:46.543 --> 00:00:47.644]  Let's take a look at this clip.
[00:00:47.964 --> 00:00:59.229]  It is pathetic, it is ridiculous that you are allowed, I don't care what the justification is, that you are allowed in this country to own a semi-automatic weapon, much less a handgun.
[00:00:59.249 --> 00:01:02.790]  But what do you need a semi-automatic weapon for?
[00:01:02.850 --> 00:01:10.994]  The only reason I think you need it is, Pierce, challenge Alex Jones to a boxing match, show up with a semi-automatic that you got legally, and pop him!
[00:01:11.214 --> 00:01:11.894]  I'd love to see that!
[00:01:12.855 --> 00:01:13.235]  In uniform!
[00:01:15.109 --> 00:01:16.370]  I'll borrow my brother's uniform.
[00:01:16.510 --> 00:01:26.737]  Now, as you saw in that clip, Bissinger tells Morgan the only reason he would need a semi-automatic gun is to, quote, pop Alex Jones, to which they all laugh.
[00:01:27.278 --> 00:01:30.220]  And Abby Huntsman actually says, I'd love to see that.
[00:01:30.500 --> 00:01:33.262]  And Morgan even says he would borrow his brother's uniform.
[00:01:33.662 --> 00:01:38.346]  And this isn't the only time during that television show that a threat was made on Alex.
[00:01:38.786 --> 00:01:44.470]  Earlier in the show, one of Pierre's guests also made the comment that he hoped Alex's children would not be killed.
[00:01:44.790 --> 00:01:53.919]  I don't want Alex Jones to get the phone call at 3 o'clock in the morning that one of his children have been shot and killed by somebody who shouldn't have a handgun or a rifle.
[00:01:54.099 --> 00:01:58.163]  This kind of talk from supposedly anti-gun activists is abhorrent.
[00:01:58.284 --> 00:02:03.389]  They're making a threat on national television to shoot and possibly murder someone.
[00:02:03.749 --> 00:02:04.890]  And it's no joke either.
[00:02:04.910 --> 00:02:06.592]  As you'll see in this next clip,
[00:02:06.812 --> 00:02:21.793]  Private investigator Doug Hagman came on the Alex Jones Show just a few weeks ago and talked about how he has an inside source in the Department of Homeland Security and that the DHS is actually keeping a list of pro-gun activists and political activists who will be taken out.
[00:02:22.753 --> 00:02:35.402]  Anyone reporting on journalism, speaking out against government policies, anyone who protests anything that is antithetical to this regime, will be shut up and censored, if you will.
[00:02:35.762 --> 00:02:46.389]  And not only that, but according to my source, put on a list, because when the money supply, or when the economy collapses, we can no longer buy anything, and the rides break out.
[00:02:47.229 --> 00:02:59.731]  The very first people to go, according to my source, the very first people to be rounded up, the very first targets, if you will, on the radar of this regime are the people that are speaking the truth about what's taking place.
[00:03:00.091 --> 00:03:11.813]  On Hagman's site, he relayed in detail that there are lists of political dissidents maintained by DHS and vocal opponents of the politics of the global elite, the bankers, and the opponents of anything standing in their way.
[00:03:11.913 --> 00:03:15.474]  Well, they are on the top of the list to be, quote, handled.
[00:03:15.894 --> 00:03:30.104]  In the days following that broadcast, news broke that Keith Ratliff, a man behind FPS Russia, a gun show on YouTube that made the channel one of the top ten most popular on the entire site, was tied to a chair and shot execution-style in the back of the head.
[00:03:30.724 --> 00:03:45.774]  Then, John Noveske of Noveske Rifleworks, a gun manufacturer known for his AR-15s, was mysteriously killed in a car crash just days after he posted a list on Facebook linking mass shootings and horrible acts of murder and suicide to anti-psychotic medications.
[00:03:46.754 --> 00:03:54.999]  In the wake of these threats against Alex on the Pierce Morgan Show, it would seem Twitter fans picked up Pierce's sentiment and also threatened to shoot Alex.
[00:03:55.459 --> 00:04:03.423]  One Twitterer wrote, I hope Alex Jones gets taken by terrorists who shoot his arms and legs off starting at the fingers and toes and work their way up.
[00:04:03.743 --> 00:04:07.625]  Another, for the first time I see a good reason for guns in the USA.
[00:04:08.146 --> 00:04:11.027]  Alex Jones, someone please shoot this Muppet.
[00:04:11.467 --> 00:04:14.429]  I wish somebody would shoot this Alex Jones guy in the face.
[00:04:14.969 --> 00:04:17.470]  And then another responded, please and thank you.
[00:04:17.830 --> 00:04:27.935]  As the system ratchets up this war on our Second Amendment rights, we are seeing some unprecedented attacks against pro-gun activists and political activists who are just trying to fight for our freedom.
[00:04:28.295 --> 00:04:30.156]  Are we going to see another false flag next?
[00:04:30.216 --> 00:04:36.579]  Are we going to see another mass shooting, another Oklahoma City, another systematic takeout of a group like we did in Waco?
[00:04:36.860 --> 00:04:39.521]  Well, Doug Hagman left us with this chilling warning.
[00:04:39.941 --> 00:04:43.323]  By the way, Alex, according to my DHS source, expect more.
[00:04:43.563 --> 00:04:45.224]  Expect at least one more.
[00:04:45.684 --> 00:04:57.390]  One more incident to really solidify in the minds of people that these big bad assault rifles, that misnomer to be sure, are not to be in the hands of the American people.
[00:04:57.430 --> 00:04:59.811]  For InfoWars Nightly News, I'm Melissa Melton.
[00:05:01.914 --> 00:05:06.476]  The New Year is a great time to take charge of your health and wellness.
[00:05:06.997 --> 00:05:11.039]  Get serious and make a stand with Supernatural Silver.
[00:05:11.519 --> 00:05:16.922]  This is a breakthrough in silver technology that is several hundred times more effective
[00:05:19.743 --> 00:05:28.625]  Supernatural silver can be taken orally every day to help fight bacteria, viruses, infections, yeast and molds.
[00:05:29.185 --> 00:05:36.167]  Supernatural silver is also exceptional for wound care and is highly effective for water purification.
[00:05:36.807 --> 00:05:46.230]  It is the number one choice for thousands of people for immune system support and it is also a perfect choice for your emergency preparedness.
[00:05:46.810 --> 00:05:53.854]  Go to SupernaturalSilver.com today and give yourself and your loved ones a fighting chance.
[00:05:54.455 --> 00:05:56.736]  That's SupernaturalSilver.com.
[00:05:57.296 --> 00:06:00.779]  Check out our new low prices and like us on Facebook.
[00:06:10.919 --> 00:06:14.323]  Well, it's our first visit with Ron Paul of 2013.
[00:06:14.443 --> 00:06:17.927]  He is now the former Congressman.
[00:06:18.807 --> 00:06:24.073]  The first time I interviewed him, he was running for Congress again, I guess back in 95, 96.
[00:06:25.635 --> 00:06:30.060]  And he'd been in Congress once before as a Libertarian, and of course went back as a Republican.
[00:06:30.820 --> 00:06:32.741]  And he has been our greatest defender of liberty.
[00:06:32.781 --> 00:06:34.242]  Worldwide loved and admired.
[00:06:34.302 --> 00:06:35.983]  He's got big announcements coming up soon.
[00:06:36.003 --> 00:06:39.184]  I've heard the rumors and I'll see if he'll give us any hint.
[00:06:39.985 --> 00:06:45.327]  But he joins us obviously to talk about the fiscal cliff that he said we've already gone over a long time ago.
[00:06:45.407 --> 00:06:46.348]  What's happening with that?
[00:06:46.368 --> 00:06:48.409]  The Sandy Hook shooting.
[00:06:48.689 --> 00:06:50.790]  The announcements of the NSA openly spying on us.
[00:06:51.130 --> 00:06:55.372]  It's like everything Ron Paul talked about 15 years ago and got called a conspiracy theorist.
[00:06:55.472 --> 00:06:56.372]  Good, good to be with you.
[00:06:56.432 --> 00:06:57.473]  Yep, very good.
[00:06:57.613 --> 00:06:58.674]  Family got here.
[00:06:58.694 --> 00:07:02.356]  We had a lot of fun and didn't solve any world problems.
[00:07:02.376 --> 00:07:04.096]  Wow, you heard what I threw out there, sir.
[00:07:04.116 --> 00:07:05.477]  Where would you like to start first?
[00:07:19.420 --> 00:07:27.230]  Well, the things that I've talked about is mostly, well, the general, you know, deterioration of our individual freedoms and our liberties and our markets.
[00:07:27.871 --> 00:07:35.121]  But I think the big thing as I wound down my career dealt with, you know, financial and the economy.
[00:07:35.821 --> 00:07:45.448]  And I think both major parties and most members of Congress are in total denial as to what the real problem is, because they think it's just a budget.
[00:07:45.508 --> 00:07:52.792]  You know, well, if we change this number, raise taxes, cut spending, you know, pretend to cut spending, we'll solve the problem.
[00:07:53.173 --> 00:07:54.494]  And I think it's much bigger than that.
[00:07:54.514 --> 00:07:56.835]  I think, first off, the country is bankrupt.
[00:07:56.855 --> 00:07:57.596]  We're insolvent.
[00:07:57.636 --> 00:08:00.017]  We can't pay the bills, and they won't admit it.
[00:08:00.097 --> 00:08:00.878]  I mean, we have these
[00:08:01.558 --> 00:08:02.139]  We're good to go.
[00:08:25.157 --> 00:08:31.442]  Deceit and trying to fool the people into believing that they can tinker with a budget.
[00:08:31.903 --> 00:08:42.071]  But I think the problem is, is government is too big, they don't follow the Constitution, they don't know what the rule of government ought to be in a free society, and they don't admit we're bankrupt.
[00:08:42.091 --> 00:08:47.055]  And oftentimes I've used this saying that, are we going to go over the cliff?
