[00:00:02.867 --> 00:00:04.888]  You're listening to GCN.
[00:00:05.248 --> 00:00:07.028]  Great Talk Radio starts here.
[00:00:14.431 --> 00:00:15.091]  Big Brother.
[00:00:15.731 --> 00:00:16.792]  Mainstream media.
[00:00:17.512 --> 00:00:18.752]  Government cover-ups.
[00:00:19.273 --> 00:00:20.093]  You want answers?
[00:00:20.853 --> 00:00:21.814]  Well, so does he.
[00:00:22.394 --> 00:00:25.995]  He's Alex Jones on the GCN Radio Network.
[00:00:26.595 --> 00:00:30.657]  And now, live from Austin, Texas, Alex Jones.
[00:00:35.359 --> 00:00:47.788]  The constitutional crisis intensifies as Congress appears to be set to basically block, at least constitutionally, Obama's escalation of the war.
[00:00:48.048 --> 00:00:52.911]  We've got Obama's speech from yesterday that is all lies from end to end.
[00:00:54.132 --> 00:00:58.235]  He implies that this isn't really a military action, but it's not a pinprick, but
[00:00:59.532 --> 00:01:19.311]  uh... that uh... they're trying to basically stabilize syria when they're trying to destabilize syria it's truly amazing it is obviously the twelfth anniversary of the greatest false flag staged terror attack in history and either way you slice it nine eleven there was prior knowledge there was stand down
[00:01:20.307 --> 00:01:28.653]  And the supposed Saudi Arabian hijackers had multiple passports and were being surveilled by the Israelis and the U.S.
[00:01:28.693 --> 00:01:35.217]  government, the French, the Germans, you name it, and were living and working on military bases in the United States.
[00:01:35.257 --> 00:01:35.858]  That's a fact.
[00:01:37.579 --> 00:01:39.900]  Building 7 was blown up in front of everybody.
[00:01:40.821 --> 00:01:41.702]  The list goes on and on.
[00:01:41.722 --> 00:01:47.766]  We're going to open the phones up today for what you think the biggest smoking guns of 9-11 being an inside job are, or if you disagree with me.
[00:01:48.783 --> 00:02:01.671]  But if you look at how criminal elements of the government, because people always say on national news when I've been in debates about this, what you're saying the whole government, the firemen are involved, the police, the whole government.
[00:02:01.731 --> 00:02:04.072]  No, that's a straw man argument.
[00:02:04.092 --> 00:02:15.760]  I'm saying criminal networks are working with Al Qaeda since it was founded by Zbigniew Brzezinski in 1979 and it goes back before that to the British and then the Nazis running it.
[00:02:16.459 --> 00:02:29.226]  It's like whoever has control colonially of the Middle East, and the United States stepped in by the seventies colonially, even really in the fifties, but intensely by the seventies, and they like radicals, they like dictators.
[00:02:29.986 --> 00:02:32.207]  Look at how our government puts dictators in anywhere they can.
[00:02:32.508 --> 00:02:38.311]  Well, they like dictatorial Wahhabists to run the Middle East.
[00:02:38.371 --> 00:02:44.034]  They don't want swimming pools and movie stars and women going to college over there.
[00:02:45.151 --> 00:02:53.337]  The globalists want to keep the Middle East in the Stone Age, and then they can have high-tech drone warfare with the cavemen.
[00:02:54.578 --> 00:02:56.540]  That's basically what's going on here.
[00:02:57.881 --> 00:03:00.462]  And so we're going to be breaking all of that down today.
[00:03:00.643 --> 00:03:02.784]  Also, this story is up on Infowars.com.
[00:03:02.804 --> 00:03:04.185]  It's also up on DrudgeReport.com.
[00:03:04.666 --> 00:03:10.110]  Million Muslim March 2013, and the two million bikers Washington, D.C.
[00:03:10.250 --> 00:03:12.311]  rally expected on anniversary today.
[00:03:12.331 --> 00:03:14.193]  We're going to be following this today.
[00:03:16.104 --> 00:03:17.025]  As it's ongoing.
[00:03:23.068 --> 00:03:36.796]  We're going to be going over the fact that the violations of the First Amendment are only selectively, selectively engaged in.
[00:03:39.761 --> 00:03:45.847]  So when we come back, we're going to launch into the news and then hopefully, I'll give the number out and we'll go to your phone calls.
[00:03:45.867 --> 00:03:47.648]  There's a lot, a lot happening.
[00:03:47.688 --> 00:03:52.213]  Colorado lawmakers ousted in recall vote over gun law.
[00:03:52.233 --> 00:03:53.934]  That's the New York Times.
[00:03:54.815 --> 00:03:58.978]  And we've also got 12 years after 9-11, Obama helps revive Al-Qaeda in Syria.
[00:03:59.298 --> 00:04:02.720]  Yet, 12 years later, they've just dropped all the pretenses.
[00:04:02.740 --> 00:04:06.342]  They think we're that dumb, and obviously it's not working, so it's backfiring.
[00:04:06.723 --> 00:04:10.385]  It's also a 12-year anniversary of military action starting.
[00:04:10.725 --> 00:04:12.266]  It started a few days after 9-11.
[00:04:12.526 --> 00:04:16.028]  So, 12-year anniversary, 12-year war, 73% of U.S.
[00:04:16.048 --> 00:04:19.351]  casualties in Afghanistan on Obama's watch, CNS News.
[00:04:20.231 --> 00:04:22.753]  Why not give him another peace prize over that?
[00:04:23.493 --> 00:04:37.103]  The Russians are sending in their carrier killer into the Mediterranean, loaded up with the anti-ship supersonic missiles.
[00:04:39.363 --> 00:04:42.244]  Things are escalating very, very quickly.
[00:04:42.884 --> 00:04:45.384]  I guess the globalists calculated they could start a large regional war.
[00:04:46.184 --> 00:04:50.585]  The average American will just shut up and get behind their country right or wrong.
[00:04:50.905 --> 00:04:57.366]  Well, our country is not the criminal kleptocratic globalists that have seized control of our infrastructure.
[00:04:58.286 --> 00:05:01.127]  We'll be right back on the other side of this quick break.
[00:05:01.887 --> 00:05:03.767]  Oh, also, Bill Gates has got a new plan.
[00:05:03.807 --> 00:05:07.868]  Not just artificial meat, that's more humane in his words, but artificial eggs.
[00:05:09.824 --> 00:05:13.467]  Are we choosing our own destiny or has it been pre-selected for us?
[00:05:13.687 --> 00:05:18.972]  As we've moved through history, every great leader has had to understand the potential of information.
[00:05:19.212 --> 00:05:26.759]  Billions of dollars have been spent privately and publicly looking at how to tap into your psyche.
[00:05:26.939 --> 00:05:36.047]  From compulsory state education to the Hollywood media brainwashing machine, we are kept in perpetual bondage to the ideas that shape our actions.
[00:05:36.247 --> 00:05:43.251]  When somebody obscures that feedback loop between you observing and testing it out and verifying it, they can take total control of your awareness.
[00:05:43.411 --> 00:05:46.293]  All of this is happening so fast, you need to be ahead of the game.
[00:05:46.473 --> 00:05:53.237]  How to engineer the opinion of the American people so that they would not only endorse but demand a war.
[00:05:53.797 --> 00:05:54.719]  Oh, there's another one!
[00:05:54.759 --> 00:05:56.061]  Another plane just hit!
[00:06:10.305 --> 00:06:15.209]  The world is discovering the power of medicinal silver to fight against life-threatening pathogens.
[00:06:15.810 --> 00:06:19.073]  And as a result, dozens of silver solutions have emerged.
[00:06:19.633 --> 00:06:22.515]  You can even make your own colloidal silver at home in your garage.
[00:06:23.056 --> 00:06:25.878]  How do you know which solution is the safest and most effective?
[00:06:26.499 --> 00:06:32.524]  Supernatural Silver is a new patented technology that is made using 10,000 volts of AC current.
[00:06:33.125 --> 00:06:36.568]  This technology is so powerful, it must be made in a laboratory.
[00:06:37.188 --> 00:06:47.890]  Colloidal and ionic silvers use a charge of only 110 volts of DC current, making supernatural silver hundreds of times more effective against viruses, bacteria, and fungus.
[00:06:48.591 --> 00:06:53.592]  Supernatural silver liquid can be used internally, and our silver gel can be used topically.
[00:06:54.092 --> 00:06:59.513]  To find out more information on how supernatural silver can help you win the war against deadly pathogens,
[00:06:59.813 --> 00:07:01.913]  Go to SupernaturalSilver.com.
[00:07:02.214 --> 00:07:04.414]  That's SupernaturalSilver.com.
[00:07:04.934 --> 00:07:08.895]  Use the promo code SAFE for 20% off, and like us on Facebook.
[00:07:10.435 --> 00:07:12.516]  It's hurricane and wildfire season again.
[00:07:12.536 --> 00:07:20.137]  Why do thousands of people sit in these reoccurring problem areas year after year, betting their lives that the disaster won't get them?
[00:07:20.557 --> 00:07:25.218]  Hundreds of you helped eFoodsDirect ship 50,000 donated meals to the Oklahoma victims.
[00:07:25.499 --> 00:07:27.399]  The problem is we can't help everybody.
[00:07:27.659 --> 00:07:33.783]  If every one of us who can will take care of ourselves, we can all pitch in to take care of those who really can't.
[00:07:34.083 --> 00:07:41.889]  The new Just in Case Pack from eFoodsDirect is the big brother to the 7-Day Emergency Pack designed for Oklahoma disaster donations.
[00:07:42.289 --> 00:07:48.613]  It contains a 2-month supply for 1 person, or a 1-month supply for 2 adults, or a 2-week supply for a family of 4.
[00:07:48.673 --> 00:07:49.694]  The $320 price is $50 less than retail.
[00:07:54.318 --> 00:07:59.163]  Call 800-409-5633 on the web efoodsdirect.com slash Alex.
[00:07:59.463 --> 00:08:01.305]  Order two or more or get 10% off.
[00:08:01.445 --> 00:08:02.366]  Free shipping applies.
[00:08:02.686 --> 00:08:05.009]  Call 800-409-5633 on the web efoodsdirect.com slash Alex.
[00:08:20.074 --> 00:08:23.499]  Resistance to tyrants is obedience to God.
[00:08:24.160 --> 00:08:25.962]  It's Alex Jones.
[00:08:38.820 --> 00:08:45.164]  Well, two million bikers have already begun to arrive in Washington, D.C.
[00:08:45.965 --> 00:08:47.286]  They were denied a permit.
[00:08:47.326 --> 00:08:58.873]  They have been given the permit in the past to have their 9-11 rides, but the new kleptocratic, openly anti-liberty crew that is in full control of D.C.
[00:08:59.774 --> 00:09:02.936]  is denying the First Amendment.
[00:09:02.996 --> 00:09:04.537]  So what did the bikers do?
[00:09:05.882 --> 00:09:08.883]  They responded, and they've been trying to get the permit for several months.
[00:09:10.024 --> 00:09:13.665]  They responded, and they're just now starting to arrive on the city edge.
[00:09:14.326 --> 00:09:17.367]  They've responded, two million of them, it's estimated.
[00:09:17.947 --> 00:09:28.652]  They have responded by saying, we're now going to take our time, and we're now going to stop at every red light, and we're now going to shut the city down, because that's exactly what
[00:09:29.980 --> 00:09:32.001]  The non-permitting has done.
[00:09:32.021 --> 00:09:33.521]  And of course, D.C.
[00:09:33.561 --> 00:09:35.582]  responded by saying, well, then you're not allowed to.
[00:09:35.882 --> 00:09:36.362]  Well, you know what?
[00:09:36.422 --> 00:09:39.923]  They've paid their little taxes for their privilege to travel.
[00:09:39.983 --> 00:09:40.903]  It's not really a privilege.
[00:09:41.283 --> 00:09:41.804]  It's a right.
[00:09:42.204 --> 00:09:46.965]  And so they're just going to be there, two million of them as individuals, and all the D.C.
[00:09:47.025 --> 00:09:56.688]  workers and all the anti-gun people and all the folks that love tyranny so much in D.C., you're going to have the First Amendment exercised on you.
[00:09:57.388 --> 00:09:58.789]  And I have been to the third world.
[00:09:59.980 --> 00:10:06.362]  I've been to Central America, you name it, and I've never been treated like I've been treated every time I've been in D.C.
[00:10:06.382 --> 00:10:06.942]  by police.
[00:10:07.522 --> 00:10:10.443]  I've been there five times the last decade?
[00:10:11.283 --> 00:10:12.004]  No, no more than that.
[00:10:14.084 --> 00:10:14.704]  Seven times.
[00:10:15.505 --> 00:10:16.505]  I've been to D.C.
[00:10:17.125 --> 00:10:22.967]  seven times in the last decade, and I have never seen
[00:10:24.246 --> 00:10:27.028]  The police act more abusive and arrogant and evil.
[00:10:27.269 --> 00:10:32.253]  Now, you go right outside in Virginia, places like Chantilly, super nice, super professional.
[00:10:33.074 --> 00:10:34.035]  And a lot of them are listeners.
[00:10:34.455 --> 00:10:35.656]  D.C., it's hellish.
[00:10:37.097 --> 00:10:45.164]  And I know we have some federal marshals that listen, and there's some people, the Secret Service, that aren't bad, but I mean, the average cops they've got out there, oh, and the security guards are even worse.
[00:10:45.745 --> 00:10:50.749]  I don't want to digress off into it, but I've been there with film crews, you name it, there is no permit in D.C.
