[00:00:04.420 --> 00:00:05.420]  Well, welcome back.
[00:00:05.560 --> 00:00:12.822]  This past weekend, I had a confrontation with TSA agents both in Austin and in New York City.
[00:00:13.162 --> 00:00:14.502]  We're going to go to that videotape.
[00:00:14.542 --> 00:00:19.704]  It's about 12 minutes in length in a moment, but let me just kind of walk you through this very quickly.
[00:00:19.744 --> 00:00:25.225]  The first clip you're going to see is in Austin, and what you're going to notice, and I'll be speaking over this video as you see it,
[00:00:25.865 --> 00:00:26.125]  Hold on.
[00:00:56.863 --> 00:00:57.743]  Yeah, TSA.
[00:00:57.763 --> 00:01:01.265]  It's on their website you can take.
[00:01:07.128 --> 00:01:08.529]  Completely baffled.
[00:01:08.569 --> 00:01:09.109]  What is that?
[00:01:09.189 --> 00:01:10.930]  These are the rules on the website?
[00:01:11.190 --> 00:01:11.871]  He's literally looking.
[00:01:11.911 --> 00:01:13.131]  I handed him a sheet of paper.
[00:01:14.552 --> 00:01:15.813]  Here comes Mr. Sunshine.
[00:01:17.773 --> 00:01:18.654]  Watch my camera move.
[00:01:20.382 --> 00:01:20.943]  He pushed it.
[00:01:20.983 --> 00:01:22.704]  Hey, I'm with, I'm just a private citizen.
[00:01:22.884 --> 00:01:23.625]  Okay, that's fine.
[00:01:24.185 --> 00:01:25.807]  Okay, you're a public servant.
[00:01:26.267 --> 00:01:26.807]  Right, right.
[00:01:27.108 --> 00:01:28.269]  Funded by the taxpayers.
[00:01:28.729 --> 00:01:32.612]  Um, there's a, on the TSA government website... Oh, what's going on?
[00:01:32.732 --> 00:01:33.353]  I'm traveling.
[00:01:33.893 --> 00:01:36.075]  By the way, I'm... That's fine, you can travel.
[00:01:36.355 --> 00:01:36.836]  Yeah, I know.
[00:01:38.097 --> 00:01:39.858]  But you held my hand there for a second.
[00:01:39.878 --> 00:01:41.159]  Oh, I'm sorry.
[00:01:41.940 --> 00:01:43.561]  I'm not trying to cause trouble, it's just... That's fine.
[00:01:43.781 --> 00:01:45.203]  This is a government agency.
[00:01:45.343 --> 00:01:48.926]  I'm not trying to, you know... And on the website it says that the public's allowed to film.
[00:01:51.256 --> 00:01:53.080]  Because it's funded by taxpayer dollars.
[00:01:53.120 --> 00:01:56.488]  We need to, you know, keep an eye on the watchmen.
[00:01:57.090 --> 00:01:59.796]  Who's watching the watchmen, as the saying says.
[00:02:03.433 --> 00:02:04.114]  And I don't mind.
[00:02:04.194 --> 00:02:06.096]  So, let's just stop the video right there.
[00:02:06.436 --> 00:02:17.226]  This is me in New York City, the video that you're about to see, and I was coming back and I said, before I get my bags, let me film the TSA.
[00:02:17.386 --> 00:02:19.568]  We're on public property, they're public servants now.
[00:02:19.989 --> 00:02:21.150]  I had to go from the back.
[00:02:21.230 --> 00:02:26.094]  Normally, when you come through the airport, you gotta go the front of the TSA, through the metal detector.
[00:02:26.915 --> 00:02:29.916]  And, um, I came backwards since I was landing.
[00:02:30.316 --> 00:02:33.038]  I came from the back, so that really took them by surprise.
[00:02:33.438 --> 00:02:37.019]  Now, there was a sign that said, do not enter, but I did not see that.
[00:02:37.079 --> 00:02:39.380]  My head was down and I walked up the ramp.
[00:02:39.740 --> 00:02:43.162]  I spoke to the TSA agent and he said, yeah, you can, you can film.
[00:02:43.802 --> 00:02:44.982]  So, uh, I did that.
[00:02:45.623 --> 00:02:51.585]  Um, and, uh, you will see that all Hades breaks loose simply because I came at them from a different angle.
[00:02:51.965 --> 00:02:52.446]  So here we go.
[00:02:52.466 --> 00:02:53.266]  New York City, JFK.
[00:02:54.935 --> 00:02:56.356]  That's what I'm trying to explain to you.
[00:02:56.697 --> 00:03:01.261]  You can take pictures, as long as it's not on my x-rays and things like that.
[00:03:01.801 --> 00:03:04.343]  Because I saw you taking a picture of my x-ray, that's why.
[00:03:06.125 --> 00:03:09.348]  You're facing over there, so that's where my x-ray is.
[00:03:09.368 --> 00:03:12.250]  Ma'am, just out of curiosity, my name is David, I'm a reporter.
[00:03:12.811 --> 00:03:17.275]  This woman has a compelling story, she'll talk about it in a minute before we're interrupted.
[00:03:18.450 --> 00:03:18.690]  Okay.
[00:03:19.011 --> 00:03:27.344]  Anyway, I'm just asking, do you want to... I saw you arguing with one... I'm not trying to instigate anything, but what was your... I'm recording right now.
[00:03:27.364 --> 00:03:28.004]  This guy right here?
[00:03:28.365 --> 00:03:29.226]  What was I arguing with?
[00:03:29.246 --> 00:03:29.407]  Yeah.
[00:03:30.711 --> 00:03:31.452]  Well, don't point.
[00:03:31.472 --> 00:03:31.832]  Don't point.
[00:03:31.872 --> 00:03:35.135]  I don't want to put up... Hi.
[00:03:35.835 --> 00:03:40.579]  I'm just a little concerned on what you're filming, sir.
[00:03:40.719 --> 00:03:43.362]  Can you just display what you were filming, please?
[00:03:43.482 --> 00:03:44.363]  I'm just filming.
[00:03:44.563 --> 00:03:45.784]  I'm not shooting screens.
[00:03:46.264 --> 00:03:48.666]  Okay, I don't need you to take a picture of me, sir.
[00:03:49.046 --> 00:03:53.150]  Okay, I would like to see what you're filming, because if you're filming the process, you're not allowed to do that.
[00:03:53.230 --> 00:03:54.951]  Hold on, I've got the... I'm with a...
[00:03:57.802 --> 00:03:58.142]  I'm done.
[00:03:58.202 --> 00:03:58.823]  I just traveled.
[00:03:58.883 --> 00:03:59.543]  I came from Texas.
[00:03:59.563 --> 00:04:00.304]  Can I see your board?
[00:04:00.324 --> 00:04:02.645]  So what are you doing on the checkpoint?
[00:04:02.685 --> 00:04:08.088]  Because... Can you step over this way, please?
[00:04:08.108 --> 00:04:08.508]  Sure.
[00:04:08.528 --> 00:04:11.170]  Step over this way, sir, please.
[00:04:11.210 --> 00:04:12.691]  Please report.
[00:04:13.011 --> 00:04:14.072]  No, I know.
[00:04:14.092 --> 00:04:16.513]  Can you report for security for me, please?
[00:04:16.613 --> 00:04:17.514]  Yes.
[00:04:17.714 --> 00:04:24.258]  Yes, the calibrations were done.
[00:04:26.633 --> 00:04:28.554]  Sir, I don't need your recording.
[00:04:28.594 --> 00:04:29.634]  This is public property.
[00:04:29.654 --> 00:04:30.214]  This is not.
[00:04:30.374 --> 00:04:30.795]  Yes, it is.
[00:04:30.875 --> 00:04:31.075]  Okay?
[00:04:31.515 --> 00:04:32.375]  I don't need your recording.
[00:04:32.455 --> 00:04:35.736]  And just so you know, I have on the TSA's website, it says that we're allowed to record.
[00:04:35.756 --> 00:04:39.438]  How dare I do that?
[00:04:40.018 --> 00:04:43.259]  Can you step over that way, please?
[00:04:43.299 --> 00:04:46.160]  Just so you know, this is on the website, the TSA website.
[00:04:46.180 --> 00:04:48.161]  Can you step over that way, please?
[00:04:48.421 --> 00:04:50.381]  You're interfering with screening process.
[00:04:50.421 --> 00:04:51.702]  Can you step over that way, please?
[00:04:51.722 --> 00:04:53.082]  You have no need to be on the channel.
[00:04:53.122 --> 00:04:53.623]  Okay, yeah.
[00:05:02.714 --> 00:05:04.915]  I'm not trying to give you a hard time, but... Well, you are.
[00:05:05.195 --> 00:05:06.336]  Because there's no need to record.
[00:05:06.496 --> 00:05:07.497]  Well, here's why.
[00:05:07.557 --> 00:05:11.279]  Because TSA, they're public servants, paid for by taxpayer dollars.
[00:05:11.759 --> 00:05:16.642]  So as long as we're not getting in the way and interfering with what they're doing, we do have the right... So what is it?
[00:05:16.662 --> 00:05:18.623]  What is your purpose of recording the check right now?
[00:05:19.003 --> 00:05:21.144]  It's part... Well, I'm actually returning from a flight.
[00:05:21.164 --> 00:05:22.425]  I'm about to get my baggage.
[00:05:22.465 --> 00:05:23.885]  Can I have your ID?
[00:05:23.925 --> 00:05:24.086]  No.
[00:05:24.446 --> 00:05:24.606]  Why?
[00:05:25.806 --> 00:05:34.897]  Um, but I, I, I'm coming back from a flight, I'm coming back to New Jersey, and it's part of a national, um, it's called, uh, TSA Opt Out and Film Campaign.
[00:05:35.437 --> 00:05:36.639]  It's a national campaign.
