[00:00:05.738 --> 00:00:06.938]  They fled from tyranny.
[00:00:07.338 --> 00:00:09.499]  Your oppressions planted them in America.
[00:00:10.079 --> 00:00:20.241]  And yet, actuated by principles of true English liberty, they met all hardships with pleasure compared with those they suffered in their own country from the hands of those that should have been their friends.
[00:00:20.661 --> 00:00:26.163]  Men whose behavior on many occasions has caused the blood of those sons of liberty to recoil within them.
[00:00:26.603 --> 00:00:31.184]  I know not what costs others, but as for me, give me liberty, or give me death.
[00:00:31.905 --> 00:00:32.365]  Believe me.
[00:00:32.886 --> 00:00:34.949]  Remember, I this day told you so.
[00:00:35.210 --> 00:00:39.957]  That same spirit of freedom which actuated that people at first will accompany them still.
[00:00:40.337 --> 00:00:46.347]  But a people jealous of their liberties and who will vindicate them if ever they should be violated.
[00:00:46.947 --> 00:00:47.788]  Sons of Liberty!
[00:00:48.228 --> 00:00:49.269]  Sons of Liberty!
[00:00:49.749 --> 00:00:51.030]  Sons of Liberty!
[00:00:51.471 --> 00:00:51.811]  Liberty!
[00:00:51.831 --> 00:00:59.577]  Is life so dear, or peace so sweet, as to be purchased at the price of chains and slavery?
[00:01:00.057 --> 00:01:02.939]  Forbid it, Almighty!
[00:01:03.079 --> 00:01:06.522]  It appears as though nothing has happened in the Motorcade Group!
[00:01:06.562 --> 00:01:09.064]  Nothing, I repeat, has happened in the Motorcade Group!
[00:01:10.861 --> 00:01:13.570]  Who controls the past, controls the future.
[00:01:14.052 --> 00:01:16.500]  Who controls the present, controls the past.
[00:01:17.390 --> 00:01:22.893]  The death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[00:01:23.253 --> 00:01:25.314]  All you gotta do is start looking around.
[00:01:25.675 --> 00:01:27.255]  Start thinking for yourself.
[00:01:27.556 --> 00:01:29.197]  Start investigating things.
[00:01:29.537 --> 00:01:33.539]  And you will see it all right there.
[00:01:33.619 --> 00:01:35.040]  So you have the power.
[00:01:35.200 --> 00:01:36.941]  Humanity has the power.
[00:01:37.381 --> 00:01:38.462]  We have the power.
[00:01:38.542 --> 00:01:41.843]  If you wanna fight, you better believe you got one!
[00:01:43.164 --> 00:01:47.226]  Let us never tolerate outrageous conspiracy theories.
[00:01:47.266 --> 00:01:50.267]  The answer to 1984 is 1776.
[00:02:06.946 --> 00:02:08.867]  Welcome to the InfoWars Nightly News.
[00:02:09.027 --> 00:02:09.688]  I'm David Knight.
[00:02:09.848 --> 00:02:14.211]  It's Wednesday, March 13, 2013, and here are our top stories.
[00:02:16.192 --> 00:02:25.378]  Tonight, on the InfoWars Nightly News, a new poll shows that only 30% of Americans trust their own government.
