[00:00:32.666 --> 00:00:33.367]  I'm good.
[00:00:40.310 --> 00:00:42.191]  Welcome to the InfoWars Nightly News.
[00:00:42.271 --> 00:00:46.712]  I'm your host, Melissa Melton, for this Friday, February 15, 2013 edition.
[00:00:47.192 --> 00:01:01.437]  And our top story tonight is actually whether experts are pondering whether a meteorite shower, which caused a panic in Russia when it breached the atmosphere, it injured over 900 people, it devastated buildings, and it wiped out all cell phone networks and crashed there.
[00:01:02.097 --> 00:01:04.298]  And as soon as that happened, within minutes,
[00:01:05.038 --> 00:01:06.179]  I'm good to go.
[00:01:23.777 --> 00:01:29.321]  Now switching gears, the Pentagon is actually set to reward drone operators with medals now.
[00:01:29.781 --> 00:01:39.007]  Despite the fact that drones have killed thousands of innocent women and children all across the Middle East, they've decided they're going to go ahead and give them medals.
[00:01:39.448 --> 00:01:45.792]  And the AP reports this medal would become the fourth highest ranking combat decoration, placing it above the Bronze Star.
[00:01:47.433 --> 00:02:06.488]  Actually, I think what's even more troublesome about this article isn't just the fact that they're going to give drone operators medals now, but the fact that it's noted in here that Senator Rand Paul actually asked CI nominee Paul Brennan whether or not he believed the President has the power to authorize lethal force to use a drone to strike down a U.S.
[00:02:06.508 --> 00:02:07.829]  citizen on U.S.
[00:02:07.869 --> 00:02:10.351]  soil, and Brennan has yet to answer that question.
[00:02:10.851 --> 00:02:13.513]  So, that to me should concern us all.
[00:02:13.553 --> 00:02:15.894]  That is very disconcerting that he won't give us that answer.
[00:02:15.914 --> 00:02:20.016]  I think we all know what they believe the answer is, regardless of our Constitution.
[00:02:20.477 --> 00:02:27.040]  And after this Dorner case, we see all these calls for expanded domestic drone use, so that's definitely pretty disconcerting.
[00:02:27.741 --> 00:02:34.725]  And in other news, the Judicial Watch has broken that the USDA training videos now for cultural sensitivity training
[00:02:35.465 --> 00:02:39.227]  Are actually telling people to call pilgrims illegal aliens, the pilgrims.
[00:02:40.068 --> 00:02:45.231]  And apparently the program also requires employees to chant, the pilgrims were illegal aliens.
[00:02:45.951 --> 00:02:50.714]  And they cannot use the word minorities, they're instead supposed to call them emerging majorities.
[00:02:51.334 --> 00:03:03.284]  And this isn't even anything new, because as we've seen, the DHS has other training videos they also put out where they call the Founding Fathers terrorists, and returning veterans are terrorists now in their reports, so are constitutionalists.
[00:03:03.304 --> 00:03:05.926]  So that's what our money is going to fund, that kind of training.
[00:03:06.907 --> 00:03:13.610]  And in other DHS news actually, this week The Hill reported that Janet Napolitano has said that the U.S.
[00:03:13.670 --> 00:03:15.891]  borders have never ever been stronger.
[00:03:16.491 --> 00:03:23.894]  But in this special report we're about to see from Alex and crew, they traveled down to Big Bend and they were stopped at a checkpoint 70 miles north of the border.
[00:03:23.954 --> 00:03:25.294]  They were asked questions.
[00:03:25.354 --> 00:03:27.055]  People are checked like that all the time, U.S.
[00:03:27.075 --> 00:03:28.155]  citizens all the time.
[00:03:28.615 --> 00:03:33.017]  And yet they were able to film illegal immigrants just casually walking right across the border like it's no big deal.
[00:03:44.642 --> 00:03:55.405]  Some of my fondest memories were as a child traveling from Dallas, Texas down to the furthest point you can basically get to in southwest Texas.
[00:03:55.465 --> 00:03:59.366]  Something right out of a Louis L'Amour novel, Big Bend, Texas.
[00:03:59.486 --> 00:04:08.269]  It's a conflagration of different chains of mountain ranges that come together and right in the middle of it runs the Rio Grande River.
[00:04:09.628 --> 00:04:16.891]  Some of the towns that are 20-30 miles away from the entrance only have about 100 or so people living in their town.
[00:04:16.971 --> 00:04:24.055]  In fact, one town famously has elected and re-elected a beer-drinking goat as their mayor.
[00:04:24.435 --> 00:04:33.359]  And I wanted to go down to Big Bend to see how it had changed since I was a child and since I had last been there about 20 years ago in college.
[00:04:33.959 --> 00:04:37.001]  And boy, has it changed, just like other areas all over.
[00:04:37.721 --> 00:04:39.263]  Southwest into Texas.
[00:04:39.823 --> 00:04:44.588]  They've got Border Patrol checkpoints of up to a hundred miles inside the United States.
[00:04:45.048 --> 00:04:53.016]  And I've noticed the Border Patrol normally wants to just inspect citizens and leaves the illegals alone.
