[00:00:04.974 --> 00:00:05.055]  Okay.
[00:00:41.137 --> 00:00:43.017]  Welcome to the InfoWars Nightly News.
[00:00:43.237 --> 00:00:45.838]  It's Wednesday, January the 30th, 2013.
[00:00:46.438 --> 00:00:48.679]  I'm David Knight, and here are our top stories.
[00:00:49.259 --> 00:00:59.161]  Tonight, on the InfoWars Nightly News, a CIA nominee admits to having advanced knowledge of, quote, enhanced interrogation techniques.
[00:01:00.117 --> 00:01:05.565]  Then, a bare-chested TSA protester wins the trial over his airport arrest.
[00:01:06.586 --> 00:01:10.652]  And David Knight breaks down the military occupation of urban America.
[00:01:11.333 --> 00:01:14.859]  All that and more coming up on the InfoWars Nightly News.
[00:01:25.919 --> 00:01:32.097]  Well, many people turn to Fox News as an alternative to the obviously left-biased CNN, NPR, and the broadcast media.
[00:01:32.699 --> 00:01:35.501]  But is it really a fair and balanced alternative?
[00:01:35.802 --> 00:01:39.445]  Is it a counterweight to the Democrat cheerleaders that you find in the rest of the media?
[00:01:39.965 --> 00:01:41.366]  Is it an alternative news source?
[00:01:41.406 --> 00:01:43.188]  Well, that you can trust.
[00:01:43.268 --> 00:01:44.389]  It is balanced and fair.
[00:01:44.869 --> 00:01:49.613]  Joseph Farah of WND asked the question, is Fox News really different?
[00:01:50.113 --> 00:01:54.477]  Farah writes, there's no question other media are even more skewed to the left than News Corporation.
[00:01:54.497 --> 00:01:55.938]  That's the parent company of Fox News.
[00:01:56.570 --> 00:02:04.913]  But he says, I'm sure it'll be shocking to many Americans just how supportive of the political status quo and the Democratic Party agenda News Corp really truly is.
[00:02:05.433 --> 00:02:11.656]  He points out that Rupert Murdoch's organization has given, gave six times as much to Barack Obama as it did to Mitt Romney.
[00:02:12.156 --> 00:02:17.498]  And he says, don't be fooled by slogans designed to tickle your ears or by clever marketing gimmicks.
[00:02:17.898 --> 00:02:25.781]  One of America's biggest problems is control of the news and the flow of information by a state-influenced, if not state-controlled media.
[00:02:27.327 --> 00:02:30.729]  Well, conventional wisdom is being challenged in other ways as well.
[00:02:31.409 --> 00:02:39.953]  Just this last week, we had after 51 years, fluoridation was repealed in Windsor, Ontario.
[00:02:40.473 --> 00:02:43.335]  City Council there voted to stop fluoridating the water.
[00:02:44.235 --> 00:02:47.237]  Well, conventional wisdom is being challenged in other ways as well.
[00:02:47.637 --> 00:02:51.939]  After 51 years, fluoridation is being ended in Windsor, Ontario.
[00:02:52.901 --> 00:03:08.954]  There was a debate there between City Council members, some of them appealing to scientific sources, and of course there are different views in the scientific community about the benefits of fluoridation, about the risks as well as the effectiveness of fluoridation and helping people with their teeth.
[00:03:10.495 --> 00:03:13.598]  As the mayor pointed out, a lot has changed in the last 60 years.
[00:03:13.838 --> 00:03:17.181]  Fluoride is not the be-all and end-all to prevent tooth decay.
[00:03:17.761 --> 00:03:18.962]  The motion passed by 8 to 3
[00:03:20.686 --> 00:03:33.276]  And it's important to note, as the article does, that the fluoride compound being added to Windsor's water supply, hydrofluorosilicic acid, would be illegal to dump in the environment and represents the only chemical we're adding to our water for mass medication.
[00:03:33.965 --> 00:03:44.356]  That's an important point to make and that is that when we treat water with chlorine, that is to kill bacteria, whereas fluoride is medication.
[00:03:44.816 --> 00:03:50.943]  And as he points out, one of the other people in the debate pointed out in that city, it's just purely paternalistic.
[00:03:51.503 --> 00:04:05.328]  That you would force people to take a particular medication, as well as require the city to spend tremendous amounts of money to get rid of the toxic wastes of particular companies that are favored by the regulators.
[00:04:06.409 --> 00:04:18.133]  Now, meet the new boss, same as the old boss, Obama's new appointment that he wants to get through for CIA to replace General Petraeus, or Director of CIA Petraeus, John Brennan.
[00:04:18.757 --> 00:04:34.767]  We find out that he's not only been a cheerleader in the past for drone strikes, he was what CNN called Obama's drone warrior, but now we find that he's been in the forefront of enhanced interrogation techniques and defending the use of those by the CIA.
[00:04:36.408 --> 00:04:46.234]  He was a regular recipient of CIA message traffic about controversial aspects of the agency's counterterrorism program after September 2001, including the use of waterboarding.
[00:04:47.119 --> 00:04:52.721]  He has detailed and contemporaneous knowledge of the use of enhanced interrogation techniques.
[00:04:53.361 --> 00:04:57.302]  So basically, it looks like we can't count on too much to change at the CIA.
[00:04:57.883 --> 00:05:03.405]  Well, remember that former director Petraeus bragged about the fact that our home appliances would be eavesdropping on us.
[00:05:03.965 --> 00:05:08.546]  Well, it should come as no surprise that electronic information devices are riddled with back doors.
[00:05:09.367 --> 00:05:16.409]  The feds are critical, say the critical security flaws found in millions of home and office devices will allow
[00:05:17.190 --> 00:05:31.573]  These networking protocol that's called Universal Plug and Play to be used by tens of millions of routers, computer printers, storage devices, smart TVs and other devices that would let outside attackers invade your home or your business network and cause havoc.
[00:05:32.173 --> 00:05:41.695]  Dozens of device manufacturers including Cisco, Linksys, Netgear, Sony, Siemens and Belkin have notified but no one has rolled out any patches yet.
[00:05:42.795 --> 00:05:46.156]  It may be by design that they haven't fixed these back doors.
[00:05:47.188 --> 00:05:54.510]  Now, in a hopeful sign, we have someone who stood up for his rights and it looks like that's going to move to the next step of appeal.
[00:05:55.170 --> 00:06:01.112]  A TSA protester with the Fourth Amendment written on his chest wins a trial over an airport arrest.
[00:06:01.632 --> 00:06:13.856]  If you remember, this is the young man who in Richmond, Virginia wrote the Fourth Amendment on his chest and took off his shirt as a protest at the TSA checkpoint.
[00:06:14.426 --> 00:06:27.064]  He, uh, this is in December of 2010, he opted out of the radiation-firing nude body scanner and instead chose the enhanced pat-down where he stripped down to his shorts and staged a silent protest using his body.
[00:06:28.480 --> 00:06:37.087]  In the exercise of his rights to free speech, the lawsuit claims, and to petition the United States government for the redress of grievances, he was arrested without probable cause.
[00:06:37.107 --> 00:06:40.310]  They arrested him for taking off his shirt and having that written there.
[00:06:40.611 --> 00:06:45.115]  They also questioned him to see if he had any affiliation or knowledge of terrorist groups.
[00:06:45.775 --> 00:07:00.468]  Now, this was a peaceful, lawful protest about the violations of the Fourth Amendment, of the Constitution, and I find it kind of ironic that the agent who singled that out was called Agent Smith, straight out of The Matrix.
[00:07:01.408 --> 00:07:04.131]  And they accused him of bizarre behavior.
[00:07:04.551 --> 00:07:08.935]  Apparently, a peaceful protest, exercising your constitutional rights,
[00:07:09.515 --> 00:07:11.556]  If you are receiving this transmission, you are the resistance.
[00:07:36.365 --> 00:07:43.393]  Fellow freedom lovers, Alex Jones here with the biggest contest announcement we've ever made.
[00:07:43.954 --> 00:07:46.577]  This is so incredibly exciting.
[00:07:46.717 --> 00:07:50.381]  We are launching Operation Paul Revere.
[00:07:51.331 --> 00:07:52.392]  What did Paul Revere do?
[00:07:52.913 --> 00:08:00.740]  He rode through the countryside in New England saying, to arms, to arms, the Redcoats are coming.
[00:08:01.120 --> 00:08:02.642]  Oneth by land, twoth by sea.
[00:08:03.242 --> 00:08:07.546]  And all that evil men and tyrancy deflourish is that good men and women do nothing.
[00:08:07.726 --> 00:08:09.368]  Let me officially announce
[00:08:09.748 --> 00:08:12.691]  Operation Paul Revere.
[00:08:13.072 --> 00:08:20.319]  A $100,000 cash first place winner to be judged by yours truly, Alex Jones.
[00:08:20.760 --> 00:08:23.823]  The film can be three minutes, it can be up to two hours.
[00:08:23.923 --> 00:08:27.547]  It can be fiction, non-fiction, documentary, drama.
[00:08:28.027 --> 00:08:32.791]  It's got to promote liberty and freedom and expose tyranny and oppression.
[00:08:33.111 --> 00:08:34.593]  And it's not just people in the U.S.
