[00:00:00.009 --> 00:00:01.755]  Just direct from Austin.
[00:00:02.477 --> 00:00:05.687]  You're listening to the Alex Jones Broadcasting Network.
[00:00:13.185 --> 00:00:19.207]  The Alex Jones Show.
[00:00:19.567 --> 00:00:26.930]  Because there is a war on for your mind.
[00:00:27.350 --> 00:00:32.172]  There is a war on for your mind.
[00:00:32.412 --> 00:00:37.694]  On this Christmas Eve worldwide broadcast.
[00:00:38.574 --> 00:00:46.564]  And that's why they want to bring down the basic icons of Christmas, which is even bigger than, quote, Christianity.
[00:00:46.764 --> 00:00:54.333]  And by that I mean not more important, or not truly overshadowing Christ, but politically and socially, it is.
[00:00:55.274 --> 00:01:13.647]  When John Lennon said we're bigger than Jesus, it was an arrogant statement he later apologized for as he tried to lose his ego and come back down to earth and speak out against those that wanted to reduce world population as fascist because he'd been led into the higher levels of the New World Order and rejected it.
[00:01:14.560 --> 00:01:20.504]  But my point is, is that in the secular world, Christmas is bigger than just Christianity.
[00:01:21.224 --> 00:01:33.332]  But because it has its roots in Christianity and the birth of baby Jesus 2,000 plus years ago, in Israel today, the system wants to censor it and shut it down.
[00:01:33.712 --> 00:01:38.175]  Because if they can do that, they can get away with anything.
[00:01:39.286 --> 00:01:49.214]  If they can feed us superbug bacteria-infected chicken and have the federal government certify it, that's the Reuters headline, then they can get away with anything.
[00:01:49.254 --> 00:01:55.298]  If they can give us flu via the flu shots and put sodium fluoride to brain damages in the water, the sky's the limit.
[00:01:55.559 --> 00:02:03.485]  Why, they can pass Obamacare, written to double and triple and quadruple your rates, written to cut the quality of care, written to set up death panels, all on record!
[00:02:04.145 --> 00:02:19.974]  And they denied it, knowing their idiot constituents, like lambs to the slaughter, would not go research the information, knowing that they would instead simply go along with it until it was too late.
[00:02:20.434 --> 00:02:31.961]  And then even after they found that it was a screw job, they would just submit to it and the system, the war machine, the deindustrialization machine, the consolidation machine, would simply roll forward.
[00:02:33.151 --> 00:02:44.415]  Well, the good news is humanity is awakening and you're listening to an original worldwide transmission on the 24th day of December 2013.
[00:02:45.476 --> 00:02:53.699]  And I'll be popping in throughout the transmission with original recording that I made on what?
[00:02:54.019 --> 00:02:55.880]  Friday the 20th day of December 2013.
[00:02:56.360 --> 00:03:01.302]  So even though this fresh original recording for you
[00:03:02.262 --> 00:03:06.863]  The great people that would tune in on Christmas Eve, uh, is not live.
[00:03:07.563 --> 00:03:08.323]  What is live?
[00:03:09.724 --> 00:03:14.465]  Most of my broadcasts are live, but soon it'll be 2014, then 2015, then 2027, and then 2058, and then 2198, and then 2274, and then 20...
[00:03:25.444 --> 00:03:27.986]  23, and then on and on until it's the year 3000, 5000, 10,000.
