[00:00:00.670 --> 00:00:01.210]  Network.
[00:00:06.795 --> 00:00:07.475]  Big Brother.
[00:00:08.116 --> 00:00:09.157]  Mainstream media.
[00:00:09.897 --> 00:00:11.158]  Government cover-ups.
[00:00:11.659 --> 00:00:12.500]  You want answers?
[00:00:13.260 --> 00:00:14.221]  Well, so does he.
[00:00:14.801 --> 00:00:18.384]  He's Alex Jones on the GCN Radio Network.
[00:00:18.985 --> 00:00:23.108]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.952 --> 00:00:40.773]  Ladies and gentlemen, thank you so much for joining us.
[00:00:41.013 --> 00:00:44.275]  This is going to be a particularly powerful broadcast today.
[00:00:44.335 --> 00:00:53.079]  Dr. Jerome Corsi of WorldNetDaily and of course of all the New York Times number one bestsellers is scheduled to be in studio with us coming up later in the hour.
[00:00:55.726 --> 00:00:59.329]  And obviously I'm going to be covering a lot of important news in the meantime.
[00:01:00.009 --> 00:01:08.415]  The news is all so completely out of control and over the top that I don't even know how to respond at this point.
[00:01:09.076 --> 00:01:15.380]  If you go up to Infowars.com, airport terror announcements now being played in hotels.
[00:01:15.981 --> 00:01:21.985]  I mean, this is beyond 1984, where Big Brother is only in government buildings saying, watch your neighbors, look out for terrorists.
[00:01:22.005 --> 00:01:23.046]  This is now in the hotels.
[00:01:24.187 --> 00:01:28.772]  And they spy on the patrons and fill out data sheets on you even while you're eating.
[00:01:29.152 --> 00:01:33.397]  This is 5,000 plus major US hotels signed on to do this.
[00:01:33.497 --> 00:01:34.057]  All official.
[00:01:34.498 --> 00:01:39.904]  TSA is now conducting random warrantless checkpoints on South Lamar.
[00:01:39.964 --> 00:01:41.806]  That's about a mile and a half from where I'm sitting.
[00:01:42.707 --> 00:01:45.249]  And are searching people's persons and bags.
[00:01:46.470 --> 00:01:48.452]  Uh, and they announced they're just gonna do whatever they want.
[00:01:48.472 --> 00:01:52.255]  I was told this about three months ago by a senior Austin police officer.
[00:01:52.796 --> 00:01:54.097]  He said they've been told that
[00:01:55.583 --> 00:02:06.352]  They can't search someone without a warrant, but the federal government is basically putting us under a civil emergency quietly, and that they're being told that you can do it when the TSA is there with you.
[00:02:06.913 --> 00:02:14.139]  And Austin police bullied people into being groped, and it's on local ABC News.
[00:02:14.179 --> 00:02:15.139]  We have the clip up there.
[00:02:16.420 --> 00:02:18.582]  This is going on yesterday while I'm on the radio.
[00:02:19.743 --> 00:02:22.546]  And reportedly, they're going to be back.
[00:02:23.816 --> 00:02:27.298]  So it's going to be a semi-permanent deal just like Dallas and Houston.
[00:02:28.019 --> 00:02:33.202]  And I tell people five years ago TSA was showing up in Dallas and people said that's not true, I haven't seen it on the news.
[00:02:33.442 --> 00:02:34.903]  But I talked to family that saw it.
[00:02:35.263 --> 00:02:37.304]  And about two years ago they started having it in the news.
[00:02:37.965 --> 00:02:40.887]  Oh there's no way you're going to have feds searching people on the side of the road.
[00:02:41.227 --> 00:02:42.307]  Well it's going on right now.
[00:02:43.588 --> 00:02:47.891]  And I mean they had the army out at public events searching us in Austin and they never announced it.
[00:02:47.931 --> 00:02:49.552]  It's there to acclimate and condition.
[00:02:50.640 --> 00:02:51.780]  Well, the border is wide open.
[00:02:51.800 --> 00:02:53.461]  In fact, I have video we haven't even aired yet.
[00:02:53.501 --> 00:03:08.644]  We've been so overwhelmed and busy of illegal aliens just crossing in droves on the Texas-Mexico border, while the Border Patrol backs up park rangers harassing a UT alumni group of lawyers sitting around drinking a few Courage Lights.
[00:03:09.544 --> 00:03:11.324]  And they were writing them tickets, everything else.
[00:03:11.624 --> 00:03:13.945]  And I'm like, hey, there's illegal aliens right there.
[00:03:15.126 --> 00:03:17.327]  And just laughing at me.
[00:03:18.328 --> 00:03:22.571]  And then driving 70 miles, you know, from up by the border into the U.S.
[00:03:22.611 --> 00:03:25.172]  and coming to a checkpoint where they wanted to search the vehicle.
[00:03:25.212 --> 00:03:29.695]  But I basically, you know, got in their face and told them, no, well, we've got all the footage of this.
[00:03:29.875 --> 00:03:30.715]  I mean, it's us.
[00:03:30.855 --> 00:03:31.856]  We comply.
[00:03:32.196 --> 00:03:33.257]  So we are slaves.
[00:03:34.117 --> 00:03:40.901]  And then I have off the chart video in Illinois where the neighbor and
[00:03:43.342 --> 00:04:00.855]  The homeowner, the police come and go over their fence without a warrant with the power company to put smart meters on that on record eavesdrop on you and dial into all your new smart appliances on record and control how hot or cold your house can be and double charge you and all the rest of this garbage.
[00:04:00.895 --> 00:04:06.759]  It was developed by Enron 15 years ago as part of their fraud program and the police
[00:04:08.527 --> 00:04:11.591]  They're standing on the street and the police say, I don't give you authorization to film me.
[00:04:12.192 --> 00:04:19.923]  The woman put it on YouTube and the police came, this is in the Chicago Tribune, and arrested her and are charging her with resisting.
[00:04:19.943 --> 00:04:23.588]  They say in the affidavit, talking to them was resisting.
[00:04:25.438 --> 00:04:27.340]  And the woman's like, you don't have a right to be in my backyard.
[00:04:27.420 --> 00:04:28.581]  I don't want this smart meter.
[00:04:28.642 --> 00:04:29.723]  I've told them I don't want it.
[00:04:30.544 --> 00:04:32.626]  And the police say, we'll do whatever we want.
[00:04:33.327 --> 00:04:34.508]  And they look like total goons.
[00:04:35.289 --> 00:04:36.650]  And then they came and arrested her.
[00:04:36.670 --> 00:04:38.632]  And they said, you're lucky we're not charging you with a felony.
[00:04:39.033 --> 00:04:41.776]  Actually, the courts have thrown it out over 100 times in Illinois.
[00:04:42.036 --> 00:04:45.660]  They're doing it as the misdemeanor so they can trick her in the regular court.
[00:04:46.701 --> 00:04:48.102]  To not getting her jury trial.
[00:04:48.763 --> 00:04:53.246]  I mean, this government is absolutely rapacious and criminal.
[00:04:53.286 --> 00:04:54.427]  We're all in grave danger.
[00:04:54.707 --> 00:04:59.071]  The founders warned us, keep government on a short leash or it'll put you on a leash.
[00:05:02.128 --> 00:05:07.392]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:05:07.633 --> 00:05:09.834]  Start purifying your water with ProPure.
[00:05:10.055 --> 00:05:18.982]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:05:19.162 --> 00:05:22.345]  Its filters are silver impregnated to prevent bacterial growth.
[00:05:22.605 --> 00:05:24.026]  There's no priming required.
[00:05:24.286 --> 00:05:26.328]  It's NSF-42 certified.
[00:05:26.548 --> 00:05:29.050]  Optional fluoride filters can reduce fluoride up to 95%.
[00:05:30.111 --> 00:05:31.452]  Easy to set up and use.
[00:05:31.632 --> 00:05:32.933]  Doesn't require electricity.
[00:05:33.073 --> 00:05:35.915]  Purify water from lakes, streams, ponds, and wells.
[00:05:36.215 --> 00:05:39.398]  This filter system leaves in beneficial minerals, which is key.
[00:05:39.618 --> 00:05:41.399]  Save money by not buying bottled water.
[00:05:41.519 --> 00:05:43.601]  And avoid BPA that leaches from the plastic.
[00:05:43.741 --> 00:05:46.362]  ProPure is the best gravity-fed filter out there.
[00:05:46.483 --> 00:05:47.803]  It's what my family uses.
[00:05:48.064 --> 00:05:51.286]  Infowars.com already has the lowest price on ProPure.
[00:05:51.386 --> 00:05:56.630]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:05:57.210 --> 00:06:01.411]  You can also call to order 888-253-3139.
[00:06:04.232 --> 00:06:11.914]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:06:12.354 --> 00:06:15.975]  Alex and his staff have used these pure soap products for years.
[00:06:16.415 --> 00:06:23.237]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:06:23.717 --> 00:06:26.538]  See them on the web at 5starsoap.com.
[00:06:26.758 --> 00:06:31.260]  Or call 800-340-7091 for a free catalog.
[00:06:31.580 --> 00:06:37.243]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:06:37.523 --> 00:06:42.625]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:06:42.925 --> 00:06:44.546]  This is an amazing deal.
[00:06:44.906 --> 00:06:49.529]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:06:50.149 --> 00:06:52.310]  See them on the web at 5starsoap.com.
[00:06:52.870 --> 00:06:54.658]  Or call 800-340-7091 for a free catalog.
[00:07:06.098 --> 00:07:07.019]  Tyranny is here.
[00:07:07.359 --> 00:07:10.941]  The grim future foretold in 1984 has become reality.
[00:07:11.221 --> 00:07:13.503]  It really says that the state is God.
[00:07:13.523 --> 00:07:18.966]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:07:19.386 --> 00:07:25.670]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:07:26.050 --> 00:07:31.613]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:07:32.034 --> 00:07:35.696]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[00:07:36.196 --> 00:07:40.179]  Prepare to enter the secretive world of emergency dictatorship.
[00:07:40.480 --> 00:07:46.424]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:07:46.444 --> 00:07:49.406]  It's only the beginning of the New World Order's hellish plan.
[00:07:49.987 --> 00:07:51.408]  The police state isn't coming.
[00:07:51.968 --> 00:07:52.469]  It's here.
[00:07:53.089 --> 00:07:59.894]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:08:04.158 --> 00:08:09.720]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:08:10.161 --> 00:08:12.842]  You're listening to the Alex Jones Show!
[00:08:14.642 --> 00:08:18.324]  It is Friday, the 25th day of January 2013.
[00:08:19.184 --> 00:08:24.727]  I am your host, Alex Jones, and we're going to be here live for the next three hours.
[00:08:24.867 --> 00:08:26.147]  Dr. Jerome Corsi is here.
[00:08:26.547 --> 00:08:32.450]  He'll be in studio with us coming up in about 25 minutes, and we have other guests today coming up as well.
[00:08:33.760 --> 00:08:34.981]  Okay, where to start?
[00:08:35.341 --> 00:08:53.435]  Number one, Dianne Feinstein's gun confiscation bill, because that's basically what it does, and it bans hundreds and hundreds of guns, not 150, exempts police and retired police and other government workers for life from these laws.
[00:08:53.955 --> 00:08:55.957]  This is a title of nobility.
[00:08:57.338 --> 00:08:58.518]  That's what nobility was.
[00:08:58.599 --> 00:09:07.322]  You could be signed up as a sir, was the lowest level, and then ride up to lords and dukes and barons.
[00:09:08.623 --> 00:09:11.884]  If you would serve the system, well, you're exempt from all the laws.
[00:09:12.704 --> 00:09:19.247]  And that's what one of the Rockefellers told the late, great filmmaker Aaron Russo in Hollywood.
[00:09:19.267 --> 00:09:26.710]  He told him, look, we're all going to have a microchip that says, kiss my butt, using the more pejorative term, kiss my, you know what?
[00:09:27.383 --> 00:09:34.875]  Where we're just above the law, national security, we go around the checkpoints, around the body scanners, around the control, we're exempt, you're not.
[00:09:35.456 --> 00:09:36.998]  You'll all be face scanned and controlled.
[00:09:37.359 --> 00:09:41.025]  Well, RAND Corporation, MIT, they've all said that is the plan.
[00:09:43.977 --> 00:09:47.719]  And we are going under martial law, incrementally.
[00:09:47.899 --> 00:09:58.804]  Checkpoints all over the highways, police taking blood without warrants, now gang gun checkpoints all over the country where they randomly, from New York to Texas, pull you over and search your car.
[00:09:59.344 --> 00:10:01.725]  Totally illegal, but it's being announced.
[00:10:02.793 --> 00:10:05.697]  We got the video coming up of this in the audio for radio listeners.
[00:10:05.717 --> 00:10:09.021]  The article's up at InfoWars.com right now.
[00:10:09.361 --> 00:10:12.965]  TSA conducts random checks at Austin train station.
