[00:00:04.649 --> 00:00:04.872]  Okay.
[00:00:40.569 --> 00:00:41.990]  Greetings, InfoWarriors!
[00:00:42.390 --> 00:00:44.051]  Today's date is January 8, 2013.
[00:00:44.932 --> 00:00:48.174]  I'm your host, Rob Due, and this is the InfoWars Nightly News.
[00:00:48.594 --> 00:00:53.858]  Join us tonight as we celebrate a great victory as Alex Jones hijacked the Piers Morgan Show.
[00:00:57.369 --> 00:01:09.394]  Tonight on the Info Wars Nightly News, Pierce Morgan reveals that silently nodding his head while Alex Jones runs him over with UK crime statistics is all part of CNN's master strategy.
[00:01:09.894 --> 00:01:13.196]  Alan Dershowitz says he fears a gun owner with no criminal record.
[00:01:13.656 --> 00:01:15.557]  I don't want that man to have a gun.
[00:01:15.977 --> 00:01:19.739]  I wouldn't feel comfortable having an argument with him in his home.
[00:01:19.919 --> 00:01:25.341]  And Rob Dew breaks down how Pierce used deportation to dodge an insightful gun interview.
[00:01:25.762 --> 00:01:28.223]  All that, in James Holm's Prescription Drugs.
[00:01:28.463 --> 00:01:30.824]  Coming up on the Info Wars Nightly News.
[00:01:40.568 --> 00:01:42.269]  So, last night was
[00:01:43.007 --> 00:01:44.108]  Utterly amazing.
[00:01:44.928 --> 00:01:47.409]  I was in New York for less than 24 hours.
[00:01:48.150 --> 00:01:49.050]  Flew in with Alex.
[00:01:49.610 --> 00:01:51.351]  First we had the conversation with the TSA.
[00:01:52.332 --> 00:01:54.393]  Sent those pictures to Watson.
[00:01:54.413 --> 00:01:56.134]  We're going to video that tomorrow.
[00:01:56.783 --> 00:01:59.946]  Of course, flying the plane, we land, all of a sudden, we're on drudge.
[00:01:59.966 --> 00:02:08.713]  I mean, that's the amazing power of the new media and the news, and that is why the dinosaur media are quaking in their boots together.
[00:02:09.473 --> 00:02:18.861]  And, boy, they really got a taste of their own evil medicine last night as Alex Jones laid it all out, laid the whole plan out for everybody who wanted to listen.
[00:02:19.925 --> 00:02:24.048]  Who actually cares about this country to hear, and it's the biggest news story in America.
[00:02:24.168 --> 00:02:31.152]  I mean, I don't even know who won the BCS Championship Bowl, not that I really cared, but let's get on with the show.
[00:02:31.953 --> 00:02:39.898]  First article here, and you can find this on InfoWars, Alex Jones battles Piers Morgan over gun rights, and there it is, Twit versus Wit.
[00:02:40.759 --> 00:02:46.883]  And we're going to go to this first clip here, and I mean, just being in the green room watching it,
[00:02:47.890 --> 00:03:02.019]  I taped the whole thing there, and the energy was amazing, and I could hear people scurrying back and forth between segments, whispering, talking, and well, let's just go to the clip right now, and then we'll come back and analyze it.
[00:03:02.039 --> 00:03:13.387]  Hitler took the guns, Stalin took the guns, Mao took the guns, Fidel Castro took the guns, Hugo Chavez took the guns, and I'm here to tell you, 1776 will commence again if you try to take our firearms
[00:03:13.567 --> 00:03:17.831]  Doesn't matter how many lemmings you get out there on the street begging for them to have their guns taken.
[00:03:18.052 --> 00:03:19.353]  We will not relinquish them.
[00:03:19.573 --> 00:03:20.534]  Do you understand?
[00:03:20.834 --> 00:03:28.042]  That's why you're going to fail and the establishment knows, no matter how much propaganda, the republic will rise again when you attempt to take our guns.
[00:03:29.488 --> 00:03:32.051]  And that was just the beginning of the interview.
[00:03:32.211 --> 00:03:33.572]  It gets way better.
[00:03:33.712 --> 00:03:35.014]  Go out and find it on YouTube.
[00:03:35.034 --> 00:03:41.401]  I think we have the whole thing posted at Infowars.com titled, Alex Jones Battles Piers Morgan Over Gun Rights.
[00:03:41.621 --> 00:03:43.303]  It was epic.
