[00:00:01.058 --> 00:00:02.919]  Well, ladies and gentlemen,
[00:00:25.558 --> 00:00:35.960]  Abdul Rahman Al-Harabi has visited the White House a whole bunch of times, sometimes for many, many, many, many hours.
[00:00:37.541 --> 00:00:51.804]  You know, he's the Saudi Arabian that it turned out was on the watch list and is connected to the royal family, who was visited by the First Lady, and who is obviously being protected and that they're moving to deport.
[00:00:52.776 --> 00:01:07.924]  But last week, in fact guys, I forgot to tell you before the show, you queue up Drudge Report, where Big Sis says Drudge Report not credible, and they're asked about this last, what was this, last Thursday, and she says the Drudge Report is not credible.
[00:01:08.044 --> 00:01:09.185]  No, that is not going on.
[00:01:10.165 --> 00:01:14.888]  And then of course Senator Cruz goes, did you read the whole 300 plus page bill that came out a few hours ago?
[00:01:14.908 --> 00:01:17.089]  Mm-hmm, I did read it, mm-hmm, yes, mm-hmm.
[00:01:18.066 --> 00:01:19.569]  He's like, oh you did, we've been very busy.
[00:01:20.692 --> 00:01:23.137]  It's just a total liar!
[00:01:24.497 --> 00:01:41.727]  And they're acting so suspicious, and I gotta be honest with you, if they're arrogant enough to have a Saudi who's got a bunch of his family on the Saudi terror watch list, there's only 85 people on that list and six of them are his family, and then the First Lady visits him on all this, I'm like, is it really?
[00:01:42.287 --> 00:01:42.567]  Really?
[00:01:42.627 --> 00:01:43.428]  It's that obvious?
[00:01:44.388 --> 00:01:46.109]  You know, because Glenn Beck's been all over this.
[00:01:46.169 --> 00:01:50.872]  We were on it day one, but just said, okay, he's a person of interest, we don't know, he should be looked at.
[00:01:52.284 --> 00:01:53.225]  He should be looked at.
[00:01:53.845 --> 00:01:59.730]  And they fished another Saudi out of the Boston River there, so this is very suspicious what's going on.
[00:02:00.210 --> 00:02:02.412]  But still, I gotta hand it to Glenn Beck.
[00:02:02.452 --> 00:02:03.153]  I mean, he's gotta do it.
[00:02:03.873 --> 00:02:13.401]  Of course, Drudge Report last Thursday, or was it last Wednesday, linked to our report about the Saudi that was first, and then Beck did a piggyback on it and did get more intel than we had.
[00:02:15.483 --> 00:02:17.965]  In fact, he was the first to say he's visiting the White House and stuff.
[00:02:18.025 --> 00:02:18.766]  I was like, really?
[00:02:19.560 --> 00:02:20.601]  And now it's confirmed.
[00:02:20.621 --> 00:02:21.763]  We're going over that today.
[00:02:21.783 --> 00:02:24.886]  I mean, this is beyond a spy thriller.
[00:02:26.268 --> 00:02:26.988]  And it gets worse.
[00:02:29.011 --> 00:02:30.472]  Janet Reno look-alike.
[00:02:30.753 --> 00:02:31.233]  Excuse me.
[00:02:31.674 --> 00:02:32.695]  Big Sis look-alike.
[00:02:32.895 --> 00:02:33.796]  I'm sorry, I shouldn't.
