[00:00:10.350 --> 00:00:11.792]  We are on the march.
[00:00:12.113 --> 00:00:14.577]  The Empire is on the run.
[00:00:15.338 --> 00:00:19.044]  Alex Jones and the GCN Radio Network.
[00:00:24.440 --> 00:00:39.151]  Well, we've got a full plate, ladies and gentlemen, lined up for you of absolutely vital information on this third day of November, 2013, on this two-hour Sunday, abbreviated, transmission.
[00:00:39.731 --> 00:00:41.833]  Three hours, weekdays, 11 a.m.
[00:00:41.893 --> 00:00:42.413]  to 2 p.m.
[00:00:42.973 --> 00:00:47.317]  Central, and then, of course, the two-hour transmission every Sunday, 4 to 6 p.m.
[00:00:47.377 --> 00:00:47.737]  Central.
[00:00:49.138 --> 00:00:50.899]  Wow, there is so much to get into.
[00:00:51.059 --> 00:00:53.121]  Huge developments on the Obamacare front.
[00:00:54.107 --> 00:01:05.770]  With the Obamacare architect admitting the plan is to get rid of the individual having an insurance market and everyone being forced into a collectivist market.
[00:01:05.790 --> 00:01:08.111]  We're going to be getting into that admission.
[00:01:08.151 --> 00:01:16.233]  Of course, they always admitted that, but just thought their constituents were morons and would say that we were liars when we pointed out what they were actually planning.
[00:01:18.320 --> 00:01:28.229]  We're also going to get into a book written with aides of Obama where he would brag about what a great killer he was and how manly it was to order drones to kill people.
[00:01:28.990 --> 00:01:31.452]  Obama reportedly said, I'm really good at killing people.
[00:01:32.783 --> 00:01:37.085]  Yes, and then giving the drone pilots above Purple Hearts.
[00:01:37.905 --> 00:01:44.348]  When Audie Murphy got Purple Hearts for being wounded and shot by German soldiers, that was nothing compared to a drone pilot.
[00:01:45.208 --> 00:01:48.149]  Or someone giving orders to the drone pilot.
[00:01:48.630 --> 00:01:51.371]  They're even greater, greater heroes.
[00:01:51.431 --> 00:01:53.472]  Perhaps we should give him a thousand.
[00:01:53.492 --> 00:01:55.132]  We're having inflation in the dollar.
[00:01:55.152 --> 00:01:56.813]  How about a thousand Nobel Prizes?
[00:01:57.573 --> 00:01:59.154]  A thousand Nobel Prizes a minute.
[00:02:00.580 --> 00:02:02.683]  Or a thousand Nobel Prizes a second.
[00:02:02.703 --> 00:02:06.109]  We could give him 57 trillion Nobel Prizes.
[00:02:06.970 --> 00:02:12.359]  And that would make all the funding Al-Qaeda and funding torture and secret arrest and warrantless wiretapping and...
[00:02:13.510 --> 00:02:18.716]  Bid rigging and no-bid contracts and hiring more lobbyists than anyone before him and bankrupting the country.
[00:02:18.896 --> 00:02:19.837]  That makes it all okay.
[00:02:19.857 --> 00:02:24.302]  So we're going to get into Obamacare, the latest on NSA.
[00:02:25.042 --> 00:02:28.546]  We're going to get into Panetta, former SecDef says U.S.
[00:02:28.586 --> 00:02:31.249]  may have to use military force against Iran.
[00:02:33.383 --> 00:02:40.926]  And we're also going to get into Obama using executive orders to bypass Congress on carbon taxes and more.
[00:02:40.946 --> 00:02:46.369]  And then, of course, the big news, I have to cover it to protect ourselves, really, but also to illustrate media control.
[00:02:47.967 --> 00:02:56.251]  The LAX shooting that left one dead and six wounded, unfortunately, if you even believe the official story.
[00:02:57.232 --> 00:02:58.492]  But it looks like it actually happened.
[00:02:58.552 --> 00:03:00.754]  Sometimes they stage stuff entirely, like Gulf of Tonkin.
[00:03:01.354 --> 00:03:05.676]  They have government documents, like Operation Northwood, talking about how to stage mass shootings and blame it on their political enemies.
[00:03:05.716 --> 00:03:10.058]  So we have to know that it is possible with this crew to do anything, but it probably happened.
[00:03:11.019 --> 00:03:16.742]  But the issue is that the official narrative has disintegrated.
[00:03:18.063 --> 00:03:27.368]  And we're going to be going over that, and of the Southern Poverty Law Center, it's basically a White House front group that demonizes anybody that isn't left of Stalin.
[00:03:28.269 --> 00:03:32.931]  They have come out now and demonized, who do you think they demonized?
[00:03:33.892 --> 00:03:34.652]  Just wild guess.
[00:03:34.892 --> 00:03:39.075]  You know, a lot of times when there's a mass shooting, I say, gee, I hope they don't blame me somehow.
[00:03:39.655 --> 00:03:44.558]  Then they'll have the actual stories going, Jones is delusional, he thinks they might try to connect him to it.
[00:03:46.715 --> 00:03:48.636]  And then they go ahead and still try to connect me to it.
[00:03:50.297 --> 00:03:53.098]  I mean, I shouldn't laugh about it, but it's really weird.
[00:03:53.699 --> 00:03:54.559]  Boston bombing?
[00:03:55.179 --> 00:03:56.020]  No connection to me.
[00:03:57.731 --> 00:04:03.075]  And they came out when I said that, well, there was a drill and there was government agencies involved and showed proof.
[00:04:03.415 --> 00:04:05.597]  Their response was, you're involved, Alex.
[00:04:06.397 --> 00:04:10.821]  And then they produced some local libertarian magazine that I wasn't even in as the proof.
[00:04:11.321 --> 00:04:13.343]  Now, to be honest, I do have 15 million listeners.
[00:04:13.363 --> 00:04:17.626]  A lot of folks that come along that, you know, listen to the show or watch it online.
[00:04:17.646 --> 00:04:20.548]  And so it's actually hundreds of millions that know who we are globally.
[00:04:20.568 --> 00:04:21.489]  That's a conservative estimate.
[00:04:21.909 --> 00:04:22.769]  So sure, it's like saying,
[00:04:23.710 --> 00:04:25.131]  Did you watch Jay Leno?
[00:04:25.552 --> 00:04:26.712]  Yeah, I know who he is.
[00:04:26.993 --> 00:04:27.573]  Well, that's it.
[00:04:27.633 --> 00:04:29.675]  It's his fault in the Boston bombing as well.
[00:04:30.015 --> 00:04:35.319]  They could ask the surviving brother, the surviving Patsy, the Boston bombing, if he's ever heard of Jay Leno.
[00:04:36.474 --> 00:04:40.458]  And then if he says, yes, I've heard of Jay Leno or Obama, then it's Obama's fault.
[00:04:41.118 --> 00:04:42.099]  Actually, it is probably.
[00:04:42.119 --> 00:04:44.501]  Obama's controllers obviously did it.
[00:04:45.082 --> 00:04:46.883]  The evidence on that is stacked to the rafters.
[00:04:46.923 --> 00:04:49.505]  But we're going to come back and break down this as well.
[00:04:49.565 --> 00:04:55.631]  And folks saying he was dressed up, multiple witnesses, credible witnesses saying no, he was dressed up as a TSA agent.
[00:04:56.031 --> 00:04:57.432]  Sounds like a drill to me.
[00:04:58.053 --> 00:04:59.134]  Fits the script.
[00:05:00.157 --> 00:05:01.798]  Introducing Pro-1.
[00:05:02.039 --> 00:05:05.561]  All of your filtration in one system, portable, on-the-go.
[00:05:05.702 --> 00:05:10.105]  No more do you have two or three filters to just reduce sodium fluoride.
[00:05:10.245 --> 00:05:16.230]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:05:16.350 --> 00:05:27.159]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:05:27.319 --> 00:05:33.642]  It is the only one that does it and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:05:33.822 --> 00:05:50.810]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:05:51.130 --> 00:05:55.232]  Get your Pro-Pure with the new Pro-1 filter today at Infowarstore.com.
[00:05:55.732 --> 00:05:56.453]  We're by calling 888-253-3139.
[00:05:56.473 --> 00:06:08.641]  In the councils of government, we must guard against the acquisition of unwarranted influence, whether sought or unsought, by the military industrial commerce.
[00:06:18.497 --> 00:06:23.839]  In Dallas, Texas, three shots were fired at President Kennedy's motorcade in downtown Dallas.
[00:06:24.399 --> 00:06:29.601]  The first report to say that President Kennedy has been seriously wounded by this shooting.
[00:06:30.461 --> 00:06:31.782]  It is a big idea.
[00:06:31.842 --> 00:06:33.983]  A new world order.
[00:06:37.104 --> 00:06:40.785]  It was almost as if it were a planned implosion.
[00:06:40.985 --> 00:06:42.206]  It's just pancakes.
[00:06:44.586 --> 00:06:45.707]  Either you're with us,
[00:06:47.153 --> 00:06:48.394]  Or you were with the terrorists?
[00:06:48.614 --> 00:07:07.108]  But I also believe that a lot of gun owners would agree that AK-47s belong in the hands of soldiers, not in the hands of criminals.
[00:07:11.544 --> 00:07:12.325]  Guns will be taken.
[00:07:12.405 --> 00:07:13.385]  No one will be able to be armed.
[00:07:13.665 --> 00:07:14.986]  We're going to take all of them.
[00:07:15.207 --> 00:07:20.130]  For many of the police and guard troops, it is an uncomfortable job to do this in an American city.
[00:07:20.210 --> 00:07:21.671]  Global governance at last.
[00:07:21.771 --> 00:07:22.632]  Is it one world?
[00:07:22.752 --> 00:07:24.393]  The central bank is in charge.
[00:07:24.453 --> 00:07:27.915]  But aren't we all just living and dying for what the central banks do?
[00:07:28.015 --> 00:07:32.018]  As for me, give me liberty or give me death!
[00:07:34.320 --> 00:07:39.023]  Live from the InfoWars.com studios, it's Alex Jones.
[00:07:40.482 --> 00:07:43.303]  And it is Sunday, the third day of November 2013.
[00:07:43.843 --> 00:07:46.184]  I'm your host, Alex Jones.
[00:07:46.224 --> 00:07:48.385]  We're going to cover the news today.
[00:07:48.405 --> 00:07:53.027]  And boy, is there a lot of incredibly important news, very weighty issues.
[00:07:53.487 --> 00:07:56.829]  We'll also open the phones up on world events.
[00:07:56.869 --> 00:07:59.910]  We're going to get into the very suspicious
[00:08:01.380 --> 00:08:05.783]  Tragic events at LAX, leaving one dead, six wounded.
[00:08:06.664 --> 00:08:10.286]  That fits in with more than twenty drills they've had.
[00:08:10.306 --> 00:08:16.891]  There was no evidence it was coming of a Libertarian right winger shooting up the precious TSA.
[00:08:18.872 --> 00:08:27.218]  And so we're going to be looking at this because it has all the earmarks, all the signature hallmarks of a false flag.
[00:08:27.258 --> 00:08:28.479]  And we know the Globalists have been caught
[00:08:29.690 --> 00:08:43.777]  Doing this before, it's called a gambit in military strategy, where you sacrifice some of your own people in a staged event as a pretext to wave the bloody shirt and mobilize your operation against the general public.
[00:08:44.817 --> 00:08:52.141]  It is a 3,000-year-old chess move, and it's 101 in military strategy and stratagem.
[00:08:54.085 --> 00:09:02.320]  So we're going to be breaking all of that down and our so-called government has a long, long, long history.
[00:09:04.025 --> 00:09:05.767]  Upstaging events and being caught.
[00:09:05.847 --> 00:09:10.951]  Attacking our own ships to get us into Vietnam, Gulf of Tonkin, or saying they were attacked.
[00:09:11.792 --> 00:09:16.056]  Cy Hirsch Pulitzer Prize winner two times, of course, broke in New Yorker a few years ago.
[00:09:16.076 --> 00:09:16.877]  The plan to have U.S.
[00:09:16.897 --> 00:09:19.579]  Navy SEALs attack our own ships to blame it on Iran.
