[00:00:41.758 --> 00:00:42.579]  Good evening, everyone.
[00:00:42.639 --> 00:00:44.921]  Welcome to the InfoWars Nightly News.
[00:00:45.042 --> 00:00:45.983]  I'm Darren McBreen.
[00:00:46.063 --> 00:00:47.725]  It is Friday, February 1st, 2013.
[00:00:48.506 --> 00:00:50.949]  Here's a quick look at what's coming up.
[00:00:53.874 --> 00:01:03.461]  Tonight, on the InfoWars Nightly News, the TSA is prepared to violate our Fourth Amendment on the hallowed grounds of the Super Bowl.
[00:01:03.641 --> 00:01:08.884]  Then, over a thousand Green Berets sign a letter supporting the Second Amendment.
[00:01:09.204 --> 00:01:12.407]  All that and more on the InfoWars Nightly News.
[00:01:23.257 --> 00:01:36.188]  Well, the public school system continues to abuse our children while demonizing the Second Amendment and attempting to brainwash our children into believing that all guns are bad.
[00:01:36.208 --> 00:01:41.712]  You know, schools all over the country are punishing children for wielding toy guns.
[00:01:42.213 --> 00:01:50.719]  Just the other day, we reported on a five-year-old in Massachusetts who is now facing suspension for building a small toy gun
[00:01:51.460 --> 00:01:52.280]  Out of Legos!
[00:01:52.781 --> 00:01:53.321]  That's right.
[00:01:53.801 --> 00:02:03.106]  And I'm sure you heard about the other day, this other incident a couple weeks ago, where a five-year-old girl got suspended for bringing a pink bubble gun to school.
[00:02:03.526 --> 00:02:05.547]  They said it was a terroristic threat.
[00:02:05.947 --> 00:02:07.027]  I'm not making this up.
[00:02:07.087 --> 00:02:10.669]  And they even suggested that she have a psychiatric evaluation.
[00:02:11.189 --> 00:02:14.111]  No, in reality, it's the school board that's psychotic.
[00:02:14.671 --> 00:02:26.623]  Last week, a South Philadelphia elementary student was searched in front of her classmates and threatened with arrest after she mistakenly brought a paper gun to school.
[00:02:27.722 --> 00:02:36.945]  And, you know, you don't even have to have a toy gun because now, in the land of the coward and the home of the slave, they consider this to be a threat.
[00:02:37.225 --> 00:02:40.166]  You can't even make hand gestures into a gun.
[00:02:40.566 --> 00:02:43.287]  Kids are actually being suspended for that as well.
[00:02:43.667 --> 00:02:44.647]  I am not kidding.
[00:02:44.707 --> 00:02:46.228]  Truth is stranger than fiction.
[00:02:46.608 --> 00:02:49.048]  It happened to a five-year-old boy in Oklahoma.
[00:02:49.529 --> 00:02:56.951]  And also, three youngsters out in Maryland were suspended from elementary school in the United States of America.
[00:02:57.591 --> 00:02:59.713]  For playing cops and robbers.
[00:03:00.733 --> 00:03:04.136]  I mean, this is totally absurd and insane.
[00:03:04.236 --> 00:03:07.799]  This is how ridiculous the nanny state has become.
[00:03:08.339 --> 00:03:10.721]  And it's not just brainwashing.
[00:03:10.801 --> 00:03:12.102]  I mean, this is abuse.
[00:03:12.943 --> 00:03:14.144]  And it's far from over, folks.
[00:03:14.244 --> 00:03:17.026]  It's going to continue because this is their agenda.
[00:03:17.387 --> 00:03:26.734]  Here is a local news report from Sumter, South Carolina, where yet another kindergartner has been suspended for owning a plastic toy.
[00:03:27.054 --> 00:03:31.195]  Naomi McKinney can no longer attend school at Alice Drive Elementary in Sumter.
[00:03:31.735 --> 00:03:34.736]  The Sumter County School District expelled her on January 7th.
[00:03:34.776 --> 00:03:40.378]  The principal told me that she had a gun at school and of course I'm freaking out.
[00:03:40.398 --> 00:03:41.478]  I said, well let me see the gun.
[00:03:41.498 --> 00:03:43.859]  She pulls it out and it's a little clear plastic toy gun.
[00:03:43.939 --> 00:03:48.640]  Naomi is not allowed on school property or at any school-sponsored event on or off campus.
[00:03:49.100 --> 00:03:51.961]  She is subject to criminal charges if caught trespassing.
