[00:00:00.029 --> 00:00:00.590]  It's Alex Jones!
[00:00:25.307 --> 00:00:43.100]  Ladies and gentlemen, if you are a radio listener, we are rolling footage from NBC News Local in the District of Criminals with what looks like about a 75-year-old vet with others being attacked with a baton by riot police dressed up in bright blue U.N.
[00:00:43.160 --> 00:00:45.061]  style uniforms.
[00:00:46.442 --> 00:00:50.965]  And I've got to say, these riot police literally look like something you'd expect from a U.N.
[00:00:51.085 --> 00:00:51.385]  army.
[00:00:51.846 --> 00:00:52.786]  They look like a bunch of
[00:00:54.804 --> 00:00:58.670]  Social workers in combat gear, but you in blue.
[00:00:59.130 --> 00:01:00.072]  It is amazing.
[00:01:00.732 --> 00:01:02.635]  And I've been watching the live feeds.
[00:01:02.655 --> 00:01:05.139]  We're adding them all to InfoWars.com right now.
[00:01:05.639 --> 00:01:07.462]  InfoWars.com has a lot of the feeds.
[00:01:07.942 --> 00:01:09.885]  DrudgeReport.com has a lot of the feeds.
[00:01:10.666 --> 00:01:16.810]  And we're trying to condense them all down to Infowars.com and my Skeleton Sunday crew is doing a great job trying to get it all together.
[00:01:16.910 --> 00:01:26.655]  But actor James Woods tweeted, and we retweeted it at Real Alex Jones, that thank God for the riot police that deal with 85-year-old World War II vets in wheelchairs.
[00:01:27.236 --> 00:01:28.837]  Thank God for them protecting us.
[00:01:28.897 --> 00:01:29.957]  What would we do without them?
[00:01:29.997 --> 00:01:30.918]  To paraphrase his tweet.
[00:01:33.238 --> 00:01:46.127]  And now Kit Daniels is posting, the video is posted in his article, breaking riot police confront veterans as they liberate memorials or veterans remind Americans how to resist tyranny.
[00:01:46.828 --> 00:01:49.009]  But Kit's doing a whole separate article right now.
[00:01:49.049 --> 00:01:50.190]  This just broke 10 minutes ago.
[00:01:50.230 --> 00:01:56.594]  This is happening now as riot police came up to vets and told them to get out of the area when they wouldn't.
[00:01:56.894 --> 00:01:59.997]  They start ramming them with the batons.
[00:02:00.990 --> 00:02:10.199]  And then the 75-year-old vet, I'd say that's his age, actually attacks back and shoves the UN-type police back, and then start cowering in fear.
[00:02:11.820 --> 00:02:12.401]  It's amazing.
[00:02:12.441 --> 00:02:17.786]  They go up and start fights, and then I guess they've never had anybody push back against them, and so they flip out.
[00:02:20.097 --> 00:02:20.857]  This is incredible.
[00:02:21.618 --> 00:02:22.918]  We're going to be covering that.
[00:02:23.079 --> 00:02:28.241]  This morning we began to post the articles on PrisonPlanet.com, on InfoWars.com.
[00:02:29.122 --> 00:02:39.207]  Paul Watson, Kit Daniels, Curt Nemo, myself, again posting articles and videos of the vets showing up by the tens of thousands in different areas of DC.
