[00:00:03.697 --> 00:00:03.917]  I'm good.
[00:00:35.572 --> 00:00:37.138]  It's Tuesday, June 25th.
[00:00:37.218 --> 00:00:38.342]  I'm Paul Joseph Watson.
[00:00:38.403 --> 00:00:40.290]  This is InfoWars Nightly News.
[00:00:43.499 --> 00:00:46.981]  Tonight, is Edward Snowden a double agent?
[00:00:47.681 --> 00:00:50.262]  Naomi Wolf and Webster Tarpley asked that question.
[00:00:50.642 --> 00:00:57.185]  And counter-terrorism head Richard Clark says the Hastings accident is consistent with a car cyber attack.
[00:00:57.606 --> 00:00:59.346]  And we show you a blast from the past.
[00:00:59.547 --> 00:01:05.629]  Alex Jones confronts the DMV on biometrics and blood draws all the way back in the 1990s.
[00:01:06.750 --> 00:01:10.532]  All this and more on tonight's InfoWars Nightly News.
[00:01:15.506 --> 00:01:20.648]  Top story tonight, we're asking the question, is Edward Snowden a double agent?
[00:01:21.208 --> 00:01:31.812]  Because several prominent voices on the left are speculating that the truth behind the former CIA analyst and NSA whistleblower Edward Snowden could be more convoluted.
[00:01:32.492 --> 00:01:50.294]  Likes of Webster Tarpley and Naomi Wolf for embracing the notion that Edward Snowden is somehow too good to be true, and that what he's doing must be part of a wider plot that actually serves to benefit the intelligence agencies and the NSA, or as Webster Tarpley calls it, a limited hangout.
[00:01:51.536 --> 00:02:00.007]  Something that distracts, according to the likes of Wolfe and Tarpley, from, you know, the real level-ty of criminality in NSA spying.
[00:02:00.508 --> 00:02:07.917]  And also serves as a means of redirecting attention away from other issues, such as the impending escalation of the war in Syria.
[00:02:08.738 --> 00:02:10.400]  As the US prepares to arm the rebels.
[00:02:10.940 --> 00:02:13.823]  So is Edward Snowden a double agent?
[00:02:13.923 --> 00:02:15.164]  Is he a shill?
[00:02:15.284 --> 00:02:23.711]  Is this all staged, this chase across the globe from Hong Kong to Russia on to Ecuador as we expect him to go?
[00:02:24.372 --> 00:02:40.379]  Well, Naomi Wolf's central point that she makes in her article, my creeping concern that the NSA leaker Edward Snowden is not who he purports to be, is quote, some of Snowden's emphases seem to serve an intelligence police state objective rather than to challenge them.
[00:02:40.819 --> 00:02:49.443]  She goes on to say, real whistleblowers are completely focused on their act of public service and trying to manage the jeopardy to themselves and their loved ones.
[00:02:49.823 --> 00:02:53.665]  They don't tend to ever call attention to their own self-sacrifice.
[00:02:54.245 --> 00:02:56.567]  That is why they are heroes, among other reasons.
[00:02:56.888 --> 00:03:02.212]  But a police state would like us all to think about everything we would lose by standing up against it.
[00:03:02.753 --> 00:03:06.596]  That's what she says Snowden is primarily doing with his rhetoric.
[00:03:07.317 --> 00:03:16.805]  Quote, it's actually in the police state's interest to let everybody know that everything you write or say everywhere is being surveilled and that awful things happen to people who challenge this.
[00:03:17.686 --> 00:03:27.353]  She also draws attention to Snowden's slick media presentation skills and makes the illusion that he's been professionally briefed on his talking points.
[00:03:28.494 --> 00:03:35.860]  And while, you know, no one is above suspicion, we know for years there have been rumours about the true motivations behind Julian Assange.
[00:03:36.440 --> 00:03:49.835]  I think there's a tendency amongst people in the alternative media to believe that nobody could ever sacrifice everything and stand up for what's right, as Snowden has apparently done, without it somehow being staged or scripted.
[00:03:49.895 --> 00:03:52.838]  There's always this kind of suspicion behind these individuals.
[00:03:53.659 --> 00:04:12.029]  And my skepticism of the claim that Snowden is some kind of double agent is borne out by the fact that from personal experience virtually every day I read messages from people saying, you know, Alex Jones works for Israel, Alex Jones works for the CIA, Alex Jones works for Stratfor, because some people find it easier
[00:04:12.449 --> 00:04:18.514]  More palatable to invent conspiracies about Alex rather than accepting the fact that he's the real deal.
[00:04:19.034 --> 00:04:26.080]  Because it makes Alex's success in what he does easier to swallow for those who find themselves frustrated by their lack of success.
[00:04:26.780 --> 00:04:29.443]  So there's this kind of defeatist loser mentality.
[00:04:30.083 --> 00:04:42.553]  That those who stand up for freedom and are successful, or those who merely attract media attention for standing up for liberty, can't possibly be doing it for the right reasons, can't possibly be genuine and real.
[00:04:43.754 --> 00:04:54.603]  So unless we have clear evidence that Edward Snowden is a double agent or a shill, and from what I've read out of both Naomi Wolf and Webster Tarpley, that evidence has not been forthcoming.
[00:04:55.103 --> 00:04:56.744]  You know, let's get behind Snowden.
[00:04:56.764 --> 00:04:58.185]  Let's support what he stands for.
[00:04:58.565 --> 00:05:02.488]  Let's give people who risk their livelihoods for freedom the benefit of the doubt.
[00:05:02.908 --> 00:05:10.493]  Because if we constantly attempt to tear down icons of liberty, then we're only doing the establishment's work for them.
[00:05:10.874 --> 00:05:16.738]  And as George Orwell said, the further a society drifts from truth, the more it will hate those who speak it.
[00:05:17.398 --> 00:05:24.586]  So, again, it's an analysis in not believing that somebody could be real, simply because they successfully stand up for liberty.
[00:05:24.626 --> 00:05:30.131]  We need to be more positive, more optimistic, and get behind individuals like Edward Snowden.
[00:05:31.213 --> 00:05:33.495]  And staying with Snowden news, this is out of RT.
[00:05:34.076 --> 00:05:38.600]  Putin, Snowden, still in Moscow airport transit zone, won't be extradited.
[00:05:39.443 --> 00:05:47.006]  Russia's president says former NSA contractor Edward Snowden is still in the transit zone of Moscow's Sheremetyevo Airport.
[00:05:47.206 --> 00:05:52.829]  Vladimir Putin says that any accusations of Russia related to Snowden are quote nonsense and rubbish.
[00:05:53.749 --> 00:05:58.471]  Speaking to journalists in Finland, Putin said there is no extradition treaty between Russia and the US.
[00:05:58.491 --> 00:06:03.013]  He also said that Snowden did not commit any crime on the territory of Russia.
[00:06:03.593 --> 00:06:11.002]  So of course we had the bait and switch yesterday with the journalist boarding the plane to Havana expecting Snowden to be on it.
[00:06:11.402 --> 00:06:12.003]  He wasn't.
[00:06:12.624 --> 00:06:14.606]  And for a time nobody knew where he was.
[00:06:14.666 --> 00:06:17.269]  Now he's apparently still in the Russian airport.
[00:06:18.194 --> 00:06:23.439]  Looks like he'll eventually make his way to Ecuador, where he'll be offered political asylum.
[00:06:24.080 --> 00:06:31.027]  Lavrov, the Russian Foreign Minister, has come out all guns blazing again today, rejecting US demands that they turn in Snowden.
[00:06:31.407 --> 00:06:39.936]  But the ace in the hole, as far as the United States is concerned, and this is something that Mike Adams discussed in his article yesterday out of Natural News,
[00:06:40.496 --> 00:06:52.944]  Is the fact that wherever Snowden ends up, don't expect Washington to have any respect for the rule of law in their efforts to throw him in a dungeon like they did with Bradley Manning.
[00:06:53.684 --> 00:07:00.808]  Because the US government has a history of conducting covert abductions of American citizens in Ecuador.
[00:07:01.349 --> 00:07:08.033]  Including, as Adams notes in this article, Greg Caton, who was kidnapped by US authorities
[00:07:08.513 --> 00:07:21.938]  Bundled on a plane back to Miami in 2009 after being put on an Interpol list alongside war criminals and international murderers, all for the crime of selling an anti-cancer rainforest herb.
[00:07:22.458 --> 00:07:26.440]  So they won't hesitate to break these rules to get their man.
[00:07:26.960 --> 00:07:31.502]  Don't expect them to play by the rulebook in the pursuit of Edward Snowden.
[00:07:32.102 --> 00:07:45.596]  And in fact, he'd probably be safer holed up in the Ecuadorian embassy in Moscow than he would in Ecuador itself, because obviously US authorities are less likely to invade Russian territory than they are Ecuadorian territory.
[00:07:45.936 --> 00:07:49.880]  So we'll continue to track Edward Snowden, staying with NSA News.
[00:07:50.621 --> 00:07:52.163]  This is out of Infowars.com.
[00:07:52.523 --> 00:07:56.086]  Congress insisted they be kept in the dark on NSA spying.
[00:07:56.566 --> 00:08:02.091]  Congress insisted it be kept in the dark on the NSA surveillance programs recently revealed by Edward Snowden.
[00:08:02.612 --> 00:08:14.842]  According to Dick Cheney, Darth Cheney, who approached lawmakers with an invitation for them to provide more oversight back in 2004, but was told by Congress absolutely not.
[00:08:15.862 --> 00:08:21.004]  I said, do you think we ought to come back to the Congress in order to get more formal authorization?
[00:08:21.484 --> 00:08:22.844]  And they said, absolutely not.
[00:08:23.004 --> 00:08:27.066]  Everybody, Republican, Democrat, said, don't come back up here.
[00:08:27.526 --> 00:08:28.346]  It will leak.
[00:08:29.046 --> 00:08:33.228]  That's what they told Dick Cheney when he actually offered Congress
[00:08:33.968 --> 00:08:42.112]  The option to provide oversight to investigate the very same NSA surveillance programs now causing a global scandal.
[00:08:42.693 --> 00:08:51.077]  So nine years before it emerged, with the revelations of Edward Snowden, Congressional leaders were asked by Cheney if they wanted to provide oversight.
[00:08:51.397 --> 00:08:53.178]  They said, absolutely not.
[00:08:53.498 --> 00:08:58.261]  Every one of them gave a green light for the NSA to continue violating the Fourth Amendment.
[00:08:58.661 --> 00:09:01.603]  They were, quote, unanimous that it should continue.
[00:09:02.483 --> 00:09:10.889]  And so, is it really any wonder that just 6% of Americans, according to recent polls, think Congress is doing a good job?
[00:09:11.330 --> 00:09:15.973]  Their very reason for existence is to be a check and balance against federal government abuse.
[00:09:16.854 --> 00:09:22.598]  And in this instance, and in many others, they instead acted as a rubber stamp for government abuse.
[00:09:23.219 --> 00:09:29.524]  Nine years later, this becomes a global scandal because Congress is perfectly happy to give the government a blank check.
[00:09:30.104 --> 00:09:30.825]  And we know why.
[00:09:31.585 --> 00:09:38.388]  It's the same people who are now calling for Snowden's arrest that gave the green light to the NSA back nine years ago.
[00:09:38.768 --> 00:09:42.910]  The likes of John McCain, Lindsey Graham, Feinstein, Pelosi.
[00:09:43.410 --> 00:09:59.757]  They're all compromised, they're all in on it, and they're all in complete violation of the oath they swore to uphold and protect the Constitution by allowing this illegal NSA spying to continue and in fact giving it the rubber stamp nine years ago, according to Dick Cheney.
[00:10:01.803 --> 00:10:03.584]  Another article out of Infowars.com.
[00:10:04.225 --> 00:10:08.348]  Two-thirds of Americans support drones for homeland security missions.
[00:10:08.788 --> 00:10:24.480]  A new survey shows that two-thirds of Americans support the use of unmanned spy drones for, quote, homeland security missions, despite the fact that such missions will include identifying gun owners and tracking the location of individuals via their cell phones, according to government documents.
[00:10:25.060 --> 00:10:41.834]  The poll conducted by the Institute for Homeland Security, a research consortium led by RTI International, shows that 67% of Americans support the use of unmanned spy drones for, quote, homeland security missions, and that 63% support their use in fighting crime.
[00:10:42.574 --> 00:10:50.320]  So, the question is, how many Americans would support the use of these domestic spy drones if they really knew what they were for?
[00:10:51.241 --> 00:11:16.174]  Not just as a precursor to raiding family farms for the dastardly crime of allowing some cows to wander onto their land, as we saw in North Dakota with the Brossard family back in 2011, but as CNET's Declan McCullough recently revealed from government documents, the DHS is now customizing Predator B drones, originally designated for overseas operations hunting terrorists,
[00:11:16.894 --> 00:11:27.198]  To quote, carry out at-home surveillance tasks that have civil libertarians worried, identifying civilians carrying guns and tracking their cell phones.
[00:11:28.098 --> 00:11:40.902]  Homeland Security's specifications for its drones shall be, this is a quote, capable of identifying a standing human being at night as likely armed or not, meaning carrying a shotgun or rifle.
