[00:00:06.752 --> 00:00:08.453]  Something has happened in the motorcade group.
[00:00:08.493 --> 00:00:12.297]  Something, I repeat, has happened in the motorcade group.
[00:00:12.357 --> 00:00:15.100]  Who controls the past, controls the future.
[00:00:15.541 --> 00:00:17.963]  Who controls the present, controls the past.
[00:00:19.012 --> 00:00:24.615]  Death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[00:00:24.755 --> 00:00:26.796]  All you gotta do is start looking around.
[00:00:27.176 --> 00:00:28.757]  Start thinking for yourself.
[00:00:29.057 --> 00:00:30.718]  Start investigating things.
[00:00:31.038 --> 00:00:34.539]  And you will see it all right there.
[00:00:35.120 --> 00:00:36.820]  So you have the power.
[00:00:36.860 --> 00:00:38.441]  Humanity has the power.
[00:00:38.881 --> 00:00:39.982]  We have the power.
[00:00:40.002 --> 00:00:40.982]  Do you wanna fight?
[00:00:41.042 --> 00:00:43.363]  You better believe you got one!
[00:00:44.824 --> 00:00:48.605]  Let us never tolerate outrageous conspiracy theories.
[00:00:48.625 --> 00:00:51.565]  As for me, give me liberty or give me death!
[00:00:51.585 --> 00:00:52.625]  The answer to 1984 is 1776.
[00:00:52.665 --> 00:00:55.326]  Welcome to the Infowars Nightly News.
[00:00:55.406 --> 00:00:57.286]  I'm David Knight.
[00:00:57.326 --> 00:01:00.147]  It's Monday, May 13, 2013 and here are our top stories.
[00:01:16.704 --> 00:01:18.626]  Tonight, Enemies List 2.0.
[00:01:20.427 --> 00:01:25.972]  Documents reveal that the IRS targeted groups that criticize the government.
[00:01:26.092 --> 00:01:27.593]  Plus, Googleberg.
[00:01:27.933 --> 00:01:32.897]  The global elite transforms itself for a technocratic revolution.
[00:01:33.338 --> 00:01:37.821]  And the Justice Department secretly obtains AP phone records.
[00:01:38.422 --> 00:01:42.085]  That's coming up next on the InfoWars Nightly News.
[00:01:45.202 --> 00:01:49.584]  Well, there's a lot of breaking news on the IRS today, and we're going to have a special interview.
[00:01:50.284 --> 00:01:56.126]  Gigi Ornette will be interviewing Mike Velarde, a criminal investigator, former criminal investigator with the IRS.
[00:01:56.867 --> 00:02:05.070]  But it's been said that the power to tax is the power to destroy, and we're seeing that power levied against groups that criticize the government.
