[00:00:02.591 --> 00:00:04.892]  Thank you for listening to GCN.
[00:00:05.113 --> 00:00:07.354]  Visit GCNlive.com today.
[00:00:14.358 --> 00:00:14.998]  Big Brother.
[00:00:15.659 --> 00:00:16.699]  Mainstream media.
[00:00:17.420 --> 00:00:18.681]  Government cover-ups.
[00:00:19.181 --> 00:00:20.001]  You want answers?
[00:00:20.762 --> 00:00:22.683]  Well, so does he.
[00:00:22.703 --> 00:00:25.985]  He's Alex Jones on the GCN Radio Network.
[00:00:26.505 --> 00:00:30.588]  And now, live from Austin, Texas, Alex Jones.
[00:00:36.328 --> 00:00:37.709]  Welcome to the Alex Jones Show.
[00:00:37.809 --> 00:00:39.530]  I'm David Knight, filling in for Alex.
[00:00:39.990 --> 00:00:42.191]  And we've got an interesting show lined up today.
[00:00:42.832 --> 00:00:44.212]  And we've got some breaking news.
[00:00:44.312 --> 00:00:49.135]  It seems like every time I come in here to substitute for Alex Jones, we've got some breaking drone news.
[00:00:49.795 --> 00:00:50.996]  And that's going on right now.
[00:00:51.056 --> 00:00:51.576]  We've got a, uh...
[00:00:52.597 --> 00:00:57.181]  Drone, an Air Force drone, that has crashed close to a remote Florida highway.
[00:00:57.221 --> 00:00:58.182]  It's shut down that highway.
[00:00:58.202 --> 00:00:59.583]  We've got a little bit of video here for that.
[00:01:00.064 --> 00:01:03.307]  If you guys can pull it up and the people who are watching it can see.
[00:01:03.327 --> 00:01:05.129]  It's quite a bit of smoke going on there.
[00:01:05.609 --> 00:01:09.452]  Last time I was here, we had an E6B that was flying loops through Austin.
[00:01:09.472 --> 00:01:13.036]  There's pictures, if you're watching, of the drone that went down.
[00:01:14.807 --> 00:01:19.611]  And it's quite a bit of smoke, and it was fairly close to a population center.
[00:01:19.631 --> 00:01:28.579]  It says, according to an Air Force fact sheet, the QF-4 is tested at nearby Tyndall Air Force Base and at Holloman Air Force Base in New Mexico.
[00:01:28.639 --> 00:01:31.942]  The plane is a modified F-4 Phantom aircraft.
[00:01:32.503 --> 00:01:33.624]  They say it's been used since the 1950s.
[00:01:35.629 --> 00:01:50.493]  Now, the last time I was here, Alex called in, was absolutely amazed at the size of this airplane that was flying looping circles around the city of Austin, flying at the level of the buildings, very dangerously low.
[00:01:51.153 --> 00:01:58.315]  We eventually learned that it was an E-6B that was doing, as I reported, a training exercise in Austin.
[00:01:59.116 --> 00:02:04.157]  And you have to wonder, if they're doing training, why are they doing training so close to population centers?
[00:02:05.222 --> 00:02:06.763]  Well, they're doing that all the time, actually.
[00:02:06.804 --> 00:02:17.674]  We've got numerous incidents of SWAT teams, not SWAT teams, but military exercises in conjunction with our militarized police, with our SWAT teams.
[00:02:18.034 --> 00:02:20.817]  They're working together, city after city, doing these drills.
[00:02:21.597 --> 00:02:24.458]  And, uh, arresting citizens who videotape them.
[00:02:24.498 --> 00:02:26.199]  We've had, uh, reports of that.
[00:02:26.639 --> 00:02:34.042]  And we've shown video of, of a citizen getting arrested for exercising, uh, his freedom to videotape what's going on in public.
[00:02:34.082 --> 00:02:36.643]  And they told him, you have to leave, you're in a dangerous area.
[00:02:36.683 --> 00:02:42.765]  And it's like, well, if you're, if it's a dangerous area, it's because you're landing helicopters here in a public space.
[00:02:42.905 --> 00:02:44.005]  And they haven't warned anybody.
[00:02:44.045 --> 00:02:44.966]  They didn't cordon it off.
[00:02:45.046 --> 00:02:47.226]  And, you know, you have to ask yourself why they're doing it.
[00:02:47.266 --> 00:02:48.507]  Well, they've answered that question.
[00:02:49.187 --> 00:02:56.554]  We've had videotape of a military officer explaining that you train where you expect to be deployed.
[00:02:57.054 --> 00:03:01.578]  So if you expect that you're going to invade a mountainous area, or you expect you're going to invade a beach, you train there.
[00:03:02.119 --> 00:03:07.143]  If you expect you're going to invade American cities, that's where you train, and you train with the police.
[00:03:08.024 --> 00:03:09.185]  And that brings us to...
[00:03:10.313 --> 00:03:14.555]  An article right now that we've got linked on the Drudge Report, that's on Infowars.com.
[00:03:14.695 --> 00:03:17.357]  This is from former President Jimmy Carter.
[00:03:18.057 --> 00:03:26.081]  And he said, in the wake of the NSA spying scandal, he said of the American political system, America has no functioning democracy.
[00:03:26.121 --> 00:03:26.961]  That's Jimmy Carter.
[00:03:27.322 --> 00:03:30.423]  America has no functioning democracy.
[00:03:30.783 --> 00:03:37.467]  Now, he joins Paul Craig Roberts, and he joins retired Senator Gordon Humphrey,
[00:03:38.567 --> 00:03:41.790]  In criticizing what's going on in America right now, think about this.
[00:03:41.990 --> 00:03:44.512]  This is just one generation removed.
