[00:00:08.069 --> 00:00:12.172]  Lieutenant Colonel Robert Bateman had some chilling words in a recent Esquire article.
[00:00:12.592 --> 00:00:18.816]  When referring to the Second Amendment, Bateman said, quote, we will pry your gun from your cold, dead fingers.
[00:00:19.257 --> 00:00:25.081]  Well, Mr. Bateman, I never knew Charlton Heston, but I'm sure if he was still alive today, he would give you a single warm finger.
[00:00:25.581 --> 00:00:36.929]  Bateman went on to say that the only guns he would allow Americans to have would be black powder muskets, double barrel shotguns, and bolt action rifles with magazines that hold no more than five rounds.
[00:00:37.509 --> 00:00:48.510]  Well, let me be the first to thank you, Lieutenant Colonel Bateman, for your supreme generosity ahead of the ATF's National Firearms Act and also the Undetectable Firearms Act, both coming to a head next week.
[00:00:49.056 --> 00:00:54.399]  This is a way of affecting tiny groups of interests that don't really get enough national attention to make anyone mad.
[00:00:55.259 --> 00:01:08.447]  The same thing is kind of happening with the Undetectable Firearms Act, but the Senate is using it as an opportunity to, if possible, inject whole comprehensive new ways of mandating and regulating how we make guns.
[00:01:09.207 --> 00:01:15.590]  And while we do have constitutional shares and oath-keeping members of our military, guys like Bateman do exist.
[00:01:16.150 --> 00:01:20.292]  Now Evan, I've come to the knowledge that not everybody in the military feels the same way that you do.
[00:01:20.312 --> 00:01:23.233]  You know, you said you have a good majority, 60-40 or so you said.
[00:01:23.753 --> 00:01:26.074]  But we have this graphic we're going to show our viewers.
[00:01:26.134 --> 00:01:31.336]  I know you can't see it, but this is a graphic of a soldier who definitely does not share your views and opinions.
[00:01:31.776 --> 00:01:34.057]  He's saying you don't join to say I refuse.
[00:01:34.097 --> 00:01:35.718]  Maybe you've seen this, I'm not sure if you have.
[00:01:36.078 --> 00:01:40.100]  But he says, you know, stop making your signs and get the F back to work.
[00:01:40.761 --> 00:01:41.601]  What do you think about that?
[00:01:43.742 --> 00:01:50.006]  That one right there, there's a blatant difference between blindly following and loyally serving.
[00:01:50.266 --> 00:01:52.247]  And that guy is a blind follower.
[00:01:52.868 --> 00:02:00.292]  This is the kind of a mindless order following I've personally witnessed, as law-abiding citizens have been arrested for carrying legal firearms.
[00:02:00.854 --> 00:02:01.454]  Here we go.
[00:02:01.574 --> 00:02:02.154]  Firearm.
[00:02:02.314 --> 00:02:05.635]  Any device designed and made to adapt and expel a projectile through the barrel.
[00:02:05.675 --> 00:02:06.295]  Keep reading.
[00:02:06.335 --> 00:02:08.075]  Energy generated by that substance.
[00:02:08.536 --> 00:02:08.976]  Keep reading.
[00:02:09.176 --> 00:02:09.676]  Don't mumble.
[00:02:09.756 --> 00:02:13.156]  Any firearm made to have an integral part folding knife blades.
[00:02:14.677 --> 00:02:15.077]  Thank you.
[00:02:15.677 --> 00:02:16.157]  Let's see.
[00:02:16.297 --> 00:02:16.697]  Thank you.
[00:02:17.597 --> 00:02:18.858]  Got quiet there, Sergeant.
[00:02:19.258 --> 00:02:22.398]  Sorry, I did notice that you stopped reading out loud.
[00:02:22.418 --> 00:02:23.899]  Can you tell us the part that you were reading?
[00:02:24.059 --> 00:02:24.319]  Yeah.
[00:02:25.879 --> 00:02:26.300]  And why?
[00:02:26.720 --> 00:02:37.170]  They say turn in your guns to stop the school shootings, but the school shooting that they never want to talk about is Kent State, when members of the National Guard indiscriminately opened fire on students.
[00:02:37.610 --> 00:02:39.152]  Yes, some of them were throwing rocks.
[00:02:39.632 --> 00:02:44.497]  Some, throwing rocks, prompted the military to open fire on its own citizens.
[00:02:45.037 --> 00:02:47.878]  But you say, not everybody in the National Guard is like that.
[00:02:47.958 --> 00:02:49.878]  And I agree with you, 100%.
[00:02:49.998 --> 00:02:52.498]  Not every guardsman is a potential mass murderer.
[00:02:52.779 --> 00:02:59.560]  But why is it that every gun owner in America is potentially the next Adam Lanza, potentially the next Aaron Alexis?
[00:02:59.800 --> 00:03:01.920]  Why can I be given the benefit of the doubt?
[00:03:02.180 --> 00:03:05.081]  And they'll tell you, oh, it's because the police are better trained than you are.
[00:03:05.281 --> 00:03:09.762]  Well, tell that to the innocent bystanders that get shot by the NYPD every single year.
[00:03:10.442 --> 00:03:20.106]  Beyond the potential abuses of police and military, you have these gun-grabbing politicians who have the audacity to tell you to turn in your guns when they themselves are armed.
[00:03:20.566 --> 00:03:23.907]  In the spirit of gun control, will you disarm your entire security team?
[00:03:23.927 --> 00:03:26.408]  Uh, you will get right back to me.
[00:03:26.428 --> 00:03:27.148]  You'll get back to me?
[00:03:27.408 --> 00:03:32.250]  I know the urge to arm yourself, because that's what I did.
[00:03:33.310 --> 00:03:34.951]  I was trained in firearms.
[00:03:35.631 --> 00:03:38.012]  I'd walk to the hospital when my husband was sick.
[00:03:38.332 --> 00:03:39.833]  I carried a concealed weapon.
[00:03:40.461 --> 00:03:51.664]  This is the type of mentality being taught in our schools, where constitutional law professors in the state of Texas teach their students that the Constitution is outdated and the Second Amendment needs to be repealed.
[00:03:51.964 --> 00:03:52.944]  But it doesn't stop there.
[00:03:53.345 --> 00:03:58.166]  Kids are being suspended for playing with bubble guns and eating their Pop-Tarts the wrong way.
[00:03:58.746 --> 00:04:05.449]  The school took this so seriously that administrators even ordered that the five-year-old receive a psychological evaluation.
[00:04:05.569 --> 00:04:09.310]  And all of this is to say nothing of the United Nations Arms Trade Treaty.
[00:04:09.831 --> 00:04:15.193]  Police, military, and the United States of America, you need to ask yourself a very serious, very pertinent question.
[00:04:15.553 --> 00:04:19.775]  Is there any law, any measure, any demand that you will not follow?
[00:04:20.395 --> 00:04:22.996]  Would you confiscate guns if given federal orders to do so?
