[00:00:03.757 --> 00:00:04.098]  We're good.
[00:00:35.953 --> 00:00:37.837]  Welcome to the InfoWars Nightly News.
[00:00:37.877 --> 00:00:39.199]  Today's date is July 11, 2013.
[00:00:39.259 --> 00:00:43.708]  I'm your host Rob Due, and here's a look at some of our top stories.
[00:00:46.411 --> 00:00:53.174]  Tonight, Obama signs an executive order to allow the shutdown of all U.S.
[00:00:53.374 --> 00:00:54.294]  communications.
[00:00:54.794 --> 00:00:59.196]  Meanwhile, the IRS is training their agents with AR-15s.
[00:01:00.556 --> 00:01:06.199]  And a Democrat representative in Illinois calls for troops on the streets of Chicago.
[00:01:06.359 --> 00:01:09.580]  That's up next on the InfoWars Nightly News.
[00:01:13.302 --> 00:01:13.882]  Welcome back.
[00:01:14.222 --> 00:01:22.527]  Well, it's something Alex Jones has been warning you about since the passage of the Telecommunications Act of 1996, and President Obama has finally laid the final piece of the puzzle.
[00:01:23.251 --> 00:01:24.972]  Here it is out of the Examiner today.
[00:01:25.212 --> 00:01:29.014]  Obama signs executive order to allow shutdown of all U.S.
[00:01:29.054 --> 00:01:29.794]  communications.
[00:01:30.315 --> 00:01:32.756]  And this came out of a link from RT.
[00:01:33.256 --> 00:01:35.978]  RT has reported that a secretly unannounced move.
[00:01:36.018 --> 00:01:46.723]  President Barack Obama signed an executive order giving the Department of Homeland Security, that's your friend Janet Napolitano, the ability to shut down all the United States communication systems upon his request.
[00:01:47.624 --> 00:01:49.124]  Yeah, just upon his request.
[00:01:49.164 --> 00:01:49.605]  There it is.
[00:01:50.305 --> 00:01:51.606]  Now the reasoning behind this
[00:01:53.864 --> 00:01:59.969]  He feels the government may one day need to access all of our telephones, computers, cable communications in the name of national security.
[00:02:00.609 --> 00:02:02.331]  Which he's already doing right now.
[00:02:02.711 --> 00:02:05.893]  So I don't see what the difference is, why he even needed this executive order.
[00:02:06.194 --> 00:02:07.575]  Maybe it's just to add cover.
[00:02:07.855 --> 00:02:09.676]  He goes, oh, wow, the Snowden thing came out.
[00:02:09.716 --> 00:02:10.017]  I better...
[00:02:10.717 --> 00:02:14.119]  Put out this executive order just so we keep everything hunky-dory.
[00:02:14.159 --> 00:02:15.940]  But this is something we've been talking about for years.
[00:02:16.000 --> 00:02:23.163]  If you go back and watch Police State 4, Police State 3, I believe some of it's in 9-11 Road to Tyranny.
[00:02:23.703 --> 00:02:28.205]  All of our communications are being grabbed and they have been for a long time.
[00:02:28.246 --> 00:02:34.068]  They built rooms in the telecommunications hubs of all the major phone companies to tap us anytime they want.
[00:02:34.108 --> 00:02:35.029]  They can do whatever they want.
[00:02:36.109 --> 00:02:37.290]  And this just lays it all out.
[00:02:37.630 --> 00:02:39.072]  This goes in hand with the internet.
[00:02:39.112 --> 00:02:40.033]  Kill switch is going on.
[00:02:40.293 --> 00:02:44.577]  And here's the title of his emergency statement, his executive order.
[00:02:44.657 --> 00:02:49.181]  Assignment of National Security Emergency Preparedness Communications Function.
[00:02:49.961 --> 00:02:50.742]  That's what he calls it.
[00:02:53.103 --> 00:03:05.885]  The fact that our nation needs so much national security is puzzling, given the fact that President Obama has declared himself a leader on the front that is into terrorism in the U.S., and it seems like now more than ever, our nation is in peril, according to the State Department.
[00:03:05.965 --> 00:03:06.766]  But from who?
[00:03:07.006 --> 00:03:07.306]  From what?
[00:03:07.346 --> 00:03:10.586]  Who has the technology to attack us on our communications level?
[00:03:10.606 --> 00:03:11.486]  The Afghanis?
[00:03:11.767 --> 00:03:12.487]  The Iraqis?
[00:03:12.547 --> 00:03:14.347]  No, we've bombed them back into the Stone Age.
[00:03:15.507 --> 00:03:16.167]  The Chinese?
[00:03:16.507 --> 00:03:18.768]  No, they build most of the technology we use.
[00:03:19.768 --> 00:03:23.852]  Maybe the North Koreans, but they probably can't even get their rockets off the ground.
[00:03:25.633 --> 00:03:32.679]  Never in the United States history has a president given himself the authority to shut down the entire nation and immobilize the citizenry.
[00:03:33.159 --> 00:03:47.051]  And that was out of the Washington Examiner taking a page, the link actually originally came from RT, but you can go, all the links are there to go look at the executive order, read all about it, and I would encourage you to go check out Police State 4, The Rise of FEMA, either get the copy
[00:03:47.891 --> 00:03:51.376]  At our InfoWars store at InfoWarsStore.com or go see it online.
[00:03:51.416 --> 00:03:58.206]  I believe it's on the Change the Channel website on YouTube or on the YouTube site and you can watch it there.
[00:03:58.967 --> 00:04:03.173]  Towards the end there's a whole section on the NSA communication takeover.
[00:04:03.733 --> 00:04:08.257]  And that was made back in 2009, even before Edward Snowden's time.
[00:04:08.297 --> 00:04:10.238]  We're going to move on to some gun news now.
[00:04:10.839 --> 00:04:14.322]  Illinois Rep calls for troops on Chicago streets.
[00:04:14.422 --> 00:04:16.444]  This is from Curtin MO, came out today.
[00:04:17.004 --> 00:04:26.452]  Representative Monica Davis, a Chicago Southside Democrat, has demanded that the Governor of Illinois deploy State Police National Guard on the city's violence-wracked streets.
[00:04:26.992 --> 00:04:37.999]  I'm requesting with this press conference that Governor Patrick Quinn order the Illinois National Guard and Illinois State Police to come to Chicago and work with our Mayor Rahm Emanuel to provide safety for the children.
[00:04:38.139 --> 00:04:41.702]  I'm calling on the National Guard to come to Chicago and ride up and down the streets.
[00:04:42.947 --> 00:04:45.308]  You know, I was back in Chicago a couple years ago in 2010.
[00:04:45.368 --> 00:04:56.114]  I was watching the National Guard right up and down the streets conducting different exercises of going door-to-door searching for terrorists, searching for meth labs, taking out terrorists.
[00:04:56.555 --> 00:05:07.381]  They were doing training with the Boy Scouts and they also had Polish troops and Polish Secret Service and Polish FBI in there on the act, you know, teaching them how we do things in the new Stasi America.
[00:05:08.442 --> 00:05:14.543]  But this is nothing new, calling for the National Guard to come out to Chicago streets because there's so many victim disarmament zones.
[00:05:14.843 --> 00:05:22.425]  No, back in 2008, Governor Rob McGloyavich on Wednesday signed a new law that will put tougher penalties on selling guns to minors, blah, blah, blah.
[00:05:22.445 --> 00:05:28.286]  But he also said he might be able to free up some resources to get troops into hot zones.
[00:05:28.806 --> 00:05:29.126]  Okay?
[00:05:29.166 --> 00:05:31.726]  And that was back in 2008 he was talking about that.
[00:05:32.146 --> 00:05:33.367]  Now, 2010, two years later,
[00:05:35.347 --> 00:05:36.387]  Well, there's more calls.
[00:05:36.427 --> 00:05:37.527]  More state reps came out.
[00:05:37.547 --> 00:05:39.108]  We actually have a clip of this from 2010.
[00:05:39.168 --> 00:05:44.169]  This is off a YouTube video called National Guard to start patrolling Chicago streets.
[00:05:45.189 --> 00:05:58.452]  State representatives John Fritsche and LaShawn Ford are calling on Governor Quinn and Mayor Daley to deploy the National Guard to help the city's police department combat the shootings, killings, and crime sprees plaguing some Chicago neighborhoods.
[00:05:58.792 --> 00:06:05.316]  When you have a police department that is offered help, I'd be hard pressed to understand why they wouldn't accept that help.
[00:06:05.396 --> 00:06:12.780]  As much as I'd like to have as much help as possible, I'm not sure that mixing the National Guard with local law enforcement is the solution.
[00:06:13.294 --> 00:06:15.435]  Yeah, there's a voice of reason there.
[00:06:15.915 --> 00:06:18.797]  Yeah, mixing the National Guard is not the solution.
[00:06:19.457 --> 00:06:24.460]  When I was in Detroit with Aaron Dykes, we were shooting a bunch of B-roll of the Detroit decay.
[00:06:24.900 --> 00:06:29.582]  We actually saw a sign there that said, where are the troops for us?
[00:06:30.403 --> 00:06:32.524]  And it was written in graffiti on a sign.
[00:06:32.544 --> 00:06:36.826]  They actually wanted troops in their streets as well, because they think that's going to keep them safe.
[00:06:37.426 --> 00:06:47.094]  They think having troops running up and down the streets, pointing guns at people, terrorizing and taking from our homes, like what just happened in Boston, what happened in Katrina, is going to keep people safe.
[00:06:47.154 --> 00:06:47.874]  And what did they do?
[00:06:48.175 --> 00:06:54.580]  They just went into the areas where they knew people were living, and had guns, and went and just confiscated people's guns.
[00:06:54.660 --> 00:06:56.561]  And that's just going to make the crime rate explode.
[00:06:56.661 --> 00:06:57.342]  It always does.
[00:06:57.642 --> 00:07:02.106]  That's why Chicago has the problem that it has, because there's so many victim disarmament zones.
[00:07:03.260 --> 00:07:04.781]  And so, what do we have now?
[00:07:04.841 --> 00:07:12.607]  We have Jacob Sullum off of Reason 24-7 blog, Illinois has become the last state to legalize concealed carry.
[00:07:12.987 --> 00:07:20.633]  Finally some people are getting some sense into the people there in Illinois saying, hey listen, we need to start offering concealed carry.
[00:07:20.673 --> 00:07:23.395]  We need to start letting people arm themselves and protect themselves.
[00:07:23.695 --> 00:07:26.516]  Because if you don't, only the criminals are going to have the guns.
[00:07:26.936 --> 00:07:28.336]  Let's go into this article right now.
[00:07:28.756 --> 00:07:36.657]  The Illinois legislature overrode Governor Pat Quinn's veto of a bill allowing state residents who comply with certain objectives to carry concealed firearms.
[00:07:37.198 --> 00:07:42.659]  Illinois' last state to impose a blanket ban on concealed carry is complying with the December decision in which the U.S.
[00:07:42.679 --> 00:07:46.879]  Court of Appeals for the Seventh Circuit said that that policy violates the Second Amendment.
[00:07:47.439 --> 00:07:50.620]  Just having a license, making you carry a license, violates the Second Amendment.
[00:07:50.720 --> 00:07:53.681]  It should be anybody's right to carry a gun to protect themselves.
[00:07:54.362 --> 00:07:54.862]  We'll go on.
[00:07:56.803 --> 00:08:01.025]  It is known that the shall issue policy as opposed to a may issue policy.
[00:08:01.305 --> 00:08:07.688]  The new law gives the Illinois State Police six months to make applications for concealed carry licenses available.
[00:08:08.931 --> 00:08:11.332]  And so what does Rahm Emanuel do in response to that?
[00:08:12.892 --> 00:08:25.695]  He wants to create more zones, more gun-free little areas in Chicago where criminals know they can rob you because you're not going to have a gun because you're going to be following the law and not carrying your gun into that area.
[00:08:26.255 --> 00:08:28.996]  And this is from Ammo Land, posted on Infowars.com.
[00:08:29.496 --> 00:08:34.197]  Rahm trying to circumvent new Illinois concealed carry law with bogus gun-free zones.
[00:08:36.257 --> 00:08:45.084]  The Illinois legislature overrode Governor Pat Quinn's veto of a bill allowing state residents who comply with certain objectives to carry concealed firearms.
[00:08:46.065 --> 00:08:48.126]  And Breitbart reported this on June 26.
[00:08:48.927 --> 00:08:51.909]  Illinois is the last state to impose a blanket ban on concealed carry.
[00:08:51.949 --> 00:08:53.811]  It's complying with the December decision in which the U.S.
[00:08:53.831 --> 00:08:56.393]  Court of Appeals said it violates the Second Amendment.
[00:08:56.633 --> 00:08:58.455]  Of course, that's what it does.
[00:08:59.035 --> 00:09:03.499]  This means a parent with a concealed carry permit who wants to walk their child home to keep him or her safe
[00:09:04.019 --> 00:09:15.405]  Well, they'll be out of luck because they will be following the law and will not be bringing their guns into the victim disarmament zones and the criminals who want to prey on people like that, they're not going to follow the law anyway, so they don't even really care.
[00:09:15.865 --> 00:09:21.668]  But, we have this thing where the government wants to be able to carry guns at all times and put them in your face and terrorize you.
[00:09:22.788 --> 00:09:25.890]  One of these agencies is the IRS, you know, but they don't want you to have your gun.
[00:09:25.910 --> 00:09:28.331]  They want you to jump through special hoops to get guns.
[00:09:28.351 --> 00:09:32.533]  They want you to, you know, bow down to all their victim disarmament zones.
[00:09:32.813 --> 00:09:36.915]  Well, here we have, IRS won't say why agents are training with AR-15s.
[00:09:37.215 --> 00:09:44.359]  This is posted by Jim Hoft and Fox Carolina reported on this and we're going to go to that video right now.
[00:09:45.097 --> 00:09:51.643]  Congressman Jeff Duncan wants to know why he saw IRS agents training with powerful semi-automatic rifles.
[00:09:51.983 --> 00:10:00.430]  Duncan says he witnessed the agents firing AR-15 with 30 round magazines at a Maryland federal law enforcement training center last month.
[00:10:00.771 --> 00:10:08.938]  Duncan was touring the facility with Homeland Security officials as part of his investigation into the amount of ammunition purchases the agency conducts.
[00:10:09.298 --> 00:10:15.060]  Well, now he's investigating why an agency that collects taxes needs agents armed with such big guns.
[00:10:16.621 --> 00:10:18.322]  Well, people are going to start getting tired.
[00:10:18.342 --> 00:10:19.562]  I guess I can answer that question.
[00:10:19.602 --> 00:10:30.827]  People are going to be tired of paying their taxes to a government that is spying on them, that is using that money to create drones to spy on them and bomb little children and innocent people in other countries.
[00:10:31.267 --> 00:10:33.508]  They're just going to get sick and tired.
[00:10:33.548 --> 00:10:34.788]  They're going to get mad as hell.
[00:10:34.869 --> 00:10:36.189]  They're not going to take it anymore.
[00:10:36.589 --> 00:10:38.070]  And then they're going to stop paying their taxes.
[00:10:38.510 --> 00:10:51.997]  So you're going to have these goons from the IRS, these parasites, these despicable people going around and putting guns in people's faces, killing Americans who don't want to give their money up to, you know, the government, who's just doing evil things with it.
[00:10:52.397 --> 00:10:55.799]  I have a friend who hasn't paid his taxes in years, and he was a veteran.
[00:10:56.539 --> 00:10:57.620]  He actually went and fought
[00:10:58.120 --> 00:11:03.784]  For this country, he actually was training death squads, he found out later, at the School of the Americas.
[00:11:03.824 --> 00:11:05.866]  And now he goes down and every year he protests that.
[00:11:06.126 --> 00:11:07.707]  But he refuses to pay his taxes.
[00:11:07.807 --> 00:11:09.529]  And it has been a burden on his life.
[00:11:09.569 --> 00:11:16.854]  He's not allowed to get a decent job because eventually the IRS catches him and forces him to try to garnish his wages so he moves on.
[00:11:17.275 --> 00:11:17.955]  But, you know, he's...
[00:11:18.976 --> 00:11:20.538]  Matt is telling you he's not going to take it anymore.
[00:11:20.959 --> 00:11:21.940]  That's what's going to happen.
[00:11:22.181 --> 00:11:27.007]  That's why you have him training with the AR-15s and buying all these bullets, because people are going to stop paying their taxes.
[00:11:27.047 --> 00:11:29.191]  That's coming right down the pike.
[00:11:30.359 --> 00:11:33.641]  Moving on, and we have a bunch of articles about the Zimmerman case up today.
[00:11:34.041 --> 00:11:37.264]  I just grabbed one of them, and it's with this judge.
[00:11:37.884 --> 00:11:48.451]  It looks like she got her White House talking orders from the White House, trying to compel Zimmerman to get up on the stand and open himself up for cross-examination, violating his Fifth Amendment.
[00:11:48.751 --> 00:11:51.813]  She says, you know, you don't have to answer any questions, but I'm going to start asking you questions.
[00:11:52.393 --> 00:11:54.715]  And here's the article from Paul Joseph Watson and Alex Jones.
[00:11:55.275 --> 00:11:58.878]  Judge in Zimmerman case pressured by Obama administration.
[00:11:59.358 --> 00:12:13.509]  Speculation is raging that the judge in the George Zimmerman case could have been put under pressure by the Obama administration after she staged a bizarre outburst during which she interrogated Zimmerman while repeatedly silencing his lawyers and here is that clip.
[00:12:14.981 --> 00:12:18.583]  And have you made a decision, sir, as to whether or not you want to testify in this case?
[00:12:18.623 --> 00:12:20.565]  Your Honor, I object to that question.
[00:12:20.585 --> 00:12:21.525]  Okay, overruled.
[00:12:21.545 --> 00:12:25.048]  Have you made a decision as to whether or not you want to testify in the case?
[00:12:25.128 --> 00:12:26.729]  I object to that question.
[00:12:26.789 --> 00:12:33.113]  I think that's... Mr. Zimmerman... Overruled, because... On Mr. Zimmerman's behalf, that decision... I am asking your client questions.
[00:12:33.153 --> 00:12:33.854]  Please, Mr. West.
[00:12:36.865 --> 00:12:42.478]  I object to the court inquiring of Mr. Zimmerman as to his decision about whether or not to testify.
[00:12:42.519 --> 00:12:45.285]  Your objection is overruled.
[00:12:47.597 --> 00:12:50.719]  You do not come into my court and tell me what to do.
[00:12:50.899 --> 00:12:57.303]  I'm going to railroad this jury into a guilty verdict if it's the last thing I do, Mr. Lawyer and Mr. Zimmerman.
[00:12:57.323 --> 00:12:59.384]  Now, would you just answer some questions, Mr. Zimmerman?
[00:12:59.924 --> 00:13:00.845]  Look at that lady.
[00:13:00.885 --> 00:13:02.606]  I bet she's really proud of what she does.
[00:13:03.046 --> 00:13:05.888]  She probably has a very uninformed jury sitting there, too.
[00:13:06.568 --> 00:13:13.632]  And one of the things that actually you get with every order at InfoWars is this little citizen rulebook here.
[00:13:13.672 --> 00:13:14.673]  It's not very big.
[00:13:15.473 --> 00:13:16.175]  Not many pages.
[00:13:16.195 --> 00:13:19.221]  60 pages, but 60 very small pages.
[00:13:19.261 --> 00:13:23.210]  You can get a 10 pack, a 20 pack, and let me just show you what the first section is.
[00:13:25.404 --> 00:13:28.647]  Table of Contents, Section 1, a handbook for jurors.
[00:13:28.887 --> 00:13:29.488]  Oh, look at that.
[00:13:29.508 --> 00:13:49.526]  It talks about jury duty, you are above the law, your jury rights, the law of the land, the Ten Commandments, the Communist Manifesto and how all that works into the way juries are framed these days, jury tampering, giving up your rights, a jury of your peers, basically everything that you need to go in there and basically take over a jury.
[00:13:50.166 --> 00:13:52.127]  Okay, we've had a couple jurors.
[00:13:52.307 --> 00:13:57.749]  One was a, he was a grand juror, Hoppy Heidelberg, who we've had on the show many times.
[00:13:58.089 --> 00:14:00.330]  He's dead now, rest his, God rest his soul.
[00:14:01.030 --> 00:14:04.632]  And he talked about how they gave him a jury handbook and he actually read it.
[00:14:05.032 --> 00:14:07.633]  He was one of the grand jurors on the Oklahoma City case.
[00:14:07.973 --> 00:14:10.254]  And he started asking questions and wanted to bring in witnesses.
[00:14:10.294 --> 00:14:16.717]  And they said, you know, Mr. Heidelberg, you know, they went to his house, the FBI agent said, are you going to cause any more trouble?
[00:14:17.978 --> 00:14:21.239]  And he kind of laughed it off, like, you don't scare me, you little punks.
[00:14:21.759 --> 00:14:22.720]  He's like, I read.
[00:14:22.740 --> 00:14:23.780]  I know what's in the book.
[00:14:24.200 --> 00:14:24.880]  I read the book.
[00:14:25.541 --> 00:14:27.021]  We also had another case.
[00:14:27.101 --> 00:14:33.783]  David Knight interviewed this guy, the New Jersey weed man, who actually was able to get jury nullification in two cases against him.
[00:14:34.444 --> 00:14:35.204]  So it can be done.
[00:14:35.684 --> 00:14:37.405]  All you have to do is inform the jury.
[00:14:37.505 --> 00:14:39.706]  Are you yourself becoming an informed juror?
[00:14:40.406 --> 00:14:44.547]  Okay, if you're on a jury, pass out some of these citizen rule books to the rest of the jurors.
[00:14:44.607 --> 00:14:46.528]  Explain you guys have the right
[00:14:47.591 --> 00:14:55.917]  To look at the law and the facts, not just listen to the judge ramrod her decisions down the throat that are coming from Washington.
[00:14:55.937 --> 00:15:03.403]  And we covered earlier, I think it was yesterday with David Knight, how the Justice Department was actually funding protests
[00:15:03.843 --> 00:15:05.224]  Funding protesters to come down.
[00:15:05.244 --> 00:15:16.773]  They're setting up infrastructure so people could protest this Trayvon Martin situation, which has just blown into a huge story, which normally this thing would not have made it out of the statewide news, but now it's huge news.
[00:15:17.713 --> 00:15:20.295]  Moving on to a Breitbart story.
[00:15:20.796 --> 00:15:24.859]  California Senate passes bill permitting non-citizen poll workers.
[00:15:25.319 --> 00:15:28.882]  And they have the sign here, Vote IKEA, which also means vote here.
[00:15:30.142 --> 00:15:42.210]  Senator Norma Torres, a Democrat from Pomona, who placed the Botana Bill before the Senate, said that the non-citizens could help the 2.6 million Californians whose English skills are limited.
[00:15:42.610 --> 00:15:47.092]  These individuals have an absolute right to make fully informed voting decisions on Election Day.
[00:15:47.112 --> 00:15:49.354]  I wonder what they're going to be telling them to vote for.
[00:15:49.374 --> 00:15:50.915]  Vote for them to take your guns.
[00:15:50.975 --> 00:15:52.315]  Take your guns and more entitlements.
[00:15:52.436 --> 00:15:55.798]  Because that's why they're there, to get those guns and get those entitlements.
[00:15:56.858 --> 00:16:02.419]  And I'm sorry, I don't think you should be able to work at a polling center for the United States unless you're a United States citizen.
[00:16:02.439 --> 00:16:04.740]  I don't think you should be able to vote unless you're a United States citizen.
[00:16:04.780 --> 00:16:07.481]  That's how it works in every other country in the world.
[00:16:08.161 --> 00:16:09.961]  I can't go to Libya and vote in their elections.
[00:16:11.041 --> 00:16:15.142]  Why should we let people from Mexico come and vote in ours just because they decided they wanted to move here?
[00:16:15.463 --> 00:16:17.863]  No, you become a citizen, then you get to vote.
[00:16:18.223 --> 00:16:20.104]  That's how it works everywhere else in the world.
[00:16:20.264 --> 00:16:21.364]  Why do we have to be different?
[00:16:22.506 --> 00:16:26.559]  Because we're so free and we have so much money that we can just pay all these entitlement programs.
[00:16:27.734 --> 00:16:28.114]  Interesting.
[00:16:29.374 --> 00:16:45.097]  A group that has been working on this voting situation, they've gone in and tried to vote for dead people, they've tried to vote as Eric Holder, is Project Veritas and James O'Keefe, and his new book just came out, Breakthrough, A Guerrilla War to Expose Fraud and Save Democracy.
[00:16:45.117 --> 00:16:53.059]  It's by James O'Keefe, the founder of Project Veritas, and he's going to be on the show, I think tomorrow, with Alex Jones, talking about this book.
[00:16:54.110 --> 00:16:56.692]  But they've been doing a lot of good work, a lot of good citizen journalism.
[00:16:57.052 --> 00:17:03.657]  It's basically getting cameras, going out there and creating the news because the mainstream media is not going to report on this.
[00:17:03.978 --> 00:17:08.481]  You know, they'll go out and report on an oil changing facility that's ripping people off.
[00:17:08.781 --> 00:17:13.105]  But they're not interested in looking at the power of government and when that is corrupt.
[00:17:13.165 --> 00:17:14.586]  They're really not interested in that.
[00:17:14.626 --> 00:17:15.747]  That's not their bread and butter.
[00:17:16.047 --> 00:17:20.891]  It's basically to keep, you know, talk about consumer things and who's wearing what and where we're going.
[00:17:21.591 --> 00:17:24.872]  That's why it takes Citizen Journalism, which takes us to our next story.
[00:17:25.313 --> 00:17:29.174]  This story we put up a few days ago on InfoWars.
[00:17:29.214 --> 00:17:30.695]  It was on the health section.
[00:17:31.235 --> 00:17:36.657]  And we gave it the headline, Leukemia Causing Chemical Is Lurking In Your Pantry.
[00:17:36.697 --> 00:17:39.538]  And this is from the blog, Whole Food, Real Food, Good Food.
[00:17:40.098 --> 00:17:42.299]  And I actually know the person who started this blog.
[00:17:42.319 --> 00:17:43.380]  I've known her since college.
[00:17:43.400 --> 00:17:44.500]  She's a good friend of my wife's.
[00:17:44.920 --> 00:17:46.661]  Her name is Julie Hornbecker.
[00:17:47.461 --> 00:17:49.884]  And basically she was a stay-at-home mom.
[00:17:50.304 --> 00:17:57.492]  She started looking at the ingredients on the back of the food that she was feeding her kids and her husband and started doing research on it.
[00:17:57.573 --> 00:17:58.834]  She uses natural news a lot.
[00:17:58.854 --> 00:18:00.456]  She tells me she's a big fan of Mike Adams.
[00:18:01.177 --> 00:18:05.602]  And by doing all this research and stuff, she goes, you know, I ought to share this information with people.
[00:18:05.862 --> 00:18:07.303]  So she started a blog with
[00:18:07.884 --> 00:18:08.144]  That's right.
[00:18:30.921 --> 00:18:31.861]  I guess that's how you say it.
