[00:00:17.534 --> 00:00:19.376]  You want to fight?
[00:00:19.416 --> 00:00:23.961]  You better believe you've got one!
[00:00:42.071 --> 00:00:43.834]  Welcome to the InfoWars Nightly News.
[00:00:43.954 --> 00:00:48.060]  I'm your host, Melissa Melton, and let's check out what's coming up on this Wednesday, February 27, 2013 edition.
[00:00:52.657 --> 00:00:59.523]  Tonight, spam bots invade Congress as Obama Knights flood congressional Twitter accounts in fraudulent anti-gun messages.
[00:01:00.043 --> 00:01:05.407]  Then, the DHS plans to release 10,000 illegal aliens from detention centers.
[00:01:05.808 --> 00:01:10.812]  And Katherine Albrecht, in studio, exposes the RFID privacy nightmare.
[00:01:11.452 --> 00:01:14.395]  That's up next on the InfoWars Nightly News.
[00:01:16.618 --> 00:01:23.944]  I just want to start tonight's broadcast off by saying that we here at InfoWars, we take a lot of flack and a lot of times we're called names like crazy conspiracy theorists.
[00:01:24.585 --> 00:01:30.650]  But even if you try to look at this from a skeptic's point of view, the things that our government is engaged in at this time is just completely insane.
[00:01:30.670 --> 00:01:31.650]  It makes no sense.
[00:01:31.991 --> 00:01:33.832]  It throws logic completely out the window.
[00:01:33.852 --> 00:01:35.654]  I mean, let's take a look at this first story.
[00:01:36.114 --> 00:01:40.398]  DHS to release 10,000 illegals while building new detention centers.
[00:01:41.138 --> 00:02:00.798]  Okay, so the Department of Homeland Security plans to release 10,000 illegal aliens from detention centers in response to possible sequestration budget cuts, citing the unaffordability of maintaining these jails, while simultaneously building new detention centers for illegal aliens that cost tens of millions of dollars, I guess so that they can also not be afforded to be maintained?
[00:02:01.559 --> 00:02:02.980]  Doesn't make any sense at all.
[00:02:03.260 --> 00:02:08.101]  And actually they've already started releasing illegal immigrants ahead of the budget cuts even going into effect.
[00:02:08.802 --> 00:02:18.345]  And Napolitano is saying she doesn't think we can maintain, we being her and her ilk, the same level of security at all places around the country with sequester.
[00:02:19.245 --> 00:02:20.307]  As without sequester.
[00:02:20.787 --> 00:02:28.698]  And I'm actually really hoping that what that means is they're not going to be able to afford to stick their hands down the pants of as many three-year-olds at the airport who just want to go to Disneyland.
[00:02:28.718 --> 00:02:31.742]  Because we all know they're not doing anything at the border anyway.
[00:02:32.263 --> 00:02:32.984]  And there she is.
[00:02:33.004 --> 00:02:34.826]  Oh, that's beautiful.
[00:02:35.427 --> 00:02:36.868]  Yes, that is wonderful.
[00:02:36.928 --> 00:02:37.368]  I love that.
[00:02:37.448 --> 00:02:40.731]  That's pretty accurate, actually, and it's unfortunate and sad.
[00:02:41.011 --> 00:02:48.316]  They're releasing people from one end of the spectrum while they're building more facilities, which they're not going to apparently be able to afford to put people in.
[00:02:48.696 --> 00:02:49.616]  It makes no sense.
[00:02:49.717 --> 00:02:50.517]  It makes no sense at all.
[00:02:50.837 --> 00:03:00.724]  And for more on how Queen Napolitano is basically, ironically, using these terroristic threats, they're veiled threats, against the American people in the wake of budget cuts, let's go now to Erin Dykes.
[00:03:06.488 --> 00:03:14.050]  Under sequestration, immigration and customs enforcement, also part of DHS, will be forced to reduce detention and removal.
[00:03:14.110 --> 00:03:19.032]  Perhaps most critically, it would have serious consequences to the flow of trade and travel.
[00:03:19.172 --> 00:03:21.713]  So the sequestration budget cuts are here.
[00:03:21.733 --> 00:03:31.096]  A measly 85 billion dollars of automatic cuts because they couldn't agree on real budget cuts that will basically do nothing to the American budget.
[00:03:31.556 --> 00:03:47.423]  And yet, in the news, we have Janet Napolitano, head of Homeland Security, openly making threats that if they dare touch her precious Homeland Security budget, there might be new terror attacks, or there might be a new wave of immigrants illegally flooding across the border.
[00:03:47.483 --> 00:03:49.064]  Let's play a short clip of that right now.
[00:03:49.244 --> 00:03:57.730]  Look, I don't think we can maintain the same level of security at all places around the country with sequester as without sequester.
[00:03:57.750 --> 00:04:05.835]  Threats from terrorism and the need to respond and recover from natural disasters do not diminish because of budget cuts.
[00:04:06.055 --> 00:04:07.436]  Let's just call it for what it is.
[00:04:07.516 --> 00:04:08.496]  It's a veiled threat.
[00:04:08.856 --> 00:04:11.697]  It is terrorism, and we know who the real terrorists are.
[00:04:12.058 --> 00:04:24.243]  We've seen countless false flag events from 9-11 on down, from the phony underwear bomber scenario used to sell body scanners to the public, and of course, the setting up of Homeland Security itself to terrorize the people.
[00:04:24.683 --> 00:04:25.563]  We know what it is.
[00:04:25.603 --> 00:04:33.667]  The dictionary definition of terrorism is the systematic use of fear or terror as a means of coercion, and that's just what they're doing.
[00:04:34.167 --> 00:04:37.970]  And of course, Janet Napolitano says she's not trying to scare anyone.
[00:04:38.030 --> 00:04:40.731]  She just wants them to plan for what if.
[00:04:40.932 --> 00:04:50.178]  If there's not enough money for TSA to grow passengers and what to do if there's longer lines and you have to wait to get on a plane or if you're not able to make your flight.
[00:04:50.278 --> 00:05:02.026]  Average wait times to clear customs will increase by as much as 50% and at our busiest airports like Newark and JFK, LAX and O'Hare, peak wait times
[00:05:02.426 --> 00:05:05.948]  Which can reach over two hours, could easily grow to four hours.
[00:05:06.229 --> 00:05:16.236]  Homeland Security and other national security figures, Napolitano on down, don't want the public to even think that these national security apparatuses can be targeted by budget cuts.
[00:05:16.576 --> 00:05:18.537]  So that's why they want to reiterate the fear.
[00:05:18.857 --> 00:05:30.866]  They admittedly did it during the Bush administration, using their color-coded fear chart, every time Bush was down in the polls, or that he faced re-election, or that the public was beginning to doubt that the war on terror was real.
[00:05:31.286 --> 00:05:35.247]  Now we see it again, as we already have in the Obama administration.
[00:05:35.287 --> 00:05:39.708]  The fear-mongering over checks won't go out, people are going to starve, people are going to go hungry.
[00:05:40.168 --> 00:05:48.509]  And then here's Napolitano adding on to that, that the country will break down and passengers will have to wait in lines and the TSA won't be able to do its job.
[00:05:48.569 --> 00:05:50.930]  And it's not our fault if there's more terror attacks.
[00:05:51.030 --> 00:05:55.251]  Well, we know who's clearly behind the staged phony terror in this country.
[00:05:55.611 --> 00:05:56.631]  We also know
[00:05:57.051 --> 00:06:07.514]  That Homeland Security and TSA have never caught a real terrorist, especially at airports, and that the only terrorists they have set up and charged are those led by admitted FBI sting operations.
[00:06:07.874 --> 00:06:16.277]  But Napolitano wants you to think that her precious Homeland Security budget is untouchable and that they have a right to occupy and control the direction of this country.
[00:06:16.417 --> 00:06:24.759]  Of course, Homeland Security's real money comes through black budgets and is used for continuity of government operations, setting up of FEMA camps, and a lot more.
[00:06:25.199 --> 00:06:26.900]  No one's even pretending to touch that
[00:06:26.920 --> 00:06:27.481]  I think so.
[00:06:41.977 --> 00:06:53.445]  They want you to be afraid of a wave of illegal immigration, even though they're admittedly planning to give amnesty to more than 11 million immigrants, and pretty much openly don't do anything to restrict the border.
[00:06:53.846 --> 00:07:02.532]  In fact, Department of Justice and others give weapons to the drug cartels, allow them to ship in their drugs, and then launder the money on Wall Street.
[00:07:02.932 --> 00:07:07.556]  They just want to, again, control and instill fear in the American public.
[00:07:07.576 --> 00:07:09.017]  They're not going to do anything to stop
[00:07:09.477 --> 00:07:15.922]  Illegal immigration one way or another and they're certainly not going to stop terrorism which they could just use to further their own agenda.
[00:07:16.263 --> 00:07:18.044]  We see through you Janet Napolitano.
[00:07:18.384 --> 00:07:27.552]  We know that your odor comes from a defensive mechanism like a skunk or like a stink beetle to keep people away from your little precious jewel agency of Homeland Security.
[00:07:28.152 --> 00:07:34.455]  So they'll think they can't cut your budget and you'll just excrete this defensive odor upon the people.
[00:07:34.475 --> 00:07:34.836]  Stop it.
[00:07:35.136 --> 00:07:35.856]  You're repugnant.
[00:07:35.936 --> 00:07:37.417]  You're repugnant to the Constitution.
[00:07:37.757 --> 00:07:39.038]  Get away from our Bill of Rights.
[00:07:39.078 --> 00:07:40.859]  Stop using it as your toilet paper.
[00:07:41.259 --> 00:07:43.680]  Signing off for InfoWars.com, I'm Aaron Dyches.
[00:07:44.981 --> 00:07:49.943]  I'm Janet Napolitano, Secretary of Homeland Security.
[00:07:50.583 --> 00:07:58.106]  If you try to take our money that is rightfully ours, we will unleash a legion of terrorists on you.
[00:07:58.747 --> 00:08:07.550]  Because we need our money to put our hands down your pants and create terror alerts and do all kinds of things to take away your freedoms.
[00:08:07.950 --> 00:08:11.632]  And to pay for targets that look like pregnant women
[00:08:12.072 --> 00:08:17.396]  And all men defending their homes, those are the real terrorists.
[00:08:26.596 --> 00:08:27.197]  Take my money!
[00:08:27.577 --> 00:08:28.979]  Just take it, Gina DiPaolo!
[00:08:29.019 --> 00:08:30.060]  Just take my money, please!
[00:08:30.360 --> 00:08:31.441]  Please, I'm so scared!
[00:08:31.481 --> 00:08:32.382]  Please, take my money!
[00:08:32.823 --> 00:08:34.444]  Come on, seriously, this is ridiculous.
[00:08:35.085 --> 00:08:36.006]  Anyway, moving on.
[00:08:37.268 --> 00:08:42.473]  Texas public school students are donning burqas and learning that Muslim terrorists are freedom fighters now.
[00:08:42.673 --> 00:08:43.014]  So that's...
[00:08:43.454 --> 00:08:46.778]  That's a new wonderful thing that's happening here in the Texas Public Schools.
[00:08:46.818 --> 00:08:55.609]  A teacher has allegedly encouraged the schoolgirls to dress in full-length Islamic burqas and then instruct the entire class that Muslim terrorists are actually freedom fighters.
[00:08:55.869 --> 00:09:00.755]  And the teacher even allegedly said she doesn't agree with it, but she's supposed to teach people that
[00:09:01.135 --> 00:09:03.257]  They're not supposed to call them terrorists, they're freedom fighters.
[00:09:03.617 --> 00:09:17.106]  And at the end of the class, a teacher assigned a paper about Egypt and a student explained to reporters the topic of the paper was how Egypt was a good country until democracy took over and that things were finally corrected when the Muslim Brotherhood came into power.
[00:09:17.566 --> 00:09:21.329]  So is this teacher teaching students to think critically or is this more PC,
[00:09:22.089 --> 00:09:22.729]  Brainwashing.
[00:09:22.749 --> 00:09:31.873]  I mean, we're the ones that put the Muslim Brotherhood into power, and now we have this brainwashing arm for our children that's telling them to think that that's good?
[00:09:32.233 --> 00:09:34.154]  This makes, again, no sense.
[00:09:34.874 --> 00:09:39.896]  And moving on to things that make absolutely no sense, let's take a look at this.
[00:09:40.216 --> 00:09:40.797]  Eyewitness.
[00:09:40.917 --> 00:09:43.578]  Yes, the Nazis did confiscate our guns.
[00:09:44.298 --> 00:09:57.268]  So, this is an eyewitness, an Austrian citizen, Kitty Werthmann, who was actually there when Hitler was, the annexation of Austria, and she says she actually saw them taking away citizens' guns.
[00:09:57.769 --> 00:10:05.215]  And yet, all these gun control advocates and all these mainstream media people are trying to rewrite history and say that never happened.
[00:10:05.962 --> 00:10:08.444]  Oh, the Austrian people all had guns.
[00:10:09.445 --> 00:10:12.447]  But the government said, the guns are very dangerous.
[00:10:12.988 --> 00:10:14.529]  Children are playing with guns.
[00:10:14.989 --> 00:10:16.490]  Hunting accidents happen.
[00:10:17.131 --> 00:10:22.035]  And we really have to have total control, safety.
[00:10:22.535 --> 00:10:26.919]  So we dutifully went to the police station and we registered our guns.
[00:10:27.579 --> 00:10:30.341]  Not long after, they said, no, it didn't help.
[00:10:30.942 --> 00:10:34.525]  The only way that we don't have accidents and crimes
[00:10:35.782 --> 00:10:43.288]  You bring the guns to the police station and then we don't have any crimes anymore and any accidents.
[00:10:43.668 --> 00:10:47.972]  And if you don't do that, capital punishment.
[00:10:48.692 --> 00:10:49.433]  So there you have it.
[00:10:50.294 --> 00:10:57.800]  Stalin and Hitler disarmed their political adversaries before engaging in mass genocide.
[00:10:59.437 --> 00:11:00.898]  See, and that woman wasn't Jewish.
[00:11:00.938 --> 00:11:01.799]  She was Austrian.
[00:11:02.079 --> 00:11:02.859]  And they took her gun.
[00:11:02.899 --> 00:11:03.760]  She was actually there.
[00:11:04.080 --> 00:11:04.821]  She witnessed it.
[00:11:05.061 --> 00:11:10.144]  And now we have all these mainstream media outlets coming out, like Salon.com, publishing stuff like this.
[00:11:10.665 --> 00:11:12.646]  The Hitler Gun Control Lie.
[00:11:13.206 --> 00:11:15.488]  And these stories are ridiculous.
[00:11:15.748 --> 00:11:16.288]  It's amazing.
[00:11:16.368 --> 00:11:21.132]  Actually, it says, the notion that Hitler confiscated everyone's guns is mostly bogus.
[00:11:21.832 --> 00:11:24.194]  Well, mostly bogus means partly true.
[00:11:24.674 --> 00:11:32.181]  Then they go on to say the law did prohibit Jews and other persecuted classes from owning guns, but this should not be an indictment of gun control in general.
[00:11:32.621 --> 00:11:41.148]  I'm pretty sure it should, because if you're Jewish and you get your guns taken away and then millions of you are slaughtered in mass, that's a pretty good argument against gun control.
[00:11:41.789 --> 00:11:47.394]  But my favorite line I think is, if guns don't kill people because of the argument, guns don't kill people, people kill people.
[00:11:47.834 --> 00:11:49.956]  Then neither does gun control cause genocide.
[00:11:50.177 --> 00:11:51.878]  Genocidal regimes cause genocide.
[00:11:52.239 --> 00:12:01.428]  Well, I would argue that we're living under a genocidal regime because we're killing thousands every day through Planned Parenthood, which our government gives millions to every day.
[00:12:01.869 --> 00:12:08.796]  And that was started by a known eugenicist who on record wanted to do away with minorities, with the low-income, impoverished, with
[00:12:09.296 --> 00:12:09.977]  We're good to go.
[00:12:31.489 --> 00:12:41.176]  And I just think it's amazing that we live in a time where we're surrounded by such evil that we have these media outlets openly standing up for Adolf Hitler.
[00:12:41.577 --> 00:12:43.058]  It's just, it's amazing to me.
[00:12:43.298 --> 00:12:50.343]  And I think the point of stories like this is so that people won't make that connection between Adolf Hitler, who was a cult of personality back in his day,
[00:12:50.723 --> 00:13:08.919]  After the false flag Reichstag event he passed an enabling act and became a dictator and he was a horrible authoritative dictator that killed millions of people and now today we have cult of personality Obama passing all of his unconstitutional executive orders and the NDAA where he can indefinitely detain US citizens without even a charge or a trial.
[00:13:09.259 --> 00:13:09.760]  I think that
[00:13:10.260 --> 00:13:13.304]  The mainstream media just doesn't want you to know that history repeats itself.
[00:13:13.344 --> 00:13:17.228]  Well, it's going to continue to repeat itself, whether or not Salon likes it or not.
[00:13:17.528 --> 00:13:24.496]  And actually, I think that people like Alex Seitzwald and Salon need to stop misdirecting people with partial bits of truth.
[00:13:24.777 --> 00:13:25.658]  Because were you there?
[00:13:25.998 --> 00:13:26.499]  No, you weren't.
[00:13:26.539 --> 00:13:29.342]  But Kitty Werthmann was, and she said it happened, okay?
[00:13:29.882 --> 00:13:32.763]  Moving on to more people who don't know what they're talking about.
[00:13:32.903 --> 00:13:37.625]  ABC is now defending their editing of Michelle Obama's automatic weapon claim.
[00:13:37.965 --> 00:13:52.210]  Apparently Michelle Obama went on to Good Morning America and she claimed that 15-year-old Hadiyah Pendleton, who was killed in Chicago shortly after performing at the president's inauguration, was shot because some kids had some automatic weapons they didn't need.
[00:13:52.290 --> 00:13:52.990]  That's what she said.
[00:13:53.870 --> 00:13:59.934]  But actually, the Chicago Police Report says that Pendleton was shot by a man who opened fire with a handgun.
[00:13:59.974 --> 00:14:02.175]  So it was a grown man using a handgun.
[00:14:02.435 --> 00:14:03.916]  But they actually edited that out.
[00:14:04.517 --> 00:14:10.340]  And Michelle Obama will obviously use any means she can to get this anti-Second Amendment propaganda out there.
[00:14:10.700 --> 00:14:16.384]  And then the mainstream media will go around behind her and try to pick up the pieces of her lies.
[00:14:16.924 --> 00:14:19.706]  And for more mental trinkets from our White House,
[00:14:20.386 --> 00:14:25.070]  Here's even more ridiculous advice from Joe Biden on guns and women's self-defense.
[00:14:25.490 --> 00:14:27.572]  Joe Biden on self-defense for women.
[00:14:27.872 --> 00:14:30.975]  If you want to protect yourself, get a double-barrel shotgun.
[00:14:31.415 --> 00:14:43.224]  As I told my wife, I said, Jill, if there's ever a problem, just walk out on the balcony here, walk out, put that double-barrel shotgun, and fire two blasts outside the house.
[00:14:43.444 --> 00:14:44.645]  Great advice, Joe.
[00:14:44.906 --> 00:14:46.447]  Not only would that be illegal,
[00:14:46.667 --> 00:14:50.248]  But a woman would then face an attacker with an empty shotgun.
[00:14:50.548 --> 00:14:56.490]  In California, everyone talks about the big earthquake or some terrible natural disaster as a last line of defense.
[00:14:56.790 --> 00:14:57.850]  What would you say to those people?
[00:14:57.950 --> 00:15:00.491]  Well, I would say there's an awful, you know, guess what?
[00:15:00.531 --> 00:15:02.252]  A shotgun will keep you a lot safer.
[00:15:02.832 --> 00:15:08.714]  A double-barreled shotgun than the assault weapons in somebody's hands who doesn't know how to use it, even one who does know how to use it.
[00:15:09.014 --> 00:15:09.394]  You know.
[00:15:09.774 --> 00:15:13.115]  It's harder to use an assault weapon than hit something that is a shotgun, okay?
[00:15:13.415 --> 00:15:16.276]  So you want to keep people away in an earthquake, buy some shotgun shells.
[00:15:19.110 --> 00:15:28.920]  So Biden's telling his wife that she needs to take a double barrel shotgun, aim it out the window, fire two blasts, and then stand there with an empty gun while a would-be attacker continues to make her way there.
[00:15:30.001 --> 00:15:34.725]  Jill, I think what you need to do is call Secret Service and not take advice from your husband or else you're going to end up dead.
[00:15:34.745 --> 00:15:35.266]  Okay?
[00:15:35.886 --> 00:15:41.852]  And speaking of the White House, Republican rep demands White House records after fraudulent gun control tweets.
[00:15:42.193 --> 00:15:44.535]  We're talking about spam bots invading Congress.
[00:15:44.555 --> 00:15:58.809]  Apparently, Representative Steve Stockman on Tuesday pressed President Obama and his de facto campaign arm, Organizing for Action, for more info on White House gun control efforts amid new allegations that Obama supporters are flooding congressional Twitter accounts with phony and fraudulent anti-gun messages.
[00:15:59.489 --> 00:16:13.740]  And apparently he was deeply troubled by the fact that Obama supporters were, in their anti-gun campaign, were using spam bots to send fake Twitter messages to members of Congress intending to create a false appearance of a grassroots support.
[00:16:14.220 --> 00:16:15.421]  And I think it's pretty sad.
[00:16:15.461 --> 00:16:20.565]  I guess we're going back to the days of grade school now and Obama's going to have to pay for friends like he's going to have to pay for support.
[00:16:20.725 --> 00:16:22.527]  I mean, it's really ridiculous.
[00:16:22.907 --> 00:16:26.930]  And actually, what I'm about to tell you probably won't even surprise you, but it actually did surprise me.
[00:16:28.251 --> 00:16:38.583]  Apparently the DHS has also been working on a Cyber Warriors for Obama project where they've hired about 3,600 people to divert, disrupt, and destroy.
[00:16:38.603 --> 00:16:40.586]  They were hired for their hacking abilities.
[00:16:40.606 --> 00:16:43.489]  They're supposed to go into anti-Obama websites and
[00:16:44.150 --> 00:16:48.653]  Put up fake postings through proxy servers, alternate identities, and multiple email addresses.
[00:16:49.014 --> 00:16:53.237]  And apparently, according to this, they also refer to Obama as the Pharaoh of the Internet.
[00:16:53.597 --> 00:17:03.965]  So next time you see spam on the InfoWars website, you see a troll that's saying the same thing over and over in story after story, it could be a cyber warrior working for the Pharaoh of the Internet.
[00:17:04.645 --> 00:17:05.806]  Mr. Obama there.
[00:17:06.266 --> 00:17:08.948]  And it's a good thing he can pay for those people to call him that.
[00:17:08.988 --> 00:17:09.609]  That's wonderful.
[00:17:09.649 --> 00:17:13.352]  But they can't afford to protect us from illegal aliens, but they can afford to build a jail.
[00:17:13.372 --> 00:17:15.293]  See, it all makes lots and lots of sense.
[00:17:15.713 --> 00:17:24.300]  Just like John Kerry is now telling people this week that the Syrian rebels who we're funding that are also the Al-Qaeda that supposedly committed the 9-11 attacks deserve our support.
[00:17:24.820 --> 00:17:26.261]  That's all coming from our government.
