[00:00:02.981 --> 00:00:05.382]  Ah, Christmas music!
[00:00:05.382 --> 00:00:08.624]  Oh my gosh, bigoted religious austerity!
[00:00:08.624 --> 00:00:09.144]  Ban it!
[00:00:09.144 --> 00:00:10.305]  The status card!
[00:00:10.305 --> 00:00:11.005]  Ban it!
[00:00:11.005 --> 00:00:12.466]  Oh Lord!
[00:00:12.466 --> 00:00:13.526]  Turn it off!
[00:00:13.526 --> 00:00:15.467]  Turn it off!
[00:00:15.467 --> 00:00:24.371]  Writing a frontal assault on the lives of the New World Order, it's Alex Jones on the GCN Radio Network.
[00:00:24.371 --> 00:00:31.655]  It is not Alex Jones, it is I, Here's Morgan, who openly came out
[00:00:32.555 --> 00:00:41.967]  What was it last Friday about that Duck Dynasty bedraggled bearded buffoon?
[00:00:41.967 --> 00:00:44.670]  And I said, I want him banned!
[00:00:44.670 --> 00:00:47.634]  Here's my exact headline from that Friday.
[00:00:47.774 --> 00:00:49.056]  Drudge Report ran it.
[00:00:49.056 --> 00:00:58.246]  It says, Piers Morgan, First Amendment, shouldn't protect vile bigots like Phil Robertson.
[00:00:58.246 --> 00:01:04.913]  And I am very pleased to announce to everyone, I have the headlines here in front of me, banning Christmas trees in Texas.
[00:01:04.913 --> 00:01:06.375]  Banning everything.
[00:01:06.375 --> 00:01:07.716]  Make it all illegal.
[00:01:08.317 --> 00:01:10.139]  Here's the Newsmax headline.
[00:01:10.139 --> 00:01:14.242]  Christmas trees burned at Texas school called Draconian.
[00:01:14.242 --> 00:01:18.365]  I don't think it's Draconian for Dracool.
[00:01:18.365 --> 00:01:30.135]  The symbol of my queen is a red dragon, and the red dragon sees Christ and any signet of the cross as an enemy to our overall operation.
[00:01:30.135 --> 00:01:36.681]  Once we have taken your firearms, we will be able to sop on your liberties, your property,
[00:01:37.441 --> 00:01:39.923]  Finally, your children!
[00:01:39.923 --> 00:01:57.439]  As the great Savel has done, we are here broadcasting worldwide and I am the mighty, the tyrannical, the gigantic pig creature, Piers the Coward Morgan!
