[00:00:00.089 --> 00:00:07.235]  I'm here.
[00:00:07.635 --> 00:00:08.295]  Big Brother.
[00:00:08.936 --> 00:00:09.997]  Mainstream media.
[00:00:10.717 --> 00:00:11.858]  Government cover-ups.
[00:00:12.479 --> 00:00:13.299]  You want answers?
[00:00:14.060 --> 00:00:15.061]  Well, so does he.
[00:00:15.601 --> 00:00:19.244]  He's Alex Jones on the GCN Radio Network.
[00:00:19.804 --> 00:00:23.887]  And now, live from Austin, Texas, Alex Jones.
[00:00:40.751 --> 00:00:45.753]  Ladies and gentlemen, we are live and it is Monday, the eighth day of April 2013.
[00:00:45.833 --> 00:00:51.515]  We're going to be here live for the next three hours.
[00:00:51.575 --> 00:00:55.017]  There is just all sorts of insanity breaking out all over the world.
[00:00:56.077 --> 00:01:10.263]  In Egypt, in Libya, in Syria, in North Africa, Christians are being mass murdered and just torched and beheaded and raped and killed everywhere.
[00:01:11.711 --> 00:01:15.815]  Black Libyans are being hacked up with machetes and machine guns daily.
[00:01:16.335 --> 00:01:22.681]  And it's just back of foreign newspapers because the Peace Prize winner is running it all with NATO.
[00:01:23.916 --> 00:01:27.658]  I mean, I have stacks of these articles every day, to the point of I don't even get to them.
[00:01:27.678 --> 00:01:33.001]  It's like, oh, Coptic Christians under siege as mob attacks Cairo Cathedral, trying to burn it down.
[00:01:33.021 --> 00:01:33.782]  London Independent.
[00:01:34.202 --> 00:01:37.124]  Israel closes Gaza Crossing after rockets fired.
[00:01:37.584 --> 00:01:44.548]  Gaza, I mean, it just goes on and on and on until it is not even a news item anymore.
[00:01:45.849 --> 00:01:51.692]  It is just not even a news item that all of this craziness is going on.
[00:01:51.972 --> 00:01:52.973]  And it's now normal
[00:01:54.295 --> 00:02:05.727]  To have the Department of Defense have training manuals for the military that quote evangelical Christians and Catholics period are extremist and they put them in a category right next to Al Qaeda.
[00:02:06.488 --> 00:02:08.410]  And it's on Fox News, it's not even a news item.
[00:02:09.110 --> 00:02:12.234]  Just as Fox News doesn't become a national story.
[00:02:13.411 --> 00:02:23.124]  MSNBC host, in a promo ad, running, says your kids don't belong to you, they belong to the state and the collective, and the only place that cares about it is DrudgeReport.com.
[00:02:23.144 --> 00:02:25.707]  It's on the left-hand side of DrudgeReport.com.
[00:02:26.088 --> 00:02:29.872]  MSNBC host, your kids belong to the collective.
[00:02:30.834 --> 00:02:35.436]  And that's why the White House said last week, the Drudge Report is causing us problems.
[00:02:36.256 --> 00:02:39.077]  The Drudge Report is causing us problems.
[00:02:40.077 --> 00:02:41.598]  Because we can't control the narrative.
[00:02:41.798 --> 00:02:42.458]  I mean, what is there?
[00:02:42.478 --> 00:02:50.141]  There's InfoWars.com, there's Drudge Report, Beck covers some of this stuff, Limbaugh a little bit, but he won't talk about Republicans that are going along with it, really.
[00:02:50.741 --> 00:02:59.444]  I mean, this country, Michael Savage talks about some of this stuff, and of course, they're not perfect, but I mean, at least they'll say Communism's not a good idea.
[00:03:01.118 --> 00:03:09.113]  America has lost its moral rudder and compass, and so has the entire Western world for that matter, and now Katie barred the door.
[00:03:10.195 --> 00:03:11.818]  I mean, Katie barred the door.
[00:03:11.838 --> 00:03:13.501]  I was driving into work this morning.
[00:03:14.960 --> 00:03:16.722]  Listening to local AM talk radio.
[00:03:17.602 --> 00:03:22.687]  And I heard caller after caller going, Obamacare gives me free healthcare, Obama cares about me.
[00:03:22.707 --> 00:03:36.459]  And the host would say, well you know it doubles healthcare prices this year, it hires 16,000 IRS agents, it was written by the insurance companies, it's a giant scam, it does have death panels, rationing of care.
[00:03:36.879 --> 00:03:42.364]  And the people would laugh at him going, that's a talking point from the Republican Party.
[00:03:44.065 --> 00:03:47.549]  No, the Republican Party's bought and paid for at the top by the very same people.
