[00:00:03.683 --> 00:00:03.803]  Okay.
[00:00:40.224 --> 00:00:41.885]  Good evening, I'm David Ortiz.
[00:00:42.066 --> 00:00:45.488]  It's Monday, the 14th of January of 2013.
[00:00:46.449 --> 00:00:50.832]  You're watching InfoWars Nightly News, and here's what we have in store for you tonight.
[00:00:54.312 --> 00:00:59.377]  Tonight, still no school surveillance footage released in Sandy Hook.
[00:00:59.697 --> 00:01:01.839]  Was the AR-15 a hoax?
[00:01:02.379 --> 00:01:08.885]  Then, a new study reveals that Chicago is more dangerous than Afghanistan.
[00:01:09.406 --> 00:01:13.730]  And the Obama phone lady in studio with Alex Jones.
[00:01:14.210 --> 00:01:17.754]  That's coming up next on the InfoWars Nightly News.
[00:01:27.887 --> 00:01:28.588]  Welcome back.
[00:01:28.628 --> 00:01:37.857]  Well, it seems Barack Obama feels Janet Napolitano, the Secretary of the Department of Homeland Security, is doing wonderful.
[00:01:38.558 --> 00:01:49.809]  In an article posted today on TheWashingtonPost.com, it reads, Secretary of Homeland Security Janet Napolitano will remain in the same post as President Obama begins a second term, a White House official said Monday.
[00:01:50.555 --> 00:01:58.721]  Napolitano, who has been dealing with the recent death of her father, had planned to stay and the administration confirmed that she would on Monday.
[00:01:59.221 --> 00:02:07.588]  While not unexpected, her remaining in place means that most of Obama's first term cabinet will begin the second term unchanged.
[00:02:08.148 --> 00:02:10.690]  A former governor of Arizona, Napolitano,
[00:02:11.411 --> 00:02:18.377]  May play an important role in Obama's push for immigration legislation, a high early priority for the administration.
[00:02:18.417 --> 00:02:21.299]  So there you go, Janet Napolitano is staying on board.
[00:02:21.680 --> 00:02:29.006]  It seems the Obama administration is quite happy with the work that she's doing, despite the fact that she keeps on pushing the police state.
[00:02:29.526 --> 00:02:39.655]  You saw recently that she had drone airplanes over a stadium, over a football stadium, and she's the puppet for the Department of Homeland Security, and she's hoping to increase
[00:02:40.632 --> 00:02:43.735]  As you can see right there, she's hoping to increase our police state.
[00:02:44.115 --> 00:02:49.720]  Again, Barack Obama is welcoming her for his second term.
[00:02:50.808 --> 00:03:01.094]  Now in other news, in an article posted today on Infowars.com, the headline reads, Sanjay Gupta and Tom Ridge warn about psychiatric drugs in mass murders.
[00:03:01.555 --> 00:03:10.940]  According to the article, it says, we still don't know much about the shooter who lived in this home, but there is something else to consider.
[00:03:10.980 --> 00:03:13.082]  He's obviously referring to the Sandy Hook shooter.
[00:03:13.742 --> 00:03:16.162]  What medications, if any, he was on.
[00:03:16.523 --> 00:03:18.823]  I'm specifically talking about antidepressants.
[00:03:18.943 --> 00:03:25.244]  If you look at the studies of other shootings like this that have happened, medications like this were a common factor.
[00:03:25.804 --> 00:03:26.864]  Now, I want to be clear.
[00:03:26.904 --> 00:03:41.887]  I'm not saying that antidepressants can't be effective, but people seem to agree that there is a vulnerable time when someone starts these medications and when someone stops could lead to increased impulsivity and decreased judgment and making someone out of touch.
[00:03:42.527 --> 00:03:45.188]  None of this is an excuse and it's never just one thing.
[00:03:45.628 --> 00:03:53.711]  None of these behaviors will fully predict or explain why, but soon again there will be hindsight that might just help prevent another tragedy.
[00:03:54.071 --> 00:04:02.654]  It's worth pointing out over a seven-year period there were 11,000 episodes of violence related to drug side effects.
[00:04:03.414 --> 00:04:09.880]  If there was a death involved, often it was the individual of himself or herself, a suicide.
[00:04:09.900 --> 00:04:18.147]  And later on in the article, it says that Tom Ridge, the former Secretary of Homeland Security, was quoted as saying and referred to the Columbine shooting.
[00:04:18.587 --> 00:04:29.636]  That one of the murderers, one of the students in the Columbine shooting was on severe medication and apparently there's analysis that it probably even contributed to his destructive aggressive behavior.
[00:04:29.656 --> 00:04:35.121]  So there you go, you've got the nutty left continuing to push that we need more gun control
[00:04:35.934 --> 00:04:44.668]  When in fact they probably should be talking about prescription medicine and how many of these shooters who are involved in these massacres are highly medicated.
[00:04:45.109 --> 00:04:50.637]  You've got a Bob Costas saying also we need gun control when in fact that NFL player
[00:04:51.238 --> 00:04:56.644]  Quite possibly could have been suffering from brain trauma because of his profession.
[00:04:57.005 --> 00:05:05.374]  It's well known that MRIs and CAT scans show that football players quite often have head trauma as a result of their profession.
[00:05:05.434 --> 00:05:07.657]  So this is what we should be talking about.
[00:05:08.598 --> 00:05:11.782]  You have a less than 1% chance of being shot by a gun.
[00:05:12.657 --> 00:05:19.943]  And usually that's normally due to the gun, the drug war, but also we need to be talking about this prescription medicine.
[00:05:19.963 --> 00:05:25.187]  A lot of these individuals are just drugged out of their minds when they do these massacres.
[00:05:25.287 --> 00:05:31.572]  And that's, we commend Sanjay Gupta for bringing that into the public debate, far more than what Pierce Morgan is saying.
[00:05:31.912 --> 00:05:39.718]  Now in other news, in an article posted today by Mike Adams of Natural News, the headline reads, Sandy Hook AR-15 hoax.
[00:05:41.159 --> 00:05:43.542]  Still no school surveillance footage released.
[00:05:44.103 --> 00:05:49.689]  The article says here at Natural News we have a reputation for asking intelligent questions about things that don't add up.
[00:05:50.070 --> 00:05:53.213]  There's a lot of mysteries out there and they deserve to be explored and questioned.
[00:05:53.574 --> 00:05:55.796]  Why is there still mercury in vaccines?
[00:05:56.117 --> 00:06:00.522]  Why did the World Trade Center 7 building implode and fall when no airplane hit it?
[00:06:01.002 --> 00:06:04.706]  If the government can create money from nothing, why are we still paying taxes?
[00:06:05.127 --> 00:06:07.810]  And today I'm adding to that list this common sense question.
[00:06:08.130 --> 00:06:16.500]  Why has no surveillance footage been released from the Sandy Hook shooting showing Adam Lanza blasting away with an AR-15?
[00:06:17.401 --> 00:06:21.986]  The article then hints that quite possibly news reports say that
[00:06:23.030 --> 00:06:23.810]  Adam Lanza.
[00:06:24.090 --> 00:06:30.053]  News reports were saying that maybe an AR-15 was not used and handguns were used.
[00:06:30.673 --> 00:06:39.117]  Matt Lauer was doing a piece where his anchor Pete Williams was saying that officials were telling him that an AR-15 was not used.
[00:06:39.437 --> 00:06:41.618]  It was several handguns that were being used.
[00:06:41.878 --> 00:06:50.542]  So what Mike Adams is saying here is the reason why they haven't released the footage is because you might see in the footage that handguns were used as opposed to the AR-15.
[00:06:51.702 --> 00:07:00.008]  And that would debunk their argument that an assault weapon was responsible for this and that we need a ban on assault weapons.
[00:07:00.188 --> 00:07:09.254]  Also, another possibility that Mr. Adams notes in the article is maybe they haven't released the footage because they're busy doctoring the video and putting an AR-15 in his hands.
[00:07:11.355 --> 00:07:15.218]  Because, quite possibly, he didn't shoot those children with an AR-15.
[00:07:15.258 --> 00:07:18.561]  So maybe they're doctoring the footage right now as we speak.
[00:07:18.661 --> 00:07:33.933]  Also, last week, Rob Dew did a wonderful piece where he had mentioned that there was testimony that someone had seen another individual next to the school, dressed up in camouflage, and he had a gun, and police were questioning that individual.
[00:07:34.413 --> 00:07:37.235]  Yet, no one seems to know what occurred with that.
[00:07:37.896 --> 00:07:40.278]  So, it's a very interesting turn of events.
[00:07:41.653 --> 00:07:52.619]  In other news, in an article posted today by the Daily Mail UK, it seems that Goldman Sachs has successfully raped the public and they're rolling around in money.
[00:07:53.780 --> 00:08:05.547]  Britain's army of bankers will reignite public fury over lavish pay rewards as staff at Goldman Sachs are expected to reward themselves 8.3 billion pounds in bonuses on Wednesday.
[00:08:05.947 --> 00:08:07.368]  The American Investment Bank
[00:08:08.135 --> 00:08:08.856]  We're good to go.
[00:08:27.108 --> 00:08:27.829]  We're good to go.
[00:08:53.929 --> 00:08:54.210]  I think so.
[00:09:10.766 --> 00:09:24.652]  You've got the global banks continuing to rape our country, and yet they're getting bonuses, and the American taxpayers aren't even getting loans, and they're being indebted because these individuals have not yet paid us back yet.
[00:09:25.372 --> 00:09:31.615]  As of two or three months ago, I believe they still owe the American taxpayer about $25 billion.
[00:09:32.215 --> 00:09:33.395]  But they're getting raises.
[00:09:33.755 --> 00:09:34.536]  They're getting raises.
[00:09:35.396 --> 00:09:48.843]  Now, speaking of tyranny, according to an article posted today by McClatchy, dc.com, it says, Bin Laden's death photos might not see the light of day.
[00:09:48.883 --> 00:10:00.469]  And the article reads, skeptical-sounding federal judges on Thursday considered whether the public can see pictures of terror mastermind Osama Bin Laden taken after he had been shot dead by U.S.
[00:10:00.589 --> 00:10:01.930]  Navy SEALs in a raid
[00:10:02.390 --> 00:10:15.835]  On his hideout two years ago, there are 52 pictures that they are withholding from the public, and according to Judge Merrick Garland, they're telling us, referring to the federal government, it's a risk that Americans will die if we release these documents.
