[00:00:00.090 --> 00:00:00.614]  You've got it.
[00:00:07.185 --> 00:00:11.588]  Waging war on corruption.
[00:00:11.588 --> 00:00:17.151]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:00:40.097 --> 00:00:48.082]  Ladies and gentlemen, it is the 24th day of February right now.
[00:00:48.082 --> 00:00:55.186]  2013 on this Sunday live edition.
[00:00:55.186 --> 00:01:02.571]  And the news is so incredibly grave that I'm probably going to be very, very calm and focused on the broadcast.
[00:01:02.571 --> 00:01:04.352]  It's that bad.
[00:01:04.352 --> 00:01:08.755]  Only the very worst news confirmed in triplicate can get me to settle down.
[00:01:10.644 --> 00:01:12.925]  Because it's so shocking.
[00:01:12.925 --> 00:01:17.468]  My mind tends to race as listeners know.
[00:01:17.468 --> 00:01:19.750]  Many of you victims of it.
[00:01:19.750 --> 00:01:26.074]  But it is Sunday and it is the 24th day.
[00:01:26.074 --> 00:01:38.043]  And we have a Department of Justice memo by the quote research institute within the Justice Department that is officially advising
[00:01:39.272 --> 00:01:49.504]  And creating the fake recommendations that we know will be a regurgitation of what the Global Crime Syndicate's done worldwide for the President to act on.
[00:01:49.504 --> 00:01:53.689]  And this is the real basis.
[00:01:53.689 --> 00:01:55.210]  The real basis.
[00:01:56.830 --> 00:02:16.199]  of their plan, just like the UN Treaty is open-ended, just like Obamacare is open-ended, but then they have governing agreements and accords and meetings and understandings that surround the different global governance operations.
[00:02:16.199 --> 00:02:20.381]  Remember the disgraced head of the EPA had to step down a few months ago
[00:02:21.775 --> 00:02:38.784]  Because she had a double set of books, a double set of files, a double set of names, and a separate system to communicate with the giant Environmental Protection Agency and the major corporations that basically own it and use it to only selectively shut down their competition.
[00:02:39.895 --> 00:02:50.023]  You're mom and pop, or you're a pro-America, pro-liberty operation, you're not an inside globalist, you refuse to sell out for peanuts, they're going to try to come after you.
[00:02:50.023 --> 00:02:53.887]  It's the same old story that every society's faced throughout history.
[00:02:53.887 --> 00:02:57.870]  Our forebearers, the Revolutionary War, was all about the same thing.
[00:02:57.870 --> 00:02:59.932]  Monopoly men.
[00:02:59.932 --> 00:03:00.872]  Combines.
[00:03:00.872 --> 00:03:02.534]  Insiders.
[00:03:02.534 --> 00:03:05.837]  Now, that said, we've got a very clear picture here today.
[00:03:07.009 --> 00:03:08.470]  of their battle plan.
[00:03:08.470 --> 00:03:16.594]  We have the two billion bullets, we have the paper targets ordered by Homeland Security for their request of children and women and old people, all of them white.
[00:03:16.594 --> 00:03:19.496]  That's the new threat, is the white Al-Qaeda.
[00:03:19.496 --> 00:03:20.877]  If you're white, you're basically Al-Qaeda.
[00:03:20.877 --> 00:03:22.197]  And I'm not joking when I say that.
[00:03:22.197 --> 00:03:27.200]  I'm going to explain today, politically, how that works after I cover the gun news.
[00:03:27.200 --> 00:03:28.781]  It's invoking racial division.
[00:03:30.202 --> 00:03:41.608]  So we're going to describe where that whole system's going, because the system's already demonized blacks and others, and already basically sold the culture on treating them like they're all criminals.
[00:03:41.608 --> 00:03:52.634]  So now they're just going to move on to the main enchilada, the dwindling, dead, dying Western culture, and the system believes it's now time just to bring that down entirely.
[00:03:53.394 --> 00:03:56.296]  It's a Agenda 21 consolidation operation.
[00:03:56.296 --> 00:04:02.800]  So we're going to be covering that news, the veterans, so they bought two billion.
[00:04:03.857 --> 00:04:07.179]  ...rounds of ammo for us, hollow point, illegal for warfare.
[00:04:07.179 --> 00:04:10.481]  They've got drones operating domestically now, as we told you they would.
[00:04:10.481 --> 00:04:13.062]  They've got targets of American general citizens.
[00:04:13.062 --> 00:04:16.264]  They're training the military publicly for that with Brigade Homeland.
[00:04:16.264 --> 00:04:25.490]  The veterans, by the hundreds of thousands now, it's undoubtedly just... I heard people in a store today talking about how they got the letter before they even knew I was standing behind them.
[00:04:27.076 --> 00:04:27.957]  Uh, was it Academy?
[00:04:27.957 --> 00:04:29.899]  They're buying some more ammo.
[00:04:29.899 --> 00:04:41.248]  Uh, and then you integrate that in with, uh, uh, uh, the new news, DOJ memo, outlaw and confiscate all guns.
[00:04:41.248 --> 00:04:44.430]  They say in the memo only 30-something people died in mass shootings.
[00:04:44.430 --> 00:04:45.251]  That, that's true.
[00:04:45.251 --> 00:04:51.516]  Of 87, only 34, 33 were, were, were, were real.
[00:04:51.516 --> 00:04:53.037]  They're not gang members killing each other.
[00:04:53.037 --> 00:04:54.759]  And so let's just ban everything.
[00:04:54.759 --> 00:04:55.980]  So we're gonna come back with that right now.
[00:05:01.647 --> 00:05:08.176]  Defending the Republic from enemies foreign and domestic, it's Alex Jones!
[00:05:17.711 --> 00:05:24.954]  I hope you are listening carefully on this Sunday edition, the 24th day of February 2013.
[00:05:24.954 --> 00:05:27.195]  I'm your host Alex Jones.
[00:05:27.195 --> 00:05:33.097]  We'll be here for the next two hours as we are every Sunday evening, 4 to 6 Central.
[00:05:33.097 --> 00:05:37.499]  Weekdays 11am to 2pm Central Standard Time as well.
[00:05:37.499 --> 00:05:41.601]  Coming to you from the heart of the resistance to tyranny,
[00:05:42.441 --> 00:05:43.782]  Austin, Texas.
[00:05:43.782 --> 00:05:59.407]  Thank you again for joining us worldwide, listening on the satellites, the internet, the audio streams at InfoWars.com, the video streams at PrisonPlanet.tv and InfoWarsNews.com, and of course over 150 AM and FM affiliates.
[00:05:59.407 --> 00:06:00.607]  It's actually more than that.
[00:06:00.607 --> 00:06:04.149]  We're compiling an accurate list across the United States.
[00:06:04.149 --> 00:06:07.510]  Thank you again for joining us on this Sunday edition.
[00:06:09.160 --> 00:06:14.407]  I will tell you I've got some big surprises coming up this week on the weekday show.
[00:06:14.407 --> 00:06:21.675]  In fact, 95% chance we're going to break some news this week that'll be one of the biggest stories in the country.
[00:06:21.675 --> 00:06:24.919]  I mean, I got the fish up to the boat with the net.
[00:06:26.283 --> 00:06:34.726]  About to get, I mean, it's a big national news story, investigative report, behind the scenes, hidden cameras, you name it.
[00:06:34.726 --> 00:06:41.009]  And I'm not holding my breath on it though, because I've noticed, if you do that, it jinxes it.
[00:06:41.009 --> 00:06:42.590]  And it's dangerous too.
