[00:00:04.349 --> 00:00:07.771]  We are joined now in this segment by Dr. Russell Blaylock, MD.
[00:00:07.891 --> 00:00:14.676]  He is a nationally recognized board certified neurosurgeon who pioneered some of the most common forms of brain surgery used today.
[00:00:15.196 --> 00:00:24.422]  He's a health practitioner and author of numerous books and scientific studies including excitotoxins, the taste that kills, and health and nutrition secrets that can save your life.
[00:00:25.002 --> 00:00:31.747]  He has exposed how MSG and aspartame can cause diseases of the nervous system and he exposed the H1N1 vaccine scam.
[00:00:32.347 --> 00:00:39.858]  Dr. Blalock writes a monthly newsletter called the Blalock Wellness Report and he can be found online at RussellBlalockMD.com.
[00:00:40.378 --> 00:00:42.261]  Thank you for joining us today, Dr. Blalock.
[00:00:42.901 --> 00:00:51.086]  I don't know if you've been following that the president has put out now a new plan, the plan to protect our children and our communities by reducing gun violence.
[00:00:51.106 --> 00:00:58.671]  And there's a huge focus in here among these 23 new executive orders on mental health, increasing mental health services.
[00:00:59.432 --> 00:01:08.177]  And one of the things they're going to do is they've referred to the CDC as a scientific agency, and they're going to give them $10 million to do gun violence research.
[00:01:08.237 --> 00:01:10.299]  Why do you think, why do you think that is?
[00:01:11.792 --> 00:01:17.098]  Well, the CDC has clearly demonstrated itself as not a scientific organization.
[00:01:17.759 --> 00:01:21.803]  It's demonstrated as nothing more than a ministry of propaganda for the state.
[00:01:22.785 --> 00:01:32.376]  When we look to their reactions and so-called scientific output on fluoridation, on vaccines, on all these issues,
[00:01:33.156 --> 00:01:34.418]  It's purely political.
[00:01:34.538 --> 00:01:35.699]  It's not scientific.
[00:01:35.759 --> 00:01:37.982]  In fact, it defies the scientific evidence.
[00:01:38.062 --> 00:01:42.527]  And they go to great lengths and great measures to go against the science.
[00:01:43.408 --> 00:01:50.416]  They're in the hands of the pharmaceutical companies, which is working directly with the government to have these people forced
[00:01:50.876 --> 00:02:00.430]  To take vaccinations and then it'll be psychotropic medications and it'll be forced psychological evaluations to put them on these medications.
[00:02:00.470 --> 00:02:04.455]  So it's an ending but I wouldn't trust the CDC.
[00:02:04.475 --> 00:02:06.799]  They've shown themselves not to be trustworthy.
[00:02:08.263 --> 00:02:30.448]  Definitely, and it's interesting that you mention the psychotropic medications because in here it actually specifically calls for research on gun violence and violent video games and how firearms are used in violent deaths, but it doesn't say anything about these psychotropic medications and the correlations between anti-psychotic medications and these mass murders, mass violence.
[00:02:31.129 --> 00:02:35.990]  Actually, they say they're going to refer all of these young people to treatment, is what they say.
[00:02:37.232 --> 00:02:38.618]  What do you think they mean by treatment?
[00:02:39.793 --> 00:02:43.234]  Well, I think it's going to be forced medication that's going to be the major treatment.
[00:02:43.254 --> 00:02:52.376]  And as you said, if you look at the really mass shootings in schools, virtually all of them are connected to the use of psychotropic medications.
[00:02:53.196 --> 00:03:07.939]  And the concerns with the psychotropic type medications is the fluorinated medications, like the SSRI medications, which if you look in the physician's desk reference, which tells you about complication side effects,
[00:03:08.579 --> 00:03:21.370]  All these medications, the side effect that's mentioned most that we should be concerned about is homicidal tendencies, homicidal ideation, that we're thinking about killing people, and suicide.
[00:03:22.315 --> 00:03:41.175]  And when you look at the soldiers coming from Afghanistan and Iraq, they were put on a fluoridated antimalarial medication, which the PDR significantly alarms physicians that this is associated with hostility, homicide, homicidal ideation and suicide.
[00:03:41.235 --> 00:03:42.657]  Well, what are the soldiers doing?
[00:03:43.197 --> 00:03:53.404]  They're returning from combat under enormous stress, put on these medications, they go home and some of them are killing their families and committing suicide.
[00:03:53.724 --> 00:03:55.446]  Same thing happened to Canadian soldiers.
[00:03:56.246 --> 00:04:04.932]  They had an elite unit that was placed on this very same antimalarial medication and there was so much violence they had to disband the entire unit.
[00:04:04.952 --> 00:04:08.475]  Now this was an elite unit that this happened to.
[00:04:09.315 --> 00:04:19.818]  So we have extensive evidence that these SSR medications are producing, in certain individuals, homicidal tendencies.
[00:04:20.378 --> 00:04:29.181]  Yet, his answer is, well we need to have forced psychiatric evaluation of every man, woman, and child in America
[00:04:29.821 --> 00:04:30.041]  I think.
[00:04:46.674 --> 00:04:48.235]  So they have a lot to gain by it.
[00:04:48.295 --> 00:04:53.699]  The CDC has been shown to be connected to the pharmaceutical companies financially.
[00:04:54.379 --> 00:04:55.980]  They act as their protectors.
[00:04:56.040 --> 00:04:57.521]  They act as their mouthpiece.
[00:04:58.121 --> 00:05:00.903]  And so, you know, I'm not surprised at this at all.
