[00:00:04.278 --> 00:00:04.538]  I think.
[00:00:36.761 --> 00:00:38.603]  Welcome to the InfoWars Nightly News.
[00:00:38.743 --> 00:00:42.628]  It's Monday, July 1st, 2013, and here are our top stories.
[00:00:44.731 --> 00:00:52.600]  Tonight, on the InfoWars Nightly News, Russian forces are set to provide security at U.S.
[00:00:52.640 --> 00:00:53.060]  events.
[00:00:54.272 --> 00:00:55.893]  Then forget about the blue gloves.
[00:00:56.093 --> 00:00:58.474]  Prepare to be groped by the wet noses.
[00:00:59.234 --> 00:01:03.636]  And more on how NSA's prison system puts you in a database prison.
[00:01:04.416 --> 00:01:08.258]  All that and more coming up on the Info Wars Nightly News.
[00:01:08.598 --> 00:01:08.978]  G.I.
[00:01:09.018 --> 00:01:11.659]  Joe command base is run by Cobra.
[00:01:11.679 --> 00:01:14.281]  Well, we've seen our police militarized.
[00:01:14.621 --> 00:01:17.182]  We've seen our military being used as police.
[00:01:18.194 --> 00:01:26.110]  Now in a breaking story from Paul Joseph Watson on InfoWars, we see that the Russian forces are going to provide security at U.S.
[00:01:26.151 --> 00:01:26.451]  events.
[00:01:27.619 --> 00:01:31.680]  In the article on Infowars, it says, as part of the deal signed last week in Washington, D.C.
[00:01:31.700 --> 00:01:44.604]  between the Russian Emergency Situations Ministry and FEMA, Russian officials will provide security at mass events in the United States, a scenario that won't sit well with Americans who are wary of foreign assets operating on U.S.
[00:01:44.624 --> 00:01:44.924]  soil.
[00:01:45.504 --> 00:01:55.967]  The use of foreign troops or other officials in a law enforcement capacity providing, quote, security inside the United States is illegal under posse comitatus.
[00:01:56.607 --> 00:01:59.668]  Now this is something that we've seen happen before in empires, of course.
[00:02:00.168 --> 00:02:04.369]  The Romans were famous for doing this, and the British did it to a large degree during the British Empire.
[00:02:04.789 --> 00:02:21.293]  And that is taking troops that are not native to a particular area, or taking competing ethnic groups, and using one ethnic group that's had a conflict with a second ethnic group in the past, using that group to police that ethnic group, and vice versa.
[00:02:22.250 --> 00:02:32.295]  It'll be a lot easier for our government to collect guns and confiscate guns and shoot on Americans if they're not using American soldiers, if they're using Russian soldiers.
[00:02:32.775 --> 00:02:37.277]  But of course, even using the American military to do that is against the Constitution.
[00:02:37.337 --> 00:02:40.399]  But it'll just be a matter of effectiveness for them to do that.
[00:02:40.799 --> 00:02:43.580]  Now this is something that's been happening for quite some time.
[00:02:43.640 --> 00:02:49.803]  As the article points out, going all the way back to 1961, we have a leaked document, the State Department Publication 7277,
[00:02:51.784 --> 00:02:53.524]  In that document, it talked about U.S.
[00:02:53.584 --> 00:02:59.026]  troops and Russian troops joining together to create a peaceful disarmament under the U.N.
[00:02:59.726 --> 00:03:07.728]  We also had the urban warfare drills of the 1990s reported by Alex Jones multiple times in the news and documentaries.
[00:03:07.788 --> 00:03:08.988]  In 2008, we saw the U.S.
[00:03:09.028 --> 00:03:13.929]  and Canada have a joint military agreement to help each other out during quote-unquote emergencies.
[00:03:14.670 --> 00:03:20.191]  And in 2010, we had Operation Vigilant Guard with Polish troops.
[00:03:20.911 --> 00:03:25.414]  And then of course last year we had Russians doing policing work in Colorado Springs.
[00:03:26.174 --> 00:03:28.436]  Now this all came from a Russian publication.
[00:03:29.400 --> 00:03:34.683]  That's where Paul Joseph Watson found it, and that's referenced in the article, so you can read it for yourself.
[00:03:34.804 --> 00:03:35.964]  We're not making this up.
[00:03:36.525 --> 00:03:39.507]  A very dangerous precedent, something we're increasingly seeing.
[00:03:39.527 --> 00:03:52.475]  As I said, it goes back to 1961, but the frequency of which it's happening, the openness with which it's happening, is what is really concerning, as well as these increasing frequencies of urban warfare drills.
[00:03:53.596 --> 00:03:57.759]  Now, there's been a change in TSA at the Denver airport.
[00:03:58.997 --> 00:04:04.919]  And you may wonder if it's any better to get sniffed by a dog than handled by a TSA agent.
[00:04:05.379 --> 00:04:08.020]  But some people seem to think that that's an improvement.
[00:04:08.800 --> 00:04:14.122]  In a report from CBS Denver, it says a major change is coming to the security lines at DIA.
[00:04:14.702 --> 00:04:21.445]  And there's a couple of quotes that are from tweets that are in there, but through airport security without taking my shoes off.
[00:04:22.125 --> 00:04:24.687]  Removing anything from my bag or being scanned.
[00:04:24.787 --> 00:04:26.929]  That person's so happy that happened.
[00:04:27.329 --> 00:04:33.494]  Another person tweeted and said, straight through security in just two minutes with shoes on and laptops and liquids in a bag.
[00:04:34.314 --> 00:04:44.162]  And finally, the article points out, the TSA's website says its canine teams are a mobile form of explosive detection and are extremely accurate.
[00:04:45.310 --> 00:04:56.235]  Isn't it sad that people are so excited that they can pass through and only have a dog sniff them instead of a person manhandling them, fondling them?
[00:04:59.008 --> 00:05:03.311]  Can't you remember when you were able to travel with freedom and dignity in this country?
[00:05:03.351 --> 00:05:04.352]  It wasn't that long ago.
[00:05:04.993 --> 00:05:08.896]  And you didn't have to get excited about the fact that you were merely smelled by a dog.
[00:05:09.716 --> 00:05:14.100]  But the thing that's also troubling about this is the emphasis on efficiency.
[00:05:14.140 --> 00:05:16.481]  You know, it was said that Hitler made the trains run on time.
[00:05:17.403 --> 00:05:21.386]  But maybe the destination of Auschwitz is not where you want to head.
[00:05:22.446 --> 00:05:27.210]  And we have seen historically that the TSA is not really doing anything.
[00:05:27.270 --> 00:05:33.774]  At least maybe these dogs can certainly sniff explosives or remnants of explosives on people's clothing.
[00:05:33.794 --> 00:05:35.595]  You know, dogs are used for arson control.
[00:05:35.655 --> 00:05:41.199]  They'll be able to smell accelerants on people's clothing who had just handled that stuff in the past.
[00:05:41.279 --> 00:05:43.040]  And so I'm sure that's what they're looking for.
[00:05:43.060 --> 00:05:44.862]  That's why they don't have to go through
[00:05:45.382 --> 00:05:50.026]  Your bags and it would be a more effective way to do it, but is there really a threat?
[00:05:50.646 --> 00:06:01.454]  We have seen for a decade the TSA using increasingly intrusive unconstitutional techniques to control us, to monitor us, to harass us.
[00:06:02.415 --> 00:06:04.316]  And yet, they haven't found anything.
[00:06:04.356 --> 00:06:14.659]  As a matter of fact, when they conduct their own internal tests, their failure rate is so high that the Florida congressman who created, who introduced the legislation to create the TSA, said he wanted it disbanded.
[00:06:14.779 --> 00:06:19.800]  But of course, he was blocked from releasing their failure rate because it was too incriminating.
[00:06:20.281 --> 00:06:30.384]  Now, if we really had the kind of terrorist threat that we're supposed to have, we would have seen a lot of terrorist attacks because the TSA is absolutely ineffective.
[00:06:31.024 --> 00:06:38.108]  But instead, what they're going to do is they're going to find other ways to harass us, if not with two-legged animals, then with four-legged animals.
[00:06:38.128 --> 00:06:41.290]  And we see another thing that's repeated here.
[00:06:41.330 --> 00:06:45.673]  We have another American stuck abroad on a no-fly list.
[00:06:46.857 --> 00:06:52.041]  This is from USA Today, and it says, a no-fly list is blamed as a U.S.
[00:06:52.081 --> 00:06:54.664]  flyer is stranded in Bangkok airport.
[00:06:55.384 --> 00:07:00.128]  Now, this fellow is of Pakistani family, but he grew up in America.
[00:07:00.188 --> 00:07:04.211]  His name is Motawala, and he's a 29-year-old U.S.
[00:07:04.232 --> 00:07:08.775]  citizen from Pomona, California, on his way to Indonesia, from Indonesia to L.A.
[00:07:09.756 --> 00:07:14.638]  When airline staff in Bangkok refused to issue him a boarding pass for his connecting flight, U.S.
[00:07:14.698 --> 00:07:19.079]  and Thai authorities told them that he could not travel, but they would not say why.
[00:07:19.399 --> 00:07:21.640]  This is what we constantly see with these no-fly lists.
[00:07:22.200 --> 00:07:24.361]  Leading him to believe that he had been placed on the U.S.
[00:07:24.381 --> 00:07:26.581]  government's secret no-fly list.
[00:07:27.001 --> 00:07:28.142]  You know, there's never any...
[00:07:29.002 --> 00:07:32.903]  Any trial, there's never any accusation, you're never told why you're put on it.
[00:07:33.244 --> 00:07:35.104]  It's just a star chamber proceeding.
[00:07:35.644 --> 00:07:48.269]  Continuing in the article, it says, after sleeping at the airport terminal for four nights, four nights he had to sleep in the terminal, Matawala, who is of Pakistani descent, was told that a Justice Department official had arrived from the U.S.
[00:07:48.289 --> 00:07:48.989]  to question him.
[00:07:49.850 --> 00:07:55.272]  When he declined to answer questions without a lawyer present, hey, this guy is American, who knows his rights.
[00:07:56.311 --> 00:08:00.855]  He was left in the custody of Thai authorities who held him in a detention center for 10 days.
[00:08:01.755 --> 00:08:03.497]  He said, they treat you like an animal.
[00:08:04.398 --> 00:08:08.521]  And he pointed out he was born in Anaheim 29 years ago.
[00:08:09.442 --> 00:08:24.654]  Now, the group that is fighting this says that, civil rights group says that cases like his show that the government has failed to carry out a 2010 policy to bring American citizens and permanent residents stuck overseas back to the US regardless of their no-fly status.
[00:08:25.697 --> 00:08:32.651]  Now, a lot of people are going to say, well, he is Pakistani origin, so I'm sure there was some kind of suspicious thing going on there.
[00:08:32.671 --> 00:08:34.855]  Well, if you remember, it was back in October.
[00:08:35.834 --> 00:08:42.859]  That Wade Hicks was stranded in Hawaii on his way to Japan to see his wife who was in the military.
[00:08:43.559 --> 00:08:45.540]  Now, Wade is not of Pakistani origin.
[00:08:45.580 --> 00:08:50.304]  He doesn't have any kind of foreign connection in his background.
[00:08:50.384 --> 00:08:55.067]  I mean, he's just kind of a white Anglo-Saxon Protestant kind of guy.
[00:08:55.367 --> 00:08:56.568]  He was also cleared
[00:08:57.208 --> 00:09:07.041]  Recently, just before he left, by the FBI for the highest level of concealed carry, and he had been cleared by the TSA as a worker, as a transportation worker.
[00:09:07.061 --> 00:09:08.843]  He had a special badge for that.
[00:09:09.564 --> 00:09:14.871]  In spite of all that, and without any notification, he was drug off of a plane and stranded in Hawaii.
[00:09:15.732 --> 00:09:20.796]  And he was eventually able to get back to the States, but they would never tell him if he was on the list.
[00:09:20.836 --> 00:09:22.417]  They wouldn't tell him why he got put on the list.
[00:09:22.957 --> 00:09:26.480]  They wouldn't tell him if he was still on the list, or if he could ever fly again.
[00:09:26.720 --> 00:09:35.727]  This is the kind of star-chamber, secret proceedings that we see the government doing in every aspect of their activities in the name of war on terror.
[00:09:36.327 --> 00:09:43.713]  Whether it is NSA spying on people, the FISA court which operates in secret, or whether it sees secret no-fly lists.
[00:09:45.106 --> 00:09:55.293]  Now, if you think that background checks for guns are bad, and they are because of what they're going to do with it, how about a background check for your job?
[00:09:55.753 --> 00:09:59.416]  How about if the government had to okay your new job?
[00:10:00.359 --> 00:10:03.982]  Or had to know where you're working and when you're changing jobs.
[00:10:04.082 --> 00:10:08.626]  Well, that's exactly what is being proposed as part of this immigration bill.
[00:10:08.666 --> 00:10:13.971]  In order to save us from illegal immigration, they won't close the borders, they won't police the borders.
[00:10:14.031 --> 00:10:21.758]  Instead, what they're going to do is enact draconian measures on people who live in the United States, citizens who are in the United States.
[00:10:21.818 --> 00:10:23.719]  And part of this is E-Verify.
[00:10:24.420 --> 00:10:26.962]  And there was an article in InfoWars today from Ron Paul.
[00:10:27.002 --> 00:10:31.126]  He said, if you'd like the surveillance state, you're going to love E-Verify.
[00:10:31.847 --> 00:10:37.792]  He said, the mandatory E-Verify system requires Americans to carry a tamper-proof Social Security card.
[00:10:38.372 --> 00:10:43.557]  The law gives federal bureaucrats broad discretion in adding other biometric identifiers to the database.
[00:10:44.037 --> 00:10:49.902]  It also gives the bureaucracy broad authority to determine what features the tamper-proof card should contain.
[00:10:50.703 --> 00:11:01.031]  And he points out the day may come when you're not able to board an airplane or exercise your Second Amendment rights without being run through the E-Verify database.
[00:11:01.591 --> 00:11:13.861]  It's not outside the realm of possibility that personal health care information that will soon be collected by the IRS and shared with other federal agencies as part of Obamacare will also be linked to E-Verify systems.
[00:11:15.157 --> 00:11:17.758]  It's interesting, as we saw with Bilderberg.
[00:11:17.838 --> 00:11:23.840]  Well, as the surveillance state grows, the government believes that it needs to know every single aspect of your life.
[00:11:23.960 --> 00:11:27.781]  No detail, no matter how minute, is hidden from their view.
[00:11:28.361 --> 00:11:31.683]  But, of course, we're not allowed to know anything about our masters.
[00:11:31.763 --> 00:11:34.504]  A good example of this is Obama's birth certificate.
[00:11:35.004 --> 00:11:38.765]  And we're going to be talking, in our interview today, with Mike Zullo.
[00:11:39.065 --> 00:11:44.447]  He's going to be talking about the detailed investigation into Obama's background and his birth certificate.
[00:11:45.107 --> 00:11:45.308]  I think so.
[00:12:04.750 --> 00:12:14.639]  Employers in North Carolina with 25 or more employees and in Georgia with 10 or more are now required to use E-Verify as of today, July 1st, 2013.
[00:12:16.601 --> 00:12:20.844]  Department of Homeland Security has been phasing it in without any legislative authority.
[00:12:21.525 --> 00:12:25.370]  Now in North Carolina, they've been doing this going back to October of 2012.
[00:12:25.430 --> 00:12:29.815]  They put it in for employers with over 500 employees.
[00:12:30.216 --> 00:12:31.657]  Then in January, they reduced it to 100.
[00:12:31.718 --> 00:12:33.960]  Now today, July 1st, they take it down to 25 or more employees.
[00:12:38.746 --> 00:12:57.993]  Georgia started phasing this in back in January of 2012, and now, as of today, they are down to companies that only have 10 employees, are required to send this information to the Department of Homeland Security and the Social Security Administration whenever someone hires someone new.
[00:12:58.053 --> 00:13:01.935]  It has to be verified by the Department of Homeland Security.
[00:13:02.776 --> 00:13:08.363]  Now what's really troubling about this, it would be bad enough if this was coming from the Department of Homeland Security.
[00:13:08.403 --> 00:13:11.366]  They'd be legislating by bureaucratic fiat.
[00:13:11.947 --> 00:13:19.055]  But actually what they're doing is they're getting these state legislatures, like North Carolina and Georgia, to do this for them.
[00:13:19.676 --> 00:13:31.482]  It's kind of like when the government goes and when the FBI goes in to Google or to Apple, a third-party provider, and says, we would like to get the information that you're holding on David, for example.
[00:13:32.022 --> 00:13:40.707]  And they turn that over and they say, well, we don't need to have a search warrant because it's being freely given to us by someone who's given the data and is just holding it.
[00:13:41.187 --> 00:13:44.969]  Well, that's essentially what you're having happen here at the state levels.
