[00:00:05.902 --> 00:00:10.083]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:10.744 --> 00:00:11.544]  You want answers?
[00:00:12.324 --> 00:00:13.244]  Well, so does he.
[00:00:13.864 --> 00:00:17.486]  He's Alex Jones on the GCN Radio Network.
[00:00:18.066 --> 00:00:22.147]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.220 --> 00:00:37.641]  Ladies and gentlemen, here we are yet again kicking off another broadcast week.
[00:00:37.701 --> 00:00:39.502]  It is the 9th day of September, 2013.
[00:00:41.102 --> 00:00:46.984]  And we're approaching the 12th anniversary of 9-11 that was used.
[00:00:48.004 --> 00:00:58.027]  If 1776 was the birth date for our republic, if the globalists are successful, you'll be able to mark as the tombstone of our republic of 9-11.
[00:00:59.662 --> 00:01:02.243]  The establishment is holding the Republic under the water.
[00:01:02.944 --> 00:01:11.387]  We have got lungs full of the normally life-giving liquid, but we're not fish, so we can't breathe it.
[00:01:11.828 --> 00:01:21.272]  And if we don't resist and climb out of this horse trough that they've got our head crammed into, we will succumb, pass out, turn blue, and die.
[00:01:22.475 --> 00:01:26.161]  And then have our bones picked over by the parasites.
[00:01:26.342 --> 00:01:27.664]  And why do parasites do that?
[00:01:27.744 --> 00:01:29.907]  Well, because they're parasites.
[00:01:29.948 --> 00:01:30.669]  That's what they do.
[00:01:30.709 --> 00:01:33.253]  That's what their instinct directs them to do.
[00:01:34.525 --> 00:01:58.516]  And you have a consortium of private banking syndicates, military industrial complex, big pharma, just a collection of psychopaths, sociopaths, and other miscreants who have been skimming the cream off the top of our free market civilization, but then they decided to kill the golden goose, the golden goose that laid the golden eggs, and just try to get all the eggs at one time.
[00:01:59.462 --> 00:02:01.043]  Of course, there's really no eggs inside.
[00:02:01.083 --> 00:02:02.344]  It's the goose that produces them.
[00:02:03.004 --> 00:02:11.168]  But they greedily now are shutting that down because instinctively they don't like the liberty and the prosperity that comes from a free market.
[00:02:11.668 --> 00:02:16.751]  Their instinct is to extinct all competition and shoot their own feet out from under them.
[00:02:17.311 --> 00:02:25.196]  You see that with the deindustrialization programs, the moving the jobs to China and Mexico and India and 160 plus other third world countries.
[00:02:26.408 --> 00:02:31.814]  So, we're going to be breaking all that down today, and the ultra-massive developments in Syria.
[00:02:31.954 --> 00:02:34.236]  I will come back, cover all those developments.
[00:02:35.457 --> 00:02:45.787]  And then in the first hour, I want to open the phones up for members of the media, talk show hosts, magazine writers, political analysts.
[00:02:46.108 --> 00:02:47.789]  I'm always opening the phones up for military.
[00:02:48.923 --> 00:02:49.543]  to call in.
[00:02:50.224 --> 00:03:00.128]  Well, why not open the phones up for media to call in that are listeners and to give us your take on where this serious situation is going.
[00:03:01.148 --> 00:03:11.093]  And then in the second hour, I want to open the phones up for military and the general public to call in and give us your take on what's unfolding here.
[00:03:12.954 --> 00:03:15.375]  Obviously Bashar Assad gave an interview to
