[00:00:09.795 --> 00:00:12.537]  Who controls the past, controls the future.
[00:00:12.977 --> 00:00:15.399]  Who controls the present, controls the past.
[00:00:16.309 --> 00:00:21.853]  The death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[00:00:22.193 --> 00:00:24.254]  All you gotta do is start looking around.
[00:00:24.614 --> 00:00:26.215]  Start thinking for yourself.
[00:00:26.495 --> 00:00:28.096]  Start investigating things.
[00:00:28.477 --> 00:00:32.479]  And you will see it all right there.
[00:00:32.559 --> 00:00:33.980]  So you have the power.
[00:00:34.300 --> 00:00:35.881]  Humanity has the power.
[00:00:36.321 --> 00:00:37.442]  We have the power.
[00:00:37.462 --> 00:00:38.423]  Do you wanna fight?
[00:00:38.483 --> 00:00:40.784]  You better believe you got one!
[00:00:43.145 --> 00:00:46.186]  Let us never tolerate outrageous conspiracy theories.
[00:00:46.266 --> 00:00:57.569]  As for me, give me liberty or give me death!
[00:00:57.609 --> 00:00:58.729]  The answer to 1984 is 1776.
[00:01:05.734 --> 00:01:07.316]  Welcome to the Infowars Nightly News.
[00:01:07.396 --> 00:01:14.845]  It is Friday, July 12, 2013, and our big story tonight is Big Sis is leaving Homeland Security in Washington.
[00:01:15.366 --> 00:01:20.973]  Unfortunately, she's leaving the Department of Homeland Security behind in Washington to harass the rest of us.
[00:01:21.574 --> 00:01:23.896]  And she's actually proud of her legacy.
[00:01:24.477 --> 00:01:30.081]  She wrote with a straight face, and we're covering this in InfoWars, Big Sis to Resign from Department of Homeland Security.
[00:01:30.101 --> 00:01:34.945]  She says, we've worked together to minimize threats of all kinds to the American public.
[00:01:35.485 --> 00:01:39.989]  The Department has improved the safety of travelers, you know, the TSA and how effective they are.
[00:01:40.629 --> 00:01:48.335]  Implemented smart steps that make our immigration system more fair and focused while deploying record resources to protect our nation's border.
[00:01:48.895 --> 00:01:50.656]  And we know how secure the nation's border is.
[00:01:51.457 --> 00:01:56.241]  Worked with states to build resiliency and make our nation's emergency disaster response capabilities more robust.
[00:01:56.281 --> 00:01:57.702]  You know, like Hurricane Sandy.
[00:01:58.502 --> 00:02:02.245]  And partnered with the private sector to improve our cyber security.
[00:02:02.846 --> 00:02:06.629]  That's one area where they actually have done what she says.
[00:02:06.669 --> 00:02:12.533]  They've created a fascist partnership with corporations to spy on every aspect of our life.
[00:02:12.994 --> 00:02:20.880]  And as the article goes on to state, it says, Napolitano also oversaw the See Something, Say Something campaign that resembles the worst
[00:02:21.620 --> 00:02:25.802]  Of Stasi East Germany and its pervasive police state.
[00:02:25.822 --> 00:02:40.348]  If you might remember just a couple of nights ago we had a story of a light artist in Berlin who actually shined a great big sign on the side of the American Embassy in Berlin that said United Stasi of America.
[00:02:40.908 --> 00:02:48.992]  Everybody knows what the government has turned into under the direction of Homeland Security and Janet Napolitano has been a big part of that.
[00:02:49.651 --> 00:02:50.572]  Now, where is she going?
[00:02:50.673 --> 00:02:56.601]  She's actually going to the University of California system, where she will oversee the entire system.
