[00:00:06.280 --> 00:00:07.581]  Hey, I'm Christy Hightower.
[00:00:07.641 --> 00:00:10.242]  We are back with another Ask Alex segment.
[00:00:10.603 --> 00:00:14.925]  If you have questions for this, it's at the Ask Alex group on PlanetInfoWars.com.
[00:00:15.525 --> 00:00:22.469]  And so before we get started though, Alex wanted me to kind of cover some of the South by Southwest crew that we had on the streets of Austin.
[00:00:23.310 --> 00:00:26.452]  So Alex, did you have anything you wanted me to specifically talk about?
[00:00:26.852 --> 00:00:29.675]  No, I mean, you were about to ask me these questions that I have not seen yet.
[00:00:29.695 --> 00:00:30.435]  I loved Skarnak.
[00:00:30.455 --> 00:00:32.597]  I liked the great Skarnak with the envelope.
[00:00:32.938 --> 00:00:35.440]  So I can answer some of them, obviously not some of the others.
[00:00:35.500 --> 00:00:39.924]  But I wanted to talk about, because you were down there for, I guess, five, six days, you guys did it.
[00:00:39.944 --> 00:00:41.145]  Seven days, but yeah.
[00:00:41.245 --> 00:00:42.226]  Okay, seven days.
[00:00:42.246 --> 00:00:44.768]  We were only going to do like three, but they tried to kick us out of there.
[00:00:44.828 --> 00:00:46.830]  So we thought, hey, we better take our streets back.
[00:00:46.850 --> 00:00:52.155]  So I wanted to ask you your take on the InfoWars street team and what they did and what happened.
[00:00:52.775 --> 00:00:56.819]  Oh, it was awesome.
[00:00:57.279 --> 00:01:01.623]  We hit the streets with 10,000 of these bad boys and we got rid of all of them.
[00:01:01.643 --> 00:01:03.504]  I hope you can see it here.
[00:01:04.165 --> 00:01:06.167]  And we also have the contest.
[00:01:06.187 --> 00:01:09.730]  So the objective basically was to get the word out about the M4's magazine.
[00:01:09.750 --> 00:01:10.971]  Show them the contest page.
[00:01:11.391 --> 00:01:14.594]  And then we have the amazing Paul Revere contest.
[00:01:14.614 --> 00:01:15.754]  I've been telling all my friends about it.
[00:01:15.794 --> 00:01:16.955]  You have film abilities?
[00:01:17.276 --> 00:01:17.856]  Check this out.
[00:01:17.876 --> 00:01:17.856]  $100,000.
[00:01:18.336 --> 00:01:21.679]  So we basically hired a really great street team.
[00:01:21.739 --> 00:01:23.040]  It kind of varied from day to day.
[00:01:23.080 --> 00:01:25.382]  We had some like 10 girls one day.
[00:01:25.422 --> 00:01:27.183]  We had like 6 girls and a couple of guys the next day.
[00:01:27.243 --> 00:01:28.784]  It was great momentum that we had going.
[00:01:29.004 --> 00:01:30.445]  So we got rid of...
[00:01:31.466 --> 00:01:32.467]  10,000 magazines.
[00:01:32.507 --> 00:01:34.268]  We got to put these in 10,000 people's hands.
[00:01:34.288 --> 00:01:37.650]  And they weren't just the people that live here in Austin.
[00:01:37.670 --> 00:01:39.451]  They were people from Korea.
[00:01:39.491 --> 00:01:41.732]  They were people from Japan.
[00:01:41.792 --> 00:01:43.653]  They were people from everywhere who were here for South America.
[00:01:43.673 --> 00:01:49.456]  Well, the reason it's important is it's also the intelligentsia of film, IT, interactive, and music.
[00:01:49.496 --> 00:01:53.999]  So you're really targeting a key group with the message of liberty.
[00:01:54.419 --> 00:02:00.002]  And that's why all the street teams that have been working on there for years had never heard of people saying you can't hand out magazines.
[00:02:00.242 --> 00:02:00.922]  It was absurd.
[00:02:01.123 --> 00:02:12.489]  And the thing is, okay, that's the issue that I wanted to talk about was that we had beautiful, we had beautiful street team, like girls, guys, everybody handing these out and they got harassed by the police who came up and didn't even know what they were doing.
[00:02:12.810 --> 00:02:14.150]  They didn't even have an ordinance to cite.
[00:02:14.190 --> 00:02:15.391]  They said, you're just not allowed to do it.
[00:02:15.771 --> 00:02:17.292]  And they literally wrote us a ticket.
[00:02:17.312 --> 00:02:20.214]  I'm sure that we've done a couple of pieces by now on the physical ticket.
[00:02:20.814 --> 00:02:26.658]  And the girls were just beside themselves because they didn't know what was going on or why they couldn't or couldn't do it.
[00:02:26.698 --> 00:02:31.762]  People at first, when I just shot a video, I was in Galveston on vacation with family Friday night when this happened.
[00:02:31.802 --> 00:02:33.244]  I talked to the police.
[00:02:33.304 --> 00:02:35.526]  I talked to the code enforcer on the phone when they were down there.
[00:02:35.626 --> 00:02:36.627]  You guys would hand the phone over.
