[00:00:03.021 --> 00:00:05.045]  You're listening to GCN.
[00:00:05.405 --> 00:00:07.108]  Great Talk Radio starts here.
[00:00:14.571 --> 00:00:18.773]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.413 --> 00:00:20.214]  You want answers?
[00:00:21.014 --> 00:00:21.915]  Well, so does he.
[00:00:22.555 --> 00:00:26.217]  He's Alex Jones on the GCN Radio Network.
[00:00:26.737 --> 00:00:30.799]  And now, live from Austin, Texas, Alex Jones.
[00:00:46.149 --> 00:00:49.352]  It's already Wednesday, the good old hump day.
[00:00:49.632 --> 00:00:53.115]  For those of you that work five days a week, I work seven days a week, so just another day.
[00:00:53.135 --> 00:00:58.519]  It is the 24th day, ladies and gentlemen, of July 2013.
[00:00:59.240 --> 00:01:09.128]  And Obama, again, is doing his 20-something economy pivot, reset, whatever he calls it.
[00:01:10.396 --> 00:01:22.672]  As the globalists publicly state their plan is to deindustrialize the Western world from Australia to Western Europe right through to the United States and Canada.
[00:01:23.953 --> 00:01:39.279]  But also halt industrialization and clean industrialization or more modern industrialization of the entire third world except in small controlled development zones under IMF World Bank agreements.
[00:01:39.719 --> 00:01:41.099]  That's the new world order.
[00:01:41.660 --> 00:01:42.720]  They're above the law.
[00:01:43.180 --> 00:01:44.441]  They don't pay taxes.
[00:01:45.261 --> 00:01:53.144]  Poor people, middle class people, rich people that aren't part of the inside crew, countries, everybody else gets gang raped.
[00:01:54.469 --> 00:02:03.236]  And it is the most inequitable, discriminatory system, but we're all busy fighting with each other over George Zimmerman.
[00:02:03.977 --> 00:02:04.317]  Aren't we?
[00:02:04.958 --> 00:02:10.783]  Meanwhile, there's an article up on Infowars.com, the black George Zimmerman the media doesn't want you to know about.
[00:02:12.109 --> 00:02:17.696]  A black neighborhood watch gentleman that found three white teens breaking into vehicles.
[00:02:18.176 --> 00:02:19.058]  They rushed him.
[00:02:19.078 --> 00:02:20.940]  He shot and killed one.
[00:02:20.960 --> 00:02:23.483]  And the prosecutor wanted to throw him in jail.
[00:02:24.063 --> 00:02:25.265]  But guess what happened?
[00:02:25.285 --> 00:02:26.606]  The grand jury said no!
[00:02:28.849 --> 00:02:33.591]  Witnesses said they saw the guys run at you, not jump on top of you and slam your head into the ground.
[00:02:34.031 --> 00:02:35.932]  Run at you so you had a right to shoot them.
[00:02:36.472 --> 00:02:40.854]  And this is what thugs in government and thugs on the street, they're all the same.
