[00:00:03.055 --> 00:00:05.077]  You're listening to GCN.
[00:00:05.438 --> 00:00:07.140]  Great Talk Radio starts here.
[00:00:14.656 --> 00:00:18.839]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.480 --> 00:00:20.301]  You want answers?
[00:00:21.081 --> 00:00:22.022]  Well, so does he.
[00:00:22.623 --> 00:00:26.206]  He's Alex Jones on the GCN Radio Network.
[00:00:26.806 --> 00:00:30.889]  And now, live from Austin, Texas, Alex Jones.
[00:00:47.466 --> 00:00:53.728]  Oh my god.
[00:00:53.989 --> 00:00:55.389]  What the **** just happened here?
[00:00:55.449 --> 00:00:56.890]  That was supposed to be pretty perfect.
[00:00:56.910 --> 00:00:57.750]  Who was running?
[00:00:58.371 --> 00:01:00.372]  That was supposed to be pretty perfect.
[00:01:00.392 --> 00:01:01.132]  Who was running?
[00:01:02.573 --> 00:01:03.393]  Oh ****.
[00:01:06.357 --> 00:01:08.798]  All right, folks, we are back.
[00:01:09.458 --> 00:01:16.740]  We were just here 20-something hours ago, and now we are back live, on air, broadcasting worldwide.
[00:01:17.600 --> 00:01:21.221]  And what a tragedy happened during the last hour of the broadcast yesterday.
[00:01:21.301 --> 00:01:26.823]  And you would think the United States had just been hit by a nuclear bomb or something.
[00:01:27.403 --> 00:01:33.785]  The hysteria, the hyperventilating that is still ongoing
[00:01:34.913 --> 00:01:59.771]  Right now, on controlled corporate state-run press, you would think the end of the world happened yesterday because Miriam Carey, a woman they're saying was on prescription drugs, got scared by a drill and a, quote, makeshift temporary checkpoints in the area
[00:02:02.319 --> 00:02:11.366]  And got scared and ran off, and then the media said that she'd been firing like Yosemite Sam with two guns out the windows and had been smashing down barriers.
[00:02:11.886 --> 00:02:17.571]  And it turns out it was the police driving around like total maniacs, smashing into everything in sight.
[00:02:18.391 --> 00:02:29.820]  And then of course they blamed her for the cops running into barriers when she wasn't even anywhere around, and then chasing the panicked woman around a roundabout until killing her in front of her baby.
[00:02:32.418 --> 00:02:39.864]  And you can make excuses and say, oh, she was dangerously driving, we didn't shoot out her tires, we just killed her because we love her, we care about her, we're heroes.
[00:02:40.804 --> 00:02:56.977]  As the Senate and the House have been saying, and as the bizarre Kathy Lehner, Police Chief of the District of Mordor, the District of Criminals, the District of Con Artist, was saying, you can make excuses about all that, but you cannot make excuses about
[00:02:57.797 --> 00:03:02.678]  Sweating Senators and House Members going, incredible job defending us from the terrorists!
[00:03:03.098 --> 00:03:04.659]  You are heroes!
[00:03:05.099 --> 00:03:10.440]  We're all battling through this and going on TV and they're still on television right before I went on air.
[00:03:11.381 --> 00:03:12.561]  Yeah, there's the standing ovation.
[00:03:13.461 --> 00:03:23.904]  Right before I went on air I was watching the Communist News Network and they had the ATF, FBI all up there thanking each other, talking about how they faced down the most devastating threat in world history.
[00:03:24.929 --> 00:03:28.591]  Meanwhile, there are people dying by the hundreds of thousands with flesh-eating bacteria.
