[00:00:04.093 --> 00:00:04.774]  And welcome back.
[00:00:05.234 --> 00:00:09.157]  Our guest tonight is an active duty soldier from the hashtag I Didn't Join campaign.
[00:00:09.177 --> 00:00:10.198]  Maybe you guys have seen this.
[00:00:10.538 --> 00:00:11.899]  It's been demonized in the public.
[00:00:11.979 --> 00:00:13.240]  Some people saying this is a hoax.
[00:00:13.620 --> 00:00:17.103]  This is a very real movement, very real people that you're about to see.
[00:00:17.123 --> 00:00:18.664]  You're about to see one of these guys right now.
[00:00:19.004 --> 00:00:22.907]  And these are just people who are fed up with the war lies, with the propaganda.
[00:00:22.967 --> 00:00:28.571]  And they know, you know, like Alex says on the show all the time, active duty military and police, they know what's going on.
[00:00:28.812 --> 00:00:29.952]  And this is one of the guys right here.
[00:00:29.973 --> 00:00:30.533]  All right.
[00:00:30.553 --> 00:00:31.454]  Thanks for joining us, Evan.
[00:00:32.094 --> 00:00:32.654]  Hi, how you doing?
[00:00:33.234 --> 00:00:33.714]  Really good.
[00:00:33.754 --> 00:00:36.555]  Now, I want to confirm to people that you are active duty military.
[00:00:37.155 --> 00:00:39.256]  Can you tell us who you are and what your experience is?
[00:00:39.876 --> 00:00:40.436]  Yeah, sure.
[00:00:40.676 --> 00:00:41.777]  My name is Evan Klosinski.
[00:00:42.137 --> 00:00:44.057]  I've been an active duty U.S.
[00:00:44.117 --> 00:00:45.758]  Army service member for six years now.
[00:00:45.778 --> 00:00:48.518]  I have one deployment to Iraq.
[00:00:50.639 --> 00:01:00.222]  It's been kind of a stepping stone in my life to be a service member and to learn skills and some trades that I otherwise probably wouldn't have learned outside of it.
[00:01:02.206 --> 00:01:07.169]  I'm currently going to be deploying again here soon to Afghanistan.
[00:01:07.189 --> 00:01:14.053]  Other than that, I'm just proud to serve my nation and the people of America.
[00:01:14.613 --> 00:01:16.254]  We definitely do appreciate your service.
[00:01:16.654 --> 00:01:21.757]  Ivan, can you tell us a little bit about the hashtag I Didn't Join campaign and what prompted you to become involved?
[00:01:24.002 --> 00:01:27.963]  You know, I haven't had my Twitter account for very long and I haven't done a whole lot on it.
[00:01:28.303 --> 00:01:36.905]  And then one day I decided to check it out and I saw this and I've always been a follower of Alex Jones on there and a number of other news media outlets.
[00:01:37.065 --> 00:01:38.445]  You know, you've got to be fair and balanced.
[00:01:38.505 --> 00:01:40.626]  You've got to get the story from all sides as it's being told.
[00:01:41.466 --> 00:01:46.487]  And I came upon a posting from the Alex Jones Show.
[00:01:47.007 --> 00:01:48.968]  It was about the hashtag, I didn't join.
[00:01:50.008 --> 00:01:53.449]  And I saw that other service members are willing to
[00:01:53.996 --> 00:01:57.777]  You know, stick their neck out on the line and to stand up for what they believe in.
[00:01:58.477 --> 00:02:09.979]  And that I think it's pivotal and critical for those of us in the service to let our leaders know, hey, what you're doing isn't right.
[00:02:11.440 --> 00:02:16.561]  And that we share the same view as the rest of the people of our country.
[00:02:16.581 --> 00:02:21.322]  I won't say the rest of us, because it is right now, you know, 60-40.
[00:02:23.900 --> 00:02:26.161]  Do not favor action in Syria.
[00:02:26.782 --> 00:02:30.324]  But like those other service members, I share that opinion.
[00:02:30.564 --> 00:02:43.130]  And it dawned on me that what they're talking about is, you know, in Afghanistan and in Iraq, we fought insurgents and people of the Taliban and most importantly, al-Qaeda.
[00:02:44.091 --> 00:02:47.533]  And there are al-Qaeda in Syria.
[00:02:48.253 --> 00:02:49.974]  And apparently we're supporting them.
[00:02:50.655 --> 00:02:53.176]  So I'm going to fight them in one country.
[00:02:53.832 --> 00:02:53.972]  Mm-hmm.
[00:02:54.792 --> 00:02:56.033]  And help them in another.
[00:02:56.413 --> 00:02:58.173]  It doesn't make sense.
[00:02:58.873 --> 00:03:04.114]  Why would anybody with a shred of common sense think that that was an okay thing to do?
[00:03:04.134 --> 00:03:05.495]  It doesn't make sense.
[00:03:05.555 --> 00:03:11.796]  You know, I've lost friends, I've lost brothers and sisters in the military to those exact same people.
