[00:00:28.095 --> 00:00:29.756]  Welcome to the Infowars Nightly News.
[00:00:29.876 --> 00:00:30.497]  I'm David Knight.
[00:00:30.557 --> 00:00:32.959]  It's Wednesday, July 17th, 2013.
[00:00:33.379 --> 00:00:36.922]  Now, tonight we have a special treat for our Prison Planet subscribers.
[00:00:36.962 --> 00:00:39.404]  We're going to have the world premiere of State of Mind.
[00:00:39.964 --> 00:00:40.505]  Stick around.
[00:00:40.545 --> 00:00:46.389]  It's going to be a roundtable discussion with the filmmakers and Alex Jones as we air that after the news.
[00:00:46.489 --> 00:00:47.290]  But first, the news.
[00:00:47.991 --> 00:00:57.138]  Now, if you remember when Snowden leaked the information about the PRISM program and how our information was being collected by Microsoft and a lot of other companies,
[00:00:58.001 --> 00:01:10.752]  The companies that were named, the companies involved issued carefully worded denials saying they had absolutely nothing to do with it as it was depicted in the leaked top secret slides.
[00:01:11.252 --> 00:01:18.819]  Yet one of these companies, Yahoo, is fighting to have their name cleared and fighting to get legal due process back in this country.
[00:01:20.106 --> 00:01:20.466]  The U.S.
[00:01:20.526 --> 00:01:26.751]  government is now going to declassify Yahoo legal documents from FISA, the secret court opinion.
[00:01:27.071 --> 00:01:33.095]  Now, if you remember, last Friday, I believe, we reported that Yahoo was suing for this information.
[00:01:33.555 --> 00:01:34.536]  Now they have won.
[00:01:34.956 --> 00:01:36.537]  This from the article from Engadget.
[00:01:36.557 --> 00:01:39.659]  It says, Yahoo had claimed that it fought against PRISM since 2008.
[00:01:41.080 --> 00:01:44.563]  It's now about to land previously secret court documents to prove it.
[00:01:45.263 --> 00:01:48.989]  A foreign intelligence surveillance court, that would be FISA, has ruled that the U.S.
[00:01:49.009 --> 00:01:57.881]  Department of Justice must declassify the firm's legal briefs and the court's decision on the search giant's attempts to resist the government's request for user data.
[00:01:58.866 --> 00:02:10.512]  As the Daily Dot notes, this is only the second known civilian victory in a FISA Intelligence Surveillance Act, a FISA courtroom, and it follows a win by the EFF just a few days ago.
[00:02:11.152 --> 00:02:12.292]  So keep that in perspective.
[00:02:12.713 --> 00:02:16.614]  This is only two times that they've had their rulings challenged.
[00:02:16.995 --> 00:02:19.896]  This is not, this is not a legitimate court.
[00:02:20.316 --> 00:02:23.978]  This is not a court that conforms to any sort of traditional court.
[00:02:24.987 --> 00:02:29.572]  It's not a court that conforms to any kind of constitutional definition of a court.
[00:02:29.972 --> 00:02:30.693]  There is no jury.
[00:02:31.113 --> 00:02:32.234]  There is no opposition.
[00:02:32.755 --> 00:02:34.817]  Merely an appointed judge.
[00:02:34.837 --> 00:02:36.879]  There's only 11 of these judges that are appointed.
[00:02:36.919 --> 00:02:40.202]  They're appointed by the Supreme Court Chief Justice.
[00:02:40.763 --> 00:02:46.008]  Now, when John Roberts came in, he knew nothing about the appointments of these judges.
[00:02:46.068 --> 00:02:48.551]  He didn't know anything about the FISA Court, according to him.
[00:02:49.151 --> 00:02:58.539]  When he briefed the Senate back in June, he told them basically how this worked and how surprised he was to find out that there was something like this because it's not a real court.
[00:02:58.840 --> 00:03:00.401]  It's not anything that's in the Constitution.
[00:03:00.741 --> 00:03:04.144]  And yet, John Roberts went ahead and appointed judges.
[00:03:04.324 --> 00:03:05.665]  He didn't say anything about it.
[00:03:05.825 --> 00:03:06.946]  He didn't blow the whistle on it.
[00:03:07.307 --> 00:03:10.509]  It took someone like Snowden to get people aware of this.
[00:03:10.550 --> 00:03:12.731]  Now this has been around for a very long time.
[00:03:13.032 --> 00:03:14.313]  It's been around for 33 years.
[00:03:14.453 --> 00:03:15.334]  Listen to this statistic.
[00:03:16.215 --> 00:03:22.160]  Last year alone, the FISA Court heard nearly 1,800 such applications from the U.S.
[00:03:22.200 --> 00:03:22.560]  government.
