[00:00:02.915 --> 00:00:04.956]  You're listening to GCN.
[00:00:05.317 --> 00:00:07.098]  Great Talk Radio starts here.
[00:00:14.463 --> 00:00:15.144]  Big Brother.
[00:00:15.784 --> 00:00:16.825]  Mainstream media.
[00:00:17.545 --> 00:00:18.766]  Government cover-ups.
[00:00:19.307 --> 00:00:20.127]  You want answers?
[00:00:20.888 --> 00:00:21.808]  Well, so does he.
[00:00:22.429 --> 00:00:26.031]  He's Alex Jones on the GCN Radio Network.
[00:00:26.632 --> 00:00:30.695]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.628 --> 00:00:44.474]  You remember earlier this week we had the magician on who is charged tens of thousands of dollars a year in fines and fees and regulations and has to create a disaster plan for the rabbit he uses in the show.
[00:00:45.454 --> 00:00:51.437]  You've of course heard about them wanting $5,000 a day fines for dust, hay dust in a barn.
[00:00:52.418 --> 00:00:57.961]  You have just seen all the madness that's going on to shut down our economy.
[00:00:59.128 --> 00:01:03.014]  And to collectivize this nation, but I have several videos today.
[00:01:03.354 --> 00:01:09.543]  One of these actually went up yesterday morning on Infowars.com, but I'm going to be getting to it later in the hour.
[00:01:09.563 --> 00:01:15.430]  A animal shelter took in a baby deer, so they SWAT teamed them.
[00:01:16.912 --> 00:01:23.255]  Because they put a YouTube video out about it and a bunch of good neighbors tattled on them that was supposedly illegal.
[00:01:23.976 --> 00:01:27.098]  And so they came and killed the baby deer and put it in a body bag.
[00:01:27.658 --> 00:01:30.760]  Armed agents raid animal shelter for baby deer and kill it!
[00:01:31.860 --> 00:01:32.801]  WISN-TV.
[00:01:34.059 --> 00:01:40.805]  Now again, these are being run over all day, ladies and gentlemen, but if you try to save one, the bureaucrats are going to come after you.
[00:01:41.285 --> 00:01:48.712]  Then I have City of Seattle bans the words brown bag and bans the words citizen.
[00:01:48.772 --> 00:01:49.693]  Both are offensive.
[00:01:50.173 --> 00:01:52.755]  Now again, you've got real racism going on.
[00:01:53.556 --> 00:01:55.778]  White against black, black against white, you name it.
[00:01:56.258 --> 00:01:56.679]  You've got
[00:01:57.699 --> 00:02:07.526]  The show called Left, you know, coming out and, I mean, I heard one of the leftist local talk show hosts yesterday morning say that anybody who's poor, i.e.
[00:02:07.566 --> 00:02:09.507]  minority, should be forcibly sterilized.
[00:02:09.527 --> 00:02:15.131]  They had a whole hour-long show about that with the favorite son liberal talk show host here in Austin.
