[00:00:03.319 --> 00:00:03.440]  Yeah.
[00:00:30.711 --> 00:00:31.512]  Yeah.
[00:00:39.454 --> 00:00:43.935]  It's February 11th, it's Paul Joseph Watson, this is InfoWars Nightly News.
[00:00:44.375 --> 00:00:48.436]  Top story tonight, why the banking elite want riots in America.
[00:00:48.876 --> 00:00:54.017]  This is an article I put together today with Alex Jones, it's going to be in the upcoming edition of the InfoWars magazine.
[00:00:54.637 --> 00:00:57.858]  Part 1 of Part 2, there's going to be a Part 2 tomorrow.
[00:00:58.538 --> 00:01:05.200]  Every indication clearly suggests that authorities in the United States are preparing for widespread civil unrest.
[00:01:05.700 --> 00:01:07.900]  This trend has not emerged by accident.
[00:01:08.301 --> 00:01:18.403]  It is part of a tried and tested method used by the banking elite to seize control of nations, strip them of their assets and absorb them into the new world order.
[00:01:18.903 --> 00:01:30.325]  And in this article we look back on the astounding revelations of Greg Pallas, the BBC reporter, who of course 13 years ago now got the leaked World Bank documents which clearly outlined
[00:01:30.905 --> 00:01:38.612]  That fostering riots was one of the steps of the four-step process in bankrupting and looting nations.
[00:01:38.872 --> 00:01:46.779]  They've done it to Greece, they've done it to Argentina, now they're doing it to numerous countries in Europe and America is the ultimate goal.
[00:01:47.299 --> 00:01:59.408]  And the objective of these IMF riots is to cripple countries financially, scare off investors and force them to become dependent on IMF loans and banker bailouts.
[00:01:59.889 --> 00:02:13.039]  So we've already seen Italy, France and England to name three, which were of course all hit by riots over the past year that precipitated the takeover of these economies by Goldman Sachs technocrats.
[00:02:13.579 --> 00:02:21.565]  So in this article we take a look at the signs which point to the inescapable fact that similar civil unrest is also planned for America.
[00:02:21.585 --> 00:02:37.996]  Of course we've got the NDAA, the plan to arrest dissidents, social media spying looking for signs of civil unrest, that's what the DHS got caught involved in recently, the war on whistleblowers, the record DHS bullet buys,
[00:02:38.556 --> 00:02:47.021]  Of course, the data center being built in Utah to read all your emails, again looking for signs of civil unrest, looking for that tipping point.
[00:02:47.682 --> 00:02:50.223]  And of course, drones targeting American citizens.
[00:02:50.283 --> 00:03:06.953]  So, we document in this article how these are all preparatory tools that are being readied by the establishment so they can preempt, steer, and war game the inevitable social disorder that will, according to their own models, be caused by an economic collapse.
[00:03:07.413 --> 00:03:11.278]  Or a sustained economic decline, which is what the United States is currently undergoing.
[00:03:11.978 --> 00:03:13.600]  And this article all maps it out.
[00:03:13.660 --> 00:03:17.365]  It's been done to innumerable countries over the past 30 years.
[00:03:17.665 --> 00:03:21.109]  And the question is, who's next on the chopping block?
[00:03:22.250 --> 00:03:23.491]  So he mentioned drones.
[00:03:24.072 --> 00:03:25.573]  Here's an article by Kurt Nimmo.
[00:03:25.974 --> 00:03:29.557]  Congress prepares to kill Sixth Amendment with secret drone corps.
[00:03:30.138 --> 00:03:44.672]  In response to Obama's imperial killing machines, his fleet of roaming drones, a gaggle of senators led by gun grabber Dianne Feinstein is poised to kill off Sir William Blackstone's Palladium of English Liberty, the Sixth Amendment.
[00:03:45.032 --> 00:03:59.175]  Feinstein has proposed legislation to ensure drone strikes are carried out in a manner consistent with our values and the proposal to create an analogue of the Foreign Intelligence Surveillance Court to review the conduct of such strikes.
[00:03:59.635 --> 00:04:08.357]  In other words, a secret tribunal that will hand down kill orders for Americans the government believes are, quote, suspected militants.
[00:04:08.897 --> 00:04:23.061]  So this is basically the 21st century incarnation of the infamous Star Chamber, the 17th century court used by corrupt monarchs in England to abuse their power and eliminate their political adversaries.
[00:04:23.501 --> 00:04:33.324]  The very same Star Chamber, as it happens, that served as a warning for the Founding Fathers when they crafted the Fifth and Sixth Amendments to the US Constitution.
[00:04:33.764 --> 00:04:38.829]  And now Feinstein and the rest of them want to resurrect this corrupt star chamber.
[00:04:39.169 --> 00:04:48.317]  It's about codifying, legitimizing, drone executions of American citizens in the name of providing oversight.
[00:04:49.451 --> 00:04:57.276]  Another related drone story out of Infowars, Twitter explodes with fears of armed drone strikes targeting Chris Dorner.
[00:04:57.856 --> 00:05:14.886]  A newspaper report which erroneously claimed that fugitive Chris Dorner would be the first American to be targeted with surveillance drones on US soil, led to a social media freakout with Twitter users expressing fears that armed drones had been authorized to assassinate Dorner.
[00:05:15.746 --> 00:05:19.776]  So basically, the UK Express reported that Dorna...
[00:05:20.820 --> 00:05:33.404]  Of course, as we know, he's still on the run for killing three people, vowed to wage asymmetrical warfare against the LAPD cops, was the first American to be targeted by spy drones on US soil.
[00:05:33.484 --> 00:05:48.828]  That, of course, was inaccurate because the farming family out of North Dakota, the Brossards, back in 2011, they were targeted with a Predator surveillance drone for the egregious crime of allowing six cows to wander onto their land.
[00:05:49.830 --> 00:06:02.642]  But people got this story wrong, and a deluge of them took to Twitter to vent their outrage that Dorna was being targeted by an armed drone, which, at the moment at least, is incorrect.
[00:06:02.942 --> 00:06:09.589]  Although the police department have said they will use all resources at their disposal, which includes at least the spy drone.
[00:06:10.649 --> 00:06:23.797]  What we didn't see was similar levels of outrage when Obama ordered the assassination of 16-year-old American citizen Abdulrahman al-Awlaki, who was killed of course by a drone in Yemen.
[00:06:23.957 --> 00:06:25.498]  Nobody was freaking out about that.
[00:06:26.458 --> 00:06:28.539]  But now they're freaking out about a false report.
[00:06:29.040 --> 00:06:32.662]  The question is, could Dorna be targeted by an armed drone?
[00:06:33.102 --> 00:06:42.587]  Well we know, and there are examples in this article, that there are drones which can be fitted with tasers used to incapacitate suspects from 100 yards away.
[00:06:42.647 --> 00:06:45.789]  So certainly don't rule it out if this drags on for much longer.
[00:06:46.369 --> 00:06:53.078]  But of course the main issue to arise out of this story is the outpouring of support for Christopher Dorner.
[00:06:53.418 --> 00:06:58.925]  Just a ton of Facebook tribute pages and everything set up in his name, in his support.
[00:07:00.373 --> 00:07:02.914]  For an alleged murderer, which is, you know, what he is.
[00:07:03.654 --> 00:07:17.360]  And that really is, if you think about it, a sad indictment on how much respect Americans have lost for law enforcement, who really only have themselves to blame for that loss of respect.
[00:07:18.200 --> 00:07:39.179]  Because it's being created as a result of rampant police brutality and the police using the law itself as a weapon to protect corruption, to crush free speech, and not what it should be used for, which of course is to protect and uphold the constitutional rights of the American people.
[00:07:40.074 --> 00:07:44.920]  Why we're building a 1 billion euro model of a human brain.
[00:07:45.441 --> 00:07:55.533]  This is a report out the new scientist about a human brain project, a scientific endeavor to recreate the human brain in a supercomputer.
[00:07:56.374 --> 00:08:08.579]  A cost of 1 billion euros or 1.4 billion dollars, scientists hope to create a working electronic brain in the hope of uncovering new information about neurological disorders.
[00:08:08.960 --> 00:08:11.201]  But here's where it gets creepy.
[00:08:11.941 --> 00:08:16.163]  New scientists ask the director of the project, Henry Markram,
[00:08:17.143 --> 00:08:23.025]  Once completed, could the simulated brain ever become conscious?
[00:08:23.585 --> 00:08:32.688]  He responded, when we couple this model to a robot, the robot will behave, and we'll see this in the way its neurons are firing.
[00:08:33.308 --> 00:08:34.809]  Does that mean it's conscious?
[00:08:35.349 --> 00:08:39.010]  That's a philosophical question, and it's an unresolved one.
[00:08:39.898 --> 00:08:48.344]  He also said, quote, as the model becomes more accurate and behaves more like a brain, we could couple it to a robot and see the robot learning.
[00:08:48.944 --> 00:09:03.974]  So, of course, the fear expressed by some as the elite moves towards this cyborg singularity is that robots will eventually be able to develop their own learning process and outsmart their creators.
[00:09:05.117 --> 00:09:26.995]  We've previously discussed the predictions of futurist Ray Kurzweil in addition to Sun Microsystems founder Bill Joy, both of whom assert that before the middle of the century humans will have been basically supplanted by robots in virtually all areas of unskilled labour and that by the end of the century humanity
[00:09:27.435 --> 00:09:35.121]  Will be ruled by the robots, by the Skynet system, who for their own convenience may decide to exterminate us all.
[00:09:36.202 --> 00:09:48.633]  So while the 1 billion euro human brain project is by no means the realisation of that future fear, it certainly will be seen by some as a step in that direction.
[00:09:50.023 --> 00:09:56.370]  Record-close asteroid may miss the Earth, but it could take out your phone, reports The Telegraph.
[00:09:56.930 --> 00:10:06.020]  Scientists have dismissed fears an asteroid due to whiz past the Earth on Friday will destroy London, but it could take out vital telecommunications satellites.
[00:10:06.741 --> 00:10:10.184]  This asteroid, half the size of a football field,
[00:10:11.246 --> 00:10:16.050]  It's going to whiz by on Friday, but it's going to come within the orbit of satellites around the Earth.
[00:10:16.571 --> 00:10:19.733]  Because NASA has assured us that it won't hit the Earth.
[00:10:20.334 --> 00:10:25.698]  But isn't it amazing that we've had years of hysteria about the baseless Mayan 2012 prophecy
[00:10:27.560 --> 00:10:35.629]  When all the time we have these near-Earth objects threatening the planet, basically, and a lot of them aren't even being tracked.
[00:10:35.709 --> 00:10:44.179]  This one was discovered by amateur astronomers, and it's going to be the closest narrow miss that scientists have ever recorded.
[00:10:45.402 --> 00:10:55.909]  Experts have calculated that it will stay at least 17,200 miles away, easily far enough to be safe, but a very close shave in astronomical terms.
[00:10:56.270 --> 00:10:57.711]  So that's going to happen on Friday.
[00:10:58.451 --> 00:11:04.996]  There's another article out of the Washington Times where CNN is blaming the asteroid on global warming.
[00:11:05.136 --> 00:11:10.880]  That's right, apparently human activity on Earth now influences the path of asteroids.
[00:11:11.420 --> 00:11:13.562]  Make of that what you will, completely ludicrous.
[00:11:15.475 --> 00:11:16.296]  Here's another article.
[00:11:16.336 --> 00:11:18.257]  The Jekyll and Hyde Happy Pill.
[00:11:18.498 --> 00:11:27.105]  It's brought relief to millions but is linked to suicide, low libido and birth defects and we still don't know how Prozac works.
[00:11:27.605 --> 00:11:34.591]  This is a long article out of the Daily Mail but what caught my eye was this part about halfway through the article.
[00:11:34.611 --> 00:11:39.695]  It talks about the origins of Prozac and listen to this quote.
[00:11:40.802 --> 00:11:46.308]  What followed was a marketing strategy that is as old as the pharmaceutical industry itself.
[00:11:46.768 --> 00:11:51.773]  If you've got a new cure for an illness, make the illness massively more popular.
[00:11:52.434 --> 00:12:01.723]  Eli Lilly printed 8 million brochures highlighting the symptoms of depression and publicising a new no-hassle treatment.
[00:12:02.708 --> 00:12:08.450]  With the rapid rise of Prozac came an epidemic in diagnoses of depression.
[00:12:09.070 --> 00:12:29.237]  So this article basically admits that the pharmaceutical industry, this is in Britain but it's the same everywhere, worked with the government to create the myth, the false perception, that depression was a new epidemic, purely as a marketing campaign to sell Prozac.
[00:12:29.557 --> 00:12:31.318]  That's how it started in the late 80s.
[00:12:32.478 --> 00:12:44.091]  And now it's basically, as we know, become the SOMA pill of our time, despite its clear connection with suicides, violent behaviour, birth defects, school shootings.
[00:12:44.712 --> 00:12:50.298]  And this article goes through it all, it's a long article, but I suggest you read the rest of it out of the Daily Mail.
[00:12:51.857 --> 00:12:55.460]  Pope Benedict XVI in shock resignation.
[00:12:55.960 --> 00:13:06.989]  Pope Benedict XVI is to resign at the end of the month after nearly eight years of the head of the Catholic Church, saying he is too old to continue at the age of 85, reports BBC News.
[00:13:07.429 --> 00:13:17.116]  The unexpected development, the first papal resignation in nearly 600 years, surprised governments, Vatican watchers and even his closest aides.
[00:13:17.597 --> 00:13:21.300]  The Vatican says it expects a new pope to be elected before Easter.
[00:13:22.521 --> 00:13:25.623]  So, Cardinal Ratzinger is out.
[00:13:25.923 --> 00:13:29.946]  He's citing declining health, the need to take a break.
[00:13:31.147 --> 00:13:39.814]  The last Pope to resign was Pope Gregory XII, who resigned in 1415 amid a schism within the Church.
[00:13:40.074 --> 00:13:41.075]  So people are asking,
[00:13:42.216 --> 00:13:43.337]  Is it just his health?
[00:13:43.637 --> 00:13:47.258]  Is that the only reason for his shock resignation?
[00:13:47.899 --> 00:13:49.439]  Because it's basically unheard of.
[00:13:49.500 --> 00:14:00.625]  I mean, you remember the previous Pope, John Paul II, he was the second longest serving Pope in history and battled through severely ill health right up until his death.
[00:14:00.785 --> 00:14:06.067]  Of course, never relinquished the papacy, even though he was diagnosed with Parkinson's in 2001.
[00:14:07.708 --> 00:14:15.652]  So, the resignation of Ratzinger, the former Hitler Youth member, of course, is somewhat odd, to say the least.
[00:14:16.192 --> 00:14:29.058]  And there's speculation going around that Ratzinger is about to be personally sued by the victims of the pedophilia scandal, which of course has plagued the Catholic Church over the last decade.
[00:14:29.498 --> 00:14:35.741]  So basically, the Church didn't want him involved when he was being sued over that scandal.
[00:14:36.744 --> 00:14:50.593]  And we know that Ratzinger himself was Archbishop of Munich at the same time that, quote, a known molester was quietly reassigned allowing him to return to pastoral duties and make contact with young people.
[00:14:51.614 --> 00:14:53.235]  That's what the Guardian reported today.
[00:14:54.075 --> 00:14:55.657]  So it could be related to that.
[00:14:56.587 --> 00:15:11.237]  Another interesting theory which I saw on Attorney Kurt Haskell's Facebook page, who of course is a regular guest on the show, posits that the next Pope is Peter the Roman and he will apparently be the last Pope.
[00:15:11.797 --> 00:15:19.222]  And this is based on the predictions of Saint Malachi, the Irish Saint, who says, quote, he said back
[00:15:19.702 --> 00:15:21.364]  What, nearly a thousand years ago now?
