[00:00:35.926 --> 00:00:37.388]  It's Monday, April 8, 2013.
[00:00:37.568 --> 00:00:41.632]  I'm Alex Jones, and this is InfoWars Nightly News.
[00:00:53.032 --> 00:00:57.617]  Tonight, Joe Biden calls for a new world order.
[00:00:57.997 --> 00:01:02.702]  And MSNBC says your kids belong to the collective.
[00:01:02.722 --> 00:01:06.566]  We have to break through our kind of private idea that kids belong to their parents.
[00:01:06.746 --> 00:01:10.450]  Plus, WikiLeaks releases the Kissinger cables.
[00:01:11.031 --> 00:01:15.255]  All that and more up next on the InfoWars Nightly News.
[00:01:15.976 --> 00:01:27.160]  First off tonight, we look at the accelerating attack on the Bill of Rights and Constitution under the collectivist tyrants that have seized control of the United States for their foreign offshore banker masters.
[00:01:27.700 --> 00:01:30.301]  Now this comes out of Suffolk County, New York.
[00:01:31.341 --> 00:01:35.723]  And Long Island Firearms is reporting it, as well as local Patch, a publication.
[00:01:36.283 --> 00:01:41.966]  Dad's pistol license pulled after son makes water gun threat in school.
[00:01:41.986 --> 00:01:45.907]  Reportedly, bullies were beating him up and he said, I'll get you with my water gun.
[00:01:46.468 --> 00:01:53.511]  Endless video game violence, violence on TV, you name it, but you point your fingers and say, boom, you're kicked out of school.
[00:01:54.591 --> 00:01:59.995]  You have a bubble gun, you're kicked out of school, and then now your parents have their guns taken.
[00:02:00.536 --> 00:02:03.037]  And the father asked the police, when do I get my guns back?
[00:02:03.057 --> 00:02:07.401]  And they said, well, your son's 10 when he's 18 and moved out of the house.
[00:02:08.806 --> 00:02:09.507]  Then he can.
[00:02:10.247 --> 00:02:11.869]  Even though the guns were locked up in a gun safe.
[00:02:12.730 --> 00:02:14.291]  I mean, this is unconstitutional.
[00:02:14.872 --> 00:02:29.845]  They're using the 20 dead from Sandy Hook with 60 minute propaganda pieces to try to guilt all of us for 20 dead when governments have killed 260 plus million in the last century and government is arming itself with the teeth and has bodyguards.
[00:02:30.606 --> 00:02:31.607]  I mean, this is just amazing.
[00:02:31.647 --> 00:02:36.911]  This is a criminal instinct to demonize the Second Amendment in this country.
[00:02:37.371 --> 00:02:46.878]  And they're also, as we covered last week, the ADL, Southern Poverty Law Center, and other groups that work for foreign banks and are demonizing Americans that don't collaborate with the globalist takeover.
[00:02:48.015 --> 00:02:49.036]  I believe this is really happening.
[00:02:49.997 --> 00:03:06.090]  They've now come out in a Fox News piece that the Army is teaching the military members that Christians period, Catholics, Evangelical Christians are the same as Al Qaeda and are extremists.
[00:03:06.470 --> 00:03:08.512]  Think about how insane this is.
[00:03:09.152 --> 00:03:17.139]  We can scroll down and actually show you the training manual where they're saying Catholics, Evangelical Christians are listed right beside Al Qaeda
[00:03:17.839 --> 00:03:29.006]  And this is just all calmly being done, and they also say in these manuals that if you talk about the New World Order and say megabanks are taking over America, you're also an extremist terrorist.
[00:03:29.066 --> 00:03:38.411]  I mean, of course the enemy that's taking over America that already has seized the government is saying you are a extremist terrorist, if you're aware of what they're doing.
[00:03:38.431 --> 00:03:42.814]  I mean, you can pull up where the military is trying to, quote, take on the Tea Party.
[00:03:43.174 --> 00:03:44.555]  Well, then what do they say to this?
[00:03:44.955 --> 00:03:45.735]  Joe Biden
[00:03:46.696 --> 00:03:58.920]  Well, speaking at the Import-Export Bank on Friday, NDC and CNBC covered this as well, talking about global governance and talked about a new world order.
[00:03:59.240 --> 00:04:00.020]  Here's that clip.
[00:04:02.541 --> 00:04:14.205]  The affirmative task we have now is to actually create a new world order, because the global order is changing again.
[00:04:15.029 --> 00:04:21.994]  And the institutions of the world that worked so well in the post-World War II era for decades, they need to be strengthened.
[00:04:22.454 --> 00:04:23.675]  And some have to be changed.
[00:04:24.456 --> 00:04:26.057]  So we have to do what we do best.
[00:04:26.778 --> 00:04:27.498]  We have to lead.
[00:04:28.099 --> 00:04:28.759]  We have to lead.
[00:04:29.259 --> 00:04:30.901]  We have to update the global rules of the world.
[00:04:30.921 --> 00:04:42.109]  It's overwhelming our interest that China prosper, that Mongolia prosper, that nations big and large, East and West,
[00:04:43.056 --> 00:04:44.872]  We have to level the playing field.
[00:04:47.130 --> 00:05:01.572]  Now, one big telltale part of any authoritarian takeover, whether it's fascist or communist, ancient Roman, is that the state says they control the children, and a lot of times takes the children and actually raises them to be children of the state.
[00:05:02.353 --> 00:05:05.433]  The Soviet Union's been doing this for 60, 70 years.
[00:05:05.793 --> 00:05:11.834]  Still, the Russian Federation takes kids from good families and turns them into their tax police and secret police.
[00:05:12.374 --> 00:05:15.715]  And now MSNBC, in an official promo,
[00:05:16.980 --> 00:05:27.308]  And an official promo is coming out with their host and saying that your kids belong to the collective.
[00:05:28.529 --> 00:05:31.692]  And that we've got to get past this private idea that your children belong to you.
[00:05:32.212 --> 00:05:37.756]  And they're already giving kids inoculations and abortions without parental consent at age 10 out in California.
[00:05:38.437 --> 00:05:39.498]  This is happening in Europe.
[00:05:39.938 --> 00:05:45.823]  Jocelyn Elders wanted to teach pre-kindergarteners how to masturbate and said the government would have to reach down and help them.
[00:05:46.443 --> 00:05:49.105]  I mean, again, it's all about dominating you.
[00:05:49.125 --> 00:05:55.369]  The Texas State Police pull you over and ram their hand up your rear end now, and then go to another person with the same glove and do it.
