[00:00:00.009 --> 00:00:01.489]  Alex Jones Broadcasting Network.
[00:00:07.531 --> 00:00:08.191]  Big Brother.
[00:00:08.851 --> 00:00:09.892]  Mainstream media.
[00:00:10.632 --> 00:00:11.752]  Government cover-ups.
[00:00:12.372 --> 00:00:13.193]  You want answers?
[00:00:13.953 --> 00:00:14.893]  Well, so does he.
[00:00:15.513 --> 00:00:19.154]  He's Alex Jones on the GCN Radio Network.
[00:00:19.694 --> 00:00:23.775]  And now, live from Austin, Texas, Alex Jones.
[00:00:36.898 --> 00:00:41.185]  Ladies and gentlemen, here we are, the 30th day of December, 2013.
[00:00:45.453 --> 00:00:47.354]  And this year is not long in the tooth.
[00:00:47.895 --> 00:00:53.258]  The teeth of this year are falling out, and this year has a very long white beard.
[00:00:53.759 --> 00:00:55.800]  Soon the new year will come in.
[00:00:56.740 --> 00:01:01.624]  And I talked a lot in the last few weeks, especially yesterday on the Sunday transmission, about what a critical year 2014 is.
[00:01:01.784 --> 00:01:06.247]  And I want to settle down a little bit today, because I was pretty wound up yesterday.
[00:01:06.267 --> 00:01:07.527]  I didn't get to everything I wanted to cover.
[00:01:08.048 --> 00:01:09.449]  I wanted to try to settle down.
[00:01:10.583 --> 00:01:11.083]  A little bit.
[00:01:12.304 --> 00:01:17.907]  And really go over with the listeners why I think 2014 is such a critical year.
[00:01:18.227 --> 00:01:19.868]  And also get your take on that.
[00:01:20.388 --> 00:01:23.910]  And the callers were just so good yesterday.
[00:01:23.930 --> 00:01:24.910]  Because we don't screen calls.
[00:01:24.950 --> 00:01:25.771]  We get some great calls.
[00:01:25.811 --> 00:01:28.932]  We get some callers that sound like they've been drinking a gallon of cough syrup.
[00:01:29.592 --> 00:01:31.633]  They're calling us with two tin cans and a string.
[00:01:32.274 --> 00:01:34.175]  But we have great listeners, bottom line.
[00:01:34.935 --> 00:01:38.317]  And just the callers yesterday really got me thinking and made so many great points.
[00:01:38.637 --> 00:01:49.344]  What do you think the biggest story, not the biggest media story, not all the fake hype stories, the fluff stories, the distraction stories, you know, the Dallas Cowboys losing to the Eagles or whatever.
[00:01:50.714 --> 00:01:54.175]  The big issue here is what are the real stories of 2013?
[00:01:54.816 --> 00:02:09.302]  And I think that the larger awakening and the implosion of the confidence in the system, I think undoubtedly that is the overarching big story of 2013.
[00:02:09.582 --> 00:02:13.784]  That the awakening, not just here, but worldwide, is on.
[00:02:15.014 --> 00:02:25.378]  And then the Snowden revelations in NSA, and all the tyranny coming out, and Benghazigate, and IRSgate, and harassment of the media, and persecution of the Tea Party.
[00:02:25.678 --> 00:02:26.798]  It all rolls into that.
[00:02:27.778 --> 00:02:31.500]  One of the biggest stories, of course, is the fact they tried to expand the open war against Syria.
[00:02:31.520 --> 00:02:35.041]  The public said we're backing Al-Qaeda against people that didn't attack anybody.
[00:02:35.361 --> 00:02:36.161]  This is outrageous.
[00:02:36.221 --> 00:02:37.942]  So, that's a huge story.
[00:02:39.488 --> 00:02:46.110]  But I want your take on what you really think overall is the most important stories of 2013.
