[00:00:15.521 --> 00:00:18.263]  InfoWars, tomorrow's news today.
[00:00:22.127 --> 00:00:25.870]  It is Saturday, November 7th, the year is 2020.
[00:00:26.290 --> 00:00:40.302]  And if we accept the false claims of Joe Biden and his Communist Chinese Deep State handlers that he is the president with the fraud we've just witnessed, then you could really see this as a good date to put on the Republic's tombstone.
[00:00:40.983 --> 00:00:42.284]  Born July 4th,
[00:00:43.887 --> 00:00:46.589]  1776 died November 7th, 2020.
[00:00:48.830 --> 00:00:51.152]  That's what this is.
[00:00:53.193 --> 00:00:56.775]  And we can talk all day about the failures of Trump and why this was able to happen.
[00:00:56.795 --> 00:00:58.936]  We can talk about what Trump should have done better.
[00:00:59.257 --> 00:01:01.438]  And we're going to do that so we don't make the mistakes next time.
[00:01:03.288 --> 00:01:08.429]  But you notice InfoWars has been basically 99% accurate, unlike anyone else.
[00:01:08.629 --> 00:01:24.053]  Just frighteningly prescient on what was going to unfold because we're watching every move they make, we know who the players are, and we see the preconditioning in the controlled media to get people ready for what's now happening.
[00:01:24.093 --> 00:01:26.013]  But this is why this is really important.
[00:01:28.074 --> 00:01:29.814]  I'm going to get into what's coming next.
[00:01:33.120 --> 00:01:43.982]  That is the most important thing to get to so that folks can now listen to the broadcast and then actually go check it out for themselves and then make preparation to stop what's coming next.
[00:01:44.022 --> 00:01:56.925]  Because a lot of people thought, and I explained to everybody it wasn't the case, that if Joe Biden won, the lockdowns and the shutdown of small businesses and the mask wearing and the forced inoculation would stop.
[00:01:58.561 --> 00:02:04.444]  Well, now you notice that Michigan and Washington State and Oregon and New York are announcing martial law.
[00:02:05.044 --> 00:02:10.527]  They're going to have their own state guards out arresting people that aren't wearing masks and getting ready for forced inoculation.
[00:02:10.607 --> 00:02:14.870]  So Biden has said he intends to have permanent lockdowns.
[00:02:15.090 --> 00:02:16.430]  China's been open for six months.
[00:02:16.490 --> 00:02:17.671]  We're never going to open again.
[00:02:18.251 --> 00:02:18.412]  Ever.
[00:02:19.872 --> 00:02:20.713]  This is Venezuela.
[00:02:20.853 --> 00:02:21.193]  It's over.
[00:02:24.625 --> 00:02:36.431]  Their constituents are so stupid that in a year when we're in the greatest depression the world's ever seen, and much of the third world's already in, and it's already started here, they won't even remember that the globalists did all this.
[00:02:36.511 --> 00:02:43.194]  I mean, I was in an armored vehicle today, I'm going to walk through every facet of this, downtown, and they were throwing water bottles at us and stuff.
[00:02:43.674 --> 00:02:46.336]  There was a crowd of probably 3,000 Trump supporters out there.
[00:02:46.356 --> 00:02:50.598]  There was a crowd of about 100 Biden supporters down the street at a park by the courthouse.
[00:02:52.373 --> 00:02:54.654]  And they were yelling F you racist to me.
[00:02:56.255 --> 00:03:04.400]  And I would, I would say to them, you know, China has people in death camps and Apple and other companies, except parts made by slaves.
[00:03:05.040 --> 00:03:14.225]  And I said, you know, Joe Biden is the one that passed the KKK style laws that blacks in jail, folks, these white people didn't care, mainly white, some Hispanic.
[00:03:14.725 --> 00:03:18.687]  They were just flipping me off saying F you Nazi.
[00:03:19.808 --> 00:03:21.529]  It's a fact that Joe Biden.
[00:03:23.635 --> 00:03:25.136]  Represents the big megacorporations.
[00:03:25.216 --> 00:03:28.097]  It's a fact that Mitt Romney and the Bushes and the globalists love him.
[00:03:28.398 --> 00:03:30.719]  It's a fact they helped found modern ISIS.
[00:03:31.339 --> 00:03:33.620]  It's a fact they're saying they're gonna launch all these big wars.
[00:03:34.141 --> 00:03:41.244]  It's a fact he and his son took tens of millions from the Communist Chinese to sell out US interest and the recordings and the laptop and the audio is all there.
[00:03:43.746 --> 00:03:47.768]  But I'm gonna talk first before I get into all this and give you the latest and we've got it all right here.
[00:03:48.971 --> 00:03:52.892]  Commercial free live on Saturday, November 7th for the next two hours.
[00:03:52.912 --> 00:03:54.273]  We've already been live for almost an hour.
[00:03:55.073 --> 00:03:58.454]  Then we're going to loop this until I go live tomorrow at 4 p.m.
[00:03:58.494 --> 00:04:00.555]  Central with the regular Sunday show.
[00:04:02.456 --> 00:04:05.917]  But I was in Nevada last two days.
[00:04:06.057 --> 00:04:13.460]  Now I've been back here this afternoon, went straight downtown where thousands of Patriots were, where Owen Schroer and others were already taking action.
[00:04:16.064 --> 00:04:19.486]  Olly Alexander, Savannah Hernandez, back down there doing a great job.
[00:04:19.987 --> 00:04:20.587]  Great to see her.
[00:04:21.848 --> 00:04:23.129]  It's all unfolding right now.
[00:04:24.269 --> 00:04:28.252]  But let me talk about the main reason this is happening.
[00:04:28.272 --> 00:04:30.914]  This is an important psychological system the globalists use.
[00:04:32.415 --> 00:04:40.360]  When they conducted the first illegal spying on the president and all of their criminal activity and lied to Congress and lied to the people and lied to the media,
[00:04:42.062 --> 00:04:49.849]  And didn't get in trouble that emboldened them to then try the impeachment and the Ukraine fraud and the obstruction of Trump's agenda and all the rest of it.
[00:04:51.530 --> 00:04:59.397]  And all the city mayors and all these different employees, they saw that corruption normalized to a level never before.
[00:04:59.817 --> 00:05:09.345]  And so that's why they were all more than happy to engage in systemic election fraud in all these key battleground states with the same election company
[00:05:11.351 --> 00:05:29.165]  Same election company, owned by the Carlyle Group and George Soros, that's been decertified in North Carolina and Texas and many other areas, because you can hack it in 10 seconds, literally, because it's fraudulent, because you can pre-program it to flip votes and to shave votes with fraction magic.
[00:05:30.867 --> 00:05:38.233]  That group is in every race in Arizona, in Georgia, in Pennsylvania, Michigan,
[00:05:40.020 --> 00:05:42.762]  Every place Trump lost, it was in play.
[00:05:45.925 --> 00:05:46.885]  And I'm going to go over this.
[00:05:47.726 --> 00:05:51.689]  I was reminded by someone very close to the President about this yesterday morning.
[00:05:52.810 --> 00:05:59.015]  And I went and dug into the history of it because I remembered, oh yeah, I remember reading about Soros and these companies.
[00:05:59.535 --> 00:06:00.336]  And sure as hell,
[00:06:01.775 --> 00:06:03.296]  I'm going to show you Washington Post.
[00:06:03.737 --> 00:06:13.304]  I'm going to show you business journal articles from 30 years ago and 20 years ago and 10 years ago admitting it, where we're talking 100 million a year Soros kicking in.
[00:06:14.245 --> 00:06:17.768]  The media goes, oh, there's no evidence of that when anybody in seconds could find it.
[00:06:17.808 --> 00:06:19.609]  This is simply incredible.
[00:06:19.629 --> 00:06:21.050]  I'm going to show you who's on the board.
[00:06:21.531 --> 00:06:24.793]  But guess who in Michigan first lied to the public and said everything's safe.
[00:06:25.293 --> 00:06:30.918]  There's no anonymous anomalies a few days ago to declare Michigan for Biden.
[00:06:32.671 --> 00:06:35.552]  One of the top folks from the Southern Poverty Law Center.
[00:06:37.193 --> 00:06:39.574]  And she's now over the state and over the elections.
[00:06:40.634 --> 00:06:51.759]  So, I'm just going to give you a snapshot of this, but when they say there's no evidence, Project Veritas has all these postal workers that witness them being ordered to backdate ballots after the election.
[00:06:51.799 --> 00:06:52.379]  That's illegal.
[00:06:53.380 --> 00:06:58.382]  My brother-in-law saw it the day of the election at the USPS on Congress Street.
[00:07:00.203 --> 00:07:01.103]  Austin Rivera.
[00:07:02.520 --> 00:07:03.441]  And he was shaken by it.
[00:07:05.322 --> 00:07:09.185]  But it's election law, you can't videotape at a polling place and if somebody's turning ballots in there, you can't.
[00:07:09.585 --> 00:07:11.947]  And the workers were taking the 50 ballots, they loved it.
[00:07:14.189 --> 00:07:21.894]  And so now, we've got all these postal workers, there's a bunch of them that have gone public, they're all being retaliated against.
[00:07:21.934 --> 00:07:24.156]  You see, they get retaliated against.
[00:07:25.697 --> 00:07:27.879]  I get lawsuits and grand jury investigations.
[00:07:29.113 --> 00:07:30.253]  I get subpoenas.
[00:07:30.813 --> 00:07:31.634]  I get harassed.
[00:07:32.094 --> 00:07:32.874]  I get lied about.
[00:07:33.734 --> 00:07:34.574]  These poor guys do.
[00:07:34.974 --> 00:07:43.016]  But when you actually commit crimes, like Joe Biden or Hunter Biden, oh, then you're exalted and promoted because you're the good guys.
[00:07:43.756 --> 00:07:46.777]  So there are criminal investigations now by the USPS Inspector General.
[00:07:46.817 --> 00:07:53.178]  There are state investigations by the Republican Party that controls the legislature in Michigan into this.
[00:07:53.258 --> 00:07:58.259]  There are all these witnesses that the Supreme Court put out an order
[00:07:59.773 --> 00:08:06.695]  Today to freeze the Pennsylvania ballots that have postmarks that came in after the election that shouldn't have been counted.
[00:08:07.095 --> 00:08:07.855]  That's the federal law.
[00:08:08.075 --> 00:08:08.636]  That's state law.
[00:08:10.436 --> 00:08:15.838]  But if you turn on CNN or ABC News or the Associated Press, they're going, listen, Trump's just a liar.
[00:08:17.038 --> 00:08:17.858]  There's no evidence.
[00:08:18.238 --> 00:08:22.059]  There's no nothing there when there is incredible evidence.
[00:08:22.500 --> 00:08:27.101]  You know, we've got footage of the county clerk there in Maricopa County on video.
[00:08:28.749 --> 00:08:38.296]  Head of Elections saying, yes, we did used to tell you don't have Sharpies because they had the piece of paper saying, don't use Sharpies because it bleeds through and doesn't read in the Scandron.
[00:08:38.817 --> 00:08:40.118]  But she goes, but it doesn't really matter.
[00:08:40.138 --> 00:08:40.878]  It's still OK.
[00:08:41.899 --> 00:08:48.004]  Well, you add that with all those credible witnesses, black, white, Hispanic, male, female, old, young, dozens of them.
[00:08:48.064 --> 00:08:52.027]  I talked to a whole bunch of myself that they would say, oh, no, you can't use a regular pen.
[00:08:52.067 --> 00:08:53.028]  You must use a Sharpie.
[00:08:56.155 --> 00:09:00.656]  And then, yeah, all the footage of what Veritas exposed months ago.
[00:09:01.316 --> 00:09:23.042]  Ilhan Omar going around ordering Muslims that are immigrants that she can get deported to fill out their ballots for her and all the footage of men, masked men, because of COVID, get to cover their faces at the ballot boxes, at the post boxes, which are the ballot boxes.
[00:09:25.589 --> 00:09:26.309]  Stuffing them in.
[00:09:26.329 --> 00:09:26.689]  There it is.
[00:09:26.749 --> 00:09:27.490]  Breaking Arizona.
[00:09:27.550 --> 00:09:30.211]  Election official confirms Sharpies discredit ballots.
[00:09:32.391 --> 00:09:35.612]  But I don't want to lose the forest for the trees.
[00:09:36.613 --> 00:09:42.615]  But if I could go to Arizona, only two hours away by jet flight,
[00:09:44.983 --> 00:09:47.604]  And I could discover all this and I could get articles up.
[00:09:48.124 --> 00:09:50.565]  The mainstream media was there by the hundreds at that one facility.
[00:09:51.186 --> 00:09:55.928]  They didn't show one scintilla of it, not one piece of fact.
[00:09:57.028 --> 00:09:58.569]  But the woman's there on tape admitting that.
[00:09:58.669 --> 00:10:01.270]  So let's not miss the forest for the trees though.
[00:10:01.470 --> 00:10:02.370]  I want to just announce this.
[00:10:02.390 --> 00:10:03.431]  I want to be very, very clear about this.
[00:10:06.112 --> 00:10:12.875]  I don't operate from a Machiavellian manipulative stance of a Galean dialectics, but I do understand it.
[00:10:14.449 --> 00:10:32.179]  And most of the future outcomes of what Biden and Kamala Harris and their Chai Com Globalist backers have done is going to generate supermassive, sustained, iron-jawed resistance to them.
[00:10:34.501 --> 00:10:37.442]  But understand this, Biden doesn't run anything.
[00:10:37.482 --> 00:10:38.383]  He's just a placeholder.
[00:10:38.423 --> 00:10:39.123]  Neither does Kamala.
[00:10:39.724 --> 00:10:43.586]  The nasty neocons and globalists behind him are very shrewd and totally ruthless.
[00:10:46.321 --> 00:10:57.963]  And they're going to stage false flags in this country and really try to have a bigger race war in the nation saying whites are inherently bad to divide off quote minorities.
[00:10:57.983 --> 00:10:58.843]  They're now the majority.
[00:10:59.083 --> 00:11:06.905]  So they will reject the American dream and it's going to work on some of them and they're really pushing hard, but it's not worked on them as good as I thought it would.
[00:11:07.245 --> 00:11:12.086]  They've been more resistant to white people that have this guilt and that want to genuflect and
[00:11:13.672 --> 00:11:19.257]  Virtue signal and you know, you know say that the red white and blue and capitalism and guns are racist.
[00:11:21.178 --> 00:11:31.327]  But we really have to reach out to everybody and explain this is a foreign corporate psychological warfare operation and really put it into context of where we are.
[00:11:35.631 --> 00:11:38.093]  This is the death of America.
[00:11:40.775 --> 00:11:41.716]  Now a country
[00:11:42.912 --> 00:11:43.872]  He's not like a person.
[00:11:44.773 --> 00:11:46.614]  It can be resurrected like the Phoenix.
[00:11:47.994 --> 00:11:48.715]  The mythical Phoenix.
[00:11:52.236 --> 00:11:55.998]  But it's going to be really a tough road to go down because
[00:11:58.502 --> 00:12:17.108]  This whole COVID lockdown is admittedly about destroying small infrastructure towns and small businesses and getting people into debt so that you can be fully controlled and then politically be sent to what they call retraining centers or community college that is really a socialist communist indoctrination center
[00:12:18.018 --> 00:12:18.538]  We're good to go.
[00:12:49.019 --> 00:12:52.381]  Where you get the type of pancake mix where you know you've got to get the eggs and the milk or whatever.
[00:12:52.821 --> 00:12:54.182]  It doesn't have that already baked into it.
[00:12:55.542 --> 00:12:57.203]  This is an exact path we're on.
[00:12:58.804 --> 00:13:00.565]  And that's how we're able to predict this.
[00:13:00.625 --> 00:13:02.686]  That's how we're able to walk through all of this.
[00:13:04.267 --> 00:13:06.348]  Millions are starving to death in the third world.
[00:13:06.748 --> 00:13:09.250]  Their countries are collapsing under the COVID lockdown.
