[00:00:10.211 --> 00:00:11.751]  First, congratulations.
[00:00:12.692 --> 00:00:14.332]  Such an obvious success story.
[00:00:14.592 --> 00:00:15.852]  People are leaving California.
[00:00:15.872 --> 00:00:17.313]  They can go to 49 other places.
[00:00:17.353 --> 00:00:18.413]  They're coming to your state.
[00:00:19.033 --> 00:00:21.774]  That is an endorsement of the way you're running it, obviously.
[00:00:22.194 --> 00:00:23.714]  So, sincere congratulations.
[00:00:24.334 --> 00:00:25.275]  But I do have a question.
[00:00:25.315 --> 00:00:32.696]  We've seen this across the country, where people flee a collapsing, crummy state and then wreck the state they go to.
[00:00:33.096 --> 00:00:33.837]  Are you worried?
[00:00:34.157 --> 00:00:35.237]  Totally sincere question.
[00:00:35.797 --> 00:00:40.879]  That all these Californians will bring their values and degrade the state of Texas.
[00:00:42.519 --> 00:01:01.705]  Tucker, this is the number one question I get from fellow Texans all the time when they see all of these headquarters relocate from California to Texas and I have great news for them and that is these relocations are not going to change the politics in Texas and we have mathematical proof for it.
[00:01:02.225 --> 00:01:07.091]  Two years ago, I was on the ballot at the same time that Ted Cruz and Beto O'Rourke were on the ballot.
[00:01:07.451 --> 00:01:14.019]  We did an exit poll asking people after they left the polls, did you vote for Ted Cruz or did you vote for Beto O'Rourke?
[00:01:14.359 --> 00:01:18.264]  And then we asked them, have you moved from California or are you a native-born Texan?
[00:01:18.604 --> 00:01:24.986]  The results of that poll showed that 58% of the people who moved from California voted for Ted Cruz.
[00:01:25.386 --> 00:01:46.753]  Interestingly, that almost identically matches a separate poll that was taken, also an exit poll from that same election that showed that 57% of the people who moved from California voted for Ted Cruz, and both of those polls match a study that was done a couple of years before that that asked Californians that came to Texas, are you conservative or are you liberal?
[00:01:47.934 --> 00:01:52.037]  57% of the people who moved from California said they were conservative.
[00:01:52.057 --> 00:01:55.079]  27% of the people who moved from California said they were liberal.
[00:01:55.320 --> 00:01:57.401]  And there are reasons for this, Tucker.
[00:01:57.922 --> 00:02:09.291]  And that is that if people like big government, if they like high taxes, if they like more regulations, they're going to stay in California and the last place they would come to is the state of Texas.
[00:02:09.691 --> 00:02:27.336]  But Tucker, I need to add this, because I talk to CEOs every single week, and I listen to their concerns, whether they're coming from California or New York or some other state, and they've added a new reason this year why they're coming to the state of Texas and leaving these other states, and that is because of the lack
[00:02:27.956 --> 00:02:28.076]  Yeah.
[00:02:46.813 --> 00:02:49.514]  Wait, may I interrupt you?
[00:02:49.574 --> 00:02:50.975]  I think you make really strong points.
[00:02:51.015 --> 00:02:52.195]  Those are clearly true.
[00:02:52.275 --> 00:02:54.336]  But there's another factor that's never considered.
[00:02:54.916 --> 00:02:58.818]  Texas is a great place in part because it's a very religious state.
[00:02:58.878 --> 00:03:03.340]  No one ever says that, but you go to Dallas and you know people are doing Bible study at Starbucks.
[00:03:04.568 --> 00:03:07.854]  The truth is there are massive cultural differences.
[00:03:07.874 --> 00:03:13.043]  You're getting a lot of people with left-wing social values moving into your state.
[00:03:13.063 --> 00:03:15.367]  They've already completely wrecked Austin, as you well know.
[00:03:15.968 --> 00:03:16.990]  You're not concerned about that?
[00:03:18.775 --> 00:03:28.585]  I'm not, again, in part because of the studies and also in part because of the thousands of Californians that I have personally dealt with that have come to the state of Texas.
[00:03:28.946 --> 00:03:40.938]  It's the Californians that they believe in God, they believe in guns, and they are so excited about coming to the state of Texas and getting a gun that they couldn't have in California, and so it's the people who want to
[00:03:41.238 --> 00:03:41.318]  It's
[00:03:58.539 --> 00:04:00.661]  Leaving Texas and going to California.
[00:04:00.981 --> 00:04:03.083]  So we have a kind of a trade deal going here.
[00:04:03.864 --> 00:04:08.087]  The liberals are leaving Texas and the conservatives are coming from California to Texas.
[00:04:08.568 --> 00:04:09.308]  I hope that's true.
[00:04:09.569 --> 00:04:12.491]  I should say, in the interest of full disclosure, I am from California.
[00:04:13.092 --> 00:04:17.275]  I'd be very wary of letting people like me in, but good luck.
[00:04:17.315 --> 00:04:19.717]  We're certainly, if Texas goes, then we're done.
[00:04:19.817 --> 00:04:22.059]  So please keep an eye on that.
[00:04:22.099 --> 00:04:23.140]  Governor, great to see you tonight.
[00:04:23.240 --> 00:04:23.621]  Thank you.
[00:04:24.381 --> 00:04:24.902]  Thank you, Tucker.
[00:04:31.852 --> 00:04:38.357]  It's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:04:38.457 --> 00:04:40.739]  You better believe you got one!
[00:04:42.881 --> 00:04:47.785]  From the front lines of the Information War, it's Alex Jones.
[00:05:03.340 --> 00:05:10.286]  Ladies and gentlemen, we are live, broadcasting worldwide on December 31st, 2020.
[00:05:11.627 --> 00:05:14.529]  I'll see you on the other side in the year 2021.
[00:05:16.971 --> 00:05:19.253]  Sounds like a science fiction headline, doesn't it?
[00:05:19.293 --> 00:05:19.774]  But we're here.
[00:05:21.345 --> 00:05:41.939]  The year 2021 is only hours away, and we have a powerful corporate world government trying to put in our bodies a mutagenic compound made up of human genomes and jellyfish genomes, just in the Pfizer vaccine alone, to reprogram the entire body.
[00:05:46.584 --> 00:05:47.605]  Now, what is this?
[00:05:48.165 --> 00:06:04.719]  Well, this really is the equivalent of an intruder cell with an entire genome of multiple species, a chimera, a chimera clone of a human and a jellyfish, coming in and assimilating your entire body.
[00:06:04.739 --> 00:06:08.943]  The jellyfish is a hive organism, a colony organism.
[00:06:10.128 --> 00:06:17.094]  It's a colony organism of human genomes going in and taking over every cell that replicates in your body.
[00:06:17.694 --> 00:06:24.700]  Only thing that will be the original you when it's done is the cells in your eyes and in the eggs in a woman's ovaries.
[00:06:26.021 --> 00:06:32.467]  All other cells are to be taken over.
[00:06:32.607 --> 00:06:34.208]  And it's all happening in the year 2021.
[00:06:34.408 --> 00:06:38.512]  It didn't come from some distant
[00:06:42.125 --> 00:06:42.685]  Galaxy.
[00:06:43.986 --> 00:06:48.290]  It didn't come from some distant star.
[00:06:49.410 --> 00:06:53.193]  It didn't come from some faraway planetary system.
[00:06:55.335 --> 00:06:58.317]  It came from the mad scientists here on our planet.
[00:06:58.437 --> 00:07:00.418]  But it is as alien as a Martian.
[00:07:01.119 --> 00:07:03.561]  It's as alien as somebody from Pluto.
[00:07:04.301 --> 00:07:10.926]  It's as alien as some single-cell organism in some planet orbiting Alpha Centauri or Betelgeuse.
[00:07:23.484 --> 00:07:24.845]  Cell intruder MRNA.
[00:07:26.365 --> 00:07:26.945]  Human cell.
[00:07:30.627 --> 00:07:31.007]  Inject.
[00:07:33.628 --> 00:07:34.148]  MRNA.
[00:07:35.409 --> 00:07:35.889]  Takeover.
[00:07:36.849 --> 00:07:37.890]  Assimilation completed.
[00:07:39.050 --> 00:07:43.172]  Now it looks like a human cell, but now it's owned by Microsoft.
[00:07:44.673 --> 00:07:47.896]  Which really owns large stock in all the big pharma companies.
[00:07:48.816 --> 00:07:56.542]  So Malaysia Complete Cell MMRA imitation cell now continues takeover.
[00:07:56.562 --> 00:08:09.412]  It only uncloaks to fire its messenger RNA in, takes over, and continues the process until every cell in your body has now been reprogrammed by your new doctor.
[00:08:11.074 --> 00:08:13.516]  Bill Gates.
[00:08:16.229 --> 00:08:18.690]  So that's the year 2021.
[00:08:21.491 --> 00:08:32.136]  Again, if flying saucers landed, like Mars Attacks, and little green men with eggheads came toddling off and began firing at us with ray guns, we'd whip their butts.
[00:08:33.397 --> 00:08:40.600]  We'd all unify like a team of heavily armed army ants, and we would destroy them.
[00:08:41.800 --> 00:08:45.342]  No matter how many of us died, we'd win, because it'd be a big frontal assault.
[00:08:46.169 --> 00:09:01.284]  But when it comes from the UN and Davos Group, and the globalists, and it's the Save Us and Oh, it comes out of Wuhan, and Fauci and Gates ran the whole thing, but they always say the devil is in the old details.
[00:09:04.204 --> 00:09:05.424]  Oh, more deaths, by the way.
[00:09:06.165 --> 00:09:15.908]  Deaths in Spain, deaths in Israel, deaths in Switzerland, deaths, deaths, deaths from the new mRNA genetic takeover systems.
[00:09:19.069 --> 00:09:21.810]  Folks are taking it and they're dead in a couple hours.
[00:09:24.411 --> 00:09:32.294]  Well, hell, it's in the major medical studies that a lot of babies, especially preemies, they
[00:09:34.804 --> 00:09:40.565]  End up dying when they're given their vaccine.
[00:09:41.966 --> 00:09:45.046]  And the nurses have to fight with the bioethics board that runs the hospital.
[00:09:45.066 --> 00:09:46.527]  You don't know what bioethics are.
[00:09:46.547 --> 00:09:50.048]  You might want to find out about these boys and girls.
[00:09:50.428 --> 00:09:51.188]  They're eugenicists.
[00:09:51.208 --> 00:09:54.969]  The whole study of bioethics is just a field they created.
[00:09:56.041 --> 00:09:58.723]  Biological ethics, that's why they call us human resources.
[00:09:58.943 --> 00:09:59.803]  It's all hidden in plain view.
[00:10:00.443 --> 00:10:04.186]  And the nurses beg and say, can we please resuscitate them?
[00:10:04.966 --> 00:10:07.307]  Then the boards sometimes can't convene.
[00:10:07.327 --> 00:10:11.890]  And so they just order the baby to die and baby die.
[00:10:13.711 --> 00:10:15.772]  And they don't keep baby comfortable while they do it.
[00:10:17.253 --> 00:10:22.376]  So when we talk about Trump and the New World Order and the Communist Chinese and all that's going on, just remember,
[00:10:24.102 --> 00:10:35.907]  A million two hundred thousand Americans have taken one of two mRNA vaccines that up front are causing more bad reactions and more deaths than vaccines we've seen ever.
[00:10:38.668 --> 00:10:39.288]  And it's funny.
[00:10:39.348 --> 00:10:41.409]  Suddenly flu shots are killing a lot more people.
[00:10:41.769 --> 00:10:42.629]  Hundreds are dead.
[00:10:42.649 --> 00:10:44.330]  It was 59 first report.
[00:10:44.370 --> 00:10:45.931]  Now it's a couple hundred are dead.
[00:10:46.551 --> 00:10:48.652]  Now they're saying it's a state secret in South Korea.
[00:10:48.912 --> 00:10:49.872]  Don't want to create a panic.
[00:10:49.912 --> 00:10:51.913]  So now they're telling media don't report on it.
[00:10:53.305 --> 00:11:04.153]  And I've got articles here about people being arrested around the world, journalists that are critical of the vaccines and the rollout, and activists that try to organize protesting, like in Australia.
[00:11:04.473 --> 00:11:07.215]  They come to their house and they arrest you in your home.
[00:11:11.458 --> 00:11:13.559]  No, the New World Order's not coming.
[00:11:13.579 --> 00:11:14.340]  The New World Order's here.
[00:11:14.440 --> 00:11:19.203]  So, in the new year, we're gonna take a lot more calls on this broadcast.
[00:11:19.223 --> 00:11:20.704]  We've been taking a lot more calls as of late.
[00:11:20.764 --> 00:11:21.785]  I've deliberate on that.
[00:11:23.929 --> 00:11:27.910]  We have the New American Journal, hosted by Harrison Smith, doing a splendid job.
[00:11:27.990 --> 00:11:29.230]  Weekday mornings, 8 a.m.
[00:11:29.270 --> 00:11:29.570]  Central.
[00:11:29.650 --> 00:11:31.211]  I also pop in, so does Owen Schroyer.
[00:11:31.591 --> 00:11:33.231]  That is a total call-in show.
[00:11:33.971 --> 00:11:40.132]  But the final transmission of the Alex Jones Show of the year 2020.
[00:11:41.713 --> 00:11:42.253]  What a year!
[00:11:42.273 --> 00:11:52.675]  I'd like to get your take on what you think is coming in the new year, and what your resolutions are in the new year, and what you think our focus should be in the new year.
[00:11:54.206 --> 00:11:55.226]  So that's all coming up.
[00:11:55.246 --> 00:11:56.306]  Let me give you the toll-free number.
[00:11:56.446 --> 00:11:56.986]  It's 877-789-ALEX.
[00:11:57.006 --> 00:11:57.166]  877-789-ALEX.
[00:11:57.187 --> 00:11:57.227]  877-789-2539.
[00:11:57.247 --> 00:12:02.187]  And let's give first-time callers the first round of calls, the first 20 calls or so.
[00:12:02.227 --> 00:12:04.128]  Then it's a free-for-all after that.
[00:12:04.148 --> 00:12:04.188]  877-789-2539.
[00:12:04.208 --> 00:12:04.368]  877-789-2539.
[00:12:04.488 --> 00:12:07.008]  And let's put nurses and doctors, if you can get through.
[00:12:25.060 --> 00:12:25.920]  To the head of the line.
[00:12:27.161 --> 00:12:30.463]  I'd like to hear from doctors and nurses about what you think about this carnage.
[00:12:30.503 --> 00:12:32.624]  And, oh, it doesn't even protect you from COVID.
[00:12:34.424 --> 00:12:36.045]  And, oh, it doesn't even stop you from spreading.
[00:12:36.065 --> 00:12:41.148]  And, oh, and people that took the shot two weeks ago, why, they are test positive for COVID now.
[00:12:42.608 --> 00:12:46.090]  And, yeah, more people are testing positive for HIV when you take the shot.
[00:12:46.110 --> 00:12:51.633]  Because, you see, the COVID virus is part HIV.
[00:12:56.479 --> 00:12:58.420]  There's a big video up on Bandot Video.
[00:12:58.460 --> 00:13:00.080]  Doctors around the world issue dire warning.
[00:13:00.100 --> 00:13:01.321]  Do not take the COVID vaccine.
[00:13:01.401 --> 00:13:06.003]  Medical doctors, scientists, epidemiologists, virologists, endocrinologists.
[00:13:07.803 --> 00:13:11.285]  And guess what happens to their videos when they go on YouTube or Twitter or Facebook?
[00:13:11.945 --> 00:13:15.606]  They get millions of views in just a few hours and then they get taken down.
[00:13:17.587 --> 00:13:20.909]  Because we don't get to hear from real medical doctors or scientists.
[00:13:20.969 --> 00:13:24.290]  We get to hear from Dr. Bill Gates.
[00:13:26.001 --> 00:13:37.330]  Who does say he wants to depopulate you, and whose father ran the World Eugenics Society, and whose mother was on the IBM board under the man that ran Nazi Germany.
[00:13:39.191 --> 00:13:41.253]  Thomas Watson.
[00:13:43.054 --> 00:13:44.295]  IBM and the Holocaust.
[00:13:44.335 --> 00:13:45.676]  Just search engine it for yourself.
[00:13:47.878 --> 00:13:50.920]  And don't hold your breath for the ADL to say a word.
[00:13:50.960 --> 00:13:52.581]  The ADL works for these guys.
[00:13:53.792 --> 00:13:59.113]  See, when you're really the globalist and you're really the anti-humanist, you gotta own the whole show.
[00:13:59.153 --> 00:14:06.575]  That's what they set Hitler up for, was to create the paradigm paradox of Galian separation so people would know the real group when it hit them.
[00:14:09.755 --> 00:14:12.376]  If Hitler just would have worn a pink sweater, he would have won.
[00:14:13.376 --> 00:14:13.916]  Like Bill.
[00:14:15.536 --> 00:14:16.657]  Bill's got something for you.
[00:14:17.617 --> 00:14:18.397]  Wants you to take it.
[00:14:19.946 --> 00:14:22.588]  He says it's gonna hurt you real bad, but it's okay.
[00:14:23.089 --> 00:14:23.769]  We know you're tough.
[00:14:24.870 --> 00:14:26.171]  Infowars.com.
[00:14:26.231 --> 00:14:27.192]  Newswars.com.
[00:14:27.532 --> 00:14:29.414]  Banned, as in banned.
[00:14:29.814 --> 00:14:31.035]  Banned.video.
[00:14:31.055 --> 00:14:31.516]  Stay with us.
[00:14:32.076 --> 00:14:42.405]  Well, Luke Letlow just got elected to Congress, and then they said he died of COVID.
[00:14:42.445 --> 00:14:48.830]  But what happened is he went in, he tested positive for COVID, they did a, quote, surgery on him, and he had a heart attack and died.
[00:14:51.718 --> 00:14:54.541]  You gotta read the fine print, but they say he died of a heart attack.
[00:14:56.222 --> 00:15:02.468]  Well, 80-something-year-old Don Wells of Mary Ann fame of Gilligan's Island, one of my favorite silly shows.
[00:15:03.849 --> 00:15:05.711]  Some of my earliest memories are watching Gilligan's Island.
[00:15:07.813 --> 00:15:08.653]  Dies of COVID-19 at 82.
[00:15:08.693 --> 00:15:09.174]  Complications.
[00:15:12.193 --> 00:15:16.515]  That's right, you have a heart attack, you die of cancer, you die of pneumonia, it's complications.
[00:15:16.535 --> 00:15:17.635]  You know who else just died?
[00:15:18.315 --> 00:15:23.637]  It was the cellmate, up until the last day he was moved out, of Jeffrey Epstein.
[00:15:25.198 --> 00:15:29.319]  He was found dead in his apartment, and Lord have mercies, guess what?
[00:15:29.399 --> 00:15:30.459]  He died of COVID.
[00:15:33.140 --> 00:15:38.442]  You know, if I was to die in a plane crash, or if you were, they'll say you died of COVID, or a motorcycle accident.
[00:15:38.462 --> 00:15:40.243]  This is all part of the formulaic fraud.
[00:15:42.093 --> 00:15:42.513]  They're running.
[00:15:44.154 --> 00:15:51.078]  They're also saying hospitals are full in Texas and New York and Hawaii and all over.
[00:15:51.659 --> 00:15:56.842]  And they're even arresting people now that go into the empty hospitals.
[00:15:56.882 --> 00:15:58.002]  So I want to be very, very clear.
[00:15:58.383 --> 00:16:00.244]  You need to go show the parking lot empty.
[00:16:00.664 --> 00:16:02.805]  You need to show the receiving area empty.
[00:16:02.845 --> 00:16:03.966]  You can shoot a time-lapse.
[00:16:05.250 --> 00:16:06.391]  If they tell you to leave, leave.
[00:16:07.211 --> 00:16:11.614]  But we've got multiple videos of people being arrested in the U.S.
[00:16:12.215 --> 00:16:12.935]  and the U.K.
[00:16:14.736 --> 00:16:15.697]  when they go to the hospitals.
[00:16:16.958 --> 00:16:19.519]  I don't think it violates, Seth, I don't think it violates privacy.
[00:16:19.699 --> 00:16:20.800]  This is a need to know.
[00:16:20.820 --> 00:16:21.841]  The public has a right to know.
[00:16:22.321 --> 00:16:23.462]  That's covered by whistleblowing.
[00:16:23.502 --> 00:16:24.963]  It's covered by investigative journalism.
[00:16:25.583 --> 00:16:28.045]  But you just had a $10 million-plus judgment.
[00:16:29.773 --> 00:16:30.533]  I forget the exact number.
[00:16:30.553 --> 00:16:30.933]  Look it up.
[00:16:31.273 --> 00:16:42.836]  With this federal judge in San Francisco, on the folks that went undercover in restaurants, had the meetings with the Planned Parenthood groups that said, we've got live babies for you.
[00:16:44.817 --> 00:16:48.418]  And the judge gave them some, I think it was 16 million of memory serves.
[00:16:48.458 --> 00:16:49.318]  I saw that last week.
[00:16:49.338 --> 00:16:50.779]  I meant to cover it, but I was off.
[00:16:51.599 --> 00:16:56.020]  The headline was, uh, was the exact headline.
[00:16:59.295 --> 00:17:09.245]  Federal judge issues huge ruling against group that documented Planned Parenthood selling fetuses.
[00:17:10.766 --> 00:17:12.508]  They'll pull it up in a minute, or I will during the break.
[00:17:12.548 --> 00:17:12.948]  I'll find it.
[00:17:13.469 --> 00:17:16.732]  But the point is, is that that's what's going on here.
[00:17:18.173 --> 00:17:20.296]  They're trying to make it a crime.
[00:17:21.288 --> 00:17:26.914]  They're trying to make it a massive crime to expose their criminal activities.
[00:17:27.535 --> 00:17:29.557]  But listen, I don't need to go into the hospitals.
[00:17:29.597 --> 00:17:31.839]  No, we're going to be doing this this week and next week.
[00:17:33.721 --> 00:17:42.010]  I showed you the link two days ago to the CDC website where you can go look at every hospital in every town and every city.
[00:17:42.410 --> 00:17:42.751]  There it is.
[00:17:43.973 --> 00:17:49.415]  California judge orders video journals to pay $13.6 million to Planned Parenthood.
[00:17:50.055 --> 00:17:51.576]  I don't know why I thought $16 million.
[00:17:52.236 --> 00:17:53.557]  There you go.
[00:17:53.577 --> 00:17:54.157]  $13.6 million.
[00:17:54.177 --> 00:18:00.240]  I guess my mind remembered the $1.6, but it's $1.3.6.
