[00:00:09.747 --> 00:00:10.169]  Oh, no.
[00:01:17.233 --> 00:01:19.355]  We're 90 days out.
[00:01:19.355 --> 00:01:21.518]  It's Tuesday, August 4th.
[00:01:21.518 --> 00:01:25.081]  And we've got a transmission that will be legendary.
[00:01:25.081 --> 00:01:29.506]  But first, let's look at the model the Globalists are trying to impose upon us.
[00:01:29.506 --> 00:01:31.068]  What the future holds if we surrender.
[00:01:32.602 --> 00:01:41.185]  A couple of the council members who represent this city right here indicated they would like to move forward with the process of dismantling the Minneapolis Police Department.
[00:01:41.185 --> 00:01:42.185]  We're on the right track.
[00:01:42.185 --> 00:01:49.047]  I believe that that's the right thing for us to do to make sure that we put it to the people of Minneapolis to make this change.
[00:01:49.047 --> 00:01:59.791]  We can change the name of the public safety, you know, the makeup, but until we really address racism
[00:02:01.377 --> 00:02:03.178]  Nothing is going to change.
[00:02:03.178 --> 00:02:09.141]  Think about the evil of all over the country, Democrats who have armed guards.
[00:02:09.141 --> 00:02:19.966]  You know, in Minneapolis now, they have a huge multi-million dollar budget for private security as they cut back the police force for the city council, their own private royal guard.
[00:02:19.966 --> 00:02:29.210]  They've got 24-hour guards at their dirty, filthy communist houses while they defund the police for everybody else and the crime rate jumps over 150% in Minneapolis.
[00:02:30.751 --> 00:02:31.531]  Alone.
[00:02:31.531 --> 00:02:39.013]  Even before the two shootings this afternoon, the police chief called the recent increase in violent crime in Minneapolis a public health crisis.
[00:02:39.013 --> 00:02:42.594]  Officers say 12 people were shot in Uptown over the weekend.
[00:02:42.594 --> 00:02:44.635]  One victim, a young father, has died.
[00:02:44.635 --> 00:02:49.616]  The FBI said today it is backing up MPD with intelligence and investigative support.
[00:02:50.296 --> 00:03:00.101]  Think about these people and Ilhan Omar, this monster, saved from Somalia, where her slave trade family, by the way, was being destroyed by another tribe.
[00:03:00.101 --> 00:03:01.642]  She came here two years before.
[00:03:03.191 --> 00:03:03.672]  I think so.
[00:03:23.695 --> 00:03:26.137]  Scorpion to your breast and it stings you!
[00:03:53.935 --> 00:04:04.501]  Imagine being a monster, a communist, globalist monster, who's never had a real job in her life, who's siphoned off millions of dollars to all these different husbands she's got.
[00:04:04.501 --> 00:04:07.963]  We cannot stop at criminal justice system.
