[00:00:05.660 --> 00:00:06.160]  Hark!
[00:00:06.280 --> 00:00:14.123]  The herald angels sing, Glory to the newborn King!
[00:00:14.884 --> 00:00:28.169]  Peace on earth and mercy mild, God and sinners reconciled, Joyful all ye nations rise,
[00:00:28.809 --> 00:00:31.110]  Thank you, Nat King Cole.
[00:00:31.510 --> 00:00:34.331]  The newborn king.
[00:00:34.611 --> 00:00:38.932]  Oh, I'll sure take Jesus over Dr. Fauci.
[00:00:55.912 --> 00:00:59.194]  Alex, the vaccine won't kill everybody, just some of the people.
[00:01:01.455 --> 00:01:06.677]  Thank you for joining us on this live Sunday, December 20th, Global Transmission.
[00:01:06.698 --> 00:01:08.098]  Again, I am your host, Alex Jones.
[00:01:08.739 --> 00:01:19.384]  We have Robert Barnes, constitutional lawyer, joining us coming up in the second hour about the ongoing fight to overturn the fraudulent election results and all the evidence we've got.
[00:01:20.455 --> 00:01:23.517]  But first I thought we'd start this transmission with a bit of fiction.
[00:01:24.037 --> 00:01:27.280]  We've got Fauci hyping up his PCR test.
[00:01:27.300 --> 00:01:29.301]  They're 96% fake and fictitious.
[00:01:29.341 --> 00:01:36.045]  You've got them hyping up death numbers for tens of thousands that died of heart attacks and cancer saying COVID-19 did it.
[00:01:36.065 --> 00:01:36.846]  That's all admitted.
[00:01:37.907 --> 00:01:45.772]  And now he's been on TV saying that, we'll play the clip in a moment, that he gave Santa Claus the vaccine
[00:01:47.426 --> 00:01:52.808]  And so it is safe for him to come down your chimney.
[00:01:53.628 --> 00:02:02.252]  Well, this vaccine protecting you from COVID-19 is as believable as a 400-pound giant elf in a red and white outfit coming down your chimney.
[00:02:03.732 --> 00:02:09.975]  Don't worry, Governor Whitmer's been super creepy, Miss Police State up in Michigan, saying that, oh, Santa
[00:02:10.939 --> 00:02:15.142]  It's basically, you know, dying of COVID and the rest of it and just total fear monitoring.
[00:02:15.602 --> 00:02:21.767]  So their theater, their fiction is mixing with the rest of the fiction as they try to expropriate every form of Western culture.
[00:02:22.207 --> 00:02:23.028]  Here is Fauci.
[00:02:26.297 --> 00:02:31.339]  Well, I have to say I took care of that for you because I was worried that you'd all be upset.
[00:02:31.979 --> 00:02:35.881]  So what I did a little while ago, I took a trip up there to the North Pole.
[00:02:36.561 --> 00:02:39.782]  I went there and I vaccinated Santa Claus myself.
[00:02:40.503 --> 00:02:44.204]  I measured his level of immunity and he is good to go.
[00:02:44.844 --> 00:02:46.245]  He can come down the chimney.
[00:02:46.745 --> 00:02:47.986]  He can leave the presents.
[00:02:48.446 --> 00:02:51.167]  He can leave and you have nothing to worry about.
[00:02:51.807 --> 00:02:53.548]  Santa Claus is good to go.
[00:02:55.441 --> 00:02:58.803]  But they're now telling you, even if you take the COVID vaccine, it may not protect you.
[00:02:59.263 --> 00:03:00.383]  You may still be able to spread it.
[00:03:00.424 --> 00:03:03.205]  Sorry, you're still going to wear a mask forever.
[00:03:04.926 --> 00:03:07.227]  CNN is reporting that they want to make it like seatbelts.
[00:03:07.267 --> 00:03:11.109]  You will never leave your house again without it, and you will get time in jail if you don't wear it.
[00:03:12.069 --> 00:03:15.671]  This is the total, complete, absolute cult of control.
[00:03:16.271 --> 00:03:25.136]  Oh, and by the way, the CDC is now reporting thousands of people have been hospitalized, some of which are in comas.
[00:03:27.580 --> 00:03:30.141]  After taking the COVID-19 Pfizer vaccine.
[00:03:31.582 --> 00:03:37.484]  And they've only vaccinated, they're now saying, one-tenth of one percent of the country.
[00:03:38.205 --> 00:03:44.047]  So they haven't even gotten near one percent of the country being vaccinated and they've got a thousand plus people with adverse reactions.
[00:03:44.067 --> 00:03:45.048]  I've got it right here for you.
[00:03:45.548 --> 00:03:46.328]  That's all coming up.
[00:03:47.308 --> 00:03:49.149]  I thought adverse reactions don't exist.
[00:03:51.130 --> 00:03:55.272]  This is a giant criminal takeover.
[00:03:56.408 --> 00:04:01.572]  This is a giant power grab, the likes of which the planet has never seen.
[00:04:02.633 --> 00:04:10.579]  And Senator Paul, who's a medical doctor, has pointed out that it's all about a cultic submission to the establishment.
[00:04:11.180 --> 00:04:22.469]  This has nothing to do with reality, nothing to do with science, nothing to do with facts, every single bit of it.
[00:04:23.430 --> 00:04:29.338]  Has to do with power and control and a global medical ID.
[00:04:29.358 --> 00:04:34.644]  And that's what's really out of control is the EEOC.
[00:04:37.096 --> 00:04:40.597]  Has now come out and said, employers can make you take a vaccine.
[00:04:41.138 --> 00:04:42.258]  Can they make you get an abortion?
[00:04:43.138 --> 00:04:47.920]  Are those employers going to sign a waiver that if you get sick or die from the vaccine, they're going to take care of your family?
[00:04:47.940 --> 00:04:48.941]  Of course, the answer is no.
[00:04:49.501 --> 00:04:53.242]  The EEOC is another communist, globalist, criminal organization.
[00:04:53.302 --> 00:04:55.323]  Disgusting Nazi science.
[00:04:55.363 --> 00:04:55.843]  They're Nazis.
[00:05:12.437 --> 00:05:13.418]  We are back live!
[00:05:14.639 --> 00:05:18.222]  We are taking off another worldwide transmission.
[00:05:19.363 --> 00:05:21.685]  It is December 20th on this Sunday broadcast.
[00:05:23.186 --> 00:05:23.747]  4 p.m.
[00:05:23.927 --> 00:05:24.888]  Central Standard Time.
[00:05:25.268 --> 00:05:25.688]  4 p.m.
[00:05:26.289 --> 00:05:28.591]  6 minutes 50-something seconds.
[00:05:29.804 --> 00:05:37.589]  All right, we have advisor to President Trump and one of the lawyers behind the scenes that's actually been tracking what's happening, and I'll leave it at that.
[00:05:37.989 --> 00:05:41.531]  Barnes doesn't want that known, but that's actually known by the enemy, so why shouldn't you know it?
[00:05:42.072 --> 00:05:45.274]  Robert Barnes has been all over the country working for Trump, exposing what's going on.
[00:05:45.774 --> 00:05:47.435]  He'll be with us in the second hour.
[00:05:47.495 --> 00:05:49.756]  He told me a month ago everything else was a red herring.
[00:05:50.137 --> 00:05:51.517]  The computers, all of it.
[00:05:51.818 --> 00:05:56.741]  The key is the signatures being ignored in Georgia, Pennsylvania, and other states.
[00:05:57.341 --> 00:06:12.308]  And now President Trump has given a speech, an interview, on a show with Rudolph Giuliani, where he says it's all about the signatures and that is the irrefutable fraud that even the Supreme Court cannot ignore.
[00:06:12.328 --> 00:06:17.191]  And they just ignored the signatures in Georgia, where Trump's only losing by 13,000 points, 13,000 votes.
[00:06:17.211 --> 00:06:18.731]  Remember, Trump was winning
[00:06:22.313 --> 00:06:37.624]  By hundreds of thousands of votes until they closed up the CNN Center where they were counting votes, not joking, said a water main had broken, wasn't true, then pulled out all those suitcases and then ran each ballot on video repeatedly through a machine illegally.
[00:06:37.684 --> 00:06:40.846]  I mean, you talk about open and shut, but let me give you the big news.
[00:06:41.667 --> 00:06:42.787]  Again, I'm Alex Jones, your host.
[00:06:42.807 --> 00:06:45.129]  Thank you for joining us on this live Sunday transmission.
[00:06:47.571 --> 00:06:50.593]  I told you on Friday Trump was considering martial law.
[00:06:51.829 --> 00:06:54.430]  I told you three weeks ago Trump was considering martial law.
[00:06:55.251 --> 00:07:00.193]  I told you November 4th Trump was considering martial law over a month ago.
[00:07:00.213 --> 00:07:06.116]  Now how did I know a month and 15 days ago something like that?
[00:07:10.699 --> 00:07:13.040]  Because I understand history and I know what's going on.
[00:07:13.120 --> 00:07:18.683]  So when I use terms like Trump considering martial law, I'm not just pulling that
[00:07:19.648 --> 00:07:26.290]  Out of the ether to have a shocking name or a shocking term to get your attention.
[00:07:26.330 --> 00:07:28.150]  It's because that's what's being discussed.
[00:07:28.710 --> 00:07:29.710]  That's what's going on.
[00:07:31.311 --> 00:07:34.992]  Now just because it was talked about in the Oval Office doesn't mean Trump's going to do it.
[00:07:37.012 --> 00:07:38.313]  And it doesn't mean I support it.
[00:07:39.093 --> 00:07:42.253]  We're simply telling you what's going on.
[00:07:42.313 --> 00:07:44.094]  Here are the headlines today dealing with it.
[00:07:44.875 --> 00:07:54.382]  Heated Oval Office meeting included talk of special counsel, martial law, as Trump advisors clash.
[00:07:54.642 --> 00:07:55.123]  CNN.
[00:07:57.144 --> 00:07:58.805]  Now do I just believe CNN?
[00:07:59.186 --> 00:07:59.446]  No.
[00:08:00.066 --> 00:08:04.129]  They usually lie, but I made some calls and checked and indeed that did go on.
[00:08:04.469 --> 00:08:09.253]  But then John Bolton spun it that Trump supported it and that it was his idea.
[00:08:09.613 --> 00:08:11.074]  Trump said that was fake news.
[00:08:11.695 --> 00:08:13.156]  Let's continue with these headlines.
[00:08:14.940 --> 00:08:20.582]  President Trump tweets out, martial law equals fake news, knowing there are several options on the table.
[00:08:20.823 --> 00:08:24.384]  Gateway Pundit, breaking Trump calls on Americans to march on D.C.
[00:08:24.744 --> 00:08:26.705]  January 6 to stop foreign takeover.
[00:08:26.965 --> 00:08:28.366]  That's the biggest news of the day.
[00:08:28.786 --> 00:08:30.307]  He's calling on you now.
[00:08:30.627 --> 00:08:31.447]  He needs your help.
[00:08:31.667 --> 00:08:32.768]  We need your help.
[00:08:33.208 --> 00:08:34.629]  America needs to stand up.
[00:08:34.669 --> 00:08:36.850]  We need 10 million people there on January 6.
[00:08:38.012 --> 00:08:41.375]  The mayor has announced, oh, no indoor dining, no blah, blah, blah.
[00:08:41.395 --> 00:08:42.296]  That'll keep you from coming.
[00:08:42.636 --> 00:08:43.757]  Everybody just ignore her.
[00:08:44.578 --> 00:08:45.478]  Ignore these tyrants.
[00:08:46.699 --> 00:08:48.841]  If you were Black Lives Matter or communist, she'd love you.
[00:08:49.161 --> 00:08:52.004]  We're going to descend on the swamp January 6th.
