[00:00:25.951 --> 00:00:28.812]  Sunday, March 8th, 2020.
[00:00:28.812 --> 00:00:30.132]  I am your host, Alex Jones.
[00:00:30.132 --> 00:00:40.475]  Thank you so much for joining us on this live, unfiltered, teleprompter-free, globalist-talking-point-free transmission.
[00:00:40.475 --> 00:00:42.796]  I am your host, Alex Jones.
[00:00:42.796 --> 00:00:55.019]  Okay, I intend to open the phones up coming up at the bottom of the hour today, and I obviously will be covering the waterfront with everyone here.
[00:00:58.479 --> 00:01:13.503]  We now see coronavirus shutting down entire countries, shutting down commerce out of China, creating a supply chain, mega massive nightmare.
[00:01:13.503 --> 00:01:22.645]  And we see the two camps, either people saying that this is no big deal and all hoax, or people saying it's the end of the world.
[00:01:22.645 --> 00:01:23.485]  Well, we already know
[00:01:24.770 --> 00:01:30.854]  With the supply chain and with what's happening to commerce and terrorism, it's already really hurting the global economy.
[00:01:30.854 --> 00:01:47.186]  And we know that big leftist institutions like Big Tech and South by Southwest are canceling all these big events to create the precedent that Trump better cancel all these big events and cancel school coming up as the virus spreads in the next two weeks to three months.
[00:01:47.186 --> 00:01:52.890]  It really starts heating up in two weeks if you look at all the growth models and spread models of the virus.
[00:01:54.011 --> 00:01:56.153]  So that if Trump doesn't shut down the U.S.
[00:01:56.153 --> 00:02:00.717]  economy, somehow it's his fault what happens to the economy.
[00:02:00.717 --> 00:02:10.766]  And we went back six weeks ago and said, this thing is synthetic, this thing is man-made, this thing is a big, big, big issue.
[00:02:10.766 --> 00:02:17.592]  And whether it's really a super deadly virus or not, it's being used for massive control.
[00:02:18.908 --> 00:02:21.229]  So there's no doubt that the response is a hoax.
[00:02:21.229 --> 00:02:23.029]  There's no doubt it's a media setup.
[00:02:23.029 --> 00:02:24.349]  There's no doubt it's man-made.
[00:02:24.349 --> 00:02:26.210]  That doesn't mean it doesn't kill people.
[00:02:26.210 --> 00:02:28.930]  But it is synthetic, so I've harped on that.
[00:02:28.930 --> 00:02:45.414]  I've spoken to that, and now we have all these big developments that we'll be getting to once we start the next segment.
[00:02:45.414 --> 00:02:48.155]  That said, we will then get into
[00:02:50.023 --> 00:02:59.827]  The ongoing spectacle of bizarreness that is the Democrat race now tightening down to Joe Biden and Bernie Sanders.
[00:02:59.827 --> 00:03:03.668]  What a pair of miscreant criminals.
[00:03:03.668 --> 00:03:08.850]  One completely addled and in mid-stage dementia.
[00:03:08.850 --> 00:03:10.350]  Got a bunch of those clips coming up.
[00:03:10.350 --> 00:03:12.071]  Gaffs every time he opens his mouth.
[00:03:12.071 --> 00:03:14.512]  And the other just a conman scammer.
[00:03:16.840 --> 00:03:20.943]  Promising people things that are absolutely impossible to deliver.
[00:03:20.943 --> 00:03:26.666]  And the corporate media trying to wrap its mind around the fact that that's their two candidates.
[00:03:26.666 --> 00:03:29.848]  We've got that as well.
[00:03:29.848 --> 00:03:39.574]  Then we also have the news that Eric Prince has been behind a lot of funding and support and training for the folks over at Project Veritas.
[00:03:39.574 --> 00:03:40.455]  That's very interesting.
[00:03:40.455 --> 00:03:43.657]  I'm gonna dig into that some.
[00:03:43.657 --> 00:03:43.937]  Stink.
[00:03:45.436 --> 00:03:59.869]  Uyghur of the Young Turds has had a big flip out that's gone viral, and it just illustrates how communists think everything supposedly works perfect in communist countries, but then they hate capitalist countries that actually work much, much better.
[00:03:59.869 --> 00:04:02.511]  He's had a complete public flip out.
[00:04:02.511 --> 00:04:03.512]  We're gonna be getting to all that.
[00:04:03.512 --> 00:04:09.677]  Also, Greek border inflames as migrants keep trying to break through.
[00:04:10.925 --> 00:04:19.632]  So that's all coming up as the globalists launch their attack on the borders of Europe as well.
[00:04:19.632 --> 00:04:29.119]  2020, just a few months into 2020, just two months and eight days into 2020, is already shaping up to be spectacular in every way.
