[00:00:05.603 --> 00:00:07.105]  Mark your calendars.
[00:00:07.105 --> 00:00:13.054]  It is Tuesday, June 30th, 2020, 125 days out from the election.
[00:00:13.054 --> 00:00:20.944]  And more than two weeks ago, we were contacted by a state health department individual saying you need to look at how they're counting
[00:00:23.137 --> 00:00:33.664]  Under federal directives, individuals that they say might have COVID, and they're using computer models, where they'll have a contact tracer talk to someone and say, well, you're at a bar of, what, 100 people?
[00:00:33.664 --> 00:00:35.946]  Well, we're just going to say half of them have it.
[00:00:35.946 --> 00:00:38.007]  And then that's put in the number.
[00:00:38.007 --> 00:00:47.414]  And I meant to research it, and then people started sending us links out of Texas with county commissioners and folks on Facebook saying, hey, here's why the numbers are up.
[00:00:47.414 --> 00:00:48.495]  We've been told
[00:00:49.448 --> 00:00:55.153]  That if someone has a sore throat or the sniffles and even comes up negative, we count them as COVID-19.
[00:00:55.153 --> 00:00:57.995]  And then anyone they're around, we count as COVID-19.
[00:00:57.995 --> 00:01:10.526]  Well, then yesterday after the broadcast, I spent about five hours with Rob Dew, our news director, watching county commissioner meetings in some of the most populous counties in Texas, one up in Dallas.
[00:01:10.526 --> 00:01:13.008]  And they show the CDC documents.
[00:01:14.028 --> 00:01:20.991]  And the NIH directives, and we've confirmed that not just here, but in other states, this is what's been sent out.
[00:01:20.991 --> 00:01:27.374]  Now, some states like West Virginia are refusing to follow this directive, but Texas is.
[00:01:27.374 --> 00:01:34.258]  This is the end of this hoax, if you get the article out that's at InfoWars.com in the video report.
[00:01:34.258 --> 00:01:42.241]  Now, today's live show is titled, Two Global Exclusives Now Breaking, NIH CDC Caught Inflating COVID Numbers At Least 15 Times.
[00:01:43.800 --> 00:01:48.245]  Plus Roger Stone to break his silence on the eve of imprisonment and more.
[00:01:48.245 --> 00:01:53.572]  And in that same post, we have the article, not just the live feed, but the article in the video posted.
[00:01:53.572 --> 00:01:55.815]  Here is the article that has the video posted.
[00:01:55.815 --> 00:01:57.477]  Pandemic bombshell.
