[00:00:29.155 --> 00:00:29.956]  We the people.
[00:00:30.957 --> 00:00:34.339]  I am your host, Alex Jones, coming to you over a landline.
[00:00:35.080 --> 00:00:39.144]  Tom Papert will be guest hosting from his TV studios in Kansas.
[00:00:40.385 --> 00:00:41.986]  But we are not in Kansas anymore.
[00:00:42.887 --> 00:00:49.232]  Constitutional lawyer Norm Pattis has talked to his sources inside the Federalist Society that are very close to the White House.
[00:00:50.213 --> 00:00:51.875]  And I've talked to Pentagon sources.
[00:00:52.648 --> 00:00:56.910]  President Trump is set to declare a ban on interstate travel.
[00:00:57.590 --> 00:01:04.013]  Not just aircraft, but vehicles and people traveling across state lines as early as 8 p.m.
[00:01:04.053 --> 00:01:04.433]  tonight.
[00:01:04.493 --> 00:01:12.917]  He's already made the decision to do it, but there are desperate groups there explaining to him that it will devastate the economy and that it probably won't stop the virus in the end.
[00:01:13.692 --> 00:01:17.113]  This thing is clearly an authoritarian tool to bring down the U.S.
[00:01:17.153 --> 00:01:19.094]  economy launched by the globalists and chi-coms.
[00:01:19.114 --> 00:01:19.954]  We know it's man-made.
[00:01:20.514 --> 00:01:33.938]  Clearly, all these big globalist institutions have created the precedent and the standard of hysteria and phobia that you've got to totally capitulate and have no basic rights and have surveillance drones screaming at you and controlling your every move.
[00:01:34.438 --> 00:01:37.339]  The authoritarian government of China set the standard for this.
[00:01:39.071 --> 00:01:41.493]  Right after they lost the trade war with the United States.
[00:01:41.633 --> 00:01:43.394]  This is 21st century war.
[00:01:43.974 --> 00:01:48.937]  I've criticized the president for not getting ahead of it, saying it's serious, because they would then demonize him.
[00:01:49.798 --> 00:01:53.340]  Early on, the conservatives convinced him to not listen to us.
[00:01:54.021 --> 00:01:57.743]  Later, he did listen to us, but now I'm concerned he's going to go too far.
[00:01:58.904 --> 00:02:01.405]  This is absolutely documented.
[00:02:02.226 --> 00:02:03.147]  This is going on.
[00:02:03.927 --> 00:02:08.190]  I was already going to have the headline tonight, Trump set to declare martial law.
[00:02:09.227 --> 00:02:11.608]  Over corona, coronavirus, hysteria.
[00:02:12.868 --> 00:02:32.053]  And then, that was from my Pentagon source and others did, Norm Pattis, a very respected national criminal lawyer, you know, right up there, works with Alan Dershowitz, you name it, has high-level sources in the Federalist Society that are meeting with Trump right now at the White House, trying to convince him not to do this.
[00:02:32.093 --> 00:02:34.514]  But regardless, this is seismic.
[00:02:35.354 --> 00:02:37.635]  Italy has declared martial law three weeks ago.
[00:02:38.766 --> 00:02:41.929]  France and Spain declared martial law today.
[00:02:42.950 --> 00:02:50.376]  President Trump is only trying to line up with other world leaders so that it can't be said that he didn't respond properly.
[00:02:50.396 --> 00:02:52.358]  That's the trap the Democrats put him in, in the deep state.
[00:02:53.279 --> 00:02:58.904]  Then when he does that, like block the Chinese flights a month ago, they say he's being racist and hateful.
[00:03:00.362 --> 00:03:02.703]  When he blocks the Europe flights, they're saying he's hateful and evil.
[00:03:03.223 --> 00:03:06.885]  They're not letting people fly around inside most areas of Europe now.
[00:03:07.485 --> 00:03:11.167]  Remember, they praised China shooting people at checkpoints and welding people into their homes.
[00:03:11.788 --> 00:03:12.408]  Remember that.
[00:03:13.382 --> 00:03:14.122]  That's what the U.N.
[00:03:14.162 --> 00:03:14.462]  prays.
[00:03:14.482 --> 00:03:15.623]  That's what our media prays.
