[00:00:00.069 --> 00:00:01.290]  Millions of dead people voting.
[00:00:01.650 --> 00:00:03.831]  Millions of illegals voting.
[00:00:03.851 --> 00:00:09.033]  Then Alex Jones, the notorious conspiracy theorist, who said the U.S.
[00:00:09.073 --> 00:00:12.654]  government staged 9-11, picked up the story.
[00:00:13.294 --> 00:00:19.737]  Donald J. Trump didn't just win the Electoral College, he also clearly won the popular vote.
[00:00:20.273 --> 00:00:31.505]  And after that story ran, President-elect Trump tweeted for the first time that he won the popular vote if you deduct the millions of people who voted illegally.
[00:00:31.725 --> 00:00:42.916]  The Democratic Party, Antifa, and other leftist groups are all over Twitter, all over Facebook, putting out tweets with hundreds of thousands and even millions of views.
[00:00:43.948 --> 00:00:52.493]  Showing clips of myself in the rotoscoped film, A Scanner Darkly, with Keanu Reeves, Woody Harrelson, a bunch of other people.
[00:00:53.074 --> 00:00:54.835]  And I actually consulted on that film.
[00:00:54.855 --> 00:01:01.559]  I actually recommended that scene, something that's not actually in the
[00:01:02.389 --> 00:01:03.290]  I think?
[00:01:17.503 --> 00:01:31.735]  We found federal documents where Bush, and this had all been going on under Clinton, was preparing basically snatch and grab teams of federal officers around the country to go and grab protesters off the streets and disappear them.
[00:01:32.216 --> 00:01:36.840]  And so the tweets are out there going, look, Jones warned about all this exactly.
[00:01:37.821 --> 00:01:38.842]  And now it's happening.
[00:01:39.923 --> 00:01:40.923]  He's a horrible person.
[00:01:41.872 --> 00:01:43.393]  No, that's not what's happening.
[00:01:44.194 --> 00:01:52.500]  The federal and state governments, if they're for, of, and by the people, and are run according to Constitution, are transparent, are a good thing.
[00:01:53.061 --> 00:01:55.743]  And so I'm not an enemy of the federal government, or the state government, or the police.
[00:01:55.903 --> 00:02:09.133]  I was an enemy of them being taught UN brainwashing, being taught plans to put people in re-education camps, being taught plans to take on constitutional, quote, terrorists, and run gun confiscation operations.
[00:02:09.153 --> 00:02:11.115]  When I learned about these programs going on,
[00:02:12.210 --> 00:02:17.292]  I exposed them on air and also in film in places like A Scanner Darkly.
[00:02:29.460 --> 00:02:53.280]  So now the establishment globalist media, bought and paid for by the communist Chinese and others, that openly say the country shouldn't even exist, are showing videos of black vans with federal police in camo uniforms and gas masks, very dystopic, grabbing people off the street and putting them into vans.
[00:02:53.880 --> 00:02:58.284]  They're then taken, they're questioned, they're either released or they are put in jail and indicted.
[00:02:59.212 --> 00:03:01.013]  Now, yes, this is a dystopic image.
[00:03:02.374 --> 00:03:03.235]  But understand something.
[00:03:04.295 --> 00:03:09.559]  The globalists have created the riots and created the destabilization in their dialectic.
[00:03:10.839 --> 00:03:13.601]  So they can now respond with federal force.
[00:03:14.482 --> 00:03:21.706]  And then once the globalists take full control of the country, they'll have the police state in place that they help bring in by the terrorism they generated.
[00:03:21.746 --> 00:03:24.168]  And that's the most important part of this breakdown.
[00:03:25.328 --> 00:03:27.310]  The media is not showing you
[00:03:28.590 --> 00:03:36.273]  The Communist Antifa funded by Soros and Alexander Soros publicly with hatchets and clubs breaking into the federal courthouse.
[00:03:36.653 --> 00:03:41.775]  They're not showing you footage of them setting fire to the courthouse or to the local police station.
[00:03:42.215 --> 00:03:50.738]  They're not showing you footage of them attacking the federal officers in mass and trying to kill them or shooting lasers into their eyes.
[00:03:51.299 --> 00:03:51.859]  They're saying
[00:03:52.901 --> 00:03:57.528]  Peaceful demonstrators are out here, and the police are attacking them for no reason.
[00:03:57.808 --> 00:03:59.150]  And the feds shouldn't be here.
[00:03:59.170 --> 00:04:00.091]  It's not their jurisdiction.
[00:04:00.852 --> 00:04:04.658]  It is their jurisdiction when they continue to attack the federal building.
[00:04:04.938 --> 00:04:08.503]  Just like Tim Pool, who was part of Occupy Wall Street.
[00:04:09.451 --> 00:04:14.736]  Famous reporter from that, he's a liberal, said stop attacking the federal courthouse.
[00:04:15.277 --> 00:04:16.838]  The feds have a right to exist.
[00:04:16.979 --> 00:04:24.266]  Them existing is not illegal and if you stop attacking the courthouse, this will all end.
[00:04:25.267 --> 00:04:26.328]  Because that's the truth.
[00:04:27.369 --> 00:04:27.829]  So again,
[00:04:29.136 --> 00:04:31.717]  Yes, I predicted black vans grabbing people.
[00:04:31.817 --> 00:04:32.838]  That's how this works.
[00:04:33.538 --> 00:04:37.380]  And yes, it's now happening, but they're being released or they're being charged.
[00:04:37.800 --> 00:04:41.462]  It's the disappear part that is the authoritarianism.
[00:04:42.002 --> 00:04:43.183]  Let me tell you who's disappearing.
[00:04:44.444 --> 00:04:51.167]  It's people that drive up to anti-fund BLM checkpoints in Provo, Utah and places in Colorado and New York.
[00:04:52.563 --> 00:04:58.285]  And Texas who get shot in the head because they're white and they go into comas and they die.
[00:04:58.665 --> 00:05:00.505]  It's people dying from the knockout game.
[00:05:01.265 --> 00:05:09.548]  Whites are now 12 times more likely to be attacked by blacks because of this whole atmosphere saying kill a whitey for mommy instead of kill a commie for mommy.
[00:05:10.048 --> 00:05:14.049]  This is what the corporate media and the establishment have created.
[00:05:14.089 --> 00:05:16.430]  You have lawless anarchists
[00:05:17.410 --> 00:05:30.038]  Funded by the Globalist, running around, physically attacking people, beating up people that have children with them, stealing people's cars, dragging people out of their vehicles, hitting people in the head with hammers.
[00:05:30.438 --> 00:05:38.282]  It's been going on for years and the corporate media defends it and says that it's a good group and that we should support them.
[00:05:38.342 --> 00:05:42.465]  And now they're out in the streets with guns saying they're getting ready to start killing people.
[00:05:43.592 --> 00:05:46.774]  When we march with guns, it's for self-defense to point out we have that right.
[00:05:47.094 --> 00:05:50.897]  We don't say, we're going to start a violent revolution and offensively start killing people.
[00:05:51.618 --> 00:05:55.580]  The individuals that start the war are the bad guys.
[00:05:56.801 --> 00:06:10.291]  And so they're running an AgiProp operation, trying to manipulate Trump into having an over-response, so the media can then say all these people are victims being oppressed by a police state.
[00:06:11.175 --> 00:06:14.176]  When they are the ones that have created this lawless atmosphere.
[00:06:14.196 --> 00:06:19.057]  But then if Trump doesn't respond, it only emboldens these groups more to take even more action.
[00:06:19.377 --> 00:06:23.579]  And that's how this dialectic and psychological operation works.
[00:06:23.839 --> 00:06:28.420]  This is all building in a massive, massive way.
[00:06:29.775 --> 00:06:30.595]  We're good to go.
[00:06:55.626 --> 00:07:05.791]  They have now been for over a year and a half trying to foment insurrection and civil war in this country and have been trying to push the narrative that President Trump is somehow a Russian agent.
[00:07:08.113 --> 00:07:17.077]  They have intensified their calls for him to be killed or for him to be removed under the 25th Amendment or under a military coup on MSNBC, CNN, and every other major channel.
[00:07:18.298 --> 00:07:19.618]  I am afraid for my nation.
[00:07:19.659 --> 00:07:20.619]  I'm afraid for my family.
[00:07:20.719 --> 00:07:22.340]  I personally am not afraid myself.
[00:07:23.894 --> 00:07:28.238]  I am afraid for the society that doesn't deserve President Trump.
[00:07:30.499 --> 00:07:42.949]  Trump has put himself in the center of unprecedented attacks in history, unprecedented lies, unprecedented deception, and they are now launching the ignition phase.
[00:07:42.989 --> 00:07:43.770]  You can smell it.
[00:07:44.130 --> 00:07:44.871]  You can see it.
[00:07:44.991 --> 00:07:48.354]  They're admitting it to remove President Trump by this fall.
[00:07:49.462 --> 00:07:56.147]  They are now back on television, not just at policy forums, but on mainline TV saying, overthrow him U.S.
[00:07:56.207 --> 00:07:56.687]  military.
[00:07:57.588 --> 00:08:08.736]  They have all of their Democrat operatives, Alexandria, Cortez and others, we'll play this in a moment, saying, occupy federal buildings, occupy ICE, occupy the border, blow off the doors of the castle.
[00:08:08.836 --> 00:08:10.438]  We have to occupy all of it.
[00:08:10.758 --> 00:08:16.622]  We need to occupy every airport, we need to occupy every border, we need to occupy every ICE office.
[00:08:16.842 --> 00:08:18.724]  We are here trying to save the country.
[00:08:19.144 --> 00:08:25.447]  We have to repudiate Antifa and BLM as globalist organs of revolution that work for the Democratic Party and the Chi-Coms.
[00:08:26.087 --> 00:08:31.130]  We must support the President and federal law enforcement when they're carrying out constitutional duties.
[00:08:31.610 --> 00:08:34.771]  When the Feds attacked Waco and murdered those people, that was wrong.
[00:08:34.791 --> 00:08:36.412]  They offensively attacked them for PR.
[00:08:36.432 --> 00:08:37.172]  It blew up in their face.
[00:08:37.352 --> 00:08:37.913]  That's evil.
[00:08:38.293 --> 00:08:39.513]  Those were Nazis, in my view.
[00:08:39.533 --> 00:08:40.714]  Those were evil people that did that.
[00:08:41.934 --> 00:08:44.976]  Misguided fools, some of them, and most of them really bad, out of control.
[00:08:45.888 --> 00:08:49.511]  As men age, they may often experience a loss in vitality, energy, and overall wellness.
[00:09:12.813 --> 00:09:15.534]  That's why we made one of our most popular formulas to date.
