[00:00:13.725 --> 00:00:15.045]  Oh, I'm sorry.
[00:00:15.045 --> 00:00:19.746]  Didn't know you were watching, Don Americans.
[00:00:19.746 --> 00:00:22.887]  Did you enjoy the fentanyl we're shipping to kill you?
[00:00:22.887 --> 00:00:26.108]  Well, now we give you rural virus.
[00:00:26.108 --> 00:00:32.309]  But your own media tell you not to say it, because we own them and we are their bosses.
[00:00:32.309 --> 00:00:34.830]  Quit the inflammatory China bashing.
[00:00:35.609 --> 00:00:38.312]  Why do you keep calling this the Chinese virus?
[00:00:38.312 --> 00:00:44.417]  There are reports of dozens of incidents of bias against Chinese Americans in this country.
[00:00:44.417 --> 00:00:48.080]  Your own aide, Secretary Azar, says he does not use this term.
[00:00:48.080 --> 00:00:51.043]  He says ethnicity does not cause the virus.
[00:00:51.043 --> 00:00:52.284]  Why do you keep using this?
[00:00:52.284 --> 00:00:53.045]  Why do you say it's racist?
[00:00:53.045 --> 00:00:54.706]  Because it comes from China?
[00:00:54.706 --> 00:00:55.787]  It's not racist at all, man.
[00:00:55.787 --> 00:00:56.508]  Not at all.
[00:00:56.508 --> 00:00:58.230]  It comes from China.
[00:00:58.230 --> 00:01:01.292]  Did this virus originate in China?
[00:01:01.292 --> 00:01:01.533]  Yes.
[00:01:02.796 --> 00:01:10.002]  But Mr. President, that does not excuse your weeks and weeks of tweeting lies and misinformation about the virus.
[00:01:10.002 --> 00:01:16.708]  There are some, at least one White House official who used the term Kung Flu, referring to the fact that this virus started in China.
[00:01:16.708 --> 00:01:17.529]  Is that acceptable?
[00:01:17.529 --> 00:01:18.189]  Is it wrong?
[00:01:18.189 --> 00:01:24.615]  Are you worried that having this virus be talked about as a Chinese virus, that that might be the Kung Flu?
[00:01:24.615 --> 00:01:25.296]  Say the term again.
[00:01:26.936 --> 00:01:30.339]  A person at the White House, he used the term Kung Flu.
[00:01:30.339 --> 00:01:32.261]  My question is, do you think that's wrong?
[00:01:32.261 --> 00:01:33.582]  Kung Flu.
[00:01:33.582 --> 00:01:35.684]  Now your media working for us.
[00:01:35.684 --> 00:01:39.567]  Say your economy is crashing and your president do that job.
[00:01:39.567 --> 00:01:42.509]  But they praise our leader, Xi Jinping.
[00:01:52.092 --> 00:01:56.155]  That translates to, hope you enjoy your depression.
[00:01:56.155 --> 00:02:01.518]  Our people in your media and senate say you'll be shut down for 18 months.
[00:02:01.518 --> 00:02:03.079]  We're back and running.
[00:02:03.079 --> 00:02:10.263]  And your senate under Schumer and others like Feinstein, who work for us, will not give you aid package.
[00:02:11.684 --> 00:02:14.005]  You see, you are our slaves.
[00:02:14.005 --> 00:02:18.467]  We owe you a debt, and now we send virus to kill you.
[00:02:18.467 --> 00:02:31.012]  We could not do this without how we willed it, we owed, and without all the fentanyl you take, and the fact that the media worked against you because we, again, controlled them.
[00:02:31.012 --> 00:02:37.795]  So, soon Trump will be gone, and you will be homeless, on the continent your forebellas conquer.
[00:02:44.655 --> 00:02:46.857]  I just caught you, American!
[00:02:46.857 --> 00:02:49.639]  You visited Bandar Video!
[00:02:49.639 --> 00:02:53.142]  Oh, Mark Zuckerberg and others angry at you!
[00:02:53.142 --> 00:02:58.126]  Do what CNN says and do not visit Bandar Video, or I have to hurt you!
[00:03:01.244 --> 00:03:04.346]  Don't act so surprised, Globalist.
[00:03:04.346 --> 00:03:08.147]  You didn't think you could silence the American people, did you?
[00:03:08.147 --> 00:03:12.089]  Join Bandot Video, and I will complete your training.
[00:03:12.089 --> 00:03:19.733]  Together, we can overthrow the Emperor and restore the Republic.
[00:03:19.733 --> 00:03:24.335]  Ladies and gentlemen, if you can't beat him, join him.
[00:03:24.335 --> 00:03:28.457]  I am your host, Alex Jones, not Bane from Batman.
[00:03:28.457 --> 00:03:29.437]  Ah, Batman!
[00:03:29.437 --> 00:03:29.558]  Ah!
[00:03:31.923 --> 00:03:35.766]  It's March 25th on this Wednesday edition.
[00:03:35.766 --> 00:03:38.467]  I'm your host, Alex Jones.
[00:03:38.467 --> 00:03:41.149]  I am not humongous from the road warrior.
[00:03:41.149 --> 00:03:43.451]  That's big fat.
[00:03:43.451 --> 00:03:45.212]  Think of gas.
[00:03:45.212 --> 00:03:49.455]  Just leave it on the pumps and I spill your lives.
[00:03:49.455 --> 00:03:57.580]  Just stay in your homes until the Chinese economy overtakes you and you're bankrupted forever, Americans.
[00:03:57.580 --> 00:04:00.622]  We will break your capitalist system.
[00:04:00.622 --> 00:04:01.143]  Finally, now.
[00:04:02.844 --> 00:04:11.214]  Only now will you see it and will you experience it.
[00:04:11.214 --> 00:04:11.975]  Ah, that's much better.
[00:04:11.975 --> 00:04:20.365]  They thought it'd be a nice stunt for me to wear one of these, but my neck and head is just too big.
[00:04:20.365 --> 00:04:20.646]  19-inch neck.
[00:04:22.506 --> 00:04:23.026]  That's right.
[00:04:41.442 --> 00:04:41.962]  13 years ago?
[00:04:41.962 --> 00:04:45.807]  Yeah, the story just went live on Newshorse.com and Infowars.com.
[00:04:45.807 --> 00:04:52.094]  You might want to raise the alarm because all over the country they're banning gun sales using this existing law right now.
[00:04:52.094 --> 00:04:53.176]  It's all coming up.
[00:04:53.176 --> 00:04:55.659]  The modern Paul Revere.
[00:04:55.659 --> 00:04:56.540]  That's all of us together.
[00:04:56.540 --> 00:04:57.521]  We are Paul Revere.
[00:04:57.521 --> 00:04:58.182]  We are the spirit.
[00:04:59.679 --> 00:05:11.823]  One of the products that I'm very proud of, I don't talk enough about, because there's so many amazing essential oils and ingredients in it, it takes a long time to break down the product because it's a complex product.
[00:05:11.823 --> 00:05:17.585]  A lot of the sprays you put in your mouth or your throat and lungs are really thin.
[00:05:17.585 --> 00:05:20.546]  It's a little bit of alcohol, maybe one or two essential oils.
[00:05:20.546 --> 00:05:21.947]  Not our Lung Cleanse.
[00:05:21.947 --> 00:05:25.208]  It's got a long list of the highest quality
[00:05:26.303 --> 00:05:28.944]  Essential oils and ingredients in it.
[00:05:28.944 --> 00:05:39.548]  You take a few sprays in your mouth, lightly inhale, and it just does so much for me when I've got allergies or when my throat is tired.
[00:05:39.548 --> 00:05:47.232]  It's just very, very soothing and it's just one more thing for you and your family to have in your arsenal during these insane times.
[00:05:47.232 --> 00:05:55.315]  So get your lung cleanse discounted at InfoWarStore.com and get yourself and your family prepared while at the same time funding the InfoWar.
[00:05:55.675 --> 00:05:57.077]  A total 360 win.
[00:05:57.077 --> 00:06:07.847]  Infowarstore.com.
[00:06:07.847 --> 00:06:12.232]  Waging war on corruption.
[00:06:12.232 --> 00:06:17.937]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:21.831 --> 00:06:25.532]  We see the panic taking place on the Earth from here.
[00:06:25.532 --> 00:06:34.415]  The Americans have taken to the panic and fear well.
[00:06:34.415 --> 00:06:38.316]  Soon their economy will be destroyed forever.
[00:06:38.316 --> 00:06:42.277]  And our Qaikom slave base will reign supreme!
[00:06:44.756 --> 00:06:55.042]  Already the human-animal clones, and the slave camps, and the AI surveillance omnipresent.
[00:06:55.042 --> 00:06:57.684]  Omnigrid is in place.
[00:06:57.684 --> 00:07:06.029]  And now, the Americans are begging for slavery.
[00:07:06.029 --> 00:07:07.309]  Welcome, ladies and gentlemen.
[00:07:07.309 --> 00:07:11.552]  Welcome to this Wednesday, March 25th, 2020, worldwide transmission.
[00:07:14.873 --> 00:07:22.275]  I'm Alex Jones, with 222 days left until the election.
[00:07:22.275 --> 00:07:25.156]  Let me tell you who we have for you on the broadcast today.
[00:07:25.156 --> 00:07:28.037]  It's quite a list of guests.
[00:07:28.037 --> 00:07:36.400]  Paul Joseph Watson with huge breaking news from her Britannic Majesty's Island joins us at the bottom of the hour.
[00:07:36.400 --> 00:07:38.761]  Dr. E. Michael Jones.
[00:07:39.730 --> 00:07:47.395]  Joel Skousen, Mark Rondazza, and Mike Adams.
[00:07:47.395 --> 00:08:07.787]  All of this and more today, as the hysteria and the psyop projected from Communist China, developed by our best minds in Hollywood, is now taken as the poison into the Republic to destroy the economy.
[00:08:09.520 --> 00:08:18.127]  Now let's get serious right now.
[00:08:18.127 --> 00:08:36.523]  The globalist multinational corporations have openly and publicly financed the entire development of the communist Chinese system as the replacement of the Western world and as the answer to the free market laissez-faire West.
[00:08:38.151 --> 00:08:40.692]  They've openly admitted this for decades.
[00:08:40.692 --> 00:08:42.233]  It's their project.
[00:08:42.233 --> 00:08:52.239]  That project has been defeated by the awakening of the American people, by Brexit, by the rebellion in Europe, the rebellions in Brazil and other areas.
[00:08:52.239 --> 00:08:54.320]  The people were on the march.
[00:08:54.320 --> 00:09:00.123]  The globalist anti-human project was on the run.
[00:09:00.123 --> 00:09:02.944]  So what were they going to do?
[00:09:02.944 --> 00:09:03.625]  What could they do?
[00:09:05.325 --> 00:09:14.228]  Launch a real man-made bioweapon that does spread easily and does kill large numbers of people.
[00:09:14.228 --> 00:09:27.533]  Then artificially hype it with apocalyptic, Day of the Dead, Walking Dead images.
[00:09:27.533 --> 00:09:32.155]  And have the media and Democrat-controlled cities and governors
[00:09:34.740 --> 00:10:00.852]  Exaggerate the unconstitutional event by calling it a lockdown, where even people in protected sectors under this federal law, like construction, and childcare, and warehouses, and food distribution, are not showing up for work.
[00:10:03.464 --> 00:10:07.686]  I got a call this morning from a friend of mine that builds houses.
[00:10:07.686 --> 00:10:09.986]  And he said, you warned me last week.
[00:10:09.986 --> 00:10:13.428]  I showed my crew the federal law.
[00:10:13.428 --> 00:10:18.649]  I showed the crews that they're allowed to go to work.
[00:10:18.649 --> 00:10:19.810]  They don't believe me.
[00:10:19.810 --> 00:10:22.251]  They didn't come to work today.
