[00:00:00.109 --> 00:00:05.115]  The people know you want a world implosion and a Great Reset to try to convince us COVID did it.
[00:00:05.555 --> 00:00:06.836]  But we know you did it.
[00:00:07.437 --> 00:00:12.142]  And now we know you helped cook up COVID at Wuhan and released it with Fauci and Gates.
[00:00:12.843 --> 00:00:14.985]  And the truth's getting out no matter how much you try to censor.
[00:00:15.586 --> 00:00:19.588]  So I'm here to tell you, you should back up, you should give up, you should back down now.
[00:00:19.628 --> 00:00:23.850]  But I know you're a bunch of scum like Nazis, like Adolf Hitler and his bunker, and you're not going to give up.
[00:00:24.270 --> 00:00:26.991]  So that's why we're here, letting you know that you're on notice.
[00:00:27.312 --> 00:00:34.495]  That the people of the world, from Africa to the United States to Asia to Europe to Latin America, are awake and understand what you've done.
[00:00:38.177 --> 00:00:40.138]  It's Friday the 13th, November, 2020.
[00:00:41.419 --> 00:00:49.684]  I'm Alex Jones here in Washington, DC on the eve of the historic march to stop the steal and stop the globalist takeover of the United States.
[00:00:50.765 --> 00:00:53.687]  We are living in incredibly historic and dangerous times.
[00:00:54.607 --> 00:01:02.212]  And yes, we have a lot of powerful forces standing against America and against our president and the corrupt media that is the enemy of the people.
[00:01:03.370 --> 00:01:07.031]  But it's only when Americans realize how much peril they're in, they finally wake up.
[00:01:07.751 --> 00:01:18.215]  And the sleeping giant has been awoken by this massive election fraud and by the media saying they're kingmakers and saying that Biden is the president-elect when the law says he's not.
[00:01:19.595 --> 00:01:20.996]  I'm here at the Washington Monument.
[00:01:21.656 --> 00:01:23.437]  This was George Washington's farm.
[00:01:23.917 --> 00:01:27.378]  He surveyed this area himself when he was a young man and later was able to buy it.
[00:01:28.311 --> 00:01:30.814]  And he reportedly rode his horse all around D.C.
[00:01:30.875 --> 00:01:33.378]  and down into his actual plantation.
[00:01:34.119 --> 00:01:38.945]  And right here is the place he would sit with his horse on this hill and overlook the Potomac.
[00:01:39.693 --> 00:01:40.393]  That is history.
[00:01:40.974 --> 00:01:43.575]  And we come out of that incredible birthright.
[00:01:43.875 --> 00:01:48.757]  Whether you're black, whether you're white, whether you're old, whether you're young, America was about individualism.
[00:01:48.777 --> 00:01:49.518]  It was about freedom.
[00:01:50.178 --> 00:01:53.200]  It never attained all of its aspirations, but it attained many of them.
[00:01:53.500 --> 00:02:01.143]  And that's why the globalist authoritarian system, just like the Nazis, just like the Communists, and just like the British Crown previously, didn't like it.
[00:02:01.584 --> 00:02:06.006]  Because it was an idea of empowering humanity and creating a giant middle class
[00:02:06.886 --> 00:02:09.969]  And the potential for the underclass to move up in life.
[00:02:10.369 --> 00:02:14.033]  And it really unleashed human potential, human competition.
[00:02:14.934 --> 00:02:23.802]  So as we sit here, on the eve of this historic march, I want to salute all of you that I've already met here today, tens of thousands already arriving, that came here in defiance of tyranny.
[00:02:23.822 --> 00:02:27.806]  And I want to thank all of you that have supported InfoWars through the years, because you've done an amazing job.
[00:02:29.195 --> 00:02:43.494]  This is an epic battle, and we do have a consortium of the European Union, unelected, the Communist Chinese, Hollywood, and other forces that are trying to use the COVID-19 hysteria to bring in a worldwide medical tyranny.
[00:02:44.215 --> 00:02:49.801]  But as Mark Twain said, in the beginning, a patriot is a scarce man, hated, feared, and scorned.
[00:02:49.841 --> 00:02:54.846]  But in time, when his cause succeeds, the timid join him, because then it costs nothing to be a patriot.
[00:02:55.507 --> 00:02:59.631]  I was there 20 plus years ago when almost no one was aware of this.
[00:03:00.111 --> 00:03:01.973]  But people warned me and I woke up and took action.
[00:03:02.834 --> 00:03:12.537]  Today, this issue of the New World Order and globalism and their eugenics policies and their depopulation policies are mainline, and it's a chain reaction right now.
[00:03:12.997 --> 00:03:18.819]  So when you see the globalist counter-strike, and it looks like they're winning, this is everything they had in reserve.
[00:03:18.859 --> 00:03:29.122]  This was their Rockefeller lockstep martial law plan that they had developed for years from now that they've had to launch early, not because they're winning, but because they're losing.
[00:03:30.342 --> 00:03:31.943]  I'll give you one more Mark Twain quote.
[00:03:32.796 --> 00:03:35.363]  He didn't just say a patriot's a scarce man, hated, feared, and scorned.
[00:03:35.884 --> 00:03:40.878]  He also said a lie goes halfway around the world before the truth puts his pants on.
[00:03:41.596 --> 00:03:42.036]  Well, guess what?
[00:03:42.056 --> 00:03:51.987]  The truth has put its pants on with COVID-19 and all the scams, all the exaggerations, all the hysteria, and the endless crisis they want to use to keep us locked down while Communist China is open for business.
[00:03:52.487 --> 00:04:02.778]  And all the globalist middlemen that took American money and invested in China and who are pissed that Trump did better deals so the average American worker could actually make some money, you people are scum.
[00:04:03.812 --> 00:04:09.380]  And Paul Krugman and the New World Order and all your systems are known frauds and you're going to pay for the derivatives.
[00:04:09.761 --> 00:04:10.862]  You're going to pay for the scams.
[00:04:11.083 --> 00:04:16.571]  You're going to pay for the hundreds of trillions of dollars of fraud and inflation you created.
[00:04:16.591 --> 00:04:18.313]  You're trying to saddle us with right now.
[00:04:18.754 --> 00:04:19.675]  You're trying to put on us.
[00:04:20.543 --> 00:04:25.565]  The people know you want a world implosion and a Great Reset to try to convince us COVID did it.
[00:04:25.965 --> 00:04:27.246]  But we know you did it.
[00:04:27.866 --> 00:04:32.568]  And now we know you helped cook up COVID at Wuhan and released it with Fauci and Gates.
[00:04:33.249 --> 00:04:35.390]  And the truth's getting out no matter how much you try to censor.
[00:04:36.010 --> 00:04:40.012]  So I'm here to tell you, you should back up, you should give up, you should back down now.
[00:04:40.052 --> 00:04:44.273]  But I know you're a bunch of scum like Nazis, like Adolf Hitler and his bunker, and you're not going to give up.
[00:04:44.694 --> 00:04:54.938]  So that's why we're here letting you know that you're on notice, that the people of the world, from Africa to the United States to Asia to Europe to Latin America, are awake and understand what you've done.
[00:04:54.958 --> 00:04:57.219]  This is such a historic point.
[00:04:58.274 --> 00:04:59.255]  And the world is awakening.
[00:04:59.755 --> 00:05:01.216]  The globals created their Ponzi scheme.
[00:05:01.236 --> 00:05:02.497]  They stole the world by fraud.
[00:05:02.877 --> 00:05:09.642]  Now they know you're awake and they want to get rid of you and get rid of me because they think we stand in the way of their conquest of reality.
[00:05:09.942 --> 00:05:10.643]  It's not going to happen.
[00:05:11.343 --> 00:05:15.446]  These people's own champion is a fraud that couldn't get 50 people at his events.
[00:05:16.046 --> 00:05:22.211]  He's a fraud that gave speeches to empty parking lots with cars that General Motors parked there to make him look like a hero.
[00:05:23.359 --> 00:05:29.187]  The fact that they're champion is an empty husk is indicative of how those that serve evil become nothing but slaves.
[00:05:29.968 --> 00:05:36.658]  So whatever happens to Donald Trump or whatever happens to Infowars, always keep the faith for humanity and always know that this is a process.
[00:05:37.118 --> 00:05:38.500]  And we've come from being fully asleep.
[00:05:39.201 --> 00:05:45.506]  To partially awakening, having giant victories, the enemy launched counter-offensives, and now we're in a serious fight.
[00:05:45.526 --> 00:05:56.514]  But if you look to the next few levels of this and play chess, you see major human victory in the future as long as you take action and are aware of the globals that don't submit to their tyranny.
[00:05:57.014 --> 00:06:01.738]  So again, for myself and the whole crew and everybody out there supporting InfoWars, I salute you and I thank you all.
[00:06:01.978 --> 00:06:03.219]  Historic day coming up tomorrow.
[00:06:03.459 --> 00:06:04.820]  God bless and good luck.
[00:06:06.735 --> 00:06:11.239]  We always knew that a consortium of megacorporations were trying to take over the United States.
[00:06:11.680 --> 00:06:13.221]  We always knew that one day the U.S.
[00:06:13.241 --> 00:06:14.002]  would go under U.N.
[00:06:14.042 --> 00:06:16.725]  control, that we didn't stand up and educate others and say no.
[00:06:17.779 --> 00:06:20.400]  But they didn't come with blue helmets with the military.
[00:06:21.000 --> 00:06:27.683]  They didn't come with foreign armies and aircraft carriers and fighter jets and bombers and people paratrooping out of the sky like Red Dawn.
[00:06:28.183 --> 00:06:29.484]  They came politically.
[00:06:30.064 --> 00:06:31.805]  They came in the name of fighting racism.
[00:06:32.185 --> 00:06:37.627]  They came in the name of giving everybody free stuff, free houses, free cars, free education.
[00:06:38.147 --> 00:06:45.010]  And now the United Nations is openly running Joe Biden and the Communist Chinese and their COVID-19 response.
[00:06:45.330 --> 00:06:51.274]  We're one of the last men standing thanks to your support, your word of mouth, and your prayer.
[00:07:05.089 --> 00:07:17.239]  So please, go to InfoWarsTore.com today and get a classic InfoWars shirt, get water filtration, get air filtration, get books, get films, and get the incredible supplements that are the highest quality you're going to find anywhere.
[00:07:17.779 --> 00:07:21.382]  Just like our information is hardcore, our supplements are powerful.
[00:07:21.723 --> 00:07:27.608]  I would check out DNA Force Plus, I'd check out X2 and X3, I would check out Vitamineral Fusion, Ultra 12,
[00:07:28.488 --> 00:07:29.790]  Our fish roll is the highest quality.
[00:07:30.070 --> 00:07:31.131]  There are so many great products.
[00:07:31.412 --> 00:07:37.358]  Whatever you do, spread the word about the broadcast and know the enemy of America is hoping you don't take action.
[00:07:38.119 --> 00:07:45.887]  The main rallying point for modern Paul Revere is InfoWars.com, Band.Video, and NewsWars.com as well.
[00:07:46.308 --> 00:07:47.889]  So again, I know you're taking action.
[00:07:48.650 --> 00:07:49.350]  And I salute you.
[00:07:49.930 --> 00:07:50.831]  Don't play it safe.
[00:07:51.191 --> 00:07:51.911]  Don't roll over.
[00:07:51.991 --> 00:07:54.072]  Don't be censored or you're going to lose everything.
[00:07:54.432 --> 00:08:02.635]  Speak out and tell the truth today and visit InfoWarsTore.com and get incredible products and one of the biggest sales we've ever had at InfoWarsTore.com.
