[00:00:01.495 --> 00:00:03.896]  It's Monday, August 24th.
[00:00:03.896 --> 00:00:04.956]  The year is 2020.
[00:00:04.956 --> 00:00:11.679]  This is live election coverage of the kickoff of the RNC with President Trump.
[00:00:11.679 --> 00:00:16.041]  This is Election Countdown 2020 as we take back America.
[00:00:16.041 --> 00:00:17.862]  And now, your host, Deanna Lorraine.
[00:00:32.356 --> 00:00:38.158]  Welcome to 2020 Election Countdown Taking Back America on InfoWars.
[00:00:38.158 --> 00:00:40.839]  This is a special news show and I'm hosting.
[00:00:40.839 --> 00:00:52.684]  I'm Deanna Lorraine and I'm so excited to be here because we are literally at the front lines of the fight here in InfoWars of the most important election in the history of America.
[00:00:53.124 --> 00:00:57.948]  I know people always say that and they say, oh, you know, this is a little bit dramatic, but it's not dramatic.
[00:00:57.948 --> 00:01:16.484]  This is literally the fight between our freedom and our future of America as we know it, or a America that is taken over by the Marxist globalists and everything that you see right now with masks, mandated vaccines, a ripped up constitution and Marxism.
[00:01:16.484 --> 00:01:20.448]  That's going to be our new normal if we don't fight back to take back America.
[00:01:20.908 --> 00:01:25.890]  So I'm excited to be here tonight right on the front lines at InfoWars for Taking Back America.
[00:01:25.890 --> 00:01:32.973]  And you're going to want to be here five nights a week, Monday, Tuesday, Wednesday, Thursday, Friday, up until the election countdown.
[00:01:32.973 --> 00:01:40.496]  Hang out here with us on InfoWars for the latest breaking news and all of your election coverage that you won't be able to get anywhere else.
[00:01:41.116 --> 00:01:53.399]  So first, we obviously have the RNC that has kicked off today, and I'm thankful that it doesn't seem to be anything like the horrible clown show that was the DNC last week.
[00:01:53.399 --> 00:01:57.840]  And we're going to just show a little bit of the highlights of President Trump's speech from earlier today.
[00:01:57.840 --> 00:02:05.581]  It's actually starting out with a little bit of a bang, more enthusiasm, and actual real supporters and not fake paid actors.
[00:02:05.581 --> 00:02:08.482]  So let's roll over to some of the highlights from Trump's speech today.
[00:02:09.915 --> 00:02:13.478]  Our country will never be a socialist country.
[00:02:13.478 --> 00:02:17.382]  They will take your guns away as sure as you're standing or sitting there.
[00:02:17.382 --> 00:02:19.163]  They will take your guns away.
[00:02:19.163 --> 00:02:21.946]  Either that or obliterate the Second Amendment.
[00:02:21.946 --> 00:02:26.890]  Every Republican is sworn to protecting your pre-existing conditions.
[00:02:26.890 --> 00:02:27.631]  It's very important.
[00:02:28.411 --> 00:02:30.093]  You won't hear that.
[00:02:30.093 --> 00:02:32.755]  You won't hear that from the fake news.
[00:02:32.755 --> 00:02:34.656]  We passed Right to Try.
[00:02:34.656 --> 00:02:38.359]  We passed VA Accountability and VA Choice.
[00:02:38.359 --> 00:02:39.780]  They want to raise your taxes.
[00:02:39.780 --> 00:02:42.923]  You know, all my life I've heard as a politician you like to lower taxes, right?
[00:02:43.752 --> 00:02:46.453]  This is the only election where somebody said, we're going to raise your taxes.
[00:02:46.453 --> 00:02:49.255]  They're going to raise your taxes, quadruple your taxes.
[00:02:49.255 --> 00:02:53.397]  They're going to raise your regulations, make it impossible to build a highway.
[00:02:53.397 --> 00:03:03.242]  We've accomplished more during the first three and a half years of this administration than any president in the history of the country.
[00:03:03.242 --> 00:03:06.204]  I wanted to start the broadcast today with some highlights of last night.
[00:03:06.204 --> 00:03:10.286]  Just an incredible job with the new kickoff of Election Countdown, but let's go back to it.
[00:03:12.193 --> 00:03:18.979]  Women, college students, bad students, good students, everybody.
[00:03:18.979 --> 00:03:24.163]  If you had a diploma, if you didn't have a diploma, it didn't matter, you were doing well.
[00:03:24.163 --> 00:03:25.925]  We put NASA back in action.
[00:03:25.925 --> 00:03:28.107]  NASA had grass growing through its runways.
[00:03:29.338 --> 00:03:32.361]  I'm demanding, actually, a list.
[00:03:32.361 --> 00:03:36.425]  Let Biden put up a list of the judges he's going to appoint, that he'll take them out like I did.
[00:03:36.425 --> 00:03:39.467]  I had 25, and we're gonna take it out of that list.
[00:03:39.467 --> 00:03:46.934]  And we're gonna be announcing a list over the next couple of weeks with the judges that we had, plus we might add a few more, so you know exactly where we stand.
[00:03:46.934 --> 00:03:51.558]  The radical left will demand that he appoints super radical left
[00:03:52.339 --> 00:03:56.922]  Wild, crazy justices going into the Supreme Court.
[00:03:56.922 --> 00:04:00.744]  Your American dream will be dead if that happens.
[00:04:00.744 --> 00:04:01.665]  It'll be dead.
[00:04:01.665 --> 00:04:07.869]  Nobody's done more for the historically black colleges and universities than Donald Trump.
[00:04:07.869 --> 00:04:08.649]  Nobody.
[00:04:08.649 --> 00:04:10.771]  They came and they said, we can't believe it.
[00:04:10.771 --> 00:04:12.352]  Obama didn't even try.
[00:04:12.352 --> 00:04:15.154]  Criminal justice reform, opportunity zones.
[00:04:15.154 --> 00:04:20.157]  We are going to fully fund law enforcement and hire more police.
[00:04:21.601 --> 00:04:30.509]  George Washington could come back from the dead, and he could choose as his VP candidate, the late, great Abraham Lincoln.
[00:04:30.509 --> 00:04:35.933]  And you're not going to win the state of Texas if you have no oil, no guns, and no religion.
[00:04:35.933 --> 00:04:37.495]  I don't think so.
[00:04:38.499 --> 00:04:40.459]  I want to thank you from the bottom of my heart.
[00:04:40.459 --> 00:04:42.140]  You're incredible warriors.
[00:04:42.140 --> 00:04:43.480]  You have incredible strength.
[00:04:43.480 --> 00:04:47.681]  You have unbelievable intelligence and patience.
[00:04:47.681 --> 00:04:49.261]  It's a combination of both.
[00:04:49.261 --> 00:04:53.261]  This is the most important election in the history of our country.
[00:04:53.261 --> 00:05:04.563]  Our country will never be a socialist country.
[00:05:04.563 --> 00:05:06.404]  You hear that?
[00:05:06.404 --> 00:05:08.184]  That's the march of the United Nations.
[00:05:10.009 --> 00:05:10.429]  We're good to go.
