[00:00:00.009 --> 00:00:02.712]  The economy is not going to be anything like it was.
[00:00:02.732 --> 00:00:04.775]  It's going to take a long time to recover.
[00:00:04.855 --> 00:00:09.400]  It's going to be, you know, people are going to be surprised at how slow and how fitful this is.
[00:00:09.700 --> 00:00:15.747]  Let's watch that video one more time where Bill Gates becomes visibly
[00:00:16.778 --> 00:00:22.843]  In the video, Gates gets more excited than Beto O'Rourke did when he learned about the mass shooting at the El Paso Walmart.
[00:00:46.738 --> 00:00:48.059]  Why are these guys so happy?
[00:00:48.419 --> 00:00:51.380]  Because they know it's moving their agenda forward.
[00:00:51.600 --> 00:00:54.101]  With Beto O'Rourke, it's disarming the population.
[00:00:54.341 --> 00:01:02.264]  With Bill Gates, he's on record wanting to starve the third world, wanting to depopulate Africa, Latin America, and Asia.
[00:01:02.745 --> 00:01:13.669]  But now we're supposed to forget all that and say, oh, he's the new dictator of the world, the unelected leader that controls all the major health institutes of the planet,
[00:01:14.291 --> 00:01:16.679]  And the UN's World Health Organization.
[00:01:17.281 --> 00:01:18.582]  But it's not just that clip.
[00:01:19.202 --> 00:01:33.811]  In every interview he does, we have hundreds of these from the last few months, when he talks about forced inoculation, when he talks about we're never going to unlock the planet again, when he talks about depression, he gets very, very excited and very, very happy.
[00:01:34.171 --> 00:01:41.375]  But when he's talking about President Trump or America or the free market or success, he looks very, very upset.
[00:01:41.976 --> 00:01:45.918]  It's only when he talks about planetary collapse that he gets excited.
[00:01:46.328 --> 00:01:52.976]  Because he believes he's saving the Earth by artificially using this panic to shut down the world economy.
[00:01:53.737 --> 00:02:00.846]  Here are a few more clips of Bill Gates in the last few days with Trevor Noah, the supposed entertainment show, and the Financial Times of London.
[00:02:01.969 --> 00:02:17.818]  Also getting visually excited when he talks about financial collapse, when he talks about world government, when he talks about forced inoculation, and all 7 billion people having to be forcibly injected before the world could ever, quote, go back to normal.
[00:02:18.238 --> 00:02:19.939]  It's called holding us hostage.
[00:02:20.379 --> 00:02:47.926]  The ultimate solution, the only thing that really lets us go back completely to normal and feel good about sitting in a stadium with lots of other people is to create a vaccine and not just take care of our country but take that vaccine out to the global population and so that we have vast immunity and this thing, no matter what, isn't going to spread in large numbers.
[00:02:48.795 --> 00:02:54.977]  What do you think the right balance is between the trade-off of protecting people's lives and the economic hit?
[00:02:55.097 --> 00:03:02.039]  I mean, do you see a situation where the global economy could be virtually at a standstill for a year or even more?
[00:03:02.520 --> 00:03:05.621]  Well, it won't go to zero, but it will shrink.
[00:03:05.821 --> 00:03:11.643]  Global GDP is going to take probably the biggest hit ever.
[00:03:12.483 --> 00:03:14.724]  Maybe the Depression was worse or 1873, I don't know.
[00:03:16.900 --> 00:03:21.381]  In my lifetime, this will be the greatest economic hit.
[00:03:21.701 --> 00:03:22.982]  But you don't have a choice.
[00:03:23.042 --> 00:03:24.362]  People act like you have a choice.
[00:03:24.882 --> 00:03:30.484]  People don't feel like going to the stadium when they might get infected.
