[00:00:06.487 --> 00:00:07.307]  Thank you.
[00:00:07.367 --> 00:00:10.908]  Keep walking.
[00:00:13.288 --> 00:00:14.769]  This way.
[00:00:14.949 --> 00:00:17.109]  Get him, Alex!
[00:00:34.525 --> 00:00:39.110]  Alex, have you heard about the Pelosi Cooper?
[00:00:39.150 --> 00:00:42.574]  Have you heard about Pelosi Cooper?
[00:00:42.674 --> 00:00:46.759]  Inside of that building is the enemy of the American people.
[00:00:58.888 --> 00:00:59.910]  No, no, no, no.
[00:01:14.210 --> 00:01:23.672]  And the globalists and the corporate press and all of them being involved in this crime against America is going to completely and totally backfire on you criminals.
[00:01:23.972 --> 00:01:29.373]  You guys better hope Trump gets re-elected because I've looked at the Machiavellian chain reaction.
[00:01:29.893 --> 00:01:40.176]  If you TICOM agents and millions of corruption, the Democratic Party, actually execute this, you have sowed the seeds of your total destruction.
[00:01:40.676 --> 00:01:41.836]  And that's why America
[00:01:42.856 --> 00:01:43.377]  Is awake.
[00:01:43.597 --> 00:01:46.780]  That's why America is informed all over the nation.
[00:01:46.800 --> 00:01:48.461]  In Michigan.
[00:01:49.162 --> 00:01:50.183]  And in Pennsylvania.
[00:01:50.363 --> 00:01:52.925]  And everywhere else.
[00:01:52.965 --> 00:02:02.594]  Postal workers have gone to the FBI and said that they were ordered to backdate ballots, and to get rid of Trump ballots, and to engage in fraud.
[00:02:03.074 --> 00:02:04.996]  That's why they launched the COVID lockdown.
[00:02:05.296 --> 00:02:08.019]  It's why they cleared the mail-in ballots, so they could do this.
[00:02:08.991 --> 00:02:14.060]  And so if Trump won, they knew the number of ballots they had to produce to override that.
[00:02:15.425 --> 00:02:19.306]  And they have done that consistently, and America gets it!
[00:02:19.846 --> 00:02:23.407]  I'm the type of person that when America's in trouble, I'll admit it.
[00:02:23.987 --> 00:02:25.647]  So I don't put a good face on things.
[00:02:26.247 --> 00:02:36.770]  I want the Rockefeller Globalist Project, the New World Order to know, Bill Gates, the mainstream media, the establishment, Joe Biden, Kamala Harris and the Democrats to know this.
[00:02:37.430 --> 00:02:37.950]  You are frauds.
[00:02:44.588 --> 00:02:53.634]  The people of the world are awake to what you've done, and the fraud and the criminal actions you have committed are coming out!
[00:02:54.274 --> 00:03:08.583]  The fraud and the criminal actions you have committed are coming out, and the people see you stealing this election, they see you suppressing the population, and you've just gotten the real sleeping giant to wake up!
[00:03:08.823 --> 00:03:10.764]  So congratulations, scumbags!
[00:03:15.747 --> 00:03:19.368]  This is why Hitler thought he could roll on for a long time.
[00:03:19.708 --> 00:03:21.309]  Roll on for a long time.
[00:03:21.589 --> 00:03:25.269]  But sooner or later, you're going to get your political corruption cut down.
[00:03:26.810 --> 00:03:29.810]  Because sooner or later, God's going to cut you down.
[00:03:29.830 --> 00:03:31.691]  God's going to cut you down.
[00:03:32.011 --> 00:03:33.411]  God's going to cut you down.
[00:03:47.830 --> 00:03:49.050]  We're good to go.
[00:04:23.590 --> 00:04:33.958]  I want to salute you as the spark and the zeitgeist and the Promethean fire that is going to ignite populism and pull human freedom worldwide!
[00:04:36.140 --> 00:04:39.063]  You are the light in the dark of the night!
