[00:00:00.233 --> 00:00:00.314]  Oh.
[00:00:10.484 --> 00:00:12.725]  The year is 2020.
[00:00:12.725 --> 00:00:31.958]  Following several decades of systematically weakening the social, moral, and financial resilience of the American people, the global cabal has launched a series of unimaginable terrors that have rocked the foundation of Western civilization and has fractured the population of a once united country along increasingly irreconcilable lines.
[00:00:32.498 --> 00:00:44.291]  The nation finds herself on the precipice of all-out civil war, diving headlong towards economic ruin, and already suffocating under the dictatorship of biotechnocratic enslavement.
[00:00:44.291 --> 00:00:46.714]  The final takedown order has been issued.
[00:00:46.714 --> 00:00:48.016]  The direct attack has begun.
[00:00:49.190 --> 00:00:54.014]  America's greatest trial, and the battle for her survival, is underway.
[00:00:54.014 --> 00:00:59.599]  InfoWars Emergency Transmissions are now broadcasting live weeknights 7 to 9 p.m.
[00:00:59.599 --> 00:01:01.100]  Central Standard Time.
[00:01:01.100 --> 00:01:02.542]  Election Countdown.
[00:01:02.542 --> 00:01:06.765]  Taking America back on Band.Video and InfoWars.com.
[00:01:06.765 --> 00:01:09.908]  If you are receiving this transmission, you are the resistance.
[00:01:17.583 --> 00:01:21.108]  Alright, we can take this broadcast in several different ways today.
[00:01:21.108 --> 00:01:29.258]  We can get caught in all the minutiae of the incredible things that are unfolding, the hypocrisy, the gaslighting, the 1984 on parade.
[00:01:29.258 --> 00:01:36.387]  Or we can get into the big picture of what the globalists are planning next and how to stop them, and the philosophy of true leadership.
[00:01:37.927 --> 00:01:40.149]  But I think we're just going to do both today.
[00:01:40.149 --> 00:01:44.793]  We're going to do both here today, and this is going to be a very important Thursday transmission.
[00:01:44.793 --> 00:01:48.736]  Again, I want to thank you all for tuning in.
[00:01:48.736 --> 00:01:50.538]  It is Thursday, August 27th.
[00:01:50.538 --> 00:01:51.218]  The year is 2020.
[00:01:51.218 --> 00:01:55.902]  We are 67 days out from this incredibly important election.
[00:01:55.902 --> 00:01:59.225]  Election, most important election, really, not just in U.S.
[00:01:59.225 --> 00:02:01.527]  history, but world history.
[00:02:01.527 --> 00:02:03.649]  And the globalists themselves are saying that.
[00:02:03.649 --> 00:02:04.629]  They understand their whole
[00:02:05.530 --> 00:02:09.531]  Anti-human New World Order AI takeover is in trouble.
[00:02:09.531 --> 00:02:11.252]  Humanity's not been fully submitting.
[00:02:11.252 --> 00:02:18.194]  A lot of signs were showing a huge awakening and people getting back to rural lifestyle, back to being outdoors.
[00:02:18.194 --> 00:02:21.675]  Television viewing was peaking and starting to go down.
[00:02:21.675 --> 00:02:25.056]  The family was beginning to re-energize.
[00:02:25.056 --> 00:02:30.778]  Cultures were becoming more conservative again, more pro-human, and so now they're striking with everything they've got.
[00:02:30.778 --> 00:02:33.058]  But you talk about insane.
[00:02:33.058 --> 00:02:34.879]  The poor 17-year-old young man
[00:02:36.084 --> 00:02:45.287]  that went to stand in the power vacuum and try to be a medic and try to stop homes and businesses and government buildings being burned.
[00:02:45.287 --> 00:02:49.188]  It turns out the three people he shot, he shot in self-defense overwhelmingly.
[00:02:49.188 --> 00:02:59.032]  We have all the video, we have all the audio, we have all the witnesses, and all three men have serious criminal records.
[00:02:59.032 --> 00:03:01.152]  All three men.
[00:03:01.152 --> 00:03:02.413]  Joseph D. Rosenbaum,
[00:03:03.507 --> 00:03:20.812]  Who was saying, shoot me inward, shoot me inward, and reportedly trying to assault the young man was a convicted pedophile who raped a 12-year-old girl and spent a decade in prison.
[00:03:20.812 --> 00:03:26.914]  Joseph D. Rosenbaum.
[00:03:26.914 --> 00:03:29.155]  I'll tell you about the other two characters, but
[00:03:30.171 --> 00:03:35.033]  That's what all of this is, is a green light for the scum of the earth to go crazy.
[00:03:35.033 --> 00:03:37.054]  We'll put it on screen right now.
[00:03:37.054 --> 00:03:47.800]  The CNN chyron, like all the other MSNBC and CNN and ABC chyrons, fiery but mostly peaceful protest after police shooting.
[00:03:47.800 --> 00:03:53.083]  So, fiery but mostly peaceful protest after police shooting.
[00:03:53.083 --> 00:03:55.404]  Maybe we can put the image of the Hindenburg running into the
[00:03:56.516 --> 00:04:06.040]  Tower and blowing up and falling, or maybe Hiroshima or Nagasaki having atomic bombs dropped on them, and just say, you know, fiery, but mostly peaceful.
[00:04:06.040 --> 00:04:19.626]  We've got gunshots going on in the background, got a bunch of burning buildings, and they choose to get in front of that, and then tell you that it's peaceful.
[00:04:22.248 --> 00:04:23.429]  And you go, why do they keep doing that?
[00:04:23.429 --> 00:04:24.771]  It's about throwing your face.
[00:04:24.771 --> 00:04:33.119]  They've now come out with a Catholic diocese endorsement out of Boston for Biden, calling him pro-life and saying abortion is pro-life.
[00:04:34.226 --> 00:04:35.366]  Well, that's insulting.
[00:04:35.366 --> 00:04:37.547]  Well, they mean to insult your intelligence.
[00:04:37.547 --> 00:04:39.648]  So you just get used to being run over.
[00:04:39.648 --> 00:04:40.788]  But we're not getting used to it.
[00:04:40.788 --> 00:04:41.828]  We're not submitting.
[00:04:41.828 --> 00:04:44.049]  We're not adapting by becoming slaves.
[00:04:44.049 --> 00:04:47.210]  We're adapting by improvising and overcoming.
[00:04:47.210 --> 00:04:48.830]  I'm Alex Jones, your host.
[00:04:48.830 --> 00:04:50.051]  We are the pro-human future.
[00:04:50.051 --> 00:04:50.971]  You are the pro-human future.
[00:04:50.971 --> 00:04:52.171]  We are brothers and sisters.
[00:04:52.171 --> 00:04:53.712]  We are humanity.
[00:04:53.712 --> 00:04:54.632]  We are the resistance.
[00:04:59.397 --> 00:05:18.630]  Constantly, whether it's the New York Times, The Washington Post, or Howard Stern, you name it, they come out and they attack him full force saying, Jones claims civil war is coming, and financial collapse, and planetary lockdowns using viruses, and he tells people they should get off the grid and get prepared and have storable food if they can.
[00:05:19.210 --> 00:05:26.395]  And now everything I've warned people about is coming true, because it was all in the Rockefeller Foundation documents, like lockstep.
[00:05:26.395 --> 00:05:29.558]  This is the corporate planetary takeover.
[00:05:29.558 --> 00:05:35.823]  So yes, I stand by what I said 10 years ago, what I said a year ago, and what I said last week more than ever.
[00:05:35.823 --> 00:05:39.165]  Get your high-quality, storable foods at InfoWareStore.com.
[00:05:39.165 --> 00:05:42.868]  That's one of the key check marks of the check boxes you've got to have checked off.
[00:05:43.308 --> 00:05:47.552]  InfoWarsTore.com and their delivery is now one to two weeks.
[00:05:47.552 --> 00:05:50.155]  Get it before the next big rush comes.
[00:05:50.155 --> 00:05:56.161]  Take action, get the best storable food at the best price now at InfoWarsTore.com and it supports the InfoWar.
[00:06:12.697 --> 00:06:15.719]  The bombs have been placed.
[00:06:15.719 --> 00:06:18.781]  The fuses have been lit.
[00:06:18.781 --> 00:06:22.163]  The countdown has begun.
[00:06:22.163 --> 00:06:31.989]  It's now official out of the mouths of Hillary, Pelosi, Schumer, and all the rest of the globalist criminals.
[00:06:33.274 --> 00:06:35.055]  They intend to challenge the election.
[00:06:35.055 --> 00:06:37.817]  They know the numbers are going to lose by a huge landslide.
[00:06:37.817 --> 00:06:42.459]  And they're going to plunge the nation into civil war, a breakup of the country.
[00:06:42.459 --> 00:06:49.884]  And they're going to try to have major states secede and crown Biden the new king.
[00:06:49.884 --> 00:07:02.211]  They believe that that crisis will be so great that Trump will be blamed and forced from office because they'll have simultaneous riots and terrorist attacks and shootings, which will be called peaceful racial uprisings.
[00:07:03.479 --> 00:07:13.382]  Last night a black man committed suicide and his family said he committed suicide after they called the police on him.
[00:07:13.382 --> 00:07:19.204]  So he put a gun in his mouth and shot himself on video.
[00:07:19.204 --> 00:07:22.965]  And the police are to blame.
[00:07:22.965 --> 00:07:25.286]  If he slips on a banana peel, the police are to blame.
[00:07:27.782 --> 00:07:51.448]  And so now I guess we're only going to have police that are sadomasochists and want to be attacked and lied about because the media is behaving, I have the clips, that this is good what's happening in Minnesota, that people are called on this individual, he blows his head off, and then it's everybody else's fault.
[00:07:51.448 --> 00:07:55.889]  I mean when there's video of you shoving a gun in your mouth and pulling the trigger,
[00:07:59.249 --> 00:08:01.230]  It's everyone else's fault.
[00:08:01.230 --> 00:08:05.093]  And the police who've been called on him got there reportedly in about a minute.
[00:08:05.093 --> 00:08:06.174]  You didn't get there quick enough.
[00:08:06.174 --> 00:08:07.315]  It's your fault.
[00:08:07.315 --> 00:08:11.218]  We're gonna loot and burn and shoot a bunch of people.
[00:08:11.218 --> 00:08:17.462]  And a bunch of weird sickos are gonna come out of the woodwork like cockroaches and rats.
[00:08:17.462 --> 00:08:19.464]  And they're gonna burn, loot and kill like...
[00:08:20.871 --> 00:08:32.617]  Joseph D. Rosenbaum, the convicted rapist of a 12-year-old girl who spent a decade in prison and had a horrible prison record amongst the rest of his rap sheet.
