[00:00:06.602 --> 00:00:08.624]  It's Monday, October 12th.
[00:00:08.624 --> 00:00:10.707]  The year is 2020.
[00:00:10.707 --> 00:00:15.272]  We are 21 days out from the most historic election in world history.
[00:00:15.272 --> 00:00:20.537]  We are 100 days out, ladies and gentlemen, until the inauguration.
[00:00:22.077 --> 00:00:23.358]  I am your host, Alex Jones.
[00:00:23.358 --> 00:00:26.500]  We're going to be live here for the next four hours.
[00:00:26.500 --> 00:00:34.485]  This is the most demonized, most attacked, most lied about transmission in the world by the forces of evil.
[00:00:34.485 --> 00:00:39.968]  The forces of good and pro-human justice love our broadcast and you keep us on the air.
[00:00:39.968 --> 00:00:40.769]  I salute you all.
[00:00:42.059 --> 00:00:44.922]  You know, I've got so much news to cover, so many angles.
[00:00:44.922 --> 00:00:45.722]  I want to take calls.
[00:00:45.722 --> 00:00:47.404]  I've got a bunch of special guests.
[00:00:47.404 --> 00:00:49.406]  I'll tell you about that next segment.
[00:00:49.406 --> 00:00:52.528]  But I really think we should just open up the transmission with this.
[00:00:52.528 --> 00:00:58.814]  Because when you see a semantical headline, what's really behind that headline?
[00:00:58.814 --> 00:01:06.001]  We could talk for several hours just about this one headline of a video clip I'm about to play.
[00:01:06.001 --> 00:01:08.183]  Bill Maher on Friday night with his program.
[00:01:10.285 --> 00:01:15.588]  Confronts Adam Schiff about mass exodus from California.
[00:01:15.588 --> 00:01:19.469]  But it's not a mass exodus from California.
[00:01:19.469 --> 00:01:25.913]  People aren't mass exiting the topography or the beaches or the climate.
[00:01:25.913 --> 00:01:32.216]  There's an exodus from leftist, globalist, chi-com looting and control.
[00:01:32.216 --> 00:01:35.357]  That's what people are engaged in.
[00:01:35.357 --> 00:01:36.958]  Is an exodus away from the left.
[00:01:38.373 --> 00:01:42.797]  And even Obama and Biden say, oh, too many people are fleeing the big cities.
[00:01:42.797 --> 00:01:45.319]  Brown, black, white, it doesn't matter.
[00:01:45.319 --> 00:01:46.120]  It's racist.
[00:01:46.120 --> 00:01:56.730]  We need to have Agenda 21 and go out and take over the local towns and cities and the smaller hamlets and make them go under our control.
[00:01:56.730 --> 00:02:01.374]  This is mismanagement by design to bankrupt and annihilate the country.
[00:02:01.374 --> 00:02:03.716]  Communist China is the main partner of the globalists.
[00:02:04.741 --> 00:02:07.382]  They write the script on how Americans are treated.
[00:02:07.382 --> 00:02:13.944]  And as Americans realize this, they're not just going to leave California and take their values with them.
[00:02:13.944 --> 00:02:15.344]  Some will.
[00:02:15.344 --> 00:02:20.346]  But the majority of Californians and others I'm talking to are fully rejecting the values.
[00:02:20.346 --> 00:02:24.167]  And I can tell you, I don't live in the super elite part of Austin.
[00:02:24.167 --> 00:02:25.948]  I live in a nice area.
[00:02:25.948 --> 00:02:29.969]  And I just see TV stars, movie stars, famous people.
[00:02:30.953 --> 00:02:36.654]  Politicians, inventors, well-known individuals everywhere now.
[00:02:36.654 --> 00:02:45.336]  And they all say everyone they know is leaving California, New York, Virginia, Michigan.
[00:02:45.336 --> 00:02:47.336]  But there's a lot of, again, common folks as well.
[00:02:47.336 --> 00:02:54.157]  So there's a massive, massive exodus again, just like we fled Europe, some of our ancestors, to get away from tyranny.
[00:02:54.157 --> 00:02:56.658]  We recreated our own tyranny here, but lesser so.
[00:02:57.298 --> 00:03:03.963]  And so there's always that exodus out of Pharaoh's Egypt, that exodus out of Sodom and Gomorrah, that exodus out of California.
[00:03:03.963 --> 00:03:11.287]  But it's an exodus away from the spirit of tyranny and oppression and vampirism and cultural enslavement.
[00:03:11.287 --> 00:03:15.490]  But here's Schiff trying to deal with something that he can't deal with.
[00:03:15.490 --> 00:03:17.852]  And he even hesitates and says, well, we shouldn't make it too onerous.
[00:03:17.852 --> 00:03:20.113]  I mean, we should make it a good place to have business.
[00:03:20.113 --> 00:03:23.636]  Here is Mr. Schiff of Russiagate Fraud treading water.
[00:03:25.014 --> 00:03:26.796]  Look, you're a congressman from California.
[00:03:26.796 --> 00:03:31.021]  I know some of this is not in your domain, because you go to Washington and work on national issues.
[00:03:31.021 --> 00:03:33.724]  But I live in California, so I'm gonna bitch a little bit, can I?
[00:03:34.755 --> 00:03:39.916]  Because, you know, I mean, there is an exodus.
[00:03:39.916 --> 00:03:43.257]  California businesses are leaving the state in droves.
[00:03:43.257 --> 00:03:55.460]  In just 2018 and 19, which were economic boom years, 765 commercial facilities left, 13,000 businesses left between 2009 and 2016.
[00:03:55.460 --> 00:03:56.360]  Look, I came out here in 1983.
[00:03:56.360 --> 00:03:58.901]  I found paradise.
[00:03:58.901 --> 00:03:59.881]  I love California.
[00:03:59.881 --> 00:04:01.702]  I do.
[00:04:01.702 --> 00:04:02.382]  I don't want to leave.
[00:04:05.619 --> 00:04:09.942]  But I feel like I'm living in Italy in the 70s or something.
[00:04:09.942 --> 00:04:16.908]  Super high taxes, potholes in the road, I don't know what I'm getting for my super high taxes.
[00:04:16.908 --> 00:04:26.095]  And this talk of exodus, you know, I tell you, people talk about this a lot now.
[00:04:26.095 --> 00:04:27.056]  And people are leaving.
[00:04:27.056 --> 00:04:31.500]  Like in my industry, Joe Rogan left, Ben Shapiro, sorry ladies.
[00:04:35.905 --> 00:04:38.988]  Elon Musk talks about leaving.
[00:04:38.988 --> 00:04:42.190]  What do you say about that, as a California representative?
[00:04:42.190 --> 00:04:46.454]  Well, I think we have to make every effort to make this a more business-friendly state.
[00:04:46.454 --> 00:04:54.741]  And I don't think there's anything incompatible with being progressive and also want to make sure that this is a place that businesses can... He wants to bankrupt everything.
[00:04:54.741 --> 00:04:55.382]  He's a monster demon.
[00:05:08.557 --> 00:05:11.900]  You know, the AIDS pandemic and so many other things.
[00:05:11.900 --> 00:05:15.703]  And I take my orders from Bill Gates.
[00:05:15.703 --> 00:05:16.544]  Dr. Bill Gates.
[00:05:16.544 --> 00:05:21.708]  I mean, he's not a doctor, but he controls everything you do.
[00:05:21.708 --> 00:05:25.371]  And he now says you're going to take the shots.
[00:05:25.371 --> 00:05:29.294]  And of course, in England, they are now saying what I told you.
[00:05:29.294 --> 00:05:31.056]  You will not be allowed to travel.
[00:05:31.056 --> 00:05:35.179]  Leave your home until you take all the shots.
[00:05:35.179 --> 00:05:36.580]  Dr. Gates, I mean Bill.
[00:05:37.361 --> 00:05:44.289]  Gates, your owner, your master, says you have to take four to five COVID shots a year.
[00:05:44.289 --> 00:05:50.477]  For adult, two for baby, and baby much more manageable.
[00:05:50.477 --> 00:05:53.901]  Just like Bill Gates give you polio and vaccine.
[00:05:53.901 --> 00:05:57.065]  I'm Dr. Fauci, reminding you that we own
[00:06:03.832 --> 00:06:07.513]  When I grow up, I'm going to break the will of the globalists, and I want to launch the truth into the future.
[00:06:07.513 --> 00:06:24.038]  Now, take me on to the Central Texas Match in the heart of the Wiffle Springs.
[00:06:24.038 --> 00:06:24.558]  Broadcasting Worldwide.
[00:06:28.231 --> 00:06:34.679]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:06:34.679 --> 00:06:37.001]  You're listening to Alex Jones.
[00:06:43.709 --> 00:06:49.110]  Alright, let me give the listeners some really key headlines here as we launch this Monday transmission.
[00:06:49.110 --> 00:06:50.230]  21 days out from the election.
[00:06:50.230 --> 00:06:54.351]  100 days out from the inauguration, which is the real date we've got to look at.
[00:06:54.351 --> 00:06:59.232]  The Deep State Chi-Combat Democrats said they're going to contest with the fraudulent ballots they put out.
[00:06:59.232 --> 00:07:01.212]  By design, we've got big developments on that front.
[00:07:01.212 --> 00:07:09.174]  But first off, there's good news happening internationally, good news happening nationally, and good news happening at InfoWars.
[00:07:10.595 --> 00:07:15.973]  I never cry wolf to you, but a lot of times I can't tell you about the attacks we're under for a lot of reasons you can probably figure out.
[00:07:17.864 --> 00:07:24.648]  But you've really come through and supported us with your prayer, your word of mouth, and your financial support, while getting great products at the same time.
[00:07:24.648 --> 00:07:31.232]  But we've had, in the last week, blessing after blessing happen, and all glory goes to God and His Son, Jesus Christ.
[00:07:31.232 --> 00:07:41.499]  But I just want to thank you all for your prayers and your support, because it's been really, really rough behind the scenes, and really, really dark, and really, really, we've been persecuted terribly.
[00:07:42.119 --> 00:07:46.981]  But we stayed faithful to God and to you supporting us.
[00:07:46.981 --> 00:07:49.442]  And we've just come through incredible times together.
[00:07:49.442 --> 00:07:53.324]  And someday I'll be able to tell you about all this, but now is not the time.
[00:07:53.324 --> 00:07:55.445]  21 days out from the election.
[00:07:55.445 --> 00:07:58.046]  But it's been a fight.
[00:07:58.046 --> 00:08:00.707]  And you see how the enemy comes after people.
[00:08:00.707 --> 00:08:02.328]  You see what they do to folks.
[00:08:02.328 --> 00:08:04.689]  So I'm sure you can figure out what's going on behind the scenes.
[00:08:04.689 --> 00:08:06.430]  But I'm not a victim.
[00:08:06.430 --> 00:08:07.790]  I expect this.
[00:08:07.790 --> 00:08:10.912]  My God, if I walked out in the parking lot and they walked up and shot me in the head, I would just...
[00:08:12.068 --> 00:08:12.609]  Expect that.
[00:08:12.609 --> 00:08:15.731]  If I didn't get the draw on them.
[00:08:15.731 --> 00:08:17.633]  I just expect to be killed, quite frankly.
[00:08:17.633 --> 00:08:19.455]  That's worth it for this mission.
[00:08:19.455 --> 00:08:22.337]  I mean, I decided this because these people are evil, I've got to be opposed.
[00:08:22.337 --> 00:08:33.767]  So, all the stuff they've done has not been fun behind the scenes, but it's been necessary, and so I've actually kind of enjoyed it, other than the fact that
[00:08:35.435 --> 00:08:40.299]  You know, I mean, I wish it wasn't going on, but I enjoy the fact that we've caused the globalists so many problems.
[00:08:40.299 --> 00:08:46.945]  They've had to do the things they've done to us, but it's really the fight and standing up that I love and doing the right thing.
[00:08:46.945 --> 00:08:50.347]  And so I've not enjoyed the persecution for that reason.
[00:08:50.347 --> 00:08:52.910]  And I just want to thank you all for keeping us in the fight.
[00:08:52.910 --> 00:08:54.071]  You are the info war.
[00:08:54.071 --> 00:08:58.054]  And when I say that to you, I'm not just saying that to patronize you and pat on the head.
[00:09:01.786 --> 00:09:03.067]  You've changed the world.
[00:09:03.067 --> 00:09:13.111]  You are the cadre of humans on this planet that have backed the most truthful, most accurate, most aggressive transmission out there, and I salute you all.
[00:09:13.111 --> 00:09:18.413]  Okay, let's get into it right now.
[00:09:18.413 --> 00:09:23.176]  Another incredible big piece of news that I can actually give you the details on.
[00:09:23.176 --> 00:09:27.958]  Our personal stuff to be revealed at a later point, because I think it'll be an important historical marker, but now is not the time.
[00:09:27.958 --> 00:09:29.178]  This is the time.
[00:09:29.178 --> 00:09:30.399]  Look at these headlines from yesterday.
