[00:00:46.659 --> 00:00:47.123]  Yeah!
[00:01:42.408 --> 00:01:46.410]  1776, I love you.
[00:01:46.430 --> 00:01:46.410]  1776!
[00:01:46.870 --> 00:01:57.573]  The globalists, ladies and gentlemen, are making their move and they're stealing the election in front of everybody.
[00:01:58.554 --> 00:02:03.035]  But this is a legendary moment because they are only awakening humanity.
[00:02:03.976 --> 00:02:09.918]  America is awake and America is rising!
[00:02:22.616 --> 00:02:27.137]  The answer to the Chai Kong globalist takeover of this country is 1776.
[00:02:27.877 --> 00:02:39.520]  The world knows in communist China, Xi Jinping is celebrating that they believe that they have put Biden in power.
[00:02:40.080 --> 00:02:44.081]  They have publicly stolen Pennsylvania.
[00:02:44.201 --> 00:02:47.282]  They have publicly stolen Georgia.
[00:02:48.317 --> 00:02:53.043]  But we're going to take it back because under law, they have broken the law!
[00:02:53.824 --> 00:02:59.250]  John Paul Jones' ship was fighting a ship three times the size back in the Revolutionary War.
[00:02:59.470 --> 00:03:00.832]  They said, are you ready to surrender?
[00:03:01.112 --> 00:03:02.334]  And he said, surrender?
[00:03:02.995 --> 00:03:04.797]  I have only begun to fight!
[00:03:07.415 --> 00:03:09.896]  We have only begun to fight!
[00:03:10.377 --> 00:03:12.298]  We have only begun to fight!
[00:03:12.918 --> 00:03:14.399]  Think about where we were!
[00:03:27.890 --> 00:03:31.615]  Just 20 years ago, nobody knew about globalism or the New World Order.
[00:03:32.016 --> 00:03:40.608]  Now globalism's in trouble, and it's lost everything it's got to steal this election, and it's brought itself out in the open!
[00:03:40.748 --> 00:03:42.351]  GG Pig and Bill Gates!
[00:03:43.104 --> 00:03:47.666]  And the New World Order, they're the ones that are in trouble!
[00:03:47.806 --> 00:03:51.027]  And they're the ones that are going down!
[00:03:51.307 --> 00:03:57.829]  So I want to just come out here and salute the people of Arizona and the people of America.
[00:03:57.869 --> 00:04:05.851]  Black, white, Hispanic, all of y'all, all Americans coming together with red blood for freedom and justice!
