[00:00:02.431 --> 00:00:04.673]  January 21st, 2020.
[00:00:28.573 --> 00:00:32.837]  I am your host, Alex Jones, reporting from the ground in D.C.
[00:00:32.837 --> 00:00:41.725]  David Knight, the host of the David Knight Show, is about to host the Alex Jones broadcast coming up on the other side of this break.
[00:00:41.725 --> 00:00:47.470]  But I just wanted to state now, before I report to you at the bottom of the hour live from the U.S.
[00:00:47.470 --> 00:00:51.915]  Capitol, that we are witnessing the entire globalist program
[00:00:53.766 --> 00:01:03.918]  Real from the fact that their entire operation was based on stealth and denying the very existence of their private anti-human corporate world government.
[00:01:03.918 --> 00:01:12.968]  Once their stealth is exposed, once their camouflage is removed, it is the beginning of the end for their system.
[00:01:14.212 --> 00:01:16.835]  They believe their only hope is divide and conquer.
[00:01:16.835 --> 00:01:19.878]  To divide the populations of the world against each other.
[00:01:19.878 --> 00:01:27.367]  Now the problem is when they divide and brainwash the third world population against the West and weaponize them, they become a real threat.
[00:01:27.367 --> 00:01:30.730]  Even though we love and care about those fellow humans.
[00:01:30.730 --> 00:01:31.351]  So there's a real...
[00:01:32.352 --> 00:01:32.532]  I think?
[00:01:56.135 --> 00:02:07.403]  Freedom-based Renaissance Western Christian model is so superior, people from the entire globe will end up wanting to adopt it instead of the globalist, anti-human, authoritarian model.
[00:02:07.403 --> 00:02:19.532]  So, we're going to be here in D.C., myself, Owen Schroyer, Savannah Hernandez and others, Harrison Smith, Rob Due, rotating in and out for the next two weeks of the historic trial.
[00:02:20.518 --> 00:02:21.058]  of the president.
[00:02:47.762 --> 00:02:49.343]  We'll lay that out coming up.
[00:02:49.343 --> 00:02:58.026]  But an important point, an important area to get to, is the fact that when the public shows up and is aware of what's going on, the globalists are powerless.
[00:02:58.026 --> 00:03:01.807]  Like we just saw in Virginia, now that blew up in Governor Northam's face.
[00:03:01.807 --> 00:03:15.813]  Now he says that all the militarization and all the harassment and all the choking down the people into tiny spaces stopped there from being a crisis, when every expert we've talked to said that was tailor-made to cause a stampede or violence or a disaster.
[00:03:16.786 --> 00:03:19.490]  But it didn't work by the grace of God.
[00:03:19.490 --> 00:03:21.292]  Your prayers, everybody's action.
[00:03:21.292 --> 00:03:24.477]  But again, it shows we've got to have action on the ground.
[00:03:24.477 --> 00:03:25.699]  There's a strange phenomenon.
[00:03:25.699 --> 00:03:28.182]  The more viewers and more traffic we have to Infowars.
[00:03:29.252 --> 00:03:30.072]  And Banda Video.
[00:03:48.642 --> 00:04:02.851]  Especially those of you that have never done a purchase, step to the plate, get some great Wake Up America coffee, get some high quality fish oil, get some great good halogen X2, get some great nootropic brain force, get some high quality fluoride free toothpaste, super blue or super silver.
[00:04:02.851 --> 00:04:03.952]  They're all there right now.
[00:04:03.952 --> 00:04:10.836]  And the good news is, X2, the deep earth crystal iodine, the counter to fluoride, you have to have it to live.
[00:04:10.836 --> 00:04:11.897]  And this is the best form of it.
[00:04:12.970 --> 00:04:13.190]  Have a
[00:04:34.720 --> 00:04:35.301]  Thank you so much.
[00:04:59.355 --> 00:05:03.017]  It's time to take a new, healthier approach to one of your most basic needs.
[00:05:03.017 --> 00:05:10.081]  The Alexa Pure Pro water filtration system is the same water filter that Alex and the Infowars crew use every day for the purest water possible.
[00:05:10.081 --> 00:05:14.064]  You can start cleaning the toxins from your water for clean, healthy, and delicious drinking water.
[00:05:14.064 --> 00:05:21.048]  Perfect for preppers or anyone concerned with a healthier source of water, the Alexa Pure Pro can remove up to 99.9% of impurities.
[00:05:21.048 --> 00:05:25.330]  This groundbreaking, gravity-fed water filtration system is like no other.
[00:05:25.330 --> 00:05:28.232]  Make sure your water is up to your standards today with the Alexa Pure Pro.
[00:05:28.797 --> 00:05:33.578]  There's a new way to show your support for the InfoWars crew at InfoWarsStore.com.
[00:05:33.578 --> 00:05:38.279]  Now when you buy your favorite products, you can add a donation right at the checkout.
[00:05:38.279 --> 00:05:43.761]  Simply open the donation option and either select a preset amount or enter a custom amount.
[00:05:43.761 --> 00:05:49.022]  With this brand new donation module, donating to support the InfoWars crew has never been easier.
[00:05:49.022 --> 00:05:50.482]  You ask, we deliver.
[00:05:50.482 --> 00:05:54.063]  This easy option gives you the means to donate directly to the cause.
[00:05:54.063 --> 00:05:55.943]  Remember, we're all part of the fight.
[00:05:55.943 --> 00:05:58.284]  InfoWars, brought to you by you.
[00:06:03.638 --> 00:06:06.051]  Waging war on corruption.
[00:06:06.051 --> 00:06:07.397]  It's Alex Jones.
[00:06:19.449 --> 00:06:22.431]  It's Tuesday, January the 21st, 2020.
[00:06:22.431 --> 00:06:23.972]  I'm David Knight, your host.
[00:06:23.972 --> 00:06:26.894]  We're going to be taking a look at what's going on in Washington.
[00:06:26.894 --> 00:06:39.182]  The impeachment show is ramping up and this morning I saw on C-SPAN, I saw Jerry Nadler saying
[00:06:40.345 --> 00:06:46.166]  There isn't any trial in America where you're not allowed to call witnesses, and so we should be allowed to call witnesses.
[00:06:46.166 --> 00:06:50.387]  And, you know, I've got to say, they impeached President Trump without any witnesses.
[00:06:50.387 --> 00:06:52.667]  Nobody saw anything.
[00:06:52.667 --> 00:06:58.509]  We had a lot of testimony from people who weren't there, who didn't hear anything, who didn't have any factual knowledge of it.
[00:06:58.509 --> 00:07:07.430]  But look, I don't know what country Jerry Nadler is talking about when he says you're not allowed to withhold witnesses in a trial.
[00:07:07.430 --> 00:07:09.051]  Everybody has that in a trial.
[00:07:09.051 --> 00:07:09.851]  I have covered
[00:07:11.386 --> 00:07:18.929]  One trial after the other by our corrupt Department of Justice, where they did not allow people to call witnesses in their defense.
[00:07:18.929 --> 00:07:22.410]  Where they hid, actively hid, exculpatory evidence.
[00:07:22.410 --> 00:07:30.093]  And you've got a situation going on right now in Washington State, where they're trying to remove a popular six-term Republican legislator there, Matt Shea.
[00:07:30.093 --> 00:07:30.433]  Why?
[00:07:30.433 --> 00:07:34.135]  Because they labeled him a domestic terrorist because he supports gun rights.
[00:07:35.000 --> 00:07:36.602]  And he's a Christian.
[00:07:36.602 --> 00:07:38.825]  And it's, quite frankly, payback.
[00:07:38.825 --> 00:07:46.935]  Because he made sure that exculpatory evidence from a BLM Bureau of Land Management whistleblower
[00:07:47.870 --> 00:07:54.553]  was finally brought to light as the corrupt Department of Justice was covering up that evidence.
[00:07:54.553 --> 00:07:55.674]  So we're going to be talking about that.
[00:07:55.674 --> 00:08:04.238]  Alex Jones is going to be joining us later in this hour and we'll be talking about what's going on in Washington live as this spectacle begins.
[00:08:04.238 --> 00:08:07.039]  We'll give you some context for that leading up to it as well.
[00:08:07.039 --> 00:08:10.020]  And we want to talk about the aftermath of what happened yesterday.
[00:08:10.020 --> 00:08:10.941]  You know it's amazing
[00:08:11.761 --> 00:08:18.489]  Uh, how the media has suddenly, some of them, not all of them, but some of them have changed their tune quite quickly.
[00:08:18.489 --> 00:08:24.657]  We have USA Today has an article, says, a civil rights march of my life, quote unquote.
[00:08:24.657 --> 00:08:29.182]  Thousands of pro-gun protesters, many of them heavily armed, rally peacefully in Richmond.
[00:08:29.182 --> 00:08:30.644]  Now that's the headline right now.
[00:08:32.268 --> 00:08:36.812]  That was updated at 4.56 p.m.
[00:08:36.812 --> 00:08:37.753]  Eastern Time yesterday.
[00:08:37.753 --> 00:08:45.500]  So five o'clock yesterday they updated that and talked about it being a civil rights march, peaceful, even though people were heavily armed.
[00:08:45.500 --> 00:08:49.904]  But if you click, and I saved this as a screenshot.
[00:08:49.904 --> 00:08:51.385]  Guys, zoom in on that URL.
[00:08:52.506 --> 00:08:54.107]  And show the URL.
[00:08:54.107 --> 00:09:02.630]  The URL of that actually says, Virginia gun rally protest draws national militias.
[00:09:02.630 --> 00:09:03.830]  Fear of violence.
[00:09:03.830 --> 00:09:05.651]  That was the original headline.
