[00:00:12.403 --> 00:00:14.684]  Wednesday, February 12, 2020.
[00:00:14.684 --> 00:00:20.225]  There can no longer be any doubt.
[00:00:20.225 --> 00:00:39.611]  President Trump isn't waiting until he wins the election in 264 days to launch not the red wave, but the red storm now engulfing the swamp in D.C.
[00:00:41.127 --> 00:00:57.055]  Hundreds and hundreds and hundreds of globalist operatives inside the State Department and the Justice Department and other agencies are being purged as we speak, thank God.
[00:00:57.055 --> 00:01:05.539]  Here we are on this Wednesday worldwide transmission and amazing things are happening.
[00:01:05.539 --> 00:01:08.321]  Trump is now finally realizing that
[00:01:09.548 --> 00:01:23.953]  He can't appease the bureaucracy, that the bureaucracy is more an enemy than the shycomps, the people that have burrowed in and taken control of the republic, who believe that they own the American people.
[00:01:23.953 --> 00:01:37.618]  Their arrogance is now falling away and they are in a panicked mode because they've committed massive crimes in the last four and a half years, trying to keep Trump out of office, then trying to persecute his most stalwart supporters.
[00:01:39.977 --> 00:01:51.082]  And now they have the fear of God in their eyes, and that is a good thing.
[00:01:51.082 --> 00:01:54.743]  Here's what President Trump had to say yesterday after U.S.
[00:01:54.743 --> 00:02:01.686]  attorneys resigned because they want to give Roger Stone a record-long sentence.
[00:02:01.686 --> 00:02:05.608]  And of course, you've got the head prosecutor who thought she was going to get a job at
[00:02:06.533 --> 00:02:11.916]  Treasury, who then resigned only to learn that that nomination was withdrawn.
[00:02:11.916 --> 00:02:14.578]  Here's President Trump talking about Roger Stone yesterday afternoon.
[00:02:18.210 --> 00:02:22.854]  Yeah, I thought it was ridiculous.
[00:02:22.854 --> 00:02:24.055]  No, I didn't speak to the judge.
[00:02:24.055 --> 00:02:25.536]  I'd be able to do it if I wanted.
[00:02:25.536 --> 00:02:27.538]  I have the absolute right to do it.
[00:02:27.538 --> 00:02:32.362]  I stay out of things to a degree that people wouldn't believe, but I didn't speak to him.
[00:02:32.362 --> 00:02:35.745]  I thought the recommendation was ridiculous.
[00:02:35.745 --> 00:02:37.886]  I thought the whole prosecution was ridiculous.
[00:02:38.867 --> 00:02:43.129]  And I look at others that haven't been prosecuted, or I don't know where it is now.
[00:02:43.129 --> 00:02:47.772]  But when you see that, I thought it was an insult to our country, and it shouldn't happen.
[00:02:47.772 --> 00:02:50.153]  And we'll see what goes on there.
[00:02:50.153 --> 00:02:56.376]  But that was a horrible aberration.
[00:02:56.376 --> 00:03:01.979]  These are the, I guess, the same Mueller people that put everybody through hell.
[00:03:01.979 --> 00:03:04.400]  And I think it's a disgrace.
[00:03:04.400 --> 00:03:06.381]  No, I have not been involved with it at all.
[00:03:08.285 --> 00:03:09.606]  I don't want to talk about that now.
[00:03:09.606 --> 00:03:12.267]  I think it was a disgraceful recommendation.
[00:03:12.267 --> 00:03:14.189]  They ought to be ashamed of themselves.
[00:03:14.189 --> 00:03:23.194]  What they've done to General Flynn, what they've done to others, and then the really guilty ones, people that have committed major crimes are getting away with it.
[00:03:23.194 --> 00:03:26.356]  I think it's a disgrace.
[00:03:26.356 --> 00:03:33.741]  President Trump is going to pardon Roger Stone after the conviction.
[00:03:34.858 --> 00:03:37.460]  Nancy Pelosi's trying to say that's illegal now.
[00:03:37.460 --> 00:03:39.801]  Even though it's right there in the Constitution.
[00:03:39.801 --> 00:03:47.346]  Hell, Bill Clinton pardoned cocaine dealers and child traffickers and... But all that's okay.
[00:03:47.346 --> 00:03:49.947]  Trump's bad for trying to investigate corruption.
[00:03:49.947 --> 00:03:51.528]  America sees right through it.
[00:03:51.528 --> 00:03:53.449]  Really positive things are happening.
[00:03:53.449 --> 00:03:57.832]  Jesse Smollett, as he's called.
[00:03:57.832 --> 00:03:59.493]  Mr. Smollett, the mullet.
[00:04:01.075 --> 00:04:03.956]  Had the nerve to sue the police department for wrongful prosecution?
[00:04:03.956 --> 00:04:08.417]  Well, he's been indicted on a whole bunch of counts for the false flag operation.
[00:04:08.417 --> 00:04:10.637]  He got caught red-handed running.
[00:04:10.637 --> 00:04:12.197]  That's all coming up.
[00:04:12.197 --> 00:04:18.078]  Jesse Smollett indicted in Chicago over race attack hoax.
[00:04:18.078 --> 00:04:23.160]  Oh, but you're not supposed to question these big events, but we do, and most of the time they're staged.
[00:04:23.160 --> 00:04:25.320]  Just like ABC saying Trump allowed.
[00:04:27.708 --> 00:04:34.911]  Turks to blow up a Turkish city and that there were 5,000 foot red clouds.
[00:04:34.911 --> 00:04:35.631]  Mushroom clouds.
[00:04:35.631 --> 00:04:36.912]  None of it was true.
[00:04:36.912 --> 00:04:40.393]  Knob Creek machine gun shootout.
[00:04:40.393 --> 00:04:41.674]  And they do damn well what they were doing.
[00:04:41.674 --> 00:04:44.795]  This group of criminals' time is coming to a close.
[00:04:44.795 --> 00:04:46.456]  But they've been so confident they'd win.
[00:04:46.456 --> 00:04:49.497]  What are they going to do now as they're routed?
[00:04:49.497 --> 00:04:53.439]  The collapse of the globalist system is upon us.
[00:04:53.439 --> 00:04:55.480]  The problem is it may bring down the economy with it.
[00:04:58.706 --> 00:05:08.794]  It is I, the leader of COBRA, here for a message to President Trump, the American people, and Alex Jones of InfoWars.
[00:05:08.794 --> 00:05:14.779]  Our operations with our partners, the Communist Chinese, have bought control of your media.
[00:05:14.779 --> 00:05:16.621]  But it's true.
[00:05:16.621 --> 00:05:19.803]  Your people are beginning to awaken.
[00:05:19.803 --> 00:05:23.066]  That's why COBRA is launching operations
[00:05:23.346 --> 00:05:23.706]  We're good.
[00:05:41.556 --> 00:05:56.469]  You see, when you expose our false flags and fake media, I will carry out attacks, and then blame you, like we've done with Alex Jones, blaming him for mass shootings we committed!
[00:05:56.469 --> 00:05:57.009]  Ha ha!
[00:05:57.009 --> 00:05:57.450]  Hail Cobra!
[00:06:15.080 --> 00:06:20.125]  Well, I think this is a time to open the phones up throughout the entire four hours of my broadcast.
[00:06:20.125 --> 00:06:32.056]  I am your host, Alex Jones, and we are 264 days out from the election on this Wednesday, February 12th, 2020 transmission.
[00:06:32.056 --> 00:06:32.936]  Trump has done it.
[00:06:32.936 --> 00:06:39.402]  He's launched a massive legal lawful purge of deep staters in the government.
[00:06:40.379 --> 00:06:41.660]  It's true, Trump is an outsider.
[00:06:41.660 --> 00:06:43.721]  He'd never been elected to even dog catcher.
[00:06:43.721 --> 00:06:50.884]  He didn't realize it's customary to remove the political apparatus of the party that was in power when you get in power.
[00:06:50.884 --> 00:07:02.930]  Even if you're in the same party and you get into office, you remove the adjuncts that were working even for your own party usually because they are loyal to who put them in power, not even the party itself or the people.
[00:07:03.823 --> 00:07:11.685]  And so Trump had a major, major, major blunder when he did not remove those individuals.
[00:07:11.685 --> 00:07:18.666]  And so they were working against him the whole time as Obama and Hillary and neocon deep state moles.
[00:07:18.666 --> 00:07:21.587]  So now Trump says he's firing all never droppers.
[00:07:21.587 --> 00:07:23.547]  Excellent.
[00:07:23.547 --> 00:07:27.088]  And he is going to fire all anyone's work for Soros.
[00:07:27.088 --> 00:07:28.088]  Excellent.
[00:07:28.088 --> 00:07:29.528]  And anyone that's worked for the Clintons.
[00:07:29.528 --> 00:07:30.209]  Excellent.
[00:07:30.209 --> 00:07:30.869]  Excellent.
[00:07:30.869 --> 00:07:31.569]  Excellent.
[00:07:31.569 --> 00:07:31.969]  Excellent.
[00:07:32.981 --> 00:07:34.401]  And it's now hundreds and hundreds.
[00:07:34.401 --> 00:07:37.162]  It was 70 yesterday, now it's in the hundreds and hundreds.
[00:07:37.162 --> 00:07:41.803]  People are just being told, uh, bye-bye, you don't have a job anymore.
[00:07:41.803 --> 00:07:49.344]  Or they're being reassigned to the North Pole.
[00:07:49.344 --> 00:07:55.426]  And there needs to be a lot more of this, and Trump signaled that he's going to be pardoning Roger Stone.
[00:07:55.426 --> 00:07:57.066]  Pelosi says that she thinks it's illegal.
[00:07:58.533 --> 00:08:06.876]  That the DOJ, who does standardize and have recommendations from the top on what should be reasonable sentencing.
[00:08:06.876 --> 00:08:13.298]  Trump's whole justice reform movement is about having nonviolent people not serve as much time.
[00:08:13.298 --> 00:08:25.582]  So the idea that he can't, through the Justice Department, say, I want you to not give this person a longer sentence than you normally would in the sentencing guidelines, is 100% in his purview.
[00:08:27.742 --> 00:08:49.767]  Remember whenever he said three years ago, oh, there's seven countries that don't even have passport offices, don't even have airports, mainly, but the emoms issue these, and then we're supposed to accept these passports that are off the back of a cereal box, maybe, or out of a Cracker Jack box, and the media went, this is a power grab dictatorship.
[00:08:49.767 --> 00:08:51.387]  Of course, the Supreme Court ruled he could do that.
[00:08:53.248 --> 00:08:56.129]  It's written in the Constitution that that's the President's purview.
[00:08:56.129 --> 00:08:57.689]  That's what the Chief Executive does.
[00:08:57.689 --> 00:08:59.590]  He's over the borders.
[00:08:59.590 --> 00:09:09.412]  But they tried to claim it was preposterous, and all these other federal courts, till they got to the Supreme Court, said he didn't have that power.
[00:09:09.412 --> 00:09:13.153]  How outrageous is that?
[00:09:13.153 --> 00:09:20.034]  Two months in jail for a swamp creature, yet 19 years recommended for Roger Stone, who's not even working for the Trump campaign.
[00:09:20.034 --> 00:09:22.495]  Gee, that sounds very fair, Roger.
[00:09:24.312 --> 00:09:26.312]  Was the victim of rogue prosecutors?
[00:09:26.312 --> 00:09:30.533]  He goes on to say, during the swamp.
[00:09:30.533 --> 00:09:33.694]  Rogue prosecutors, question mark?
[00:09:33.694 --> 00:09:36.515]  That's like saying, does Rudolph the Red-Nosed Reindeer have a red nose?
[00:09:36.515 --> 00:09:38.775]  This is ridiculous.
[00:09:38.775 --> 00:09:41.996]  So a lot of exciting things happening on that front.
[00:09:41.996 --> 00:09:48.417]  Virginia has passed in their legislature, I guess the governor's got to sign it,
[00:09:50.003 --> 00:09:54.985]  A bill to ban semi-autos and suppressors and much more.
[00:09:54.985 --> 00:09:57.325]  So that nightmare situation.
[00:09:57.325 --> 00:10:02.747]  Virginia House passes ban on semi-auto firearms and suppressors in hyper-partisan vote.
[00:10:02.747 --> 00:10:07.388]  We're going to be getting into all that today as well.
[00:10:07.388 --> 00:10:08.569]  The latest on the virus.
[00:10:09.758 --> 00:10:13.559]  Dr. Francis Boyle is going to be joining us as he was on last week.
[00:10:13.559 --> 00:10:18.061]  Now we have the Trump administration officially saying they believe it could be a man made by a weapon.
[00:10:18.061 --> 00:10:22.002]  You have the Chinese ambassador saying, that's crazy!
[00:10:22.002 --> 00:10:23.523]  Wow!
[00:10:23.523 --> 00:10:25.383]  Crazy conspiracy theory.
[00:10:25.383 --> 00:10:31.886]  Don't look here, just, oh, like Jussie Smollett.
[00:10:31.886 --> 00:10:32.766]  We first came out
[00:10:34.814 --> 00:10:43.124]  The morning after it happened, and I said, 2.30 in the morning, white dudes with bleach and a rope attacking a black guy in Sub-Zero.
[00:10:43.124 --> 00:10:50.693]  That sounds about as probable as seeing Santa Claus actually fly by in the middle of the night.
[00:10:50.693 --> 00:10:54.837]  Jussie Smollett indicted in Chicago over race attack hoax.
[00:10:56.237 --> 00:11:12.142]  Former Empire actor Jussie Smollett, as a lot of folks call him, was indicted by a grand jury in Chicago on six counts of disorderly conduct for lying to police about the alleged racist and anti-gay attack on him that occurred in January last year.
[00:11:12.142 --> 00:11:14.203]  One that was defended by Maxine Waters and others.
[00:11:14.203 --> 00:11:14.883]  He's a great guy.
[00:11:14.883 --> 00:11:20.284]  The indictment was brought forward by Special Prosecutor Dan Webb last night, according to Fox 32.
[00:11:20.284 --> 00:11:23.005]  We're going to play a clip of that.
[00:11:23.005 --> 00:11:25.166]  But yeah, let's go back to video for TV viewers.
[00:11:26.357 --> 00:11:41.393]  Imagine the police show up at his multi-million dollar condo and he's explaining, oh it happened an hour ago, I've still got the rope around my neck and a little scratch on his face.
[00:11:41.393 --> 00:11:45.236]  And then he talks about how terrible it is.
[00:11:45.236 --> 00:11:47.178]  And then he has a whole trail of how he did it.
[00:11:47.178 --> 00:11:49.301]  But how the media defended him.
[00:11:50.373 --> 00:11:55.135]  And even attacked me and said, Jones is at it again, questioning things.
[00:11:55.135 --> 00:11:59.737]  You're not supposed to do that.
[00:11:59.737 --> 00:12:03.658]  And so again, the police show up and they don't buy any of it.
[00:12:03.658 --> 00:12:04.638]  Look at the news.
[00:12:04.638 --> 00:12:05.839]  Yes, ladies and gentlemen.
[00:12:05.839 --> 00:12:13.041]  And of course, almost all of these racial attacks are as phony as a $3 bill.
[00:12:13.041 --> 00:12:14.322]  Here's the local news report on it.
[00:12:16.155 --> 00:12:17.836]  Jussie Smollett.
[00:12:17.836 --> 00:12:19.277]  Remember him?
[00:12:19.277 --> 00:12:23.919]  Well, he has been indicted today by a special prosecutor in Chicago.
[00:12:23.919 --> 00:12:33.565]  The former Empire actor was indicted today in Chicago by special prosecutor Dan Webb, stemming from the alleged racist and anti-gay attack
[00:12:34.105 --> 00:12:37.347]  on him that occurred in January of 2019.
[00:12:37.347 --> 00:12:41.931]  A source confirms to our sister station Fox 32 News in Chicago.
[00:12:41.931 --> 00:12:50.436]  Smollett told Chicago police last year that two men physically attacked him and yelled racial and homophobic slurs.
