[00:00:16.519 --> 00:00:18.861]  It's Monday, September 7th.
[00:00:19.522 --> 00:00:19.982]  The year is 2020.
[00:00:21.643 --> 00:00:22.624]  It is Labor Day.
[00:00:22.644 --> 00:00:27.368]  And I want to thank you all, the most steadfast supporters of InfoWars for joining us today.
[00:00:28.529 --> 00:00:30.971]  Now we have a very special transmission we're going to have.
[00:00:31.691 --> 00:00:35.214]  Last Thursday's first hour I did where I issued the emergency bat signal.
[00:00:35.234 --> 00:00:38.677]  And if you haven't seen it, please watch and please share the video.
[00:00:38.717 --> 00:00:40.519]  Then the second hour, Carlos Zapata
[00:00:41.772 --> 00:00:50.020]  Who's a real leader and a veteran and a patriot and who's a very well-spoken, truthful man, very powerful man in his gravitas and will.
[00:00:51.021 --> 00:00:57.188]  Joining us, I'm really impressed with the work he's involved in because we need more leaders like him to step up in this critical time.
[00:00:58.345 --> 00:01:05.590]  And then, Dr. Mercola, a piece of that interview with some real solutions to this whole COVID hoax, and then of course, David Icke.
[00:01:06.311 --> 00:01:07.692]  That's what's coming up today.
[00:01:08.633 --> 00:01:20.342]  There is a video that we have posted, just as the show rebroadcast today, by Greg Reese, dealing with the dam breaking on the COVID crimes.
[00:01:21.302 --> 00:01:25.626]  You know, when I call it a hoax, the response to it, the overblown numbers have been a hoax.
[00:01:27.122 --> 00:01:35.291]  But what's behind the rollout of COVID-19 is a premeditated power grab, a medical tyranny, and a eugenics operation.
[00:01:35.331 --> 00:01:46.284]  So the real death is the starvation caused by the lockdown, and then of course the centralization of power, and then the forced inoculation, the contact tracing, and the Big Brother Internet of Things.
[00:01:47.498 --> 00:01:51.806]  Social credit score that is being incrementally rolled out around the world.
[00:01:52.588 --> 00:01:55.152]  Different sectors are at different points in the rollout.
[00:01:55.754 --> 00:01:58.819]  China is, of course, the tip of the spear of this technocracy.
[00:01:59.561 --> 00:01:59.921]  The model
[00:02:01.269 --> 00:02:03.550]  Australia and parts of the EU are behind him.
[00:02:04.110 --> 00:02:07.411]  And then, of course, liberal cities and liberal leftist states are very authoritarian.
[00:02:07.431 --> 00:02:10.772]  They are also implementing steps of this.
[00:02:10.932 --> 00:02:15.214]  And so we have to get the word out to the public that the masks are never coming off.
[00:02:15.774 --> 00:02:17.655]  The forced inoculations are never stopping.
[00:02:18.035 --> 00:02:19.655]  The contact tracing is never ending.
[00:02:20.056 --> 00:02:20.516]  This is a
[00:02:21.616 --> 00:02:23.338]  Giant leap forward of oppression.
[00:02:23.839 --> 00:02:25.240]  This is the post-industrial world.
[00:02:25.601 --> 00:02:32.969]  This is sabotaging human civilization and economies, teaching us that we are obsolete, that we are non-essential.
[00:02:33.049 --> 00:02:35.792]  So, this is planetary genocide.
[00:02:36.553 --> 00:02:41.356]  And the heads of Google, Facebook, Twitter, all of them, Apple, are in on it.
[00:02:42.076 --> 00:02:46.319]  And they believe they're the ruling class that will carry out this culling of the planet to save us.
[00:02:46.699 --> 00:02:51.882]  That goes back to the first computers and IBM and Thomas Watson being set up for race-mixing studies.
[00:02:51.902 --> 00:02:57.526]  Then, of course, the Hollerith machines he ran inside Nazi Germany at the slave camps and forced labor camps.
[00:02:57.926 --> 00:03:00.728]  So, we've reverse-engineered this whole thing.
[00:03:01.648 --> 00:03:05.231]  On last night's Sunday show, we laid out that the
[00:03:06.508 --> 00:03:19.424]  Earth-shaking COVID developments that we already knew about a lot of it, but to have it out in the open was staggering and actually quite horrifying for a reason that I'm going to explain right now before we go to the retransmission.
