[00:00:15.512 --> 00:00:15.992]  We are live.
[00:00:16.233 --> 00:00:16.993]  InfoWars.
[00:00:17.333 --> 00:00:18.234]  Tomorrow's news.
[00:00:18.534 --> 00:00:18.954]  Today.
[00:00:18.974 --> 00:00:19.815]  It is Saturday.
[00:00:22.156 --> 00:00:24.478]  Warning.
[00:00:24.978 --> 00:00:25.419]  Warning.
[00:00:25.479 --> 00:00:26.319]  Warning.
[00:00:27.140 --> 00:00:29.141]  You are witnessing Blitzkrieg.
[00:00:29.842 --> 00:00:31.203]  AI takeover.
[00:00:31.823 --> 00:00:32.704]  Lightning war.
[00:00:33.304 --> 00:00:40.028]  The virus is the heavily scripted pretext to roll out the next, quote, advancement in civilization.
[00:00:40.429 --> 00:00:43.371]  The post-industrial, post-human world.
[00:00:44.131 --> 00:00:47.134]  You are in grave danger.
[00:00:47.154 --> 00:00:48.395]  You are being attacked.
[00:00:49.095 --> 00:00:50.636]  You are being targeted.
[00:00:51.317 --> 00:00:53.279]  The veil has been lifted.
[00:00:53.319 --> 00:00:58.082]  The New World Order is now coming for you and your family.
[00:00:58.182 --> 00:01:00.905]  You need to research State Department Memorandum 200.
[00:01:01.365 --> 00:01:05.166]  You need to research the Club of Rome, limits to population and growth.
[00:01:05.526 --> 00:01:11.227]  You need to research Rockefeller Foundation plan, lockstep and others.
[00:01:11.267 --> 00:01:13.128]  This is an emergency warning.
[00:01:13.548 --> 00:01:18.409]  There is a robot AI takeover already prepared and already in full swing.
[00:01:18.749 --> 00:01:22.970]  This is 21st century warfare, but humanity can't resist it.
[00:01:23.090 --> 00:01:23.710]  Emergency.
[00:01:29.418 --> 00:01:32.301]  This is an emergency transmission from deep in the heart of Texas, U.S.
[00:01:32.361 --> 00:01:40.609]  resistance against a global corporate combine empowered and funded by Communist China, allied with the big mega banks that set up Communist China in 1949.
[00:01:41.089 --> 00:01:43.571]  The Communist Chinese have taken control of U.S.
[00:01:43.591 --> 00:01:45.053]  telecommunications infrastructure.
[00:01:45.393 --> 00:01:47.275]  The Communist Chinese have taken control of Hollywood.
[00:01:47.555 --> 00:01:49.658]  The Communist Chinese have taken control of the main universities.
[00:01:49.898 --> 00:01:50.959]  This is all confirmed.
[00:01:50.979 --> 00:01:51.920]  This is not a drill.
[00:01:52.100 --> 00:01:56.024]  Big Tech in Silicon Valley is almost completely run by the Communist Chinese government.
[00:01:56.364 --> 00:01:57.786]  They've officially become state-run.
[00:01:57.906 --> 00:01:58.627]  Apple 100%.
[00:01:58.787 --> 00:02:04.393]  Google is now making the transition and announcing a merger and total worldwide censorship.
[00:02:04.853 --> 00:02:09.636]  They are now beta testing using me as the straw man, a demonized version of Alex Jones, to do that.
[00:02:09.936 --> 00:02:10.777]  This is happening.
[00:02:10.817 --> 00:02:18.742]  This is not like the other probes before that were meant to get you used to probes and censorship, thinking you would adapt to censorship by just putting up with it.
[00:02:18.842 --> 00:02:24.786]  Now, this attack is thousands and thousands and thousands of times the magnitude of all previous attacks.
[00:02:25.206 --> 00:02:33.172]  This is a titrated dose, reverse psychological warfare operation using adapt and overcome, subversion paradigm manipulation.
[00:02:34.012 --> 00:02:37.574]  In layman's terms, they are manipulating the fact that we adapt to being oppressed.
[00:02:37.874 --> 00:02:41.056]  We adapt to being pressed with the low dosages of oppression.
[00:02:41.376 --> 00:02:48.380]  Now when the megaton hits us of the total takeover, we try to adapt to the poison infusion instead of not knowing.
[00:02:48.620 --> 00:02:51.261]  It's a lethal dose if we accept the dose.
[00:02:51.381 --> 00:02:56.584]  Total Internet of Things integration, global social score, complete command and control system.
[00:02:56.864 --> 00:02:58.425]  It is the virtual reality AI.
[00:02:58.905 --> 00:03:05.329]  I have been chosen for destruction because I brought you this information and have been battering, ramming it out as much as I can.
[00:03:19.148 --> 00:03:27.875]  They want to double use me as they always do in any complex system of mathematical deception, where every angle of my good is turned against us.
[00:03:27.895 --> 00:03:32.800]  So they take what I've said, being sincere, build me into an insincere person in the straw man.
[00:03:33.160 --> 00:03:36.142]  I'm a person that cares about life and children and is against these wars.
[00:03:36.162 --> 00:03:38.084]  And so they make me a murderer of children.
[00:03:38.244 --> 00:03:46.071]  And then they build me into this lie to then set the distraction while they're actually censoring all of you to make a debate about Alex Jones.
[00:03:46.591 --> 00:03:53.299]  So even if I didn't sell out to them, they now use me as an archetype to serve them by being the main distraction!
[00:03:53.439 --> 00:03:59.145]  I have now been captured by the enemy in the information warfare fulcrum and is being used against you!
[00:03:59.365 --> 00:04:03.930]  Only your full understanding of this TE will break you free from this paradigm!
[00:04:03.990 --> 00:04:06.193]  I have given you the transmission!
[00:04:06.273 --> 00:04:07.114]  Now break free!
[00:04:10.980 --> 00:04:20.227]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[00:04:20.247 --> 00:04:22.769]  Thomas Jefferson.
[00:04:22.869 --> 00:04:28.914]  If you are receiving this transmission, you are the resistance.
[00:04:32.957 --> 00:04:35.599]  It is Saturday, April 4th, the year is 2020.
[00:04:35.639 --> 00:04:40.142]  I come to you from the resistance movement.
[00:04:42.045 --> 00:04:46.148]  ...battling the globalists and their technocracy in their post-human world.
[00:04:46.808 --> 00:04:48.029]  It is Saturday, April 4th, 2020.
[00:04:48.069 --> 00:04:54.433]  212 days out from the election will probably be cancelled and current hysteria continues.
[00:04:56.395 --> 00:04:59.817]  Bill Gates has now officially stepped forward as the president of world government.
[00:05:01.499 --> 00:05:08.864]  Directing the eugenics-based world science firm of UNESCO and the UN.
[00:05:10.185 --> 00:05:18.670]  He's now on every channel telling you that life will never go back to normal but you might be able to go out in public again once you've taken your forced inoculation.
[00:05:19.230 --> 00:05:23.773]  Now the Australian Prime Minister saying that Fauci has said that.
[00:05:24.914 --> 00:05:25.855]  Next is the mask.
[00:05:27.916 --> 00:05:29.637]  It's all about driving you into fear.
[00:05:30.017 --> 00:05:30.818]  There's a name for it.
[00:05:32.346 --> 00:05:35.087]  There's many definitions of terrorism but they're all pretty much the same.
[00:05:36.107 --> 00:05:48.732]  The threat or the actual execution of violence to scare, to terrorize a population into submission to accept your political, cultural or religious demands.
[00:05:51.173 --> 00:06:01.497]  And you have the cult of modern science that is really a eugenics cult on historic record that seeks to take control of human development and evolution as they coined it.
[00:06:03.717 --> 00:06:32.058]  On the surface, they claim it's to build a better humanity, but everything they do, and in their own white papers, is to actually get rid of humanity, and they now admit, in all the big announcements, in the universities, in Wired Magazine, that we're the post-human world coming, NBC News, and how great it's all gonna be that the new silicon man, the new silicon human, the new silicon person, cyborg, is about to take over.
[00:06:34.591 --> 00:06:54.162]  I'd read this stuff 30 years ago before I got on air in mainline books written by futurists, and they were talking about how they would just step on us like bugs, and that once they ascended this AI hierarchy, Ray Kurzweil and others, that they might kill us, they might not kill us, they might tolerate us, but it will be like bugs to them.
[00:06:55.367 --> 00:07:11.185]  This is delusional, megalomaniac, narcissism, psychotic behavior and what's going to really happen is we're going to end up destroying our species in the process of this program that is a thousand times the size of the Manhattan Project.
[00:07:11.866 --> 00:07:13.628]  You'll probably notice if you're a regular listener,
[00:07:14.704 --> 00:07:27.107]  That I have been saying for about a decade, that they're going to have a bioweapons release, and then claim they have to have face scanning systems and drones and robots to control us, plus be locked down in huge compact cities.
[00:07:28.447 --> 00:07:34.669]  And that during the first wave of attacks, that'll just be a virus that only kills a few million worldwide, I predicted.
[00:07:37.730 --> 00:07:40.370]  Because they don't want to disrupt things, they want to get us trained first.
[00:07:40.390 --> 00:07:42.891]  Because a real bio-attack with billions dying,
[00:07:45.041 --> 00:07:47.643]  Will cause a breakdown that they can't control.
[00:07:47.663 --> 00:07:51.625]  They want to get their 5G smart car robot control grid in place.
[00:07:52.345 --> 00:07:53.446]  Train us to be obsolete.
[00:07:53.486 --> 00:07:56.027]  Let the robots start taking over the first phases of our jobs.
[00:07:57.008 --> 00:08:04.192]  Have us accept that de-evolution, that enslavement, and then they'll release the even bigger bioweapon that'll kill billions.
[00:08:05.232 --> 00:08:08.014]  And then, of course, a final attack that kills almost everyone.
[00:08:10.055 --> 00:08:11.216]  And that's in their plans.
[00:08:13.524 --> 00:08:14.564]  It's not even thinly veiled.
[00:08:15.064 --> 00:08:20.206]  You just have to have the will to actually read what they're saying and what they're going to do to you and your family.
[00:08:22.126 --> 00:08:25.227]  So this is a giant social engineering operation and it's terrorism.
[00:08:26.107 --> 00:08:30.409]  And when you look at the headlines, New York is in a cataclysm.
[00:08:30.429 --> 00:08:32.269]  3,400 dead.
[00:08:34.350 --> 00:08:38.231]  A cataclysm, if you look at the definition, is like the end of a civilization.
[00:08:39.091 --> 00:08:42.732]  The wiping out of almost an entire population.
[00:08:45.191 --> 00:08:50.873]  It is not a tiny fraction dying, like 80,000 in the year 2018 in the U.S.
[00:08:50.913 --> 00:08:51.514]  alone from flu.
[00:08:52.094 --> 00:09:04.599]  It's a real virus, real people dying, but the hype surrounding it and the answer of a vaccine and saying life's never the same and here are your AI controllers, it's all scripted.
[00:09:04.879 --> 00:09:09.521]  When I said a decade ago, I began hammering this, time flies, I forgot, I'm sorry.
[00:09:10.022 --> 00:09:12.823]  Endgame blueprint for global enslavement is 14 years old.
[00:09:14.210 --> 00:09:16.010]  And if you go watch the film, it's free online.
[00:09:16.110 --> 00:09:17.071]  It was on Amazon.
[00:09:17.091 --> 00:09:20.871]  It went to number one in documentaries, and so they banned it.
[00:09:21.872 --> 00:09:23.872]  And they called it a Nazi film.
[00:09:24.772 --> 00:09:34.554]  Media Matters tattled on it and called it an evil Nazi film, and other leftist groups did, because it exposed the Nazis and eugenics and showed the statements of the founders of the modern eugenics movement.
[00:09:35.294 --> 00:09:39.375]  Aldous Huxley said that his book, Brave New World, published in
[00:09:42.416 --> 00:09:46.238]  1932 was not a science fiction book, but a futurist plan.
[00:09:46.278 --> 00:09:53.820]  And he also wrote that in Brave New World, nonfiction, 1961 as well, right before he died.
[00:09:56.921 --> 00:09:58.642]  Blueprint for global enslavement.
[00:09:58.882 --> 00:10:01.003]  Endgame, blueprint for global enslavement.
[00:10:02.583 --> 00:10:09.906]  And they don't want you to know that because you watch something 14 years old, and the website is whatistheendgame.com, still up.
[00:10:12.056 --> 00:10:16.318]  We should probably find out it's on one of our servers here and still up.
[00:10:16.338 --> 00:10:21.140]  We should probably update it and fix the links that are dead on that and add a link to the film there, but whatever.
[00:10:21.160 --> 00:10:22.341]  The point is, is that...
[00:10:23.803 --> 00:10:24.904]  This is the real world.
[00:10:24.944 --> 00:10:40.963]  You've got all the Netflix shows, and the Dallas Cowboys, and the media, and all these distractions, and the theater, and all the porn, and all the rest of it, and oh there's this religion, and that religion, and there's this worldview, and that worldview, and all the speculative stuff, and breadcrumbs to follow, and conspiracy theories.
[00:10:41.444 --> 00:10:42.325]  This is real!
[00:10:44.258 --> 00:10:54.421]  When I tell you all this is coming, and then it happens, just as I said, it's because the globalists said that they were going to do this, and this is how they were going to bring in planetary government.
[00:10:56.882 --> 00:11:00.223]  Now, coming up today, let me tell you who we're going to have on the transmission.
[00:11:01.503 --> 00:11:05.084]  Dr. Francis Boyle, who wrote the U.S.
[00:11:05.104 --> 00:11:07.185]  biological weapons law that became world law,
