[00:00:09.645 --> 00:00:11.227]  I rarely get goosebumps.
[00:00:12.127 --> 00:00:20.655]  I rarely get chills up and down my spine, but I tell you I'm getting them every few minutes now because the world is at such an incredible crossroads right now.
[00:00:22.316 --> 00:00:25.479]  We have two very special guests coming up on the transmission today.
[00:00:25.519 --> 00:00:35.007]  I'll tell you about a little bit later, but I also want to open the phones up for listeners to give their comments on just the state of the world,
[00:00:36.172 --> 00:00:55.537]  The huge adverse reactions to the COVID-19 vaccines, the deaths around the world, and all the other facts surrounding this that show how at every level, it is the greatest fraud, the greatest scam, the greatest hoax that this planet has ever seen.
[00:00:56.317 --> 00:01:00.018]  And you know what Hitler said, you're gonna tell a lie, you're gonna tell it so big,
[00:01:01.772 --> 00:01:02.532]  And you could say that
[00:01:32.503 --> 00:01:34.664]  That was a uniquely German stubbornness.
[00:01:34.705 --> 00:01:35.785]  Germans are known for that.
[00:01:36.766 --> 00:01:38.827]  But I think it's something that's in all peoples.
[00:01:38.887 --> 00:01:45.552]  In fact, the Germans have had some of the most oppressive COVID-19 global government lockdowns, but they've also had some of the stiffest resistance.
[00:01:45.572 --> 00:01:56.379]  There's a new video out of a member of a state parliament in Germany, who's a medical doctor, who says, I've called around to hospitals and they have no COVID patients.
[00:01:58.581 --> 00:02:01.503]  But I showed you yesterday from the CDC's own numbers that Austin
[00:02:02.796 --> 00:02:14.099]  Has 9% of its beds allotted for COVID, filled with COVID, but the mayor just announced nighttime curfews because the hospitals are full.
[00:02:15.760 --> 00:02:19.761]  But I can go to the CDC's own site and show you how many COVID patients they've got at one time.
[00:02:21.961 --> 00:02:30.684]  I said 77, excuse me, when I actually went to the number, it was 75, the number had changed, who are actually in intensive care with COVID right now.
[00:02:32.836 --> 00:02:35.937]  And the studies are there that you should not intubate someone that has COVID.
[00:02:35.957 --> 00:02:37.738]  It's an autoimmune response normally.
[00:02:38.118 --> 00:02:39.519]  They need steroids.
[00:02:40.560 --> 00:02:41.620]  But they're not getting that.
[00:02:42.541 --> 00:02:45.962]  And that leads us to this next nightmare report that illustrates everything.
[00:02:46.022 --> 00:02:55.026]  Congressman Luke Letlow, Congressman-elect, tested positive for COVID.
[00:02:55.046 --> 00:02:56.947]  96% of the tests were false.
[00:02:57.047 --> 00:02:58.608]  Said, well, we need to put you in the emergency room.
[00:02:59.773 --> 00:03:06.397]  And then they were doing a procedure intubating him while he was awake, shoving tubes into his lungs.
[00:03:07.037 --> 00:03:08.998]  And they said the procedure killed him.
[00:03:09.018 --> 00:03:17.022]  It actually says he died of a heart attack while having them shove tubes into his lungs.
[00:03:19.283 --> 00:03:21.985]  Guess he didn't like it too much when they turned on the pressure.
[00:03:22.305 --> 00:03:23.826]  They say it's excruciating torture.
[00:03:24.701 --> 00:03:27.843]  You're having an autoimmune response, and they pump your lungs up full of air.
