[00:00:01.983 --> 00:00:04.631]  Waging war on corruption.
[00:00:04.631 --> 00:00:09.766]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:35.003 --> 00:00:41.108]  Monday, January 27th, 2020.
[00:00:41.108 --> 00:00:46.573]  280 days precisely left until the 2020 election.
[00:00:46.573 --> 00:00:51.277]  Never a slow news day as we accelerate towards the singularity, the quickening.
[00:00:51.277 --> 00:00:55.740]  End of days, the beginning of a new age, depending on how you look at it.
[00:00:55.740 --> 00:00:59.924]  The battle of the gods, good or dharma wrong.
[00:00:59.924 --> 00:01:00.765]  The apocalypse.
[00:01:04.653 --> 00:01:25.297]  But as we sit here in the year 2020, our future destiny governs the fate of untold billions of people into the future if we simply take that destiny in our hands.
[00:01:25.297 --> 00:01:34.038]  Well, we always knew John Bolton was the secret weapon against Trump.
[00:01:36.209 --> 00:01:51.058]  And the New York Times this weekend, to overshadow the beginning of the Republicans' defense, that they're finally able to put on after four months of propaganda and disinformation, that, oh, something happened in this room.
[00:01:51.058 --> 00:01:52.999]  It all happened in this room.
[00:01:52.999 --> 00:01:54.580]  That's the name of the book.
[00:01:54.580 --> 00:02:01.665]  You make a lot of sick jokes about it, but the cover of the book is an oval for the Oval Office, and John Bolton was in there.
[00:02:03.286 --> 00:02:09.273]  And he supposedly can corroborate what no one else heard or no one else saw.
[00:02:09.273 --> 00:02:14.899]  But of course, he and a few others are really what the whistleblower is.
[00:02:14.899 --> 00:02:18.183]  They're just moles inside lying.
[00:02:18.183 --> 00:02:23.409]  The room where it happened, is that the room where he got that ridiculous mustache?
[00:02:26.394 --> 00:02:30.498]  I mean, we know he helped when they attacked Iraq for the second time in 2003.
[00:02:30.498 --> 00:02:34.341]  And we know they helped cook up lies about WMDs.
[00:02:34.341 --> 00:02:37.985]  So we know that happened in that room.
[00:02:37.985 --> 00:02:40.627]  And we know the New York Times helped put those lies out.
[00:02:40.627 --> 00:02:50.536]  So yet again, the New York Times and John Bolton have teamed up together to give us another hoax, another lie.
[00:02:50.536 --> 00:02:51.958]  But even if the President said
[00:02:53.629 --> 00:02:57.471]  We're going to withhold the aid unless they go after corruption.
[00:02:57.471 --> 00:02:58.231]  That wouldn't be a crime.
[00:02:58.231 --> 00:03:07.035]  In fact, that would be, that would be the law on foreign aid.
[00:03:07.035 --> 00:03:10.637]  But the president worried about corruption in Ukraine.
[00:03:10.637 --> 00:03:12.878]  The president making sure the law was followed.
[00:03:12.878 --> 00:03:18.381]  That is transmuted into a crime by alchemy.
[00:03:19.557 --> 00:03:23.418]  So we have the second day of the Republican defense.
