[00:00:00.230 --> 00:00:00.331]  Okay.
[00:00:32.489 --> 00:00:35.610]  Ladies and gentlemen, Young Broadcasting Worldwide.
[00:00:35.610 --> 00:00:51.317]  We're not supposed to be on the air right now when the globalists make their move to establish world government using manufactured biological crises.
[00:00:51.317 --> 00:00:54.118]  We've been predicting this for a long time.
[00:00:54.118 --> 00:00:59.580]  My film, In Game, Blue Printer Global Enslavement, lays out this exact scenario we're now witnessing.
[00:01:00.618 --> 00:01:11.068]  Big article was written last night that we're printing right now by Kellen McBreen at Infowars.com laying all this out.
[00:01:11.068 --> 00:01:20.677]  We're going to be breaking it down here today, but first here's a very important report that we have just showing more of how the mainstream media is completely deceptive by design.
[00:01:20.677 --> 00:01:24.481]  I know that's really rhetorical, but still some are not aware of this fact.
[00:01:26.019 --> 00:01:30.740]  I do not support in any way, shape, or form Governor Northam's and the Democrats' gun control.
[00:01:30.740 --> 00:01:38.942]  What I also don't support is the fact that every news piece you've seen on this this weekend, they've always brought up the issue of race.
[00:01:38.942 --> 00:01:44.904]  Brisbane, Virginia is on high alert this morning before a gun rights rally that local authorities fear could turn violent.
[00:01:44.904 --> 00:01:46.924]  We're seeing threats of violence.
[00:01:46.924 --> 00:01:49.785]  Virginia's governor has declared a state of emergency.
[00:01:49.785 --> 00:01:54.006]  We're seeing threats of armed confrontation and assault on our capital.
[00:01:56.258 --> 00:02:06.944]  Now, armed gun rights supporters from across the country, including some from the far right, are planning to sweep into Richmond on Martin Luther King Day.
[00:02:06.944 --> 00:02:09.366]  Spreading their hate-filled ideology.
[00:02:09.366 --> 00:02:19.692]  They claim white supremacists are crawling the nation, that all gun owners are racist, and that people are planning to kill law enforcement in Virginia, when conservatives and patriots have never even acted like that.
[00:02:19.892 --> 00:02:20.852]  Had a gun rally before.
[00:02:20.852 --> 00:02:24.193]  The neo-Nazi group that advocates violence against minorities.
[00:02:24.193 --> 00:02:25.213]  Far-right extremists.
[00:02:25.213 --> 00:02:26.073]  Neo-Nazis.
[00:02:26.073 --> 00:02:27.074]  Several hate groups.
[00:02:27.074 --> 00:02:27.814]  Militia groups.
[00:02:27.814 --> 00:02:28.874]  These militia groups.
[00:02:28.874 --> 00:02:29.634]  Far-right militia.
[00:02:29.634 --> 00:02:30.154]  Some militia.
[00:02:30.154 --> 00:02:30.835]  Militia groups.
[00:02:30.835 --> 00:02:31.515]  Our militia.
[00:02:31.515 --> 00:02:32.555]  White supremacist group.
[00:02:32.555 --> 00:02:33.395]  White supremacist.
[00:02:33.395 --> 00:02:34.695]  A white supremacist group.
[00:02:34.695 --> 00:02:35.776]  White supremacist group.
[00:02:35.776 --> 00:02:36.916]  A white nationalist group.
[00:02:36.916 --> 00:02:39.817]  No white supremacy!
[00:02:39.817 --> 00:02:40.517]  No white supremacy!
[00:02:40.517 --> 00:02:40.917]  F*** Nazis.
[00:02:44.224 --> 00:02:48.988]  I want to paint Trump supporters as neo-Nazis, white supremacists.
[00:02:48.988 --> 00:02:54.594]  As though it's nothing but white rednecks and hillbillies out here who care for the Second Amendment.
[00:02:54.594 --> 00:03:03.122]  When actually, black Americans, Asian Americans, Hispanic Americans, Americans in general care about the Second Amendment.
[00:03:03.362 --> 00:03:05.464]  These white politicians... Hell yes!
[00:03:05.464 --> 00:03:08.226]  We're gonna take your AR-15, your AK-47.
[00:03:08.226 --> 00:03:14.331]  ...in leftist-run cities want to take away black women's rights to protect ourselves.
[00:03:14.331 --> 00:03:15.172]  I just think it's ridiculous.
[00:03:15.172 --> 00:03:16.393]  That's what they do.
[00:03:16.393 --> 00:03:17.794]  It's like a mascot.
[00:03:17.794 --> 00:03:18.715]  They put you in front.
[00:03:19.315 --> 00:03:21.297]  And then they run their agenda on the back.
[00:03:21.297 --> 00:03:28.884]  When you look at the history of gun control, it was used to take away guns from minorities and the black men and women who just wanted to protect their family.
[00:03:28.884 --> 00:03:35.130]  If anything, you would want black men and women to be able to protect their families from anybody trying to break in.
[00:03:35.130 --> 00:03:37.632]  It all started with them taking away our guns.
[00:03:37.632 --> 00:03:38.733]  You can't protect yourself.
[00:03:38.733 --> 00:03:43.718]  Okay, it's fine for the police to protect you, but what if they can't get to you fast enough?
[00:03:44.278 --> 00:03:57.207]  Listen, if they steamroll the 2nd Amendment, they'll steamroll everything else.
[00:03:57.207 --> 00:04:01.350]  Simply, we just want to hold on to our rights to protect ourselves.
[00:04:01.350 --> 00:04:10.496]  We're definitely here to show disunity because the media will play and act like we don't deal with each other very well, we won't come together, but you can look around, I've seen people from all walks of life today.
