[00:00:15.504 --> 00:00:16.325]  InfoWars.
[00:00:16.625 --> 00:00:18.247]  Tomorrow's news today.
[00:00:26.635 --> 00:00:35.163]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the front lines of the InfoWars.
[00:00:39.366 --> 00:00:47.830]  Former President Barack Obama has his fingerprints all over the sabotage of the Trump administration and ultimately the future of the United States.
[00:00:48.031 --> 00:01:01.938]  From the allegations of the wiretapping of Trump's phones during the 2016 campaign to the ongoing details of the Barr-Durham investigation, Barack Obama and his Secretary of State Hillary Clinton just keep the hits coming.
[00:01:02.238 --> 00:01:03.739]  It did not start with Donald Trump.
[00:01:05.506 --> 00:01:07.427]  He is a symptom, not the cause.
[00:01:27.739 --> 00:01:27.999]  I think?
[00:01:44.335 --> 00:01:46.656]  They came immediately, and it's in great shape.
[00:01:46.736 --> 00:01:48.076]  As you know, this will not be a Benghazi.
[00:01:48.096 --> 00:01:49.256]  Benghazi should never have happened.
[00:01:49.276 --> 00:01:52.757]  The Iranian regime's aggression in the region, including the use of
[00:02:10.501 --> 00:02:15.605]  Proxy fighters to destabilize its neighbors must end, and it must end now.
[00:02:15.945 --> 00:02:23.730]  Now the left, led by the rhetoric of Joe Biden and Ilhan Omar, are showing their hand as the bulwark of national security that they are.
[00:02:24.070 --> 00:02:31.796]  As Biden called the bold action that of throwing a stick of dynamite into a tinderbox, and Omar vowed to step in and stop Trump.
[00:02:32.196 --> 00:02:37.182]  Of course, the truth didn't slow down the Mockingbird Media's love affair with terrorists.
[00:02:37.442 --> 00:02:40.685]  As Steve Watson writes, the leftist media in the U.S.
[00:02:40.725 --> 00:02:48.554]  started off 2020 with a cacophony of fake news by labeling Hezbollah terrorists who attempted to storm the U.S.
[00:02:48.634 --> 00:02:51.257]  Embassy in Baghdad as protesters.
[00:02:51.597 --> 00:03:01.785]  The pictures from the mob attack clearly show that it was led by members of Tehran's militia units in Iraq, which have been absorbed into the Iraqi security forces.
[00:03:02.085 --> 00:03:12.033]  John Kerry's underhanded violation of the foreign diplomacy of the executive office is a sobering example of the left's true danger to our national security.
[00:03:12.273 --> 00:03:14.074]  You know, John Kerry speaks to them a lot.
[00:03:14.715 --> 00:03:16.436]  John Kerry tells them not to call.
[00:03:17.217 --> 00:03:18.798]  That's a violation of the Logan Act.
[00:03:19.727 --> 00:03:27.673]  And frankly, he should be prosecuted on that, but my people don't want to do anything that's... Only the Democrats do that kind of stuff, you know?
[00:03:28.354 --> 00:03:32.097]  If it were the opposite way, they'd prosecute him under the Logan Act.
[00:03:32.957 --> 00:03:46.748]  While Obama's ties to the Muslim Brotherhood during the toppling of regimes in North Africa is indisputable... And what I indicated tonight to President Mubarak is my belief that an orderly transition must be meaningful,
[00:03:47.970 --> 00:03:51.332]  It must be peaceful, and it must begin now.
[00:03:53.014 --> 00:03:58.958]  Furthermore, the process must include a broad spectrum of Egyptian voices and opposition parties.
[00:04:00.439 --> 00:04:06.203]  The most important thing for me is to have real friendship between Egyptians and Americans.
[00:04:06.223 --> 00:04:06.824]  So what does that mean?
[00:04:06.864 --> 00:04:07.704]  What does that mean?
[00:04:07.825 --> 00:04:08.365]  Yeah.
[00:04:08.385 --> 00:04:12.288]  What that means is mutual, balanced relationships.
[00:04:13.109 --> 00:04:18.673]  Jubilation erupting on Tahrir Square as the news spread that President Morsi had been deposed.
[00:04:19.134 --> 00:04:23.837]  Yet another Egyptian leader taken down by the people on this now iconic square.
[00:04:24.138 --> 00:04:35.887]  Those ties to Egypt's Muslim Brotherhood, President Mohamed Morsi, snaked a path to an Iran that Obama had generously rewarded for a nuclear disarmament deal that failed.
[00:04:36.147 --> 00:04:39.228]  Ladies and gentlemen, this is the Alex Jones Show on this Sunday, January 5th, 2020.
[00:04:55.029 --> 00:05:02.676]  When we come back from this short break, Alex Jones is going to be breaking more news when it comes to what's going on in Iraq, Iran, and more.
[00:05:02.696 --> 00:05:08.061]  And then I will be taking over the Alex Jones Show, taking your calls and breaking some other news.
[00:05:08.221 --> 00:05:09.082]  Don't go anywhere.
[00:05:09.542 --> 00:05:11.664]  It's the InfoWars Alex Jones Show.
[00:05:12.205 --> 00:05:16.429]  Only at InfoWars.com slash show and band dot video.
[00:05:19.699 --> 00:05:23.140]  Over for Iran's head general, Soleimani.
[00:05:24.100 --> 00:05:27.821]  The red flag of war has been hoisted above the main mosque in Tehran.
[00:05:28.481 --> 00:05:44.525]  And the Ayatollah has come out and issued an $80 million murder-for-hire contract, or a bounty, an Islamic fatwa, for Shiites anywhere in the world, and they're in almost every country,
[00:05:45.618 --> 00:05:49.922]  Or for anybody else for that matter, who can assassinate President Trump.
